Date,sentbyaddress3ema
2016/11/14,8274
2016/11/15,8323
2016/11/16,8080
2016/11/17,7943
2016/11/18,8013
2016/11/19,7723
2016/11/20,7744
2016/11/21,7862
2016/11/22,14837
2016/11/23,22450
2016/11/24,13857
2016/11/25,18362
2016/11/26,12081
2016/11/27,9092
2016/11/28,8278
2016/11/29,7596
2016/11/30,7372
2016/12/01,7049
2016/12/02,7220
2016/12/03,8235
2016/12/04,8806
2016/12/05,8245
2016/12/06,8996
2016/12/07,7800
2016/12/08,7308
2016/12/09,7924
2016/12/10,7470
2016/12/11,7578
2016/12/12,7665
2016/12/13,7382
2016/12/14,8140
2016/12/15,9069
2016/12/16,8433
2016/12/17,8059
2016/12/18,7750
2016/12/19,7897
2016/12/20,8216
2016/12/21,8527
2016/12/22,8647
2016/12/23,8170
2016/12/24,7664
2016/12/25,7026
2016/12/26,6762
2016/12/27,6959
2016/12/28,7329
2016/12/29,7933
2016/12/30,7905
2016/12/31,8225
2017/01/01,7368
2017/01/02,7528
2017/01/03,8020
2017/01/04,9455
2017/01/05,9849
2017/01/06,10100
2017/01/07,9422
2017/01/08,8667
2017/01/09,9337
2017/01/10,8859
2017/01/11,9001
2017/01/12,9180
2017/01/13,8884
2017/01/14,8386
2017/01/15,7840
2017/01/16,8548
2017/01/17,8501
2017/01/18,8226
2017/01/19,8528
2017/01/20,8904
2017/01/21,8605
2017/01/22,8229
2017/01/23,8301
2017/01/24,8409
2017/01/25,8110
2017/01/26,8197
2017/01/27,8053
2017/01/28,7908
2017/01/29,7650
2017/01/30,8032
2017/01/31,8146
2017/02/01,8260
2017/02/02,8547
2017/02/03,8355
2017/02/04,8671
2017/02/05,8902
2017/02/06,9027
2017/02/07,8920
2017/02/08,8975
2017/02/09,8974
2017/02/10,9522
2017/02/11,8942
2017/02/12,8980
2017/02/13,10072
2017/02/14,10541
2017/02/15,10695
2017/02/16,10280
2017/02/17,10059
2017/02/18,10391
2017/02/19,9754
2017/02/20,10017
2017/02/21,9937
2017/02/22,9823
2017/02/23,9663
2017/02/24,10160
2017/02/25,10097
2017/02/26,10144
2017/02/27,10681
2017/02/28,12150
2017/03/01,13210
2017/03/02,17378
2017/03/03,16748
2017/03/04,15408
2017/03/05,14569
2017/03/06,14181
2017/03/07,13369
2017/03/08,13120
2017/03/09,14039
2017/03/10,15034
2017/03/11,14943
2017/03/12,15961
2017/03/13,19585
2017/03/14,19512
2017/03/15,19812
2017/03/16,24628
2017/03/17,26727
2017/03/18,25312
2017/03/19,22741
2017/03/20,21580
2017/03/21,21095
2017/03/22,20029
2017/03/23,19507
2017/03/24,21541
2017/03/25,21607
2017/03/26,20158
2017/03/27,20970
2017/03/28,20702
2017/03/29,20727
2017/03/30,22966
2017/03/31,26951
2017/04/01,23700
2017/04/02,23484
2017/04/03,26572
2017/04/04,24550
2017/04/05,24070
2017/04/06,25467
2017/04/07,22602
2017/04/08,20139
2017/04/09,18152
2017/04/10,18788
2017/04/11,18798
2017/04/12,19479
2017/04/13,20579
2017/04/14,20191
2017/04/15,19301
2017/04/16,17294
2017/04/17,17008
2017/04/18,18450
2017/04/19,19383
2017/04/20,20199
2017/04/21,19209
2017/04/22,18160
2017/04/23,17804
2017/04/24,19265
2017/04/25,19587
2017/04/26,20126
2017/04/27,24931
2017/04/28,25592
2017/04/29,24173
2017/04/30,24605
2017/05/01,26517
2017/05/02,27275
2017/05/03,25613
2017/05/04,28162
2017/05/05,29247
2017/05/06,27335
2017/05/07,28304
2017/05/08,32507
2017/05/09,32381
2017/05/10,30852
2017/05/11,31410
2017/05/12,30235
2017/05/13,27487
2017/05/14,26787
2017/05/15,29517
2017/05/16,30790
2017/05/17,34913
2017/05/18,36382
2017/05/19,42404
2017/05/20,39057
2017/05/21,38258
2017/05/22,42103
2017/05/23,45307
2017/05/24,47933
2017/05/25,48919
2017/05/26,48082
2017/05/27,43424
2017/05/28,40283
2017/05/29,41054
2017/05/30,45874
2017/05/31,56791
2017/06/01,59807
2017/06/02,54532
2017/06/03,51762
2017/06/04,50222
2017/06/05,53169
2017/06/06,54383
2017/06/07,54495
2017/06/08,51942
2017/06/09,56092
2017/06/10,57973
2017/06/11,63392
2017/06/12,79119
2017/06/13,82336
2017/06/14,78969
2017/06/15,78514
2017/06/16,73620
2017/06/17,71707
2017/06/18,71872
2017/06/19,75100
2017/06/20,83582
2017/06/21,86836
2017/06/22,88098
2017/06/23,85328
2017/06/24,81634
2017/06/25,75256
2017/06/26,88853
2017/06/27,85473
2017/06/28,42737
2017/06/29,59949
2017/06/30,67835
2017/07/01,70007
2017/07/02,70127
2017/07/03,78667
2017/07/04,82522
2017/07/05,79039
2017/07/06,75919
2017/07/07,83494
2017/07/08,73492
2017/07/09,67081
2017/07/10,74967
2017/07/11,77163
2017/07/12,77021
2017/07/13,70828
2017/07/14,66888
2017/07/15,64994
2017/07/16,63113
2017/07/17,64895
2017/07/18,68413
2017/07/19,71519
2017/07/20,70806
2017/07/21,66382
2017/07/22,59969
2017/07/23,73136
2017/07/24,70337
2017/07/25,66783
2017/07/26,62841
2017/07/27,62785
2017/07/28,63317
2017/07/29,57860
2017/07/30,55349
2017/07/31,67503
2017/08/01,63834
2017/08/02,64389
2017/08/03,64454
2017/08/04,68125
2017/08/05,71300
2017/08/06,70634
2017/08/07,74937
2017/08/08,82616
2017/08/09,82820
2017/08/10,89773
2017/08/11,93548
2017/08/12,92335
2017/08/13,87779
2017/08/14,98759
2017/08/15,104851
2017/08/16,107999
2017/08/17,110259
2017/08/18,116053
2017/08/19,105457
2017/08/20,95413
2017/08/21,101218
2017/08/22,100113
2017/08/23,103057
2017/08/24,97034
2017/08/25,98277
2017/08/26,86449
2017/08/27,82982
2017/08/28,88424
2017/08/29,98849
2017/08/30,104535
2017/08/31,110920
2017/09/01,110903
2017/09/02,100517
2017/09/03,89825
2017/09/04,110786
2017/09/05,116453
2017/09/06,121888
2017/09/07,119021
2017/09/08,116835
2017/09/09,109376
2017/09/10,94904
2017/09/11,98909
2017/09/12,112286
2017/09/13,110547
2017/09/14,117268
2017/09/15,125129
2017/09/16,108027
2017/09/17,88315
2017/09/18,93928
2017/09/19,96225
2017/09/20,95410
2017/09/21,91210
2017/09/22,82206
2017/09/23,79535
2017/09/24,81106
2017/09/25,85758
2017/09/26,84492
2017/09/27,83806
2017/09/28,89208
2017/09/29,92072
2017/09/30,88333
2017/10/01,80767
2017/10/02,82786
2017/10/03,85662
2017/10/04,83529
2017/10/05,85374
2017/10/06,83861
2017/10/07,82069
2017/10/08,81612
2017/10/09,83311
2017/10/10,92876
2017/10/11,98965
2017/10/12,99947
2017/10/13,108482
2017/10/14,100822
2017/10/15,92606
2017/10/16,89048
2017/10/17,108719
2017/10/18,105786
2017/10/19,99078
2017/10/20,104843
2017/10/21,104759
2017/10/22,119504
2017/10/23,113351
2017/10/24,110555
2017/10/25,103198
2017/10/26,99404
2017/10/27,49702
2017/10/28,24851
2017/10/29,12426
2017/10/30,6213
2017/10/31,3106
2017/11/01,67678
2017/11/02,107480
2017/11/03,111428
2017/11/04,102275
2017/11/05,96856
2017/11/06,102121
2017/11/07,105570
2017/11/08,112814
2017/11/09,117791
2017/11/10,115529
2017/11/11,108216
2017/11/12,112730
2017/11/13,111773
2017/11/14,119002
2017/11/15,131109
2017/11/16,128464
2017/11/17,133092
2017/11/18,123745
2017/11/19,121322
2017/11/20,124861
2017/11/21,132792
2017/11/22,137536
2017/11/23,137877
2017/11/24,136455
2017/11/25,135484
2017/11/26,137092
2017/11/27,153785
2017/11/28,163730
2017/11/29,176536
2017/11/30,174026
2017/12/01,160532
2017/12/02,157860
2017/12/03,169270
2017/12/04,173522
2017/12/05,177790
2017/12/06,202677
2017/12/07,183745
2017/12/08,190468
2017/12/09,194461
2017/12/10,195745
2017/12/11,210575
2017/12/12,239813
2017/12/13,258317
2017/12/14,271865
2017/12/15,268984
2017/12/16,258943
2017/12/17,253673
2017/12/18,262511
2017/12/19,288030
2017/12/20,296150
2017/12/21,309949
2017/12/22,339949
2017/12/23,309845
2017/12/24,258819
2017/12/25,231037
2017/12/26,239951
2017/12/27,252890
2017/12/28,258855
2017/12/29,303591
2017/12/30,338558
2017/12/31,306513
2018/01/01,290689
2018/01/02,336338
2018/01/03,354565
2018/01/04,387892
2018/01/05,389403
2018/01/06,384890
2018/01/07,379615
2018/01/08,376953
2018/01/09,410214
2018/01/10,394393
2018/01/11,398322
2018/01/12,381215
2018/01/13,389585
2018/01/14,379588
2018/01/15,409417
2018/01/16,434693
2018/01/17,441675
2018/01/18,434893
2018/01/19,381695
2018/01/20,324475
2018/01/21,373911
2018/01/22,340633
2018/01/23,314159
2018/01/24,292703
2018/01/25,259027
2018/01/26,278666
2018/01/27,268378
2018/01/28,257476
2018/01/29,268754
2018/01/30,269631
2018/01/31,267742
2018/02/01,289807
2018/02/02,295831
2018/02/03,265578
2018/02/04,262392
2018/02/05,261191
2018/02/06,267030
2018/02/07,256934
2018/02/08,228277
2018/02/09,228137
2018/02/10,235254
2018/02/11,231463
2018/02/12,239382
2018/02/13,224323
2018/02/14,226963
2018/02/15,228188
2018/02/16,208054
2018/02/17,198380
2018/02/18,197743
2018/02/19,207588
2018/02/20,226867
2018/02/21,226133
2018/02/22,214861
2018/02/23,202662
2018/02/24,183016
2018/02/25,176666
2018/02/26,195173
2018/02/27,199410
2018/02/28,207090
2018/03/01,206052
2018/03/02,204568
2018/03/03,187465
2018/03/04,171682
2018/03/05,187360
2018/03/06,203581
2018/03/07,259433
2018/03/08,230068
2018/03/09,208293
2018/03/10,189184
2018/03/11,171105
2018/03/12,167878
2018/03/13,178895
2018/03/14,198928
2018/03/15,194383
2018/03/16,180552
2018/03/17,169269
2018/03/18,170393
2018/03/19,185246
2018/03/20,180552
2018/03/21,189700
2018/03/22,179868
2018/03/23,213941
2018/03/24,211007
2018/03/25,173275
2018/03/26,171755
2018/03/27,167809
2018/03/28,158850
2018/03/29,165044
2018/03/30,173340
2018/03/31,160653
2018/04/01,147239
2018/04/02,149993
2018/04/03,162926
2018/04/04,163606
2018/04/05,180612
2018/04/06,178722
2018/04/07,164358
2018/04/08,165812
2018/04/09,173083
2018/04/10,169374
2018/04/11,173998
2018/04/12,188718
2018/04/13,197176
2018/04/14,184695
2018/04/15,176807
2018/04/16,176613
2018/04/17,178016
2018/04/18,182402
2018/04/19,195978
2018/04/20,206315
2018/04/21,208210
2018/04/22,224966
2018/04/23,238821
2018/04/24,243873
2018/04/25,232859
2018/04/26,226828
2018/04/27,216166
2018/04/28,205770
2018/04/29,198281
2018/04/30,204269
2018/05/01,195381
2018/05/02,209974
2018/05/03,231518
2018/05/04,364956
2018/05/05,314902
2018/05/06,268318
2018/05/07,261971
2018/05/08,264110
2018/05/09,256581
2018/05/10,255064
2018/05/11,252085
2018/05/12,247662
2018/05/13,236046
