Date,sentinusd30momUSD
2016/01/01,81437
2016/01/02,70528
2016/01/03,226094
2016/01/04,28094
2016/01/05,805715
2016/01/06,-111089
2016/01/07,207200
2016/01/08,-51.005
2016/01/09,47056
2016/01/10,-120039
2016/01/11,62677
2016/01/12,850709
2016/01/13,172503
2016/01/14,-163097
2016/01/15,-289065
2016/01/16,284392
2016/01/17,236990
2016/01/18,3012911
2016/01/19,1513815
2016/01/20,667314
2016/01/21,540721
2016/01/22,1269889
2016/01/23,1883163
2016/01/24,4055100
2016/01/25,4794386
2016/01/26,3665230
2016/01/27,2543146
2016/01/28,2050329
2016/01/29,1971896
2016/01/30,2124126
2016/01/31,2283543
2016/02/01,1082905
2016/02/02,1021760
2016/02/03,1356376
2016/02/04,-174217
2016/02/05,1200550
2016/02/06,238763
2016/02/07,2219099
2016/02/08,4351222
2016/02/09,5319298
2016/02/10,7917585
2016/02/11,7705639
2016/02/12,11943902
2016/02/13,6068795
2016/02/14,3329512
2016/02/15,3296981
2016/02/16,5865866
2016/02/17,-131087
2016/02/18,2842930
2016/02/19,1342877
2016/02/20,4537463
2016/02/21,717387
2016/02/22,2144620
2016/02/23,4693044
2016/02/24,7255217
2016/02/25,2057250
2016/02/26,21099125
2016/02/27,11223902
2016/02/28,2857567
2016/02/29,2071996
2016/03/01,6183133
2016/03/02,27392460
2016/03/03,18017440
2016/03/04,12484641
2016/03/05,31065925
2016/03/06,16465735
2016/03/07,14691345
2016/03/08,18197244
2016/03/09,7311105
2016/03/10,4501242
2016/03/11,1988097
2016/03/12,10841240
2016/03/13,15983177
2016/03/14,15523251
2016/03/15,11964624
2016/03/16,10746271
2016/03/17,13911436
2016/03/18,20957828
2016/03/19,3825713
2016/03/20,3462604
2016/03/21,4492904
2016/03/22,5841197
2016/03/23,2654902
2016/03/24,2063165
2016/03/25,-6198373
2016/03/26,-2176089
2016/03/27,-11485065
2016/03/28,-4641020
2016/03/29,9919603
2016/03/30,11548816
2016/03/31,1759725
2016/04/01,-24283698
2016/04/02,-15093878
2016/04/03,-11480971
2016/04/04,-26949510
2016/04/05,-10536740
2016/04/06,-9043418
