Date,sentinusd90emaUSD
2016/01/01,501125
2016/01/02,495615
2016/01/03,492715
2016/01/04,485179
2016/01/05,496727
2016/01/06,491418
2016/01/07,488274
2016/01/08,481818
2016/01/09,476150
2016/01/10,469041
2016/01/11,470425
2016/01/12,485684
2016/01/13,485517
2016/01/14,483177
2016/01/15,498342
2016/01/16,502973
2016/01/17,501991
2016/01/18,561744
2016/01/19,586830
2016/01/20,593261
2016/01/21,596826
2016/01/22,614390
2016/01/23,644677
2016/01/24,720950
2016/01/25,813233
2016/01/26,877396
2016/01/27,922323
2016/01/28,952486
2016/01/29,979143
2016/01/30,1012480
2016/01/31,1047682
2016/02/01,1053960
2016/02/02,1061245
2016/02/03,1071024
2016/02/04,1065868
2016/02/05,1074436
2016/02/06,1063726
2016/02/07,1093393
2016/02/08,1169916
2016/02/09,1264467
2016/02/10,1422382
2016/02/11,1586074
2016/02/12,1824226
2016/02/13,1925843
2016/02/14,1982477
2016/02/15,2026951
2016/02/16,2121396
2016/02/17,2142676
2016/02/18,2195498
2016/02/19,2196088
2016/02/20,2264150
2016/02/21,2260836
2016/02/22,2302072
2016/02/23,2445062
2016/02/24,2658909
2016/02/25,2727722
2016/02/26,3195699
2016/02/27,3422577
2016/02/28,3457750
2016/02/29,3482150
2016/03/01,3598967
2016/03/02,4151205
2016/03/03,4486406
2016/03/04,4695295
2016/03/05,5293252
2016/03/06,5570794
2016/03/07,5784150
2016/03/08,6110012
2016/03/09,6236962
2016/03/10,6319078
2016/03/11,6409597
2016/03/12,6701949
2016/03/13,7178943
2016/03/14,7504045
2016/03/15,7701040
2016/03/16,7856012
2016/03/17,8128092
2016/03/18,8477968
2016/03/19,8475634
2016/03/20,8414301
2016/03/21,8444444
2016/03/22,8433677
2016/03/23,8397596
2016/03/24,8451963
2016/03/25,8397562
2016/03/26,8292425
2016/03/27,8385682
2016/03/28,8396494
2016/03/29,8540363
2016/03/30,8706878
2016/03/31,8747540
2016/04/01,8652915
2016/04/02,8557444
2016/04/03,8424531
2016/04/04,8348229
2016/04/05,8327053
2016/04/06,8281075
2016/04/07,8264291
2016/04/08,8202030
2016/04/09,8297777
2016/04/10,8339128
2016/04/11,8272075
2016/04/12,8278918
2016/04/13,8291775
2016/04/14,8283293
2016/04/15,8209483
2016/04/16,8107927
2016/04/17,8097339
2016/04/18,8046549
2016/04/19,7950847
2016/04/20,7903408
2016/04/21,7817732
2016/04/22,7778410
2016/04/23,7785829
2016/04/24,7682162
2016/04/25,7635419
2016/04/26,7654666
2016/04/27,7617015
2016/04/28,7576567
2016/04/29,7509734
2016/04/30,7836230
2016/05/01,8001969
2016/05/02,8229887
2016/05/03,8347466
2016/05/04,8394635
2016/05/05,8442054
2016/05/06,8692125
2016/05/07,8812682
2016/05/08,8909562
2016/05/09,9134330
2016/05/10,9357498
2016/05/11,9801685
2016/05/12,10313314
2016/05/13,11974690
2016/05/14,13036512
2016/05/15,13083222
2016/05/16,13139788
2016/05/17,13191894
2016/05/18,13421133
2016/05/19,13940628
2016/05/20,14347172
2016/05/21,14330495
2016/05/22,14223120
2016/05/23,14297397
2016/05/24,14486940
2016/05/25,14636459
2016/05/26,14665201
2016/05/27,14992856
2016/05/28,15214830
2016/05/29,15146859
2016/05/30,15090873
2016/05/31,15056886
2016/06/01,14966372
2016/06/02,14789157
2016/06/03,14651886
2016/06/04,14469199
2016/06/05,14288456
2016/06/06,14120493
2016/06/07,14118882
2016/06/08,14492898
2016/06/09,14320383
2016/06/10,14282103
2016/06/11,14128083
2016/06/12,14172369
2016/06/13,14291521
2016/06/14,14542023
2016/06/15,14592087
2016/06/16,14905403
2016/06/17,16179510
2016/06/18,17278604
2016/06/19,17384421
2016/06/20,17675643
2016/06/21,17756939
2016/06/22,18009997
2016/06/23,18121929
2016/06/24,18065611
2016/06/25,18060068
2016/06/26,17853604
2016/06/27,17660001
2016/06/28,17720345
2016/06/29,17669404
2016/06/30,17518455
2016/07/01,17362617
2016/07/02,17102993
2016/07/03,16861074
2016/07/04,16787240
2016/07/05,17245674
2016/07/06,17113305
2016/07/07,16954798
2016/07/08,16740323
2016/07/09,16514856
2016/07/10,16310359
2016/07/11,16138932
2016/07/12,15984298
2016/07/13,15849025
2016/07/14,15726610
2016/07/15,16401762
2016/07/16,16243229
2016/07/17,16075504
2016/07/18,16434188
2016/07/19,18487523
2016/07/20,21812085
2016/07/21,21811831
2016/07/22,22232161
2016/07/23,22576893
2016/07/24,25847453
2016/07/25,28151032
2016/07/26,33396551
2016/07/27,36125566
2016/07/28,37468181
2016/07/29,38133072
2016/07/30,38341369
2016/07/31,38466773
2016/08/01,39006094
2016/08/02,40425202
2016/08/03,41382125
2016/08/04,41339334
2016/08/05,41438812
2016/08/06,40954119
2016/08/07,40557047
2016/08/08,40177822
2016/08/09,40107227
2016/08/10,40516043
2016/08/11,40638971
2016/08/12,40341623
2016/08/13,39966940
2016/08/14,39493962
2016/08/15,38977577
2016/08/16,38349511
2016/08/17,37932587
2016/08/18,37382186
2016/08/19,36802821
2016/08/20,36371681
2016/08/21,36437750
2016/08/22,36186943
2016/08/23,36481904
2016/08/24,35923147
2016/08/25,35360762
2016/08/26,35070067
2016/08/27,34536957
2016/08/28,33979288
2016/08/29,33519779
2016/08/30,32992641
2016/08/31,32539834
2016/09/01,32354519
2016/09/02,32108669
2016/09/03,31730178
2016/09/04,31413313
2016/09/05,30931952
2016/09/06,30498070
2016/09/07,30052252
2016/09/08,29773438
2016/09/09,29295346
2016/09/10,28823174
2016/09/11,28410426
2016/09/12,28026664
2016/09/13,27663035
2016/09/14,27252558
2016/09/15,26816410
2016/09/16,26836044
2016/09/17,26467966
2016/09/18,26326070
2016/09/19,26008611
2016/09/20,26545512
2016/09/21,27188852
2016/09/22,27135576
2016/09/23,27137566
2016/09/24,26924475
2016/09/25,27042751
2016/09/26,26859972
2016/09/27,26594477
2016/09/28,26736719
2016/09/29,26758512
2016/09/30,26434563
2016/10/01,26091102
2016/10/02,26038687
2016/10/03,25644109
2016/10/04,25286786
2016/10/05,25032969
2016/10/06,24746444
2016/10/07,24463599
2016/10/08,24209386
2016/10/09,24370767
2016/10/10,24506545
2016/10/11,24571100
2016/10/12,24713797
2016/10/13,24438046
2016/10/14,24591717
2016/10/15,24353478
2016/10/16,24237778
2016/10/17,24184802
2016/10/18,24436719
2016/10/19,24185303
2016/10/20,23846628
2016/10/21,23486842
2016/10/22,23103588
2016/10/23,22709839
2016/10/24,22381780
2016/10/25,22169709
2016/10/26,21918012
2016/10/27,21668447
2016/10/28,21573009
2016/10/29,21536071
2016/10/30,21630336
2016/10/31,21459130
2016/11/01,21665470
2016/11/02,22219618
2016/11/03,24115539
2016/11/04,23874065
2016/11/05,23559281
2016/11/06,23165741
2016/11/07,22809917
2016/11/08,22469397
2016/11/09,22449709
2016/11/10,22193306
2016/11/11,22565159
2016/11/12,22345341
2016/11/13,22134436
2016/11/14,21765530
2016/11/15,21515713
2016/11/16,21284050
2016/11/17,21520189
2016/11/18,21277192
2016/11/19,20991349
2016/11/20,20664448
2016/11/21,20349296
2016/11/22,20463891
2016/11/23,20539737
2016/11/24,20263301
2016/11/25,20131146
2016/11/26,19832973
2016/11/27,19539117
2016/11/28,19263613
2016/11/29,19077998
2016/11/30,18877780
2016/12/01,18655986
2016/12/02,18825181
2016/12/03,19245974
2016/12/04,19107810
2016/12/05,19266392
2016/12/06,19782121
2016/12/07,19763092
2016/12/08,19795345
2016/12/09,19823920
2016/12/10,19645233
2016/12/11,19563165
2016/12/12,19327961
2016/12/13,19107082
2016/12/14,18880725
2016/12/15,18836711
