Date,transactionfees30rocUSD
2016/01/01,22.646
2016/01/02,64.072
2016/01/03,40.223
2016/01/04,34.055
2016/01/05,122.154
2016/01/06,246.767
2016/01/07,171.507
2016/01/08,105.692
2016/01/09,184.864
2016/01/10,55.585
2016/01/11,-9.293
2016/01/12,13.314
2016/01/13,-18.838
2016/01/14,-47.839
2016/01/15,-32.342
2016/01/16,-19.06
2016/01/17,-35.004
2016/01/18,21.856
2016/01/19,13.345
2016/01/20,-10.616
2016/01/21,13.493
2016/01/22,8.666
2016/01/23,-6.671
2016/01/24,62.71
2016/01/25,114.161
2016/01/26,76.202
2016/01/27,189.053
2016/01/28,146.085
2016/01/29,81.956
2016/01/30,162.286
2016/01/31,212.993
2016/02/01,149.559
2016/02/02,123.891
2016/02/03,115.673
2016/02/04,61.1
2016/02/05,69.987
2016/02/06,551.378
2016/02/07,324.597
2016/02/08,125.323
2016/02/09,308.535
2016/02/10,506.851
2016/02/11,286.041
2016/02/12,179.702
2016/02/13,225.47
2016/02/14,181.086
2016/02/15,271.408
2016/02/16,327.37
2016/02/17,147.117
2016/02/18,91.212
2016/02/19,244.569
2016/02/20,146.652
2016/02/21,112.923
2016/02/22,234.105
2016/02/23,628.636
2016/02/24,186.713
2016/02/25,71.552
2016/02/26,98.447
2016/02/27,51.485
2016/02/28,73.466
2016/02/29,70.524
2016/03/01,84.245
2016/03/02,159.938
2016/03/03,185.178
2016/03/04,174.492
2016/03/05,141.3
2016/03/06,134.567
2016/03/07,-29.866
2016/03/08,32.323
2016/03/09,40.596
2016/03/10,-15.533
2016/03/11,-38.365
2016/03/12,4.964
2016/03/13,21.068
2016/03/14,40.564
2016/03/15,27.416
2016/03/16,16.907
2016/03/17,18.713
2016/03/18,4.66
2016/03/19,93.393
2016/03/20,24.504
2016/03/21,53.991
2016/03/22,26.633
2016/03/23,32.281
2016/03/24,-55.889
2016/03/25,-23.525
2016/03/26,1.924
2016/03/27,-52.633
2016/03/28,-5.574
2016/03/29,-17.909
2016/03/30,15.454
2016/03/31,-13.332
2016/04/01,-36.215
2016/04/02,-46.402
2016/04/03,-46.191
2016/04/04,-42.322
2016/04/05,-48.31
2016/04/06,-46.938
2016/04/07,-47.514
2016/04/08,-34.839
2016/04/09,-36.899
2016/04/10,-43.696
2016/04/11,-53.602
2016/04/12,-60.183
2016/04/13,-45.663
2016/04/14,-26.701
2016/04/15,-51.39
2016/04/16,-57.31
2016/04/17,-21.054
2016/04/18,-59.615
2016/04/19,-53.024
2016/04/20,-43.298
2016/04/21,-25.029
2016/04/22,-57.352
2016/04/23,-61.596
2016/04/24,-54.368
2016/04/25,-49.368
2016/04/26,-28.981
2016/04/27,-47.717
2016/04/28,-39.972
2016/04/29,-60.967
2016/04/30,-36.365
2016/05/01,-4.344
2016/05/02,-10.769
2016/05/03,-1.913
2016/05/04,-13.419
2016/05/05,-1.817
2016/05/06,15.294
2016/05/07,-9.672
2016/05/08,-8.351
2016/05/09,7.021
2016/05/10,22.096
2016/05/11,43.843
2016/05/12,69.914
2016/05/13,34.222
2016/05/14,3.381
2016/05/15,32.363
2016/05/16,65.398
2016/05/17,19.138
2016/05/18,81.912
2016/05/19,95.861
2016/05/20,94.167
2016/05/21,61.657
2016/05/22,100.911
2016/05/23,93.927
2016/05/24,60.424
2016/05/25,66.524
2016/05/26,77.776
2016/05/27,90.939
