Date,mediantransactionvalue7emaUSD
2016/01/01,0.904
2016/01/02,1.015
2016/01/03,1.091
2016/01/04,1.128
2016/01/05,0.846
2016/01/06,0.634
2016/01/07,0.476
2016/01/08,0.629
2016/01/09,0.746
2016/01/10,0.879
2016/01/11,0.965
2016/01/12,1.1
2016/01/13,0.825
2016/01/14,0.935
2016/01/15,1.132
2016/01/16,1.25
2016/01/17,1.339
2016/01/18,1.384
2016/01/19,1.219
2016/01/20,1.489
2016/01/21,1.641
2016/01/22,1.622
2016/01/23,1.824
2016/01/24,2.065
2016/01/25,2.125
2016/01/26,2.28
2016/01/27,1.907
2016/01/28,2.052
2016/01/29,2.193
2016/01/30,2.36
2016/01/31,2.476
2016/02/01,2.478
2016/02/02,2.463
2016/02/03,2.561
2016/02/04,2.627
2016/02/05,2.652
2016/02/06,1.989
2016/02/07,2.276
2016/02/08,2.632
2016/02/09,3.017
2016/02/10,3.746
2016/02/11,4.166
2016/02/12,5.002
2016/02/13,5.159
2016/02/14,5.295
2016/02/15,5.511
2016/02/16,5.503
2016/02/17,5.208
2016/02/18,5.054
2016/02/19,5.025
2016/02/20,5.02
2016/02/21,5.061
2016/02/22,5.23
2016/02/23,5.528
2016/02/24,5.747
2016/02/25,6.044
2016/02/26,6.115
2016/02/27,6.296
2016/02/28,6.58
2016/02/29,6.757
2016/03/01,7.023
2016/03/02,7.506
2016/03/03,8.223
2016/03/04,8.703
2016/03/05,9.984
2016/03/06,10.467
2016/03/07,10.706
2016/03/08,10.639
2016/03/09,10.813
2016/03/10,11.617
2016/03/11,11.603
2016/03/12,12.352
2016/03/13,13.098
2016/03/14,13.597
2016/03/15,13.644
2016/03/16,13.859
2016/03/17,13.535
2016/03/18,12.932
2016/03/19,12.372
2016/03/20,11.905
2016/03/21,11.779
2016/03/22,11.82
2016/03/23,11.927
2016/03/24,11.808
2016/03/25,11.525
2016/03/26,11.349
2016/03/27,11.309
2016/03/28,11.349
2016/03/29,11.492
2016/03/30,11.654
2016/03/31,11.775
2016/04/01,11.796
2016/04/02,11.802
2016/04/03,11.823
2016/04/04,11.748
2016/04/05,11.49
2016/04/06,11.338
