Date,activeaddresses7wma
2016/01/01,3471
2016/01/02,3485
2016/01/03,3513
2016/01/04,3554
2016/01/05,3588
2016/01/06,3660
2016/01/07,3769
2016/01/08,3820
2016/01/09,3841
2016/01/10,3903
2016/01/11,4010
2016/01/12,4117
2016/01/13,4126
2016/01/14,4099
2016/01/15,4184
2016/01/16,4121
2016/01/17,4022
2016/01/18,4080
2016/01/19,4075
2016/01/20,4236
2016/01/21,4237
2016/01/22,4275
2016/01/23,4435
2016/01/24,4676
2016/01/25,4957
2016/01/26,5290
2016/01/27,5434
2016/01/28,5675
2016/01/29,5802
2016/01/30,5877
2016/01/31,5950
2016/02/01,5927
2016/02/02,5884
2016/02/03,5892
2016/02/04,5817
2016/02/05,5945
2016/02/06,5824
2016/02/07,5778
2016/02/08,5876
2016/02/09,6053
2016/02/10,6564
2016/02/11,7533
2016/02/12,7953
2016/02/13,8192
2016/02/14,8126
2016/02/15,8072
2016/02/16,7967
2016/02/17,7871
2016/02/18,7718
2016/02/19,7679
2016/02/20,7561
2016/02/21,7729
2016/02/22,7857
2016/02/23,7978
2016/02/24,8058
2016/02/25,8301
2016/02/26,8304
2016/02/27,8315
2016/02/28,8429
2016/02/29,8665
2016/03/01,9073
2016/03/02,9662
2016/03/03,10318
2016/03/04,10826
2016/03/05,11663
2016/03/06,12185
2016/03/07,11983
2016/03/08,12168
2016/03/09,12171
2016/03/10,12420
2016/03/11,12401
2016/03/12,12693
2016/03/13,12927
2016/03/14,13306
2016/03/15,13516
2016/03/16,13615
2016/03/17,13741
2016/03/18,14163
2016/03/19,14103
2016/03/20,14091
2016/03/21,14039
2016/03/22,13980
2016/03/23,14139
2016/03/24,14081
2016/03/25,14094
2016/03/26,14026
2016/03/27,14230
2016/03/28,14449
2016/03/29,15052
2016/03/30,15781
2016/03/31,15892
2016/04/01,15835
2016/04/02,15677
2016/04/03,15592
2016/04/04,15688
2016/04/05,15894
2016/04/06,15842
2016/04/07,16155
2016/04/08,15999
2016/04/09,16154
2016/04/10,16386
2016/04/11,16363
2016/04/12,16487
2016/04/13,16775
2016/04/14,16858
2016/04/15,16791
2016/04/16,16687
2016/04/17,16791
2016/04/18,16900
2016/04/19,16945
2016/04/20,17077
2016/04/21,17171
2016/04/22,17194
2016/04/23,17158
2016/04/24,17263
2016/04/25,17330
2016/04/26,17435
2016/04/27,17526
2016/04/28,17491
2016/04/29,18108
2016/04/30,20143
2016/05/01,20496
2016/05/02,21563
2016/05/03,21620
2016/05/04,21428
2016/05/05,21237
2016/05/06,20901
2016/05/07,20411
2016/05/08,20638
2016/05/09,20986
2016/05/10,21163
2016/05/11,21900
2016/05/12,22556
2016/05/13,23647
2016/05/14,23919
2016/05/15,23771
2016/05/16,23214
2016/05/17,23220
2016/05/18,23896
2016/05/19,24199
2016/05/20,24146
2016/05/21,23945
2016/05/22,23310
2016/05/23,23803
2016/05/24,23807
2016/05/25,23917
2016/05/26,25746
2016/05/27,26622
2016/05/28,29919
2016/05/29,29397
2016/05/30,28302
2016/05/31,27529
2016/06/01,26399
2016/06/02,25215
2016/06/03,24243
2016/06/04,23258
2016/06/05,22899
2016/06/06,22934
2016/06/07,22968
2016/06/08,23186
2016/06/09,23205
2016/06/10,23383
2016/06/11,22577
2016/06/12,23046
2016/06/13,24355
2016/06/14,25541
2016/06/15,25800
2016/06/16,25663
2016/06/17,28141
2016/06/18,29644
2016/06/19,29766
2016/06/20,29332
2016/06/21,28956
2016/06/22,29254
2016/06/23,28306
2016/06/24,27342
2016/06/25,26130
2016/06/26,26161
2016/06/27,25611
2016/06/28,25759
2016/06/29,25622
2016/06/30,25534
2016/07/01,25324
2016/07/02,25256
2016/07/03,25034
2016/07/04,25189
2016/07/05,25257
2016/07/06,25211
2016/07/07,25216
2016/07/08,25380
2016/07/09,25277
2016/07/10,25186
2016/07/11,25034
2016/07/12,25116
2016/07/13,24454
2016/07/14,24737
2016/07/15,24844
2016/07/16,24737
2016/07/17,23809
2016/07/18,23616
2016/07/19,25222
2016/07/20,26805
2016/07/21,27470
2016/07/22,28718
2016/07/23,29088
2016/07/24,31171
2016/07/25,31941
2016/07/26,34421
2016/07/27,35624
2016/07/28,35529
2016/07/29,34410
2016/07/30,32682
2016/07/31,31433
2016/08/01,30483
2016/08/02,29431
2016/08/03,29166
2016/08/04,29120
2016/08/05,28707
2016/08/06,28084
2016/08/07,27638
2016/08/08,27416
2016/08/09,27985
2016/08/10,27939
2016/08/11,28630
2016/08/12,28295
2016/08/13,27767
2016/08/14,27352
2016/08/15,27172
2016/08/16,27698
2016/08/17,27516
2016/08/18,27289
2016/08/19,27307
2016/08/20,27276
2016/08/21,27255
2016/08/22,27036
2016/08/23,27477
2016/08/24,27416
2016/08/25,27914
2016/08/26,27877
2016/08/27,27904
2016/08/28,27823
2016/08/29,28053
2016/08/30,27932
2016/08/31,28396
2016/09/01,28868
2016/09/02,29166
2016/09/03,28891
2016/09/04,28577
2016/09/05,28273
2016/09/06,28173
2016/09/07,27648
2016/09/08,28274
2016/09/09,28137
2016/09/10,27938
2016/09/11,27980
2016/09/12,28124
2016/09/13,28075
2016/09/14,28041
2016/09/15,28114
2016/09/16,28468
2016/09/17,28628
2016/09/18,28112
2016/09/19,27924
2016/09/20,29801
2016/09/21,29743
2016/09/22,28421
2016/09/23,27563
2016/09/24,26933
2016/09/25,26284
2016/09/26,25622
2016/09/27,25034
2016/09/28,25117
2016/09/29,25305
2016/09/30,25297
2016/10/01,25602
2016/10/02,26244
2016/10/03,26237
2016/10/04,24922
2016/10/05,24014
2016/10/06,23233
2016/10/07,23808
2016/10/08,23961
2016/10/09,24872
2016/10/10,26028
2016/10/11,26006
2016/10/12,23571
2016/10/13,20458
2016/10/14,20262
2016/10/15,18937
2016/10/16,18764
2016/10/17,19612
2016/10/18,22016
2016/10/19,21876
2016/10/20,23922
2016/10/21,26883
2016/10/22,27062
2016/10/23,26648
2016/10/24,26547
2016/10/25,26286
2016/10/26,26193
2016/10/27,25817
2016/10/28,25570
2016/10/29,25137
2016/10/30,24160
2016/10/31,25059
2016/11/01,25510
2016/11/02,26004
2016/11/03,26029
2016/11/04,24139
2016/11/05,23761
2016/11/06,22722
2016/11/07,22822
2016/11/08,22736
2016/11/09,22954
2016/11/10,22659
2016/11/11,23177
2016/11/12,23100
2016/11/13,23533
2016/11/14,23037
2016/11/15,23109
2016/11/16,22749
2016/11/17,22461
2016/11/18,22426
2016/11/19,22208
2016/11/20,22223
2016/11/21,22232
2016/11/22,25712
2016/11/23,31110
2016/11/24,29195
2016/11/25,30665
2016/11/26,28207
2016/11/27,26221
2016/11/28,24677
2016/11/29,22735
2016/11/30,21721
2016/12/01,21144
2016/12/02,21166
2016/12/03,21728
2016/12/04,21881
2016/12/05,21866
2016/12/06,22783
2016/12/07,22310
2016/12/08,21964
2016/12/09,21958
2016/12/10,21555
2016/12/11,21408
2016/12/12,21521
2016/12/13,21157
2016/12/14,21533
2016/12/15,22111
2016/12/16,22232
2016/12/17,22001
2016/12/18,21373
2016/12/19,21829
2016/12/20,22333
2016/12/21,22535
