Date,transactions14roc
2016/01/01,-8.846
2016/01/02,-1.61
2016/01/03,-6.286
2016/01/04,-21.462
2016/01/05,-21.862
2016/01/06,-24.916
2016/01/07,63.591
2016/01/08,14.683
2016/01/09,9.948
2016/01/10,-52.806
2016/01/11,-11.926
2016/01/12,-4.367
2016/01/13,-18.845
2016/01/14,3.417
2016/01/15,19.944
2016/01/16,16.368
2016/01/17,5.282
2016/01/18,36.331
2016/01/19,-18.32
2016/01/20,-37.859
2016/01/21,-51.375
2016/01/22,26.825
2016/01/23,-6.512
2016/01/24,24.012
2016/01/25,57.174
2016/01/26,52.007
2016/01/27,6.125
2016/01/28,57.374
2016/01/29,66.025
2016/01/30,37.481
2016/01/31,45.337
2016/02/01,9.933
2016/02/02,6.49
2016/02/03,34.533
2016/02/04,33.883
2016/02/05,10.117
2016/02/06,184.971
2016/02/07,11.455
2016/02/08,-14.03
2016/02/09,-6.02
2016/02/10,-8.567
2016/02/11,27.885
2016/02/12,10.454
2016/02/13,31.826
2016/02/14,17.351
2016/02/15,20.847
2016/02/16,22.798
2016/02/17,40.045
2016/02/18,18.078
2016/02/19,20.742
2016/02/20,-46.801
2016/02/21,20.015
2016/02/22,23.582
2016/02/23,19.108
2016/02/24,13.996
2016/02/25,-9.035
2016/02/26,16.34
2016/02/27,-1.79
2016/02/28,14.672
2016/02/29,18.643
2016/03/01,24.098
2016/03/02,17.869
2016/03/03,46.367
2016/03/04,31.909
2016/03/05,62.229
2016/03/06,61.581
2016/03/07,27.933
2016/03/08,30.424
2016/03/09,25.676
2016/03/10,27.232
2016/03/11,9.759
2016/03/12,46.921
2016/03/13,47.548
2016/03/14,40.132
2016/03/15,34.415
2016/03/16,17.121
2016/03/17,35.004
2016/03/18,31.021
2016/03/19,28.265
2016/03/20,17.302
2016/03/21,39.706
2016/03/22,36.445
2016/03/23,29.438
2016/03/24,48.896
2016/03/25,58.978
2016/03/26,31.409
2016/03/27,6.567
2016/03/28,17.825
2016/03/29,15.858
2016/03/30,33.233
2016/03/31,-3.794
2016/04/01,4.711
2016/04/02,-15.587
2016/04/03,-8.811
2016/04/04,7.37
2016/04/05,19.103
2016/04/06,0.919
2016/04/07,-13.679
2016/04/08,-7.486
2016/04/09,-12.888
2016/04/10,7.55
2016/04/11,-9.776
2016/04/12,2.235
2016/04/13,-1.947
2016/04/14,7.818
2016/04/15,4.919
2016/04/16,3.832
2016/04/17,35.876
2016/04/18,-3.993
2016/04/19,-16.723
2016/04/20,2.7
2016/04/21,16.58
2016/04/22,-6.857
2016/04/23,-0.244
2016/04/24,5.612
2016/04/25,16.827
2016/04/26,-6.031
2016/04/27,-6.114
2016/04/28,-1.259
2016/04/29,6.788
2016/04/30,50.146
2016/05/01,-1.555
2016/05/02,24.573
2016/05/03,15.937
2016/05/04,13.781
2016/05/05,4.104
2016/05/06,30.283
2016/05/07,12.621
2016/05/08,17.673
2016/05/09,8.834
2016/05/10,24.866
2016/05/11,20.575
2016/05/12,31.037
2016/05/13,27.877
2016/05/14,-0.052
2016/05/15,8.831
2016/05/16,-10.357
2016/05/17,6.578
2016/05/18,22.807
2016/05/19,15.026
2016/05/20,9.464
2016/05/21,21.629
2016/05/22,-2.915
2016/05/23,13.605
2016/05/24,5.474
2016/05/25,13.8
2016/05/26,13.655
2016/05/27,2.654
2016/05/28,53.346
2016/05/29,6.54
2016/05/30,14.704
2016/05/31,10.114
2016/06/01,-8.281
2016/06/02,-10.909
2016/06/03,-11.827
2016/06/04,-13.173
2016/06/05,-2.568
2016/06/06,-11.069
2016/06/07,7.527
2016/06/08,-12.941
2016/06/09,-22.079
2016/06/10,-18.081
