Date,transactions3wma
2016/01/01,11178
2016/01/02,9043
2016/01/03,9056
2016/01/04,9350
2016/01/05,12916
2016/01/06,15593
2016/01/07,19467
2016/01/08,15664
2016/01/09,13215
2016/01/10,10911
2016/01/11,10852
2016/01/12,10782
2016/01/13,14269
2016/01/14,13025
2016/01/15,11433
2016/01/16,10399
2016/01/17,10074
2016/01/18,11484
2016/01/19,12640
2016/01/20,11931
2016/01/21,11140
2016/01/22,12270
2016/01/23,11918
2016/01/24,12382
2016/01/25,14664
2016/01/26,16096
2016/01/27,17731
2016/01/28,17383
2016/01/29,16910
2016/01/30,15590
2016/01/31,14703
2016/02/01,14265
2016/02/02,14240
2016/02/03,14267
2016/02/04,14325
2016/02/05,14794
2016/02/06,23187
2016/02/07,20146
2016/02/08,17351
2016/02/09,15042
2016/02/10,16196
2016/02/11,19020
2016/02/12,19058
2016/02/13,19273
2016/02/14,17773
2016/02/15,17342
2016/02/16,17265
2016/02/17,18705
2016/02/18,18073
2016/02/19,18194
2016/02/20,17323
2016/02/21,17200
2016/02/22,17587
2016/02/23,18158
2016/02/24,18962
2016/02/25,19345
2016/02/26,20292
2016/02/27,19764
2016/02/28,19370
2016/02/29,19697
2016/03/01,20852
2016/03/02,22433
2016/03/03,23902
2016/03/04,24350
2016/03/05,25793
2016/03/06,26917
2016/03/07,25375
2016/03/08,24420
2016/03/09,24192
2016/03/10,24610
2016/03/11,23926
2016/03/12,25787
2016/03/13,27213
2016/03/14,28288
2016/03/15,28834
2016/03/16,28310
2016/03/17,30843
2016/03/18,31687
2016/03/19,33585
2016/03/20,33120
2016/03/21,32868
2016/03/22,32690
2016/03/23,32275
2016/03/24,34551
2016/03/25,35994
2016/03/26,36735
2016/03/27,33329
2016/03/28,32906
2016/03/29,33158
2016/03/30,35291
2016/03/31,34038
2016/04/01,33541
2016/04/02,31162
2016/04/03,30133
2016/04/04,32209
2016/04/05,36154
2016/04/06,34915
2016/04/07,33168
2016/04/08,32982
2016/04/09,32614
2016/04/10,32428
2016/04/11,31230
2016/04/12,32818
2016/04/13,34638
2016/04/14,35186
2016/04/15,35082
2016/04/16,32691
2016/04/17,36089
2016/04/18,35238
2016/04/19,34183
2016/04/20,32932
2016/04/21,35009
2016/04/22,33723
2016/04/23,32679
2016/04/24,32918
2016/04/25,34371
2016/04/26,33775
2016/04/27,33689
2016/04/28,33884
2016/04/29,35755
2016/04/30,41052
2016/05/01,41267
2016/05/02,41695
2016/05/03,39423
2016/05/04,38307
2016/05/05,38152
2016/05/06,39785
2016/05/07,38140
2016/05/08,38865
2016/05/09,38612
2016/05/10,39873
2016/05/11,40394
2016/05/12,42885
2016/05/13,45672
2016/05/14,46286
2016/05/15,44741
2016/05/16,40694
2016/05/17,39808
2016/05/18,42690
2016/05/19,44324
2016/05/20,45102
2016/05/21,44290
2016/05/22,41517
2016/05/23,42138
2016/05/24,42540
2016/05/25,44826
2016/05/26,48206
2016/05/27,49293
2016/05/28,59934
2016/05/29,54495
2016/05/30,48452
2016/05/31,44150
2016/06/01,43060
2016/06/02,41304
2016/06/03,40176
2016/06/04,38827
2016/06/05,38212
2016/06/06,38423
2016/06/07,42372
2016/06/08,42090
2016/06/09,41095
2016/06/10,40096
2016/06/11,38475
2016/06/12,40282
2016/06/13,43436
2016/06/14,47659
2016/06/15,46101
2016/06/16,44502
2016/06/17,54952
2016/06/18,60960
2016/06/19,57638
2016/06/20,51085
2016/06/21,47873
2016/06/22,47935
2016/06/23,45046
2016/06/24,44737
2016/06/25,40437
2016/06/26,40590
2016/06/27,39817
2016/06/28,41701
2016/06/29,45922
2016/06/30,55790
2016/07/01,49676
2016/07/02,43649
2016/07/03,39645
2016/07/04,39770
2016/07/05,39578
2016/07/06,38698
2016/07/07,39395
2016/07/08,41047
2016/07/09,41113
2016/07/10,40233
2016/07/11,39145
2016/07/12,39826
2016/07/13,37904
2016/07/14,40120
2016/07/15,40781
2016/07/16,39869
2016/07/17,36496
2016/07/18,37247
2016/07/19,40810
2016/07/20,46577
2016/07/21,46682
2016/07/22,47628
2016/07/23,46136
2016/07/24,52186
2016/07/25,54334
2016/07/26,58953
2016/07/27,56304
2016/07/28,52278
2016/07/29,48646
2016/07/30,44846
2016/07/31,46252
2016/08/01,46241
2016/08/02,47971
2016/08/03,48748
2016/08/04,48046
2016/08/05,45439
2016/08/06,42941
2016/08/07,42509
2016/08/08,42725
2016/08/09,45016
2016/08/10,45995
2016/08/11,47358
2016/08/12,45972
2016/08/13,43373
2016/08/14,41385
2016/08/15,41525
2016/08/16,45338
2016/08/17,45800
2016/08/18,47013
2016/08/19,44885
2016/08/20,42942
2016/08/21,42202
2016/08/22,43192
2016/08/23,46056
2016/08/24,46929
2016/08/25,48613
2016/08/26,48072
2016/08/27,48044
2016/08/28,45165
2016/08/29,44947
2016/08/30,45761
2016/08/31,46168
2016/09/01,46857
2016/09/02,51178
2016/09/03,48782
2016/09/04,48230
2016/09/05,44842
2016/09/06,46795
2016/09/07,47829
2016/09/08,52402
2016/09/09,53733
2016/09/10,48739
2016/09/11,44951
2016/09/12,44156
2016/09/13,43561
2016/09/14,48647
2016/09/15,51363
2016/09/16,55283
2016/09/17,51389
2016/09/18,44163
2016/09/19,40697
2016/09/20,46851
