Date,activeaddresses7var
2016/01/01,18291
2016/01/02,18132
2016/01/03,12793
2016/01/04,16041
2016/01/05,17480
2016/01/06,15109
2016/01/07,38972
2016/01/08,32780
2016/01/09,23648
2016/01/10,21613
2016/01/11,34911
2016/01/12,40019
2016/01/13,33005
2016/01/14,34474
2016/01/15,40587
2016/01/16,35457
2016/01/17,54602
2016/01/18,57885
2016/01/19,46765
2016/01/20,97968
2016/01/21,91611
2016/01/22,88631
2016/01/23,116801
2016/01/24,154232
2016/01/25,293161
2016/01/26,409875
2016/01/27,430082
2016/01/28,354850
2016/01/29,179267
2016/01/30,74531
2016/01/31,36315
2016/02/01,28713
2016/02/02,28452
2016/02/03,13766
2016/02/04,18140
2016/02/05,51098
2016/02/06,79858
2016/02/07,74108
2016/02/08,93130
2016/02/09,149480
2016/02/10,657274
2016/02/11,2326719
2016/02/12,2587474
2016/02/13,2106967
2016/02/14,1516474
2016/02/15,1080088
2016/02/16,753616
2016/02/17,767500
2016/02/18,150746
2016/02/19,56255
2016/02/20,36923
2016/02/21,78880
2016/02/22,109359
2016/02/23,132465
2016/02/24,144561
2016/02/25,230639
2016/02/26,201655
2016/02/27,59398
2016/02/28,83092
2016/02/29,181274
2016/03/01,477599
2016/03/02,1035629
2016/03/03,1822988
2016/03/04,1813803
2016/03/05,2292678
2016/03/06,1876980
2016/03/07,1231083
2016/03/08,851135
2016/03/09,719170
2016/03/10,808253
2016/03/11,732648
2016/03/12,771827
2016/03/13,854597
2016/03/14,480420
2016/03/15,498387
2016/03/16,284370
2016/03/17,299189
2016/03/18,308171
2016/03/19,300484
2016/03/20,251102
2016/03/21,256474
2016/03/22,260433
2016/03/23,273579
2016/03/24,274476
2016/03/25,87679
2016/03/26,86879
2016/03/27,165288
2016/03/28,233589
2016/03/29,851463
2016/03/30,1881918
2016/03/31,1637533
2016/04/01,1427069
2016/04/02,997262
2016/04/03,901122
2016/04/04,813598
2016/04/05,821850
2016/04/06,338796
2016/04/07,526168
2016/04/08,514096
2016/04/09,384610
2016/04/10,374768
2016/04/11,371575
2016/04/12,381764
2016/04/13,453006
2016/04/14,454468
2016/04/15,169464
2016/04/16,182586
2016/04/17,195986
2016/04/18,163779
2016/04/19,166470
2016/04/20,160810
2016/04/21,178014
2016/04/22,108122
2016/04/23,24693
2016/04/24,45998
2016/04/25,53967
2016/04/26,65315
2016/04/27,81619
2016/04/28,82812
2016/04/29,777818
2016/04/30,8485370
2016/05/01,8280219
2016/05/02,9509003
2016/05/03,8301396
2016/05/04,6920424
2016/05/05,4657754
2016/05/06,4489029
2016/05/07,1602991
2016/05/08,1685044
2016/05/09,754734
2016/05/10,812663
2016/05/11,1683903
2016/05/12,2270108
2016/05/13,3887907
2016/05/14,2391095
2016/05/15,2030076
2016/05/16,2526727
2016/05/17,1941291
2016/05/18,2849926
2016/05/19,3032097
2016/05/20,2283910
2016/05/21,2361402
2016/05/22,3106384
2016/05/23,2619950
2016/05/24,2542133
2016/05/25,1842479
2016/05/26,8516062
2016/05/27,9780482
2016/05/28,28858315
2016/05/29,23106328
2016/05/30,24667288
2016/05/31,23786045
2016/06/01,24890621
2016/06/02,25314831
2016/06/03,26621352
2016/06/04,1129107
2016/06/05,770483
2016/06/06,725742
2016/06/07,276673
2016/06/08,333588
2016/06/09,328397
2016/06/10,387373
2016/06/11,1632323
2016/06/12,1980725
2016/06/13,5380024
2016/06/14,7997941
2016/06/15,8006601
2016/06/16,7579471
2016/06/17,18800264
2016/06/18,14152811
2016/06/19,11775900
2016/06/20,12116154
2016/06/21,12395137
2016/06/22,10842057
2016/06/23,9222637
2016/06/24,5424590
2016/06/25,4225775
2016/06/26,3551789
2016/06/27,3997384
2016/06/28,3829114
2016/06/29,1389985
2016/06/30,1402908
2016/07/01,1469252
2016/07/02,909884
2016/07/03,576637
2016/07/04,515576
2016/07/05,202089
2016/07/06,180182
2016/07/07,180092
2016/07/08,175121
2016/07/09,187921
2016/07/10,146608
2016/07/11,141544
2016/07/12,122060
2016/07/13,992191
2016/07/14,1143191
