Date,transactionvalue30varUSD
2016/01/01,621.431
2016/01/02,621.282
2016/01/03,622.856
2016/01/04,624.531
2016/01/05,657.606
2016/01/06,648.445
2016/01/07,652.052
2016/01/08,655.767
2016/01/09,657.919
2016/01/10,662.349
2016/01/11,648.006
2016/01/12,849.423
2016/01/13,846.417
2016/01/14,847.015
2016/01/15,691.659
2016/01/16,730.089
2016/01/17,738.376
2016/01/18,2274
2016/01/19,2511
2016/01/20,2543
2016/01/21,2525
2016/01/22,2560
2016/01/23,3048
2016/01/24,5229
2016/01/25,6691
2016/01/26,7230
2016/01/27,7306
2016/01/28,7238
2016/01/29,7060
2016/01/30,7121
2016/01/31,7230
2016/02/01,7035
2016/02/02,6887
2016/02/03,6597
2016/02/04,6609
2016/02/05,6305
2016/02/06,6286
2016/02/07,6062
2016/02/08,6874
2016/02/09,8002
2016/02/10,11680
2016/02/11,13750
2016/02/12,21711
2016/02/13,21580
2016/02/14,21540
2016/02/15,20939
2016/02/16,20764
2016/02/17,20851
2016/02/18,20672
2016/02/19,20375
2016/02/20,19872
2016/02/21,19696
2016/02/22,19616
2016/02/23,21331
2016/02/24,26118
2016/02/25,26181
2016/02/26,51266
2016/02/27,56362
2016/02/28,55436
2016/02/29,55041
2016/03/01,54794
2016/03/02,79023
2016/03/03,82462
2016/03/04,81139
2016/03/05,96643
2016/03/06,94227
2016/03/07,89145
2016/03/08,90651
2016/03/09,89542
2016/03/10,89148
2016/03/11,89218
2016/03/12,90366
2016/03/13,97624
2016/03/14,98422
2016/03/15,96090
2016/03/16,92828
2016/03/17,91635
2016/03/18,87045
2016/03/19,87634
2016/03/20,86066
2016/03/21,86349
2016/03/22,83197
2016/03/23,83530
2016/03/24,85902
2016/03/25,91334
2016/03/26,96107
2016/03/27,84762
2016/03/28,85832
2016/03/29,83855
2016/03/30,81079
2016/03/31,81911
2016/04/01,69796
2016/04/02,70482
2016/04/03,74772
2016/04/04,59376
2016/04/05,59159
2016/04/06,58244
2016/04/07,51322
2016/04/08,52190
2016/04/09,52167
2016/04/10,51900
2016/04/11,48433
2016/04/12,32811
2016/04/13,25537
2016/04/14,23093
2016/04/15,21405
2016/04/16,18107
2016/04/17,9372
2016/04/18,9481
2016/04/19,9830
2016/04/20,9721
2016/04/21,10135
2016/04/22,10161
2016/04/23,10010
2016/04/24,10441
2016/04/25,10101
2016/04/26,8782
2016/04/27,8721
2016/04/28,6889
2016/04/29,5068
2016/04/30,7401
2016/05/01,8471
2016/05/02,10157
2016/05/03,10253
2016/05/04,10137
2016/05/05,10156
2016/05/06,12136
2016/05/07,12931
2016/05/08,12914
2016/05/09,14244
2016/05/10,15719
2016/05/11,22409
2016/05/12,29136
2016/05/13,102087
2016/05/14,131909
2016/05/15,129972
2016/05/16,127474
2016/05/17,125996
2016/05/18,124476
2016/05/19,126646
2016/05/20,126589
2016/05/21,123174
2016/05/22,122303
2016/05/23,120929
2016/05/24,116008
2016/05/25,112324
2016/05/26,111616
2016/05/27,108330
2016/05/28,105147
2016/05/29,102030
2016/05/30,103702
2016/05/31,104637
2016/06/01,106580
2016/06/02,109515
2016/06/03,110619
2016/06/04,112566
2016/06/05,116097
2016/06/06,119071
2016/06/07,119343
2016/06/08,122114
2016/06/09,125402
2016/06/10,124030
2016/06/11,123562
2016/06/12,60223
2016/06/13,31077
2016/06/14,31727
2016/06/15,31664
2016/06/16,34444
2016/06/17,50492
2016/06/18,58259
2016/06/19,54971
2016/06/20,56721
2016/06/21,55813
2016/06/22,56916
2016/06/23,57053
2016/06/24,57210
2016/06/25,56937
2016/06/26,57271
2016/06/27,58282
2016/06/28,57692
2016/06/29,57577
2016/06/30,59174
2016/07/01,59164
2016/07/02,59713
2016/07/03,60629
2016/07/04,58836
2016/07/05,65996
2016/07/06,64252
2016/07/07,64920
2016/07/08,63404
2016/07/09,63513
2016/07/10,64998
2016/07/11,64671
2016/07/12,65861
2016/07/13,66466
2016/07/14,66973
2016/07/15,84167
2016/07/16,83134
2016/07/17,67492
2016/07/18,59174
2016/07/19,203119
2016/07/20,475900
2016/07/21,475754
2016/07/22,478759
2016/07/23,481676
2016/07/24,663527
2016/07/25,760107
2016/07/26,1167020
2016/07/27,1297905
2016/07/28,1326734
2016/07/29,1317128
2016/07/30,1292510
2016/07/31,1271966
2016/08/01,1244425
2016/08/02,1242797
2016/08/03,1226226
2016/08/04,1228687
2016/08/05,1200462
2016/08/06,1187232
2016/08/07,1165247
2016/08/08,1141851
2016/08/09,1109618
2016/08/10,1069797
2016/08/11,1032889
2016/08/12,1012325
2016/08/13,991200
2016/08/14,1017087
2016/08/15,1007526
2016/08/16,1010639
2016/08/17,1029668
2016/08/18,1019482
2016/08/19,898912
2016/08/20,902248
2016/08/21,900724
2016/08/22,909230
2016/08/23,799669
2016/08/24,764098
2016/08/25,408223
2016/08/26,262494
2016/08/27,222341
2016/08/28,214273
2016/08/29,213160
2016/08/30,218368
2016/08/31,204758
2016/09/01,127730
2016/09/02,84019
2016/09/03,81387
2016/09/04,71085
2016/09/05,73195
2016/09/06,74924
2016/09/07,76673
2016/09/08,73296
2016/09/09,51373
2016/09/10,41737
2016/09/11,40293
2016/09/12,39157
2016/09/13,38931
2016/09/14,39842
2016/09/15,40587
2016/09/16,41000
2016/09/17,41325
2016/09/18,42353
2016/09/19,42217
2016/09/20,42505
2016/09/21,68236
2016/09/22,53561
2016/09/23,59106
2016/09/24,58362
2016/09/25,65204
2016/09/26,64483
2016/09/27,63675
2016/09/28,68022
2016/09/29,69078
2016/09/30,68566
2016/10/01,69807
2016/10/02,69861
2016/10/03,71606
2016/10/04,73459
2016/10/05,72549
2016/10/06,71694
2016/10/07,70992
2016/10/08,70810
2016/10/09,71239
2016/10/10,70944
2016/10/11,70789
2016/10/12,79408
2016/10/13,78204
2016/10/14,76465
2016/10/15,72146
2016/10/16,72110
2016/10/17,68887
2016/10/18,69625
2016/10/19,68959
2016/10/20,67118
2016/10/21,52706
2016/10/22,56007
2016/10/23,55981
2016/10/24,58850
2016/10/25,54312
2016/10/26,55398
2016/10/27,56105
2016/10/28,51641
2016/10/29,49196
2016/10/30,51230
2016/10/31,50184
2016/11/01,51676
2016/11/02,63437
2016/11/03,203955
2016/11/04,203173
2016/11/05,204310
2016/11/06,206487
2016/11/07,209575
2016/11/08,211692
2016/11/09,210592
2016/11/10,211032
2016/11/11,208170
2016/11/12,208787
2016/11/13,207131
2016/11/14,210724
2016/11/15,211898
2016/11/16,212207
2016/11/17,214241
2016/11/18,215169
2016/11/19,215043
2016/11/20,214736
2016/11/21,214958
2016/11/22,212278
2016/11/23,209550
2016/11/24,210250
2016/11/25,210141
2016/11/26,211399
