Date,activeaddresses30roc
2016/09/07,-2.761
2016/09/08,1.729
2016/09/09,-0.938
2016/09/10,-11.369
2016/09/11,5.019
2016/09/12,10.479
2016/09/13,6.391
2016/09/14,3.074
2016/09/15,-4.462
2016/09/16,8.704
2016/09/17,7.995
2016/09/18,-2.778
2016/09/19,1.718
2016/09/20,30.711
2016/09/21,8.905
2016/09/22,-17.544
2016/09/23,-6.611
2016/09/24,-12.654
2016/09/25,-8.988
2016/09/26,-10.895
2016/09/27,-10.192
2016/09/28,-10.259
2016/09/29,-6.817
2016/09/30,-15.273
2016/10/01,-12.334
2016/10/02,-5.665
2016/10/03,-6.767
2016/10/04,-24.704
2016/10/05,-20.957
2016/10/06,-22.999
2016/10/07,-0.023
2016/10/08,-18.429
2016/10/09,0.585
2016/10/10,6.078
2016/10/11,-12.559
2016/10/12,-45.98
2016/10/13,-57.715
2016/10/14,-21.043
2016/10/15,-40.823
2016/10/16,-30.733
2016/10/17,-19.017
2016/10/18,9.193
2016/10/19,-29.905
2016/10/20,-19.76
2016/10/21,19.574
2016/10/22,5.17
2016/10/23,-4.538
2016/10/24,1.276
2016/10/25,2.368
2016/10/26,4.255
2016/10/27,3.849
2016/10/28,-0.318
2016/10/29,-8.023
2016/10/30,-15.591
2016/10/31,7.282
2016/11/01,-3.532
2016/11/02,6.043
2016/11/03,24.114
2016/11/04,-17.157
2016/11/05,5.967
2016/11/06,-23.747
2016/11/07,-1.579
2016/11/08,-16.162
2016/11/09,-16.544
2016/11/10,-12.254
2016/11/11,56.813
2016/11/12,92.143
2016/11/13,11.845
2016/11/14,27.714
2016/11/15,15.088
2016/11/16,-7.083
2016/11/17,-24.802
2016/11/18,17.886
2016/11/19,-23.768
2016/11/20,-34.789
2016/11/21,-11.978
2016/11/22,50.363
2016/11/23,76.678
2016/11/24,-22.268
2016/11/25,28.588
2016/11/26,-25.948
2016/11/27,-20.426
2016/11/28,-7.456
2016/11/29,-4.717
2016/11/30,-23.52
2016/12/01,-25.677
2016/12/02,-17.832
2016/12/03,-10.081
2016/12/04,22.315
2016/12/05,-5.993
2016/12/06,24.978
2016/12/07,-17.056
2016/12/08,-11.13
2016/12/09,-7.636
2016/12/10,-4.342
2016/12/11,-12.123
2016/12/12,-2.197
2016/12/13,-17.524
2016/12/14,4.702
2016/12/15,1.264
2016/12/16,2.796
2016/12/17,-3.41
2016/12/18,-14.573
2016/12/19,7.821
2016/12/20,5.66
2016/12/21,4.016
2016/12/22,-18.307
2016/12/23,-48.676
2016/12/24,6.515
2016/12/25,-42.177
2016/12/26,0.596
2016/12/27,-1.672
2016/12/28,-4.001
2016/12/29,8.358
2016/12/30,-1.833
