Date,sentbyaddress14mom
2016/11/19,-814
2016/11/20,595
2016/11/21,-915
2016/11/22,13227
2016/11/23,21109
2016/11/24,-2192
2016/11/25,14140
2016/11/26,-2527
2016/11/27,-3359
2016/11/28,-172
2016/11/29,-1456
2016/11/30,-690
2016/12/01,-1080
2016/12/02,-693
2016/12/03,1817
2016/12/04,1614
2016/12/05,-296
2016/12/06,-12067
2016/12/07,-23459
2016/12/08,1554
2016/12/09,-14328
2016/12/10,1216
2016/12/11,1582
2016/12/12,289
2016/12/13,185
2016/12/14,1751
2016/12/15,3271
2016/12/16,406
2016/12/17,-1565
2016/12/18,-1937
2016/12/19,360
2016/12/20,-1211
2016/12/21,2235
2016/12/22,1949
2016/12/23,-847
2016/12/24,144
2016/12/25,-1298
2016/12/26,-1254
2016/12/27,56
2016/12/28,-1199
2016/12/29,-1462
2016/12/30,82
2016/12/31,860
2017/01/01,-930
2017/01/02,-356
2017/01/03,-23
2017/01/04,2050
2017/01/05,1478
2017/01/06,2657
2017/01/07,1586
2017/01/08,1524
2017/01/09,3508
2017/01/10,1225
2017/01/11,1444
2017/01/12,824
2017/01/13,710
2017/01/14,-658
2017/01/15,783
2017/01/16,1569
2017/01/17,-58
2017/01/18,-2938
2017/01/19,-1415
2017/01/20,-1070
2017/01/21,-438
2017/01/22,-59
2017/01/23,-1634
2017/01/24,136
2017/01/25,-1332
2017/01/26,-1076
2017/01/27,-679
2017/01/28,-124
2017/01/29,98
2017/01/30,-843
2017/01/31,-194
2017/02/01,424
2017/02/02,4
2017/02/03,-1116
2017/02/04,679
2017/02/05,1281
2017/02/06,780
2017/02/07,296
2017/02/08,1219
2017/02/09,689
2017/02/10,2160
2017/02/11,599
2017/02/12,1626
2017/02/13,2751
2017/02/14,2750
2017/02/15,2473
2017/02/16,1032
2017/02/17,1674
2017/02/18,1737
2017/02/19,-17
2017/02/20,1129
2017/02/21,1043
2017/02/22,679
2017/02/23,531
2017/02/24,588
2017/02/25,1672
2017/02/26,1173
2017/02/27,52
2017/02/28,2610
2017/03/01,3421
2017/03/02,11681
2017/03/03,6280
2017/03/04,3346
2017/03/05,4613
2017/03/06,3512
2017/03/07,2700
2017/03/08,3162
2017/03/09,5454
2017/03/10,5373
2017/03/11,4817
2017/03/12,6788
2017/03/13,11992
2017/03/14,5819
2017/03/15,5843
2017/03/16,7898
2017/03/17,12708
2017/03/18,9828
2017/03/19,6440
2017/03/20,6626
2017/03/21,8053
2017/03/22,6093
2017/03/23,4026
2017/03/24,7546
2017/03/25,6822
2017/03/26,1730
2017/03/27,-1428
2017/03/28,995
2017/03/29,641
2017/03/30,-4240
2017/03/31,2111
2017/04/01,-3448
2017/04/02,3097
2017/04/03,9242
2017/04/04,1918
2017/04/05,4627
2017/04/06,7880
2017/04/07,-3840
2017/04/08,-3997
2017/04/09,-2543
2017/04/10,-2358
2017/04/11,-1626
2017/04/12,-592
2017/04/13,-3526
2017/04/14,-11134
2017/04/15,-2038
2017/04/16,-7979
2017/04/17,-12940
2017/04/18,-2635
2017/04/19,-3275
2017/04/20,-5848
2017/04/21,-1518
2017/04/22,-564
2017/04/23,1282
2017/04/24,1303
2017/04/25,1100
2017/04/26,504
2017/04/27,8058
2017/04/28,6450
2017/04/29,4343
2017/04/30,9749
2017/05/01,11709
2017/05/02,8140
2017/05/03,3636
2017/05/04,9694
2017/05/05,12114
2017/05/06,8312
2017/05/07,11825
2017/05/08,15983
2017/05/09,12348
2017/05/10,8658
2017/05/11,2231
2017/05/12,2808
2017/05/13,1985
2017/05/14,1050
2017/05/15,3817
2017/05/16,4031
2017/05/17,15083
2017/05/18,7141
2017/05/19,18094
2017/05/20,10286
2017/05/21,8187
2017/05/22,9239
2017/05/23,16254
2017/05/24,21237
2017/05/25,17938
2017/05/26,18184
2017/05/27,14027
2017/05/28,11055
2017/05/29,9578
2017/05/30,18630
2017/05/31,28673
2017/06/01,24973
2017/06/02,830
2017/06/03,13283
2017/06/04,11222
2017/06/05,10168
2017/06/06,7086
2017/06/07,4047
2017/06/08,-515
2017/06/09,12996
2017/06/10,21088
2017/06/11,31669
2017/06/12,53021
2017/06/13,34861
2017/06/14,7893
2017/06/15,15235
2017/06/16,19470
2017/06/17,20802
2017/06/18,23355
2017/06/19,22212
2017/06/20,36468
2017/06/21,35482
2017/06/22,39970
2017/06/23,22318
2017/06/24,18085
2017/06/25,68
2017/06/26,7603
2017/06/27,-3460
2017/06/28,-75601
2017/06/29,-897
2017/06/30,6995
2017/07/01,2383
2017/07/02,-1790
2017/07/03,8879
2017/07/04,-5687
2017/07/05,-14533
2017/07/06,-16561
2017/07/07,8511
2017/07/08,-14450
2017/07/09,-8209
2017/07/10,-19595
2017/07/11,-2735
2017/07/12,76878
2017/07/13,-12527
2017/07/14,-12773
2017/07/15,-9078
2017/07/16,-9015
2017/07/17,-20529
2017/07/18,-14447
2017/07/19,-930
2017/07/20,-2707
2017/07/21,-29111
2017/07/22,-9933
