Date,activeaddresses14rsi
2016/01/01,54.121
2016/01/02,55.333
2016/01/03,56.643
2016/01/04,58.512
2016/01/05,58.289
2016/01/06,61.746
2016/01/07,65.696
2016/01/08,60.292
2016/01/09,58.7
2016/01/10,62.73
2016/01/11,66.675
2016/01/12,68.099
2016/01/13,59.504
2016/01/14,56.658
2016/01/15,64.019
2016/01/16,52.617
2016/01/17,50.018
2016/01/18,59.188
2016/01/19,54.696
2016/01/20,62.559
2016/01/21,53.76
2016/01/22,55.878
2016/01/23,61.192
2016/01/24,65.401
2016/01/25,68.511
2016/01/26,71.382
2016/01/27,63.892
2016/01/28,67.82
2016/01/29,65.08
2016/01/30,65.244
2016/01/31,66.509
2016/02/01,62.084
2016/02/02,61.178
2016/02/03,62.826
2016/02/04,58.055
2016/02/05,65.48
2016/02/06,52.888
2016/02/07,55.204
2016/02/08,59.915
2016/02/09,62.897
2016/02/10,71.852
2016/02/11,79.597
2016/02/12,65.467
2016/02/13,62.36
2016/02/14,56.42
2016/02/15,57.93
2016/02/16,57.946
2016/02/17,59.042
2016/02/18,56.973
2016/02/19,57.541
2016/02/20,53.705
2016/02/21,60.172
2016/02/22,59.861
2016/02/23,60.184
2016/02/24,59.425
2016/02/25,64.008
2016/02/26,56.44
2016/02/27,57.096
2016/02/28,60.842
2016/02/29,64.28
2016/03/01,68.74
2016/03/02,73.004
2016/03/03,75.504
2016/03/04,73.719
2016/03/05,79.413
2016/03/06,74.651
2016/03/07,57.585
2016/03/08,64.291
2016/03/09,61.902
2016/03/10,65.748
2016/03/11,60.524
2016/03/12,65.048
2016/03/13,63.797
2016/03/14,65.908
2016/03/15,64.653
2016/03/16,63.036
2016/03/17,64.311
2016/03/18,68.909
2016/03/19,59.318
2016/03/20,60.142
2016/03/21,59.568
2016/03/22,59.21
2016/03/23,63.002
2016/03/24,58.121
2016/03/25,59.468
2016/03/26,56.227
2016/03/27,61.43
2016/03/28,62.239
2016/03/29,68.808
2016/03/30,71.674
2016/03/31,58.779
2016/04/01,56.466
2016/04/02,55.015
2016/04/03,57.044
2016/04/04,60.385
2016/04/05,62.746
2016/04/06,56.574
2016/04/07,61.312
2016/04/08,52.53
