Date,confirmationtime90roc
2016/01/01,3.93
2016/01/02,-4.102
2016/01/03,-2.435
2016/01/04,-5.691
2016/01/05,-2.38
2016/01/06,1.218
2016/01/07,-1.526
2016/01/08,-5.41
2016/01/09,-0.51
2016/01/10,1.08
2016/01/11,0.02
2016/01/12,0.081
2016/01/13,-1.519
2016/01/14,-4.067
2016/01/15,-0.551
2016/01/16,-2.002
2016/01/17,-1.211
2016/01/18,-1.617
2016/01/19,0.362
2016/01/20,-4.029
2016/01/21,6.045
2016/01/22,3.275
2016/01/23,3.409
2016/01/24,-5.031
2016/01/25,6.945
2016/01/26,-3.591
2016/01/27,3.512
2016/01/28,3.42
2016/01/29,2.971
2016/01/30,2.81
2016/01/31,3.12
2016/02/01,1.396
2016/02/02,3.431
2016/02/03,-1.847
2016/02/04,1.58
2016/02/05,-2.457
2016/02/06,0.682
2016/02/07,-1.238
2016/02/08,-0.355
2016/02/09,-0.534
2016/02/10,2.379
2016/02/11,1.992
2016/02/12,1.868
2016/02/13,2.003
2016/02/14,0.982
2016/02/15,3.779
2016/02/16,0.995
2016/02/17,2.471
2016/02/18,-5.561
2016/02/19,0.04
2016/02/20,-0.04
2016/02/21,0.673
2016/02/22,-1.999
2016/02/23,-0.584
2016/02/24,-1.77
2016/02/25,0.897
2016/02/26,-0.93
2016/02/27,1.162
2016/02/28,1.014
2016/02/29,5.353
2016/03/01,-4.513
2016/03/02,2.34
2016/03/03,-0.12
2016/03/04,0.24
2016/03/05,-4.379
2016/03/06,1.304
2016/03/07,-2.288
2016/03/08,3.807
2016/03/09,3.107
2016/03/10,-2.579
2016/03/11,0.217
2016/03/12,5.116
2016/03/13,-3.606
2016/03/14,-0.744
2016/03/15,-16.675
2016/03/16,-16.017
2016/03/17,-17.461
2016/03/18,-15.498
2016/03/19,-18.662
2016/03/20,-17.438
2016/03/21,-14.431
2016/03/22,-15.796
2016/03/23,-16.003
2016/03/24,-16.735
2016/03/25,-17.507
2016/03/26,-17.67
2016/03/27,-15.961
2016/03/28,-16.969
2016/03/29,-16.339
2016/03/30,-16.653
2016/03/31,-18.867
2016/04/01,-16.214
2016/04/02,-13.511
2016/04/03,-15.559
2016/04/04,-15.774
2016/04/05,-15.631
2016/04/06,-17.039
2016/04/07,-13.052
2016/04/08,-16.437
2016/04/09,-14.158
2016/04/10,-15.796
2016/04/11,-16.961
2016/04/12,-16.841
2016/04/13,-15.378
2016/04/14,-15.562
2016/04/15,-16.719
