Date,mediantransactionvalue90emaUSD
2016/01/01,1.764
2016/01/02,1.755
2016/01/03,1.746
2016/01/04,1.735
2016/01/05,1.696
2016/01/06,1.659
2016/01/07,1.623
2016/01/08,1.611
2016/01/09,1.6
2016/01/10,1.593
2016/01/11,1.585
2016/01/12,1.583
2016/01/13,1.548
2016/01/14,1.542
2016/01/15,1.546
2016/01/16,1.547
2016/01/17,1.548
2016/01/18,1.548
2016/01/19,1.53
2016/01/20,1.546
2016/01/21,1.559
2016/01/22,1.559
2016/01/23,1.578
2016/01/24,1.604
2016/01/25,1.62
2016/01/26,1.645
2016/01/27,1.626
2016/01/28,1.645
2016/01/29,1.666
2016/01/30,1.692
2016/01/31,1.717
2016/02/01,1.734
2016/02/02,1.749
2016/02/03,1.773
2016/02/04,1.796
2016/02/05,1.817
2016/02/06,1.777
2016/02/07,1.807
2016/02/08,1.848
2016/02/09,1.9
2016/02/10,1.988
2016/02/11,2.064
2016/02/12,2.183
2016/02/13,2.259
2016/02/14,2.335
2016/02/15,2.419
2016/02/16,2.486
2016/02/17,2.527
2016/02/18,2.572
2016/02/19,2.624
2016/02/20,2.676
2016/02/21,2.731
2016/02/22,2.797
2016/02/23,2.877
2016/02/24,2.955
2016/02/25,3.042
2016/02/26,3.114
2016/02/27,3.196
2016/02/28,3.289
2016/02/29,3.377
2016/03/01,3.475
2016/03/02,3.595
2016/03/03,3.744
2016/03/04,3.885
2016/03/05,4.103
2016/03/06,4.275
2016/03/07,4.432
2016/03/08,4.564
2016/03/09,4.713
2016/03/10,4.918
2016/03/11,5.064
2016/03/12,5.273
2016/03/13,5.495
2016/03/14,5.705
2016/03/15,5.883
2016/03/16,6.073
2016/03/17,6.215
2016/03/18,6.323
2016/03/19,6.419
2016/03/20,6.509
2016/03/21,6.616
2016/03/22,6.733
2016/03/23,6.855
2016/03/24,6.956
2016/03/25,7.037
2016/03/26,7.121
2016/03/27,7.21
2016/03/28,7.304
2016/03/29,7.405
2016/03/30,7.509
2016/03/31,7.611
2016/04/01,7.704
2016/04/02,7.795
2016/04/03,7.885
2016/04/04,7.965
2016/04/05,8.025
2016/04/06,8.088
2016/04/07,8.143
2016/04/08,8.184
2016/04/09,8.22
2016/04/10,8.235
2016/04/11,8.245
2016/04/12,8.239
2016/04/13,8.229
2016/04/14,8.234
2016/04/15,8.237
2016/04/16,8.242
2016/04/17,8.232
2016/04/18,8.253
2016/04/19,8.274
2016/04/20,8.284
2016/04/21,8.288
2016/04/22,8.285
2016/04/23,8.282
2016/04/24,8.282
2016/04/25,8.273
2016/04/26,8.255
2016/04/27,8.244
2016/04/28,8.229
2016/04/29,8.214
2016/04/30,8.215
2016/05/01,8.228
2016/05/02,8.261
2016/05/03,8.294
2016/05/04,8.324
2016/05/05,8.352
2016/05/06,8.382
2016/05/07,8.405
2016/05/08,8.426
2016/05/09,8.449
2016/05/10,8.47
2016/05/11,8.498
2016/05/12,8.536
2016/05/13,8.587
