Date,mediantransactionvalue3rsiUSD
2016/01/01,71.609
2016/01/02,61.862
2016/01/03,60.132
2016/01/04,53.596
2016/01/05,15.474
2016/01/06,15.474
2016/01/07,15.474
2016/01/08,72.841
2016/01/09,73.048
2016/01/10,78.503
2016/01/11,71.664
2016/01/12,82.743
2016/01/13,20.025
2016/01/14,59.106
2016/01/15,67.745
2016/01/16,62.459
2016/01/17,62.605
2016/01/18,55.546
2016/01/19,22.245
2016/01/20,72.102
2016/01/21,64.099
2016/01/22,44.806
2016/01/23,68.218
2016/01/24,74.84
2016/01/25,52.67
2016/01/26,66.283
2016/01/27,22.636
2016/01/28,58.344
2016/01/29,60.466
2016/01/30,65.411
2016/01/31,63.587
2016/02/01,46.001
2016/02/02,42.711
2016/02/03,67.053
2016/02/04,64.014
2016/02/05,53.298
2016/02/06,6.602
2016/02/07,62.816
2016/02/08,68.01
2016/02/09,72.762
2016/02/10,85.161
2016/02/11,71.133
2016/02/12,85.662
2016/02/13,50.993
2016/02/14,52.057
2016/02/15,60.671
2016/02/16,43.359
2016/02/17,25.155
2016/02/18,34.829
2016/02/19,47.618
2016/02/20,50.48
2016/02/21,59.409
2016/02/22,77.718
2016/02/23,87.938
2016/02/24,86.072
2016/02/25,92.181
2016/02/26,52.717
2016/02/27,69.303
2016/02/28,80.943
2016/02/29,71.334
2016/03/01,82.857
2016/03/02,92.533
2016/03/03,96.368
2016/03/04,85.581
2016/03/05,96.067
2016/03/06,61.33
2016/03/07,53.829
2016/03/08,39.371
2016/03/09,55.639
2016/03/10,79.937
2016/03/11,45.623
2016/03/12,69.669
2016/03/13,73.874
2016/03/14,69.156
2016/03/15,45.522
2016/03/16,57.49
2016/03/17,30.433
2016/03/18,19.987
2016/03/19,17.288
2016/03/20,15.925
2016/03/21,46.616
2016/03/22,59.903
2016/03/23,66.934
2016/03/24,39.777
2016/03/25,25.032
2016/03/26,32.218
2016/03/27,49.955
2016/03/28,61.67
2016/03/29,75.359
2016/03/30,80.518
2016/03/31,80.122
2016/04/01,50.524
2016/04/02,46.57
2016/04/03,54.961
2016/04/04,24.372
2016/04/05,8.452
2016/04/06,23.769
2016/04/07,16.691
2016/04/08,8.489
2016/04/09,7.239
2016/04/10,2.878
2016/04/11,2.463
2016/04/12,1.322
2016/04/13,1.138
2016/04/14,45.899
2016/04/15,41.527
2016/04/16,48.636
2016/04/17,21.557
2016/04/18,71.514
2016/04/19,69.327
2016/04/20,48.614
2016/04/21,38.502
2016/04/22,28.239
2016/04/23,27.91
2016/04/24,41.138
2016/04/25,21.4
2016/04/26,11.899
2016/04/27,39.762
2016/04/28,29.763
2016/04/29,29.288
2016/04/30,76.146
2016/05/01,85.909
2016/05/02,93.234
2016/05/03,93.68
2016/05/04,77.884
2016/05/05,77.076
2016/05/06,80.213
2016/05/07,48.456
2016/05/08,37.126
2016/05/09,56.044
2016/05/10,45.282
2016/05/11,75.043
2016/05/12,88.847
2016/05/13,94.814
2016/05/14,60.914
2016/05/15,47.288
2016/05/16,66.654
2016/05/17,87.521
2016/05/18,93.451
2016/05/19,95.609
2016/05/20,96.565
2016/05/21,60.958
2016/05/22,70.142
2016/05/23,74.288
2016/05/24,36.476
2016/05/25,23.359
2016/05/26,4.748
2016/05/27,52.425
2016/05/28,20.308
2016/05/29,47.951
2016/05/30,64.462
2016/05/31,66.667
2016/06/01,69.338
2016/06/02,68.722
2016/06/03,65.822
2016/06/04,26.542
2016/06/05,61.561
2016/06/06,62.31
2016/06/07,23
2016/06/08,62.148
2016/06/09,61.596
2016/06/10,52.628
2016/06/11,57.38
2016/06/12,34.03
2016/06/13,70.957
2016/06/14,72.382
2016/06/15,79.019
2016/06/16,83.995
2016/06/17,16.086
2016/06/18,31.719
2016/06/19,42.399
2016/06/20,35.814
2016/06/21,60.029
2016/06/22,70.291
2016/06/23,58.413
2016/06/24,25.735
2016/06/25,62.951
2016/06/26,37.856
2016/06/27,60.36
2016/06/28,56.416
2016/06/29,25.871
2016/06/30,20.894
2016/07/01,63.517
2016/07/02,62.905
2016/07/03,61.972
2016/07/04,58.841
2016/07/05,47.131
2016/07/06,48.835
2016/07/07,40.148
2016/07/08,20.807
2016/07/09,60.843
2016/07/10,61.231
2016/07/11,54.423
2016/07/12,40.978
2016/07/13,54.586
2016/07/14,14.347
2016/07/15,66.105
2016/07/16,35.948
2016/07/17,59.968
2016/07/18,60.131
2016/07/19,62.449
2016/07/20,17.81
2016/07/21,55.478
2016/07/22,67.308
2016/07/23,67.647
2016/07/24,67.52
2016/07/25,64.895
2016/07/26,58.215
2016/07/27,47.376
2016/07/28,52.285
2016/07/29,22.006
2016/07/30,38.108
2016/07/31,55.379
2016/08/01,40.741
2016/08/02,22.137
2016/08/03,4.806
2016/08/04,57.526
2016/08/05,58.601
2016/08/06,56.23
2016/08/07,58.357
2016/08/08,59.189
2016/08/09,70.497
2016/08/10,49.379
2016/08/11,26.183
2016/08/12,11.829
2016/08/13,24.36
2016/08/14,71.784
2016/08/15,49.519
2016/08/16,22.206
2016/08/17,32.615
2016/08/18,30.906
2016/08/19,53.243
2016/08/20,66.556
2016/08/21,62.674
2016/08/22,42.321
2016/08/23,25.648
2016/08/24,19.218
2016/08/25,13.567
2016/08/26,30.505
2016/08/27,40.139
2016/08/28,88.594
2016/08/29,36.645
2016/08/30,43.873
2016/08/31,65.123
2016/09/01,80.14
2016/09/02,32.648
2016/09/03,56.608
2016/09/04,44.581
2016/09/05,64.097
2016/09/06,38.714
2016/09/07,32.698
2016/09/08,35.444
2016/09/09,34.998
2016/09/10,73.561
2016/09/11,82.832
2016/09/12,49.609
2016/09/13,68.773
2016/09/14,32.084
2016/09/15,31.402
2016/09/16,33.874
2016/09/17,60.744
2016/09/18,75.138
2016/09/19,82.862
2016/09/20,84.749
2016/09/21,85.176
2016/09/22,18.101
2016/09/23,61.652
2016/09/24,60.233
2016/09/25,60.654
2016/09/26,58.506
2016/09/27,59.868
2016/09/28,62.581
2016/09/29,63.083
2016/09/30,63.123
2016/10/01,7.002
2016/10/02,59.78
2016/10/03,60.084
2016/10/04,19.209
2016/10/05,54.379
2016/10/06,44.328
2016/10/07,62.676
2016/10/08,60.596
2016/10/09,60.819
2016/10/10,56.226
2016/10/11,57.265
2016/10/12,32.202
2016/10/13,9.074
2016/10/14,61.326
2016/10/15,62.354
2016/10/16,61.051
2016/10/17,59.624
2016/10/18,27.911
2016/10/19,60.598
2016/10/20,60.417
2016/10/21,20.704
2016/10/22,60.046
2016/10/23,59.623
2016/10/24,30.041
2016/10/25,49.142
2016/10/26,62.348
2016/10/27,61.665
2016/10/28,60.155
2016/10/29,52.387
2016/10/30,51.98
2016/10/31,61.436
2016/11/01,14.664
2016/11/02,32.657
2016/11/03,65.899
2016/11/04,66.611
2016/11/05,66.924
2016/11/06,65.726
2016/11/07,61.107
2016/11/08,59.477
2016/11/09,47.139
2016/11/10,42.304
2016/11/11,31.897
2016/11/12,19.76
2016/11/13,18.051
2016/11/14,15.319
2016/11/15,18.139
2016/11/16,52.261
2016/11/17,28.456
2016/11/18,13.6
2016/11/19,11.726
2016/11/20,9.981
2016/11/21,9.837
2016/11/22,0.195
2016/11/23,0.153
2016/11/24,67.081
2016/11/25,32.442
2016/11/26,57.895
2016/11/27,43.881
2016/11/28,45.7
2016/11/29,48.591
2016/11/30,58.331
2016/12/01,75.06
2016/12/02,68.466
2016/12/03,67.077
2016/12/04,44.663
2016/12/05,55.545
2016/12/06,46.686
2016/12/07,65.52
2016/12/08,75.895
2016/12/09,70.688
2016/12/10,66.389
2016/12/11,58.966
2016/12/12,67.052
2016/12/13,7.942
2016/12/14,5.775
2016/12/15,31.834
2016/12/16,36.043
2016/12/17,76.752
2016/12/18,78.1
2016/12/19,28.859
2016/12/20,45.808
2016/12/21,30.707
2016/12/22,20.437
2016/12/23,68.603
2016/12/24,69.045
2016/12/25,68.322
2016/12/26,68.574
2016/12/27,30.814
2016/12/28,28.845
2016/12/29,73.639
2016/12/30,36.528
2016/12/31,63.454
2017/01/01,65
2017/01/02,64.07
2017/01/03,33.162
2017/01/04,72.185
2017/01/05,72.363
2017/01/06,64.075
2017/01/07,58.963
2017/01/08,62.789
2017/01/09,71.545
2017/01/10,16.474
2017/01/11,59.204
2017/01/12,28.622
2017/01/13,23.29
2017/01/14,62.575
2017/01/15,40.246
2017/01/16,62.758
2017/01/17,45.228
2017/01/18,63.268
2017/01/19,63.575
2017/01/20,65.224
2017/01/21,67.211
2017/01/22,21.688
2017/01/23,41.552
2017/01/24,23.863
2017/01/25,41.215
2017/01/26,41.827
2017/01/27,48.251
2017/01/28,40.585
2017/01/29,80.605
2017/01/30,42.033
2017/01/31,71.042
2017/02/01,43.383
2017/02/02,64.449
2017/02/03,64.904
2017/02/04,67.956
2017/02/05,45.806
2017/02/06,51.096
2017/02/07,18.424
2017/02/08,24.605
2017/02/09,60.512
2017/02/10,43.419
2017/02/11,44.253
2017/02/12,75.398
2017/02/13,35.701
2017/02/14,50.207
2017/02/15,67.812
2017/02/16,77.118
2017/02/17,59.86
2017/02/18,69.921
2017/02/19,53.311
2017/02/20,30.114
2017/02/21,14.057
2017/02/22,40.125
2017/02/23,71.292
2017/02/24,61.482
2017/02/25,37.79
2017/02/26,67.17
2017/02/27,70.927
2017/02/28,74.997
2017/03/01,76.012
2017/03/02,85.412
2017/03/03,89.966
2017/03/04,81.803
2017/03/05,66.931
2017/03/06,74.862
2017/03/07,11.961
2017/03/08,57.283
2017/03/09,31.78
2017/03/10,59.545
2017/03/11,63.545
2017/03/12,70.453
2017/03/13,80.994
2017/03/14,83.127
