Date,price3rocUSD
2016/01/01,12.383
2016/01/02,7.438
2016/01/03,2.734
2016/01/04,1.316
2016/01/05,0.955
2016/01/06,-0.646
2016/01/07,2.313
2016/01/08,1.596
2016/01/09,9.04
2016/01/10,8.932
2016/01/11,6.424
2016/01/12,10.688
2016/01/13,4.249
2016/01/14,8.11
2016/01/15,5.529
2016/01/16,9.884
2016/01/17,8.381
2016/01/18,14.538
2016/01/19,10.588
2016/01/20,18.596
2016/01/21,7.371
2016/01/22,10.656
2016/01/23,18.88
2016/01/24,40.389
2016/01/25,51.389
2016/01/26,48.285
2016/01/27,12.091
2016/01/28,8.243
2016/01/29,-2.912
2016/01/30,4.978
2016/01/31,-4.098
2016/02/01,-11.378
2016/02/02,-11.264
2016/02/03,1.712
2016/02/04,14.071
2016/02/05,12.872
2016/02/06,3.332
2016/02/07,6.306
2016/02/08,22.977
2016/02/09,39.223
2016/02/10,61.887
2016/02/11,58.969
2016/02/12,69.143
2016/02/13,14.378
2016/02/14,-0.804
2016/02/15,-7.44
2016/02/16,-2.499
2016/02/17,-16.321
2016/02/18,-26.231
2016/02/19,-7.553
2016/02/20,8.363
2016/02/21,9.82
2016/02/22,14.334
2016/02/23,27.957
2016/02/24,31.197
2016/02/25,22.013
2016/02/26,5.385
2016/02/27,7.05
2016/02/28,2.715
2016/02/29,7.223
2016/03/01,8.454
2016/03/02,23.846
2016/03/03,44.015
2016/03/04,37.198
2016/03/05,39.563
2016/03/06,20.159
2016/03/07,11.582
2016/03/08,-13.827
2016/03/09,-4.882
2016/03/10,12.608
2016/03/11,15.606
2016/03/12,22.136
2016/03/13,23.152
2016/03/14,21.261
2016/03/15,-1.546
2016/03/16,-7.631
2016/03/17,-13.781
2016/03/18,-19.668
2016/03/19,-20.136
2016/03/20,-11.831
2016/03/21,7.533
2016/03/22,9.797
2016/03/23,15.813
2016/03/24,3.791
2016/03/25,-7.077
2016/03/26,-8.534
2016/03/27,-6.226
2016/03/28,3.781
2016/03/29,6.645
2016/03/30,10.44
2016/03/31,5.043
2016/04/01,0.449
2016/04/02,-2.903
2016/04/03,-2.236
2016/04/04,-2.876
2016/04/05,-6.467
2016/04/06,-7.866
2016/04/07,-7.917
2016/04/08,-7.833
2016/04/09,-9.252
2016/04/10,-16.954
2016/04/11,-14.135
2016/04/12,-18.074
2016/04/13,-9.659
2016/04/14,-1.235
2016/04/15,5.709
2016/04/16,6.289
2016/04/17,10.392
2016/04/18,8.9
2016/04/19,9.141
2016/04/20,-7.149
2016/04/21,-6.622
2016/04/22,-11.544
2016/04/23,-6.783
2016/04/24,-3.352
2016/04/25,-2.493
2016/04/26,-8.595
2016/04/27,-7.064
2016/04/28,-4.789
2016/04/29,1.961
2016/04/30,8.667
2016/05/01,17.393
2016/05/02,28.38
2016/05/03,16.584
2016/05/04,9.534
2016/05/05,-0.242
2016/05/06,0.53
2016/05/07,-2.316
2016/05/08,-2.792
2016/05/09,-2.585
2016/05/10,0.068
2016/05/11,4.288
2016/05/12,7.404
2016/05/13,13.3
2016/05/14,5.258
2016/05/15,0.067
2016/05/16,-0.71
2016/05/17,14.99
2016/05/18,28.046
2016/05/19,32.696
2016/05/20,22.315
2016/05/21,4.947
2016/05/22,0.911
2016/05/23,-1.938
2016/05/24,-4.525
2016/05/25,-11.729
2016/05/26,-11.548
2016/05/27,-13.026
2016/05/28,-8.564
2016/05/29,-3.026
2016/05/30,10.034
2016/05/31,16.968
2016/06/01,15.131
2016/06/02,11.052
2016/06/03,2.817
2016/06/04,-1.837
2016/06/05,-0.681
2016/06/06,1.485
2016/06/07,2.95
2016/06/08,5.418
2016/06/09,3.85
2016/06/10,0.156
2016/06/11,-4.609
2016/06/12,2.108
2016/06/13,18.065
2016/06/14,31.577
2016/06/15,24.831
2016/06/16,17.32
2016/06/17,-4.603
2016/06/18,-29.761
2016/06/19,-37.446
2016/06/20,-32.378
2016/06/21,-7.054
2016/06/22,16.52
2016/06/23,10.989
2016/06/24,15.812
2016/06/25,-0.14
2016/06/26,7.041
2016/06/27,0.051
2016/06/28,-7.62
2016/06/29,-12.713
2016/06/30,-10.289
2016/07/01,-7.33
2016/07/02,-1.304
2016/07/03,-4.615
2016/07/04,-4.873
2016/07/05,-12.78
2016/07/06,-10.863
2016/07/07,-12.952
2016/07/08,-0.275
2016/07/09,3.553
2016/07/10,8.083
2016/07/11,1.187
2016/07/12,-3.964
2016/07/13,-3.908
2016/07/14,4.749
2016/07/15,13.103
2016/07/16,12.665
2016/07/17,1.933
2016/07/18,-4.746
2016/07/19,-4.132
2016/07/20,7.243
2016/07/21,9.414
2016/07/22,19.549
2016/07/23,19.316
2016/07/24,7.898
2016/07/25,-1.13
2016/07/26,-11.008
2016/07/27,-5.506
2016/07/28,-4.456
2016/07/29,-1.17
2016/07/30,0.089
2016/07/31,-4.461
2016/08/01,-8.716
2016/08/02,-19.391
2016/08/03,-21.121
2016/08/04,-7.516
2016/08/05,7.267
2016/08/06,11.562
2016/08/07,1.843
2016/08/08,0.173
2016/08/09,9.066
2016/08/10,11.664
2016/08/11,8.137
2016/08/12,1.183
2016/08/13,-4.179
2016/08/14,-3.317
2016/08/15,-5.393
2016/08/16,-4.527
2016/08/17,-4.139
2016/08/18,-2.657
2016/08/19,-3.524
2016/08/20,1.022
2016/08/21,1.967
2016/08/22,4.213
2016/08/23,-0.222
2016/08/24,-0.315
2016/08/25,-0.177
2016/08/26,2.191
2016/08/27,1.539
2016/08/28,-1.207
2016/08/29,-3.043
2016/08/30,-0.91
2016/08/31,2.694
2016/09/01,10.943
2016/09/02,8.49
2016/09/03,4.97
2016/09/04,-4.06
2016/09/05,-3.036
2016/09/06,-2.794
2016/09/07,-0.681
2016/09/08,-2.055
2016/09/09,-0.3
2016/09/10,0.751
2016/09/11,3.723
2016/09/12,2.11
2016/09/13,2.744
2016/09/14,0.442
2016/09/15,1.956
2016/09/16,1.77
2016/09/17,5.726
2016/09/18,6.39
2016/09/19,5.557
