Date,confirmationtime30rsi
2016/01/01,52.869
2016/01/02,49.239
2016/01/03,48.628
2016/01/04,49.262
2016/01/05,48.77
2016/01/06,49.398
2016/01/07,51.323
2016/01/08,48
2016/01/09,49.31
2016/01/10,49.414
2016/01/11,49.17
2016/01/12,52.349
2016/01/13,50.979
2016/01/14,49.396
2016/01/15,49.505
2016/01/16,50.213
2016/01/17,50.404
2016/01/18,49.697
2016/01/19,51.668
2016/01/20,50.313
2016/01/21,51.802
2016/01/22,50.871
2016/01/23,52.469
2016/01/24,47.742
2016/01/25,53.027
2016/01/26,48.246
2016/01/27,51.036
2016/01/28,49.765
2016/01/29,51.059
2016/01/30,50.434
2016/01/31,52.893
2016/02/01,50.344
2016/02/02,51.344
2016/02/03,47.463
2016/02/04,49.628
2016/02/05,49.885
2016/02/06,50.856
2016/02/07,49.198
2016/02/08,49.466
2016/02/09,49.742
2016/02/10,51.393
2016/02/11,50.33
2016/02/12,50.075
2016/02/13,48.992
2016/02/14,50.895
2016/02/15,51.176
2016/02/16,50.193
2016/02/17,53.383
2016/02/18,50.538
2016/02/19,49.902
2016/02/20,49.564
2016/02/21,49.487
2016/02/22,48.564
2016/02/23,51.237
2016/02/24,50.016
2016/02/25,48.118
2016/02/26,49.57
2016/02/27,50.832
2016/02/28,50.067
2016/02/29,54.236
2016/03/01,49.511
2016/03/02,48.898
2016/03/03,50.256
2016/03/04,50.64
2016/03/05,47.951
2016/03/06,52.234
2016/03/07,49.993
2016/03/08,50.157
2016/03/09,50.68
2016/03/10,47.033
2016/03/11,49.382
2016/03/12,50.14
2016/03/13,47.358
2016/03/14,48.743
2016/03/15,38.576
2016/03/16,38.207
2016/03/17,37.751
2016/03/18,39.342
2016/03/19,38.329
2016/03/20,39.065
2016/03/21,39.519
2016/03/22,38.825
2016/03/23,40.199
2016/03/24,39.018
2016/03/25,39.517
2016/03/26,39.241
2016/03/27,39.975
2016/03/28,40.697
2016/03/29,40.578
2016/03/30,40.173
2016/03/31,40.603
2016/04/01,39.922
2016/04/02,42.374
2016/04/03,41.178
2016/04/04,40.582
2016/04/05,41.492
2016/04/06,42.002
2016/04/07,42.918
2016/04/08,40.992
2016/04/09,43.953
2016/04/10,42.23
2016/04/11,44.415
2016/04/12,43.372
2016/04/13,43.372
2016/04/14,43.29
2016/04/15,42.761
2016/04/16,43.513
2016/04/17,43.59
2016/04/18,42.986
2016/04/19,44.703
2016/04/20,43.428
2016/04/21,44.634
2016/04/22,43.969
2016/04/23,43.644
2016/04/24,45.124
2016/04/25,43.085
2016/04/26,46.208
2016/04/27,44.373
2016/04/28,45.021
2016/04/29,45.021
2016/04/30,44.535
2016/05/01,47.025
2016/05/02,44.571
2016/05/03,45.119
2016/05/04,46.696
2016/05/05,45.648
2016/05/06,45.975
2016/05/07,46.735
2016/05/08,45.514
2016/05/09,45.676
2016/05/10,46.432
2016/05/11,48.742
2016/05/12,45.006
2016/05/13,45.799
2016/05/14,48.194
2016/05/15,47.029
2016/05/16,48.255
2016/05/17,46.031
2016/05/18,46.214
2016/05/19,47.427
2016/05/20,46.878
2016/05/21,48.221
2016/05/22,46.024
2016/05/23,47.713
2016/05/24,47.786
2016/05/25,47.358
2016/05/26,47.613
2016/05/27,47.002
2016/05/28,47.696
2016/05/29,48.186
2016/05/30,48.03
2016/05/31,50.024
2016/06/01,47.314
2016/06/02,46.498
2016/06/03,47.716
2016/06/04,48.089
2016/06/05,49.621
2016/06/06,45.849
2016/06/07,49.092
2016/06/08,46.613
2016/06/09,46.589
2016/06/10,51.582
2016/06/11,46.575
2016/06/12,47.755
2016/06/13,47.333
2016/06/14,48.551
2016/06/15,49.253
2016/06/16,49.055
2016/06/17,53.213
2016/06/18,52.129
2016/06/19,44.753
2016/06/20,50.619
2016/06/21,49.585
2016/06/22,46.894
2016/06/23,49.639
2016/06/24,48.877
2016/06/25,49.777
2016/06/26,48.691
2016/06/27,48.691
2016/06/28,48.381
2016/06/29,50.065
2016/06/30,50.2
2016/07/01,47.158
2016/07/02,49.892
2016/07/03,48.992
2016/07/04,48.523
2016/07/05,51.161
2016/07/06,48.163
2016/07/07,49.297
2016/07/08,50.177
2016/07/09,47.448
2016/07/10,49.192
2016/07/11,49.566
2016/07/12,50.084
2016/07/13,48.317
2016/07/14,50.248
2016/07/15,50.545
2016/07/16,48.432
2016/07/17,49.642
2016/07/18,47.863
2016/07/19,51.046
2016/07/20,51.589
2016/07/21,47.055
2016/07/22,51.245
2016/07/23,48.477
2016/07/24,51.59
2016/07/25,49.718
2016/07/26,53.919
2016/07/27,47.307
2016/07/28,48.898
2016/07/29,50.625
2016/07/30,50.59
2016/07/31,49.737
2016/08/01,50.953
2016/08/02,52.16
2016/08/03,50.442
2016/08/04,46.924
2016/08/05,49.135
2016/08/06,50.644
2016/08/07,48.938
2016/08/08,49.255
2016/08/09,48.048
2016/08/10,49.422
2016/08/11,49.171
2016/08/12,50.185
2016/08/13,49.84
2016/08/14,49.801
2016/08/15,48.702
2016/08/16,49.442
2016/08/17,50.379
2016/08/18,48.512
2016/08/19,50.311
2016/08/20,49.452
2016/08/21,48.849
2016/08/22,48.982
2016/08/23,50.395
2016/08/24,49.535
2016/08/25,48.622
2016/08/26,50.658
2016/08/27,49.053
2016/08/28,50.008
2016/08/29,50.505
2016/08/30,50.21
2016/08/31,49.059
2016/09/01,51.142
2016/09/02,48.719
2016/09/03,52.042
2016/09/04,50.23
2016/09/05,48.993
2016/09/06,50.959
2016/09/07,48.09
2016/09/08,50.437
2016/09/09,49.121
