Date,sentbyaddress90mom
2016/01/01,646
2016/01/02,747
2016/01/03,747
2016/01/04,722
2016/01/05,750
2016/01/06,812
2016/01/07,860
2016/01/08,853
2016/01/09,844
2016/01/10,1010
2016/01/11,1027
2016/01/12,1042
2016/01/13,896
2016/01/14,845
2016/01/15,1101
2016/01/16,727
2016/01/17,591
2016/01/18,828
2016/01/19,674
2016/01/20,1187
2016/01/21,588
2016/01/22,730
2016/01/23,960
2016/01/24,1125
2016/01/25,1076
2016/01/26,1183
2016/01/27,811
2016/01/28,775
2016/01/29,799
2016/01/30,835
2016/01/31,768
2016/02/01,814
2016/02/02,770
2016/02/03,739
2016/02/04,750
2016/02/05,870
2016/02/06,761
2016/02/07,800
2016/02/08,1048
2016/02/09,1219
2016/02/10,2050
2016/02/11,2196
2016/02/12,2064
2016/02/13,1852
2016/02/14,1381
2016/02/15,1459
2016/02/16,1445
2016/02/17,1418
2016/02/18,1658
2016/02/19,1556
2016/02/20,1499
2016/02/21,2329
2016/02/22,1907
2016/02/23,1864
2016/02/24,1746
2016/02/25,2253
2016/02/26,1946
2016/02/27,1990
2016/02/28,2401
2016/02/29,3033
2016/03/01,3384
2016/03/02,3494
2016/03/03,3853
2016/03/04,3852
2016/03/05,4444
2016/03/06,4071
2016/03/07,3370
2016/03/08,4265
2016/03/09,3844
2016/03/10,4325
2016/03/11,3674
2016/03/12,3826
2016/03/13,3522
2016/03/14,3557
2016/03/15,3368
2016/03/16,2878
2016/03/17,3535
2016/03/18,3827
2016/03/19,2946
2016/03/20,3001
2016/03/21,3510
2016/03/22,3004
2016/03/23,3099
2016/03/24,3011
2016/03/25,2776
2016/03/26,2649
2016/03/27,3060
2016/03/28,3215
2016/03/29,4556
2016/03/30,4407
2016/03/31,3320
2016/04/01,2988
2016/04/02,2736
2016/04/03,2686
2016/04/04,3303
2016/04/05,3300
2016/04/06,3211
2016/04/07,3162
2016/04/08,2966
2016/04/09,3102
2016/04/10,3523
2016/04/11,2781
2016/04/12,3271
2016/04/13,3685
2016/04/14,3058
2016/04/15,3058
2016/04/16,3081
2016/04/17,3427
2016/04/18,3490
2016/04/19,2869
2016/04/20,3479
2016/04/21,3376
2016/04/22,3206
2016/04/23,2794
2016/04/24,2828
2016/04/25,2946
2016/04/26,3321
2016/04/27,3266
2016/04/28,3106
2016/04/29,5580
2016/04/30,6008
2016/05/01,4940
2016/05/02,6029
