Date,price90smaUSD
2016/09/10,12.075
2016/09/11,12.023
2016/09/12,11.952
2016/09/13,11.882
2016/09/14,11.798
2016/09/15,11.739
2016/09/16,11.732
2016/09/17,11.737
2016/09/18,11.749
2016/09/19,11.759
2016/09/20,11.753
2016/09/21,11.762
2016/09/22,11.754
2016/09/23,11.745
2016/09/24,11.735
2016/09/25,11.725
2016/09/26,11.723
2016/09/27,11.733
2016/09/28,11.742
2016/09/29,11.753
2016/09/30,11.766
2016/10/01,11.78
2016/10/02,11.798
2016/10/03,11.829
2016/10/04,11.861
2016/10/05,11.896
2016/10/06,11.923
2016/10/07,11.942
2016/10/08,11.958
2016/10/09,11.976
2016/10/10,11.991
2016/10/11,12.007
2016/10/12,12.016
2016/10/13,12.016
2016/10/14,12.018
2016/10/15,12.025
2016/10/16,12.032
2016/10/17,12.039
2016/10/18,12.043
2016/10/19,12.041
2016/10/20,12.026
2016/10/21,11.999
2016/10/22,11.985
2016/10/23,11.97
2016/10/24,11.96
2016/10/25,11.948
2016/10/26,11.934
2016/10/27,11.92
2016/10/28,11.904
2016/10/29,11.888
2016/10/30,11.877
2016/10/31,11.888
2016/11/01,11.9
2016/11/02,11.902
2016/11/03,11.901
2016/11/04,11.904
2016/11/05,11.906
2016/11/06,11.906
2016/11/07,11.897
2016/11/08,11.882
2016/11/09,11.868
2016/11/10,11.854
2016/11/11,11.84
2016/11/12,11.825
2016/11/13,11.813
2016/11/14,11.8
2016/11/15,11.79
2016/11/16,11.782
2016/11/17,11.773
2016/11/18,11.758
2016/11/19,11.741
2016/11/20,11.723
2016/11/21,11.706
2016/11/22,11.693
2016/11/23,11.678
2016/11/24,11.658
2016/11/25,11.637
2016/11/26,11.618
2016/11/27,11.597
2016/11/28,11.571
2016/11/29,11.537
2016/11/30,11.495
2016/12/01,11.454
2016/12/02,11.411
2016/12/03,11.368
2016/12/04,11.323
2016/12/05,11.275
2016/12/06,11.222
2016/12/07,11.181
2016/12/08,11.147
2016/12/09,11.11
2016/12/10,11.07
2016/12/11,11.03
2016/12/12,10.989
2016/12/13,10.949
2016/12/14,10.909
2016/12/15,10.861
2016/12/16,10.808
2016/12/17,10.751
2016/12/18,10.694
2016/12/19,10.628
2016/12/20,10.559
2016/12/21,10.499
2016/12/22,10.436
2016/12/23,10.372
2016/12/24,10.309
2016/12/25,10.245
2016/12/26,10.18
2016/12/27,10.113
2016/12/28,10.046
2016/12/29,9.99
2016/12/30,9.936
2016/12/31,9.878
2017/01/01,9.822
2017/01/02,9.765
2017/01/03,9.716
2017/01/04,9.689
2017/01/05,9.664
2017/01/06,9.639
2017/01/07,9.612
2017/01/08,9.592
2017/01/09,9.575
2017/01/10,9.56
2017/01/11,9.539
2017/01/12,9.512
2017/01/13,9.486
2017/01/14,9.46
2017/01/15,9.436
2017/01/16,9.405
2017/01/17,9.38
2017/01/18,9.358
2017/01/19,9.338
2017/01/20,9.321
2017/01/21,9.307
2017/01/22,9.294
2017/01/23,9.285
2017/01/24,9.275
2017/01/25,9.264
2017/01/26,9.256
2017/01/27,9.254
2017/01/28,9.252
2017/01/29,9.244
2017/01/30,9.242
2017/01/31,9.239
2017/02/01,9.235
2017/02/02,9.232
2017/02/03,9.228
2017/02/04,9.231
2017/02/05,9.234
2017/02/06,9.238
2017/02/07,9.247
2017/02/08,9.255
2017/02/09,9.263
2017/02/10,9.273
2017/02/11,9.287
2017/02/12,9.301
2017/02/13,9.314
2017/02/14,9.338
2017/02/15,9.369
2017/02/16,9.403
2017/02/17,9.437
2017/02/18,9.472
2017/02/19,9.508
2017/02/20,9.539
2017/02/21,9.57
2017/02/22,9.605
2017/02/23,9.642
2017/02/24,9.683
2017/02/25,9.731
2017/02/26,9.785
2017/02/27,9.857
2017/02/28,9.938
2017/03/01,10.021
2017/03/02,10.133
2017/03/03,10.265
2017/03/04,10.395
2017/03/05,10.524
2017/03/06,10.665
2017/03/07,10.792
2017/03/08,10.896
2017/03/09,10.995
2017/03/10,11.105
2017/03/11,11.234
2017/03/12,11.389
2017/03/13,11.598
2017/03/14,11.821
2017/03/15,12.068
2017/03/16,12.429
2017/03/17,12.855
2017/03/18,13.202
2017/03/19,13.555
2017/03/20,13.953
2017/03/21,14.344
2017/03/22,14.718
2017/03/23,15.1
2017/03/24,15.533
2017/03/25,16.015
2017/03/26,16.495
2017/03/27,16.977
2017/03/28,17.451
2017/03/29,17.942
2017/03/30,18.437
2017/03/31,18.906
2017/04/01,19.373
2017/04/02,19.836
2017/04/03,20.245
2017/04/04,20.612
2017/04/05,21.006
2017/04/06,21.386
2017/04/07,21.755
2017/04/08,22.139
2017/04/09,22.509
2017/04/10,22.875
2017/04/11,23.251
2017/04/12,23.636
2017/04/13,24.069
