Date,sentinusd30emaUSD
2016/01/01,283737
2016/01/02,281588
2016/01/03,286882
2016/01/04,278041
2016/01/05,325305
2016/01/06,320778
2016/01/07,322559
2016/01/08,314297
2016/01/09,308468
2016/01/10,298417
2016/01/11,313488
2016/01/12,368406
2016/01/13,375482
2016/01/14,375712
2016/01/15,427162
2016/01/16,445347
2016/01/17,446184
2016/01/18,625187
2016/01/19,694733
2016/01/20,706651
2016/01/21,709801
2016/01/22,754070
2016/01/23,833966
2016/01/24,1045650
2016/01/25,1295599
2016/01/26,1452829
2016/01/27,1547586
2016/01/28,1595790
2016/01/29,1632538
2016/01/30,1688243
2016/01/31,1747980
2016/02/01,1721229
2016/02/02,1699562
2016/02/03,1687089
2016/02/04,1632207
2016/02/05,1620819
2016/02/06,1554130
2016/02/07,1609579
2016/02/08,1800907
2016/02/09,2037751
2016/02/10,2451419
2016/02/11,2865544
2016/02/12,3482089
2016/02/13,3673427
2016/02/14,3726928
2016/02/15,3744934
2016/02/16,3911338
2016/02/17,3858325
2016/02/18,3902696
2016/02/19,3794286
2016/02/20,3890973
2016/02/21,3776288
2016/02/22,3799565
2016/02/23,4122698
2016/02/24,4642206
2016/02/25,4716251
2016/02/26,5961698
2016/02/27,6449244
2016/02/28,6357225
2016/02/29,6241788
2016/03/01,6406661
2016/03/02,7846605
2016/03/03,8592168
2016/03/04,8940471
2016/03/05,10421882
2016/03/06,10905724
2016/03/07,11187838
2016/03/08,11795773
2016/03/09,11801612
2016/03/10,11683651
2016/03/11,11603268
2016/03/12,12126385
2016/03/13,13176629
2016/03/14,13744013
2016/03/15,13919711
2016/03/16,13973425
2016/03/17,14377438
2016/03/18,15001311
2016/03/19,14573600
2016/03/20,14000139
2016/03/21,13728248
2016/03/22,13355752
2016/03/23,12932283
2016/03/24,12799315
2016/03/25,12359147
2016/03/26,11794932
2016/03/27,11842718
2016/03/28,11651423
2016/03/29,11863753
2016/03/30,12138142
2016/03/31,12036135
2016/04/01,11546197
2016/04/02,11079278
2016/04/03,10526415
2016/04/04,10166829
2016/04/05,9987336
2016/04/06,9745254
2016/04/07,9601523
2016/04/08,9332482
2016/04/09,9540613
2016/04/10,9581815
2016/04/11,9304809
2016/04/12,9258270
2016/04/13,9232827
2016/04/14,9147215
2016/04/15,8874809
2016/04/16,8533771
2016/04/17,8475214
2016/04/18,8301744
2016/04/19,8004347
2016/04/20,7861640
2016/04/21,7612833
2016/04/22,7510624
2016/04/23,7549678
2016/04/24,7260600
2016/04/25,7150585
2016/04/26,7238363
2016/04/27,7154697
2016/04/28,7065792
2016/04/29,6902558
2016/04/30,7900153
2016/05/01,8382555
2016/05/02,9027049
2016/05/03,9320771
2016/05/04,9396440
2016/05/05,9471005
2016/05/06,10138702
2016/05/07,10399267
2016/05/08,10581297
2016/05/09,11133245
2016/05/10,11659389
2016/05/11,12814783
2016/05/12,14122269
2016/05/13,18753474
2016/05/14,21433091
2016/05/15,21028495
2016/05/16,20681946
2016/05/17,20348310
