Date,transactions7sma
2016/01/01,13803
2016/01/02,13580
2016/01/03,11778
2016/01/04,11365
2016/01/05,12090
2016/01/06,11419
2016/01/07,13101
2016/01/08,13485
2016/01/09,13860
2016/01/10,14012
2016/01/11,14215
2016/01/12,13419
2016/01/13,13504
2016/01/14,11872
2016/01/15,11723
2016/01/16,11562
2016/01/17,11480
2016/01/18,11769
2016/01/19,12134
2016/01/20,11126
2016/01/21,11138
2016/01/22,11706
2016/01/23,11757
2016/01/24,12193
2016/01/25,12794
2016/01/26,13235
2016/01/27,14398
2016/01/28,15259
2016/01/29,15623
2016/01/30,16143
2016/01/31,16338
2016/02/01,15921
2016/02/02,15603
2016/02/03,14964
2016/02/04,14622
2016/02/05,14459
2016/02/06,16853
2016/02/07,16867
2016/02/08,16941
2016/02/09,17116
2016/02/10,17526
2016/02/11,18535
2016/02/12,18944
2016/02/13,17217
2016/02/14,17554
2016/02/15,17902
2016/02/16,18193
2016/02/17,18600
2016/02/18,17961
2016/02/19,18004
2016/02/20,17631
2016/02/21,17702
2016/02/22,17849
2016/02/23,17982
2016/02/24,17918
2016/02/25,18280
2016/02/26,18659
2016/02/27,18983
2016/02/28,19261
2016/02/29,19571
2016/03/01,20042
2016/03/02,20616
2016/03/03,21378
2016/03/04,21838
2016/03/05,23000
2016/03/06,24228
2016/03/07,24644
2016/03/08,24977
2016/03/09,25119
2016/03/10,25116
2016/03/11,24950
2016/03/12,25060
2016/03/13,25126
2016/03/14,25877
2016/03/15,26616
2016/03/16,27050
2016/03/17,28295
2016/03/18,29538
2016/03/19,30522
2016/03/20,31139
2016/03/21,31708
2016/03/22,32225
2016/03/23,32824
2016/03/24,33312
2016/03/25,34017
2016/03/26,34284
2016/03/27,33931
2016/03/28,34088
2016/03/29,34235
2016/03/30,34946
2016/03/31,34277
2016/04/01,33785
2016/04/02,32744
2016/04/03,32689
2016/04/04,32873
2016/04/05,33625
2016/04/06,32955
2016/04/07,32902
2016/04/08,33001
2016/04/09,33367
2016/04/10,33746
2016/04/11,33092
2016/04/12,32449
2016/04/13,33016
2016/04/14,33429
2016/04/15,33564
2016/04/16,33359
2016/04/17,34497
2016/04/18,34952
2016/04/19,34659
2016/04/20,34215
2016/04/21,34558
2016/04/22,34089
2016/04/23,34284
2016/04/24,33404
2016/04/25,33678
2016/04/26,33672
2016/04/27,33801
2016/04/28,33396
2016/04/29,34204
2016/04/30,36193
2016/05/01,36983
2016/05/02,37886
2016/05/03,38634
2016/05/04,39154
2016/05/05,39777
2016/05/06,40340
2016/05/07,38925
2016/05/08,38994
2016/05/09,38539
2016/05/10,38948
2016/05/11,39423
2016/05/12,40322
2016/05/13,41246
2016/05/14,42658
2016/05/15,43088
2016/05/16,42925
2016/05/17,42872
2016/05/18,43618
2016/05/19,43549
2016/05/20,43183
2016/05/21,42880
2016/05/22,42283
2016/05/23,43195
2016/05/24,43567
2016/05/25,43625
2016/05/26,44571
2016/05/27,45118
2016/05/28,48908
2016/05/29,49907
2016/05/30,49782
2016/05/31,49992
2016/06/01,49389
2016/06/02,47749
2016/06/03,46439
2016/06/04,41828
2016/06/05,40686
2016/06/06,40119
2016/06/07,40370
2016/06/08,40115
2016/06/09,40141
2016/06/10,40186
2016/06/11,40047
2016/06/12,40716
2016/06/13,41749
2016/06/14,42348
2016/06/15,42750
2016/06/16,43256
2016/06/17,47029
