Date,mediantransactionvalue14stdUSD
2016/10/16,8.253
2016/10/17,8.125
2016/10/18,6.264
2016/10/19,6.33
2016/10/20,5.987
2016/10/21,7.037
2016/10/22,7.022
2016/10/23,6.996
2016/10/24,7.557
2016/10/25,7.472
2016/10/26,7.556
2016/10/27,6.044
2016/10/28,5.999
2016/10/29,5.892
2016/10/30,5.793
2016/10/31,5.728
2016/11/01,6.002
2016/11/02,6.002
2016/11/03,5.876
2016/11/04,4.88
2016/11/05,4.771
2016/11/06,4.664
2016/11/07,3.537
2016/11/08,3.361
2016/11/09,3.305
2016/11/10,3.252
2016/11/11,3.204
2016/11/12,3.192
2016/11/13,3.18
2016/11/14,3.125
2016/11/15,2.01
2016/11/16,0.79
2016/11/17,0.816
2016/11/18,0.854
2016/11/19,0.854
2016/11/20,0.826
2016/11/21,0.784
2016/11/22,4.176
2016/11/23,6.119
2016/11/24,6.053
2016/11/25,7.405
2016/11/26,7.307
2016/11/27,7.524
2016/11/28,7.571
2016/11/29,7.465
2016/11/30,7.171
2016/12/01,6.971
2016/12/02,6.758
2016/12/03,6.532
2016/12/04,6.195
2016/12/05,5.859
2016/12/06,5.612
2016/12/07,4.947
2016/12/08,4.777
2016/12/09,3.54
2016/12/10,3.62
2016/12/11,3.123
2016/12/12,2.522
2016/12/13,2.379
2016/12/14,3.019
2016/12/15,3.289
2016/12/16,3.47
2016/12/17,3.45
2016/12/18,3.493
2016/12/19,3.786
2016/12/20,3.848
2016/12/21,4.075
2016/12/22,4.471
2016/12/23,4.305
2016/12/24,4.151
2016/12/25,4
2016/12/26,3.807
2016/12/27,3.782
2016/12/28,3.631
2016/12/29,3.801
2016/12/30,3.805
2016/12/31,3.861
2017/01/01,3.929
2017/01/02,3.953
2017/01/03,3.927
2017/01/04,4.187
2017/01/05,3.588
2017/01/06,3.848
2017/01/07,4.017
2017/01/08,4.174
2017/01/09,4.35
2017/01/10,4.125
2017/01/11,3.741
2017/01/12,4.23
2017/01/13,4.608
2017/01/14,4.623
2017/01/15,4.965
2017/01/16,5.027
2017/01/17,4.959
2017/01/18,4.925
2017/01/19,4.895
2017/01/20,4.95
2017/01/21,5.055
2017/01/22,5.183
2017/01/23,5.01
2017/01/24,5.41
2017/01/25,5.341
2017/01/26,5.283
2017/01/27,4.885
2017/01/28,4.914
2017/01/29,4.841
2017/01/30,4.768
2017/01/31,5.053
2017/02/01,4.843
2017/02/02,4.915
2017/02/03,4.961
2017/02/04,5.069
2017/02/05,5.057
2017/02/06,5.179
2017/02/07,4.92
2017/02/08,4.909
2017/02/09,4.708
2017/02/10,4.576
2017/02/11,4.345
2017/02/12,4.493
2017/02/13,4.481
2017/02/14,4.331
2017/02/15,4.351
2017/02/16,4.765
2017/02/17,4.832
2017/02/18,5.114
2017/02/19,5.298
2017/02/20,5.275
2017/02/21,5.468
2017/02/22,5.265
2017/02/23,5.632
2017/02/24,5.591
2017/02/25,5.496
2017/02/26,5.864
2017/02/27,5.895
2017/02/28,6.239
2017/03/01,6.718
2017/03/02,7.541
2017/03/03,8.58
2017/03/04,9.317
2017/03/05,9.765
2017/03/06,9.881
2017/03/07,8.582
2017/03/08,7.504
2017/03/09,8.046
2017/03/10,7.925
2017/03/11,6.858
2017/03/12,7.278
2017/03/13,8.812
2017/03/14,10.197
2017/03/15,11.582
2017/03/16,15.606
2017/03/17,20.101
2017/03/18,21.514
2017/03/19,22.478
2017/03/20,23.766
2017/03/21,22.164
2017/03/22,21.742
2017/03/23,18.269
2017/03/24,17.482
2017/03/25,17.02
2017/03/26,15.594
2017/03/27,19.2
2017/03/28,19.432
2017/03/29,20.518
2017/03/30,20.439
2017/03/31,19.645
2017/04/01,20.101
2017/04/02,21.569
2017/04/03,21.853
2017/04/04,22.111
2017/04/05,22.224
2017/04/06,21.976
2017/04/07,25.018
2017/04/08,23.743
2017/04/09,25.05
2017/04/10,23.352
2017/04/11,23.842
2017/04/12,23.918
2017/04/13,24.172
2017/04/14,24.313
2017/04/15,24.818
2017/04/16,23.08
2017/04/17,20.582
2017/04/18,18.065
2017/04/19,14.902
2017/04/20,9.281
2017/04/21,7.979
2017/04/22,8.048
2017/04/23,7.613
2017/04/24,10.036
2017/04/25,11.226
2017/04/26,11.223
2017/04/27,11.212
2017/04/28,11.887
2017/04/29,13.712
2017/04/30,15.45
2017/05/01,17.346
2017/05/02,18.629
2017/05/03,19.659
2017/05/04,21.306
2017/05/05,37.311
2017/05/06,39.63
2017/05/07,43.061
2017/05/08,48.994
2017/05/09,48.84
2017/05/10,45.995
2017/05/11,43.014
2017/05/12,40.807
2017/05/13,41.212
2017/05/14,41.278
2017/05/15,43.687
2017/05/16,42.829
2017/05/17,44.314
2017/05/18,46.137
2017/05/19,43.346
2017/05/20,44.797
2017/05/21,43.611
2017/05/22,43.492
2017/05/23,40.352
2017/05/24,46.044
2017/05/25,50.079
2017/05/26,51.71
2017/05/27,49.849
2017/05/28,50.396
2017/05/29,45.832
2017/05/30,47.064
2017/05/31,94.217
2017/06/01,91.191
2017/06/02,93.042
2017/06/03,89.163
2017/06/04,86.67
2017/06/05,86.953
2017/06/06,86.034
2017/06/07,87.641
2017/06/08,88.519
2017/06/09,89.363
2017/06/10,90.777
2017/06/11,88.783
2017/06/12,111.469
2017/06/13,112.439
2017/06/14,90.819
2017/06/15,93.117
2017/06/16,89.061
2017/06/17,88.798
2017/06/18,87.262
2017/06/19,88.474
2017/06/20,159.498
2017/06/21,188.8
2017/06/22,183.539
2017/06/23,179.258
2017/06/24,180.16
2017/06/25,185.297
2017/06/26,179.253
2017/06/27,184.11
2017/06/28,189.017
2017/06/29,192.315
2017/06/30,193.981
2017/07/01,196.05
2017/07/02,199.53
2017/07/03,203.064
2017/07/04,150.912
2017/07/05,64.776
2017/07/06,58.758
2017/07/07,61.809
2017/07/08,56.957
2017/07/09,57.325
2017/07/10,30.522
2017/07/11,28.91
2017/07/12,28.514
2017/07/13,26.775
2017/07/14,22.422
2017/07/15,18.613
2017/07/16,18.366
2017/07/17,18.194
2017/07/18,17.924
2017/07/19,17.778
2017/07/20,17.263
2017/07/21,9.26
2017/07/22,9.464
2017/07/23,9.695
2017/07/24,9.804
2017/07/25,8.048
2017/07/26,8.046
2017/07/27,7.599
2017/07/28,7.69
2017/07/29,6.955
2017/07/30,7.428
2017/07/31,7.474
2017/08/01,10.95
2017/08/02,13.282
2017/08/03,13.206
2017/08/04,13.369
2017/08/05,13.057
2017/08/06,12.654
2017/08/07,12.373
2017/08/08,12.342
2017/08/09,17.445
2017/08/10,17.435
2017/08/11,16.815
2017/08/12,16.89
2017/08/13,15.826
2017/08/14,17.512
2017/08/15,18.041
2017/08/16,18.036
2017/08/17,17.945
2017/08/18,21.429
2017/08/19,23.47
2017/08/20,23.234
2017/08/21,23.255
2017/08/22,23.377
2017/08/23,20.565
2017/08/24,20.557
2017/08/25,20.451
2017/08/26,21.758
2017/08/27,23.461
2017/08/28,22.204
2017/08/29,21.167
2017/08/30,20.606
2017/08/31,27.155
2017/09/01,23.652
2017/09/02,21.942
2017/09/03,21.762
2017/09/04,21.74
2017/09/05,21.692
2017/09/06,23.622
2017/09/07,25.416
2017/09/08,27.73
2017/09/09,30.077
2017/09/10,30.288
2017/09/11,30.173
2017/09/12,29.893
2017/09/13,29.498
2017/09/14,19.927
2017/09/15,19.43
2017/09/16,18.359
2017/09/17,18.29
2017/09/18,17.535
2017/09/19,17.308
2017/09/20,17.591
2017/09/21,17.492
2017/09/22,16.425
2017/09/23,13.835
2017/09/24,14.028
2017/09/25,14.121
2017/09/26,13.966
2017/09/27,14.107
2017/09/28,14.064
2017/09/29,11.272
2017/09/30,11.077
2017/10/01,10.907
2017/10/02,10.913
2017/10/03,8.753
2017/10/04,5.127
2017/10/05,5.097
2017/10/06,4.763
2017/10/07,4.236
