Date,price7smaUSD
2016/01/01,0.891
2016/01/02,0.906
2016/01/03,0.924
2016/01/04,0.941
2016/01/05,0.958
2016/01/06,0.969
2016/01/07,0.975
2016/01/08,0.979
2016/01/09,0.993
2016/01/10,1.008
2016/01/11,1.019
2016/01/12,1.048
2016/01/13,1.07
2016/01/14,1.091
2016/01/15,1.127
2016/01/16,1.152
2016/01/17,1.174
2016/01/18,1.226
2016/01/19,1.254
2016/01/20,1.302
2016/01/21,1.358
2016/01/22,1.397
2016/01/23,1.469
2016/01/24,1.598
2016/01/25,1.724
2016/01/26,1.897
2016/01/27,2.031
2016/01/28,2.168
2016/01/29,2.309
2016/01/30,2.421
2016/01/31,2.456
2016/02/01,2.445
2016/02/02,2.395
2016/02/03,2.399
2016/02/04,2.406
2016/02/05,2.408
2016/02/06,2.406
2016/02/07,2.45
2016/02/08,2.576
2016/02/09,2.756
2016/02/10,3.032
2016/02/11,3.375
2016/02/12,3.858
2016/02/13,4.213
2016/02/14,4.527
2016/02/15,4.865
2016/02/16,5.061
2016/02/17,5.023
2016/02/18,4.894
2016/02/19,4.693
2016/02/20,4.614
2016/02/21,4.548
2016/02/22,4.501
2016/02/23,4.618
2016/02/24,4.863
2016/02/25,5.183
2016/02/26,5.396
2016/02/27,5.65
2016/02/28,5.938
2016/02/29,6.12
2016/03/01,6.273
2016/03/02,6.583
2016/03/03,7.007
2016/03/04,7.474
2016/03/05,8.177
2016/03/06,8.843
2016/03/07,9.402
2016/03/08,9.809
2016/03/09,10.179
2016/03/10,10.52
2016/03/11,10.783
2016/03/12,11.035
2016/03/13,11.494
2016/03/14,11.941
2016/03/15,12.385
2016/03/16,12.766
2016/03/17,12.761
2016/03/18,12.634
2016/03/19,12.3
2016/03/20,11.715
2016/03/21,11.361
2016/03/22,11.203
2016/03/23,11.005
2016/03/24,10.975
2016/03/25,11.057
2016/03/26,11.096
2016/03/27,11.16
2016/03/28,11.191
2016/03/29,11.184
2016/03/30,11.177
2016/03/31,11.229
2016/04/01,11.347
2016/04/02,11.436
2016/04/03,11.551
2016/04/04,11.563
2016/04/05,11.443
2016/04/06,11.27
2016/04/07,11.074
2016/04/08,10.826
2016/04/09,10.562
2016/04/10,10.152
2016/04/11,9.753
2016/04/12,9.347
2016/04/13,8.947
2016/04/14,8.66
2016/04/15,8.438
2016/04/16,8.248
2016/04/17,8.337
2016/04/18,8.42
2016/04/19,8.587
2016/04/20,8.7
2016/04/21,8.713
2016/04/22,8.666
2016/04/23,8.626
2016/04/24,8.474
2016/04/25,8.293
2016/04/26,8.047
2016/04/27,7.906
2016/04/28,7.757
2016/04/29,7.681
2016/04/30,7.718
2016/05/01,7.794
2016/05/02,8.048
2016/05/03,8.379
2016/05/04,8.656
2016/05/05,8.961
2016/05/06,9.278
2016/05/07,9.43
2016/05/08,9.512
2016/05/09,9.491
2016/05/10,9.448
2016/05/11,9.468
2016/05/12,9.55
2016/05/13,9.677
2016/05/14,9.802
2016/05/15,9.923
2016/05/16,10.075
2016/05/17,10.417
2016/05/18,10.887
2016/05/19,11.429
2016/05/20,11.968
2016/05/21,12.457
2016/05/22,13.016
2016/05/23,13.526
2016/05/24,13.709
2016/05/25,13.627
2016/05/26,13.414
2016/05/27,12.982
2016/05/28,12.656
2016/05/29,12.372
2016/05/30,12.141
2016/05/31,12.178
2016/06/01,12.39
2016/06/02,12.588
2016/06/03,12.92
2016/06/04,13.247
2016/06/05,13.485
2016/06/06,13.685
2016/06/07,13.794
2016/06/08,13.878
2016/06/09,13.957
2016/06/10,14.016
2016/06/11,14.041
2016/06/12,14.177
2016/06/13,14.57
2016/06/14,15.16
2016/06/15,15.71
2016/06/16,16.437
2016/06/17,16.904
2016/06/18,16.771
2016/06/19,16.414
2016/06/20,15.717
2016/06/21,14.832
2016/06/22,14.241
2016/06/23,13.318
2016/06/24,12.822
2016/06/25,13.008
2016/06/26,13.257
2016/06/27,13.563
2016/06/28,13.724
2016/06/29,13.433
2016/06/30,13.351
2016/07/01,13.105
2016/07/02,12.794
2016/07/03,12.5
2016/07/04,12.168
2016/07/05,11.793
2016/07/06,11.567
2016/07/07,11.226
2016/07/08,10.983
2016/07/09,10.834
2016/07/10,10.691
2016/07/11,10.55
2016/07/12,10.558
2016/07/13,10.538
2016/07/14,10.682
2016/07/15,10.891
2016/07/16,11.006
2016/07/17,11.065
2016/07/18,11.175
2016/07/19,11.283
2016/07/20,11.519
2016/07/21,11.71
2016/07/22,11.936
2016/07/23,12.317
2016/07/24,12.617
2016/07/25,12.901
2016/07/26,13.125
2016/07/27,13.203
2016/07/28,13.251
2016/07/29,13.138
2016/07/30,12.885
2016/07/31,12.711
2016/08/01,12.463
2016/08/02,12.086
2016/08/03,11.651
2016/08/04,11.363
2016/08/05,11.113
2016/08/06,10.835
2016/08/07,10.656
2016/08/08,10.567
2016/08/09,10.777
2016/08/10,11.147
2016/08/11,11.31
2016/08/12,11.434
2016/08/13,11.572
2016/08/14,11.651
2016/08/15,11.681
2016/08/16,11.606
2016/08/17,11.435
2016/08/18,11.296
2016/08/19,11.144
2016/08/20,11.062
2016/08/21,11.01
2016/08/22,11.014
2016/08/23,11.004
2016/08/24,11.014
2016/08/25,11.058
2016/08/26,11.138
2016/08/27,11.157
2016/08/28,11.151
2016/08/29,11.117
2016/08/30,11.125
2016/08/31,11.167
2016/09/01,11.307
2016/09/02,11.415
2016/09/03,11.513
2016/09/04,11.602
2016/09/05,11.707
2016/09/06,11.772
2016/09/07,11.807
2016/09/08,11.706
2016/09/09,11.631
2016/09/10,11.599
2016/09/11,11.629
2016/09/12,11.641
2016/09/13,11.702
2016/09/14,11.751
2016/09/15,11.83
2016/09/16,11.926
2016/09/17,12.061
2016/09/18,12.189
2016/09/19,12.347
2016/09/20,12.588
2016/09/21,12.854
2016/09/22,13.014
2016/09/23,13.17
2016/09/24,13.229
2016/09/25,13.258
2016/09/26,13.26
2016/09/27,13.169
2016/09/28,13.092
2016/09/29,13.093
2016/09/30,13.073
2016/10/01,13.087
2016/10/02,13.114
2016/10/03,13.163
2016/10/04,13.209
2016/10/05,13.201
2016/10/06,13.165
2016/10/07,13.097
2016/10/08,12.974
2016/10/09,12.835
2016/10/10,12.631
2016/10/11,12.426
2016/10/12,12.228
2016/10/13,12.092
2016/10/14,11.983
2016/10/15,11.925
2016/10/16,11.887
2016/10/17,11.899
2016/10/18,11.973
2016/10/19,12.034
2016/10/20,12.056
2016/10/21,12.074
2016/10/22,12.103
2016/10/23,12.109
2016/10/24,12.116
2016/10/25,11.983
2016/10/26,11.876
2016/10/27,11.78
2016/10/28,11.664
2016/10/29,11.463
2016/10/30,11.27
2016/10/31,11.155
2016/11/01,11.034
2016/11/02,10.944
2016/11/03,10.872
2016/11/04,10.831
2016/11/05,10.888
2016/11/06,10.937
2016/11/07,10.899
2016/11/08,10.921
2016/11/09,10.881
2016/11/10,10.831
2016/11/11,10.75
2016/11/12,10.616
2016/11/13,10.485
2016/11/14,10.362
2016/11/15,10.251
2016/11/16,10.187
2016/11/17,10.104
2016/11/18,10.002
2016/11/19,9.931
2016/11/20,9.859
2016/11/21,9.795
2016/11/22,9.77
2016/11/23,9.722
2016/11/24,9.652
2016/11/25,9.609
2016/11/26,9.569
2016/11/27,9.499
2016/11/28,9.388
2016/11/29,9.15
2016/11/30,8.949
2016/12/01,8.8
2016/12/02,8.596
2016/12/03,8.388
2016/12/04,8.186
2016/12/05,7.962
2016/12/06,7.765
2016/12/07,7.67
2016/12/08,7.676
2016/12/09,7.733
2016/12/10,7.791
2016/12/11,7.865
2016/12/12,8.022
2016/12/13,8.244
2016/12/14,8.329
2016/12/15,8.255
2016/12/16,8.179
2016/12/17,8.086
2016/12/18,8.035
2016/12/19,7.948
2016/12/20,7.837
2016/12/21,7.75
2016/12/22,7.699
2016/12/23,7.63
2016/12/24,7.574
2016/12/25,7.485
2016/12/26,7.413
2016/12/27,7.35
2016/12/28,7.272
2016/12/29,7.343
2016/12/30,7.472
2016/12/31,7.58
2017/01/01,7.729
2017/01/02,7.867
2017/01/03,8.103
2017/01/04,8.569
2017/01/05,8.909
2017/01/06,9.164
2017/01/07,9.418
2017/01/08,9.669
2017/01/09,9.989
2017/01/10,10.215
2017/01/11,10.158
2017/01/12,10.018
2017/01/13,9.958
