Date,transactionvalue30rsiUSD
2016/01/01,47.589
2016/01/02,47.018
2016/01/03,47.623
2016/01/04,46.543
2016/01/05,48.879
2016/01/06,46.726
2016/01/07,46.77
2016/01/08,46.879
2016/01/09,46.944
2016/01/10,46.733
2016/01/11,48.674
2016/01/12,51.792
2016/01/13,47.679
2016/01/14,48.131
2016/01/15,52.303
2016/01/16,49.703
2016/01/17,48.77
2016/01/18,57.375
2016/01/19,51.916
2016/01/20,50.142
2016/01/21,49.643
2016/01/22,50.872
2016/01/23,53.929
2016/01/24,58.621
2016/01/25,57.159
2016/01/26,54.632
2016/01/27,51.912
2016/01/28,51.199
2016/01/29,51.016
2016/01/30,52.417
2016/01/31,52.939
2016/02/01,49.388
2016/02/02,49.506
2016/02/03,49.846
2016/02/04,48.002
2016/02/05,49.523
2016/02/06,46.616
2016/02/07,52.295
2016/02/08,56.771
2016/02/09,57.975
2016/02/10,61.68
2016/02/11,58.659
2016/02/12,64.79
2016/02/13,54.057
2016/02/14,52.456
2016/02/15,51.515
2016/02/16,54.386
2016/02/17,49.471
2016/02/18,51.945
2016/02/19,48.739
2016/02/20,52.755
2016/02/21,48.851
2016/02/22,50.875
2016/02/23,55.263
2016/02/24,57.568
2016/02/25,51.46
2016/02/26,62.188
2016/02/27,55.723
2016/02/28,50.076
2016/02/29,49.622
2016/03/01,51.7
2016/03/02,59.536
2016/03/03,54.612
2016/03/04,52.507
2016/03/05,57.47
2016/03/06,52.476
2016/03/07,52.546
2016/03/08,54.145
2016/03/09,50.833
2016/03/10,50.131
2016/03/11,50.557
2016/03/12,52.712
2016/03/13,55.114
2016/03/14,52.915
2016/03/15,51.088
2016/03/16,50.844
2016/03/17,51.436
2016/03/18,52.738
2016/03/19,48.215
2016/03/20,47.677
2016/03/21,48.812
2016/03/22,48.302
2016/03/23,48.055
2016/03/24,48.83
2016/03/25,47.629
2016/03/26,47.047
2016/03/27,50.19
2016/03/28,48.747
2016/03/29,50.436
2016/03/30,50.414
2016/03/31,49.32
2016/04/01,47.46
2016/04/02,47.602
2016/04/03,46.997
2016/04/04,47.631
2016/04/05,48.155
2016/04/06,48.222
2016/04/07,48.708
2016/04/08,47.853
2016/04/09,50.609
2016/04/10,49.707
2016/04/11,48.09
2016/04/12,48.979
2016/04/13,48.959
2016/04/14,48.732
2016/04/15,47.671
2016/04/16,47.385
2016/04/17,48.381
2016/04/18,48.158
2016/04/19,47.369
2016/04/20,48.292
2016/04/21,47.358
2016/04/22,48.605
2016/04/23,49.571
2016/04/24,47.228
2016/04/25,48.252
2016/04/26,49.829
2016/04/27,48.572
2016/04/28,48.464
2016/04/29,47.763
2016/04/30,53.263
2016/05/01,51.726
2016/05/02,52.457
2016/05/03,51.197
2016/05/04,49.985
2016/05/05,49.872
2016/05/06,52.991
2016/05/07,51.632
2016/05/08,50.599
2016/05/09,53.071
2016/05/10,52.707
2016/05/11,56.214
2016/05/12,56.356
2016/05/13,67.338
2016/05/14,60.243
2016/05/15,49.435
2016/05/16,50.072
2016/05/17,49.744
2016/05/18,51.013
2016/05/19,53.999
2016/05/20,52.806
2016/05/21,48.838
2016/05/22,48.205
2016/05/23,49.765
2016/05/24,51.034
2016/05/25,50.282
2016/05/26,48.839
2016/05/27,51.69
2016/05/28,49.296
2016/05/29,48.413
2016/05/30,48.711
2016/05/31,48.833
2016/06/01,48.364
2016/06/02,47.494
2016/06/03,47.955
2016/06/04,47.453
2016/06/05,47.425
2016/06/06,47.498
2016/06/07,49.167
2016/06/08,54.386
2016/06/09,47.806
2016/06/10,49.347
2016/06/11,48.181
2016/06/12,50.091
2016/06/13,50.559
2016/06/14,51.457
2016/06/15,50.128
2016/06/16,52.98
2016/06/17,56.95
2016/06/18,56.426
2016/06/19,50.011
2016/06/20,52.001
2016/06/21,50.116
2016/06/22,51.494
2016/06/23,51.002
2016/06/24,49.016
2016/06/25,50.383
2016/06/26,47.799
2016/06/27,47.996
2016/06/28,50.397
2016/06/29,48.831
2016/06/30,47.535
2016/07/01,48.459
2016/07/02,47.337
2016/07/03,47.463
2016/07/04,49.407
2016/07/05,55.176
2016/07/06,49.006
2016/07/07,48.571
2016/07/08,47.923
2016/07/09,47.845
2016/07/10,48.069
2016/07/11,48.443
2016/07/12,48.469
2016/07/13,49.016
2016/07/14,48.657
2016/07/15,56.964
2016/07/16,48.807
2016/07/17,48.913
2016/07/18,53.496
2016/07/19,63.356
2016/07/20,67.12
2016/07/21,49.658
2016/07/22,51.3
2016/07/23,51.289
2016/07/24,59.548
2016/07/25,56.879
2016/07/26,62.792
2016/07/27,57.163
2016/07/28,53.565
2016/07/29,51.593
2016/07/30,50.576
2016/07/31,49.799
2016/08/01,51.37
2016/08/02,53.748
2016/08/03,52.269
2016/08/04,49.376
2016/08/05,50.106
2016/08/06,48.15
2016/08/07,48.38
2016/08/08,48.413
2016/08/09,49.306
2016/08/10,51.045
2016/08/11,49.904
2016/08/12,48.651
2016/08/13,48.492
2016/08/14,48.075
2016/08/15,47.785
2016/08/16,47.148
2016/08/17,48.096
2016/08/18,47.445
2016/08/19,47.392
2016/08/20,48.128
2016/08/21,50.425
2016/08/22,48.845
2016/08/23,50.874
2016/08/24,47.523
2016/08/25,47.405
2016/08/26,48.601
2016/08/27,47.561
2016/08/28,47.515
2016/08/29,47.87
2016/08/30,47.482
2016/08/31,47.831
2016/09/01,49.067
2016/09/02,48.439
2016/09/03,48.187
2016/09/04,48.34
2016/09/05,47.611
2016/09/06,47.641
2016/09/07,47.539
2016/09/08,48.173
2016/09/09,47.224
2016/09/10,47.446
2016/09/11,47.782
2016/09/12,47.858
2016/09/13,48.051
2016/09/14,47.36
2016/09/15,47.181
2016/09/16,49.741
2016/09/17,47.865
2016/09/18,50.149
2016/09/19,48.5
2016/09/20,52.867
2016/09/21,54.85
2016/09/22,49.575
2016/09/23,51.444
2016/09/24,49.134
2016/09/25,51.746
2016/09/26,49.3
2016/09/27,48.626
2016/09/28,51.369
2016/09/29,50.837
2016/09/30,48.722
2016/10/01,47.947
2016/10/02,49.586
2016/10/03,47.825
2016/10/04,47.801
2016/10/05,48.881
2016/10/06,48.859
2016/10/07,48.504
2016/10/08,49.003
2016/10/09,51.592
2016/10/10,51.318
2016/10/11,51.235
2016/10/12,53.754
2016/10/13,49.052
2016/10/14,51.524
2016/10/15,49.259
2016/10/16,50.173
2016/10/17,50.354
2016/10/18,51.139
2016/10/19,48.711
2016/10/20,47.799
2016/10/21,47.309
2016/10/22,47.545
2016/10/23,47.449
2016/10/24,47.46
2016/10/25,48.449
2016/10/26,48.212
2016/10/27,48.219
2016/10/28,49.782
2016/10/29,50.471
2016/10/30,51.822
2016/10/31,48.789
2016/11/01,51.508
2016/11/02,54.953
2016/11/03,63.775
2016/11/04,49.263
2016/11/05,48.472
2016/11/06,47.998
2016/11/07,48.009
2016/11/08,48.068
2016/11/09,50.224
2016/11/10,48.676
2016/11/11,52.592
2016/11/12,48.948
2016/11/13,48.864
2016/11/14,47.929
2016/11/15,48.573
2016/11/16,48.779
2016/11/17,51.865
2016/11/18,48.69
2016/11/19,48.53
2016/11/20,48.155
2016/11/21,48.172
2016/11/22,50.246
2016/11/23,49.591
2016/11/24,48.617
2016/11/25,48.812
2016/11/26,48.265
2016/11/27,48.163
2016/11/28,48.158
2016/11/29,48.798
2016/11/30,48.985
2016/12/01,48.851
2016/12/02,51.887
2016/12/03,53.924
2016/12/04,49.436
2016/12/05,51.591
2016/12/06,53.302
2016/12/07,50.171
2016/12/08,50.746
2016/12/09,50.548
2016/12/10,48.953
2016/12/11,49.829
2016/12/12,48.533
2016/12/13,48.379
2016/12/14,48.217
2016/12/15,49.675
2016/12/16,48.776
2016/12/17,51.552
2016/12/18,50.422
2016/12/19,48.62
2016/12/20,48.666
2016/12/21,49.32
2016/12/22,50.535
2016/12/23,54.997
2016/12/24,50.241
2016/12/25,48.429
2016/12/26,48.171
2016/12/27,48.707
2016/12/28,50.631
2016/12/29,53.039
2016/12/30,51.467
2016/12/31,55.875
2017/01/01,49.588
2017/01/02,50.956
2017/01/03,53.426
2017/01/04,57.19
2017/01/05,57.67
2017/01/06,57.57
2017/01/07,52.496
2017/01/08,49.915
2017/01/09,52.394
2017/01/10,52.358
2017/01/11,52.564
2017/01/12,51.41
2017/01/13,48.888
2017/01/14,47.29
2017/01/15,46.808
2017/01/16,47.051
2017/01/17,48.223
2017/01/18,47.321
2017/01/19,47.603
2017/01/20,50.408
2017/01/21,47.755
2017/01/22,47.678
2017/01/23,47.555
2017/01/24,47.279
2017/01/25,47.673
2017/01/26,47.88
2017/01/27,47.801
2017/01/28,47.082
2017/01/29,47.755
2017/01/30,47.311
2017/01/31,48.686
2017/02/01,48.629
2017/02/02,48.594
2017/02/03,49.688
2017/02/04,49.942
2017/02/05,47.467
2017/02/06,48.955
2017/02/07,48.508
2017/02/08,48.36
2017/02/09,48.848
2017/02/10,49.25
2017/02/11,47.97
2017/02/12,48.838
2017/02/13,48.186
2017/02/14,53.495
2017/02/15,55.752
2017/02/16,51.803
2017/02/17,52.333
2017/02/18,51.764
2017/02/19,51.827
2017/02/20,51.851
2017/02/21,53.893
2017/02/22,52.248
2017/02/23,52.464
2017/02/24,57.763
2017/02/25,52.822
2017/02/26,54.872
2017/02/27,65.443
2017/02/28,67.509
2017/03/01,68.45
2017/03/02,73.719
2017/03/03,75.765
2017/03/04,63.393
2017/03/05,60.049
2017/03/06,67.771
2017/03/07,57.092
2017/03/08,58.634
2017/03/09,59.76
2017/03/10,58.705
2017/03/11,62.029
2017/03/12,69.52
2017/03/13,62.354
2017/03/14,52.043
2017/03/15,52.102
2017/03/16,67.094
2017/03/17,57.151
2017/03/18,61.352
2017/03/19,49.491
2017/03/20,50.919
2017/03/21,54.577
2017/03/22,53.645
2017/03/23,53.483
2017/03/24,56.33
2017/03/25,54.772
2017/03/26,53.217
2017/03/27,52.928
2017/03/28,53.685
2017/03/29,54.82
2017/03/30,57.146
2017/03/31,53.848
2017/04/01,52.327
2017/04/02,55.2
2017/04/03,54.174
2017/04/04,49.749
2017/04/05,52.229
2017/04/06,54.021
2017/04/07,47.633
2017/04/08,49.584
2017/04/09,49.385
2017/04/10,50.441
2017/04/11,50.424
2017/04/12,49.783
2017/04/13,48.648
2017/04/14,49.661
2017/04/15,47.413
2017/04/16,46.25
2017/04/17,46.714
2017/04/18,50.948
2017/04/19,51.672
2017/04/20,52.379
2017/04/21,50.388
2017/04/22,50.277
2017/04/23,50.044
2017/04/24,51.188
2017/04/25,49.751
2017/04/26,52.564
2017/04/27,54.831
2017/04/28,55.569
2017/04/29,57.426
2017/04/30,58.992
2017/05/01,63.587
2017/05/02,59.308
2017/05/03,62.559
2017/05/04,61.27
2017/05/05,63.523
2017/05/06,57.435
2017/05/07,59.419
2017/05/08,56.528
2017/05/09,56.295
2017/05/10,56.577
2017/05/11,58.428
2017/05/12,56.065
2017/05/13,52.342
2017/05/14,51.879
2017/05/15,53.287
2017/05/16,56.828
2017/05/17,49.481
2017/05/18,47.526
2017/05/19,50.921
2017/05/20,49.939
2017/05/21,51.756
2017/05/22,60.308
2017/05/23,52.67
2017/05/24,53.537
2017/05/25,53.478
2017/05/26,54.535
2017/05/27,50.917
2017/05/28,50.047
2017/05/29,50.67
2017/05/30,51.469
2017/05/31,58.188
2017/06/01,54.35
2017/06/02,54.32
2017/06/03,54.778
2017/06/04,53.985
2017/06/05,56.145
2017/06/06,58.236
2017/06/07,55.769
2017/06/08,54.857
2017/06/09,53.922
2017/06/10,51.223
2017/06/11,52.114
2017/06/12,60.167
2017/06/13,57.964
2017/06/14,52.408
2017/06/15,55.193
2017/06/16,55.091
2017/06/17,49.672
2017/06/18,49.107
2017/06/19,49.05
2017/06/20,50.608
2017/06/21,46.642
2017/06/22,47.123
2017/06/23,48.397
2017/06/24,49.629
2017/06/25,45.33
2017/06/26,47.116
2017/06/27,48.403
2017/06/28,48.329
2017/06/29,49.265
2017/06/30,48.545
2017/07/01,47.828
2017/07/02,46.597
2017/07/03,54.077
2017/07/04,52.574
2017/07/05,46.759
2017/07/06,47.557
2017/07/07,47.257
2017/07/08,47.011
2017/07/09,45.465
2017/07/10,47.602
2017/07/11,47.92
2017/07/12,48.215
2017/07/13,52.14
2017/07/14,53.204
2017/07/15,53.06
2017/07/16,51.296
2017/07/17,51.176
2017/07/18,53.033
2017/07/19,52.745
2017/07/20,52.053
2017/07/21,53.21
2017/07/22,45.662
2017/07/23,46.226
2017/07/24,51.88
2017/07/25,52.818
2017/07/26,51.356
2017/07/27,52.187
2017/07/28,52.486
2017/07/29,53.113
2017/07/30,49.526
2017/07/31,46.485
2017/08/01,47.756
2017/08/02,47.361
2017/08/03,46.7
2017/08/04,46.535
2017/08/05,47.356
2017/08/06,47.478
2017/08/07,47.888
2017/08/08,48.108
2017/08/09,49.373
2017/08/10,53.996
2017/08/11,61.665
2017/08/12,54.747
2017/08/13,55.265
2017/08/14,51.149
2017/08/15,49.405
2017/08/16,48.381
2017/08/17,48.308
2017/08/18,48.231
2017/08/19,47.594
2017/08/20,47.808
2017/08/21,48.087
2017/08/22,47.905
2017/08/23,48.616
2017/08/24,48.476
2017/08/25,47.925
2017/08/26,45.962
2017/08/27,53.251
2017/08/28,55.883
2017/08/29,52.298
2017/08/30,57.885
2017/08/31,50.646
2017/09/01,50.261
2017/09/02,49.996
2017/09/03,48.978
2017/09/04,48.735
2017/09/05,48.382
2017/09/06,48.427
2017/09/07,47.444
2017/09/08,47.745
2017/09/09,50.643
2017/09/10,50.566
2017/09/11,49.099
2017/09/12,48.722
2017/09/13,46.935
2017/09/14,48.236
2017/09/15,48.031
2017/09/16,46.808
2017/09/17,48.597
2017/09/18,50.676
2017/09/19,49.658
2017/09/20,47.705
2017/09/21,47.529
2017/09/22,47.552
2017/09/23,47.437
2017/09/24,46.804
2017/09/25,47.52
2017/09/26,47.686
2017/09/27,48.006
2017/09/28,48.138
2017/09/29,47.227
2017/09/30,46.741
2017/10/01,45.7
2017/10/02,47.173
2017/10/03,55.007
2017/10/04,51.497
2017/10/05,48.508
2017/10/06,48.55
2017/10/07,48.072
2017/10/08,48.649
2017/10/09,48.99
2017/10/10,48.983
2017/10/11,48.453
2017/10/12,48.815
2017/10/13,50.648
2017/10/14,49.566
2017/10/15,48.909
2017/10/16,46.91
2017/10/17,47.589
2017/10/18,49.219
2017/10/19,48.084
2017/10/20,47.178
2017/10/21,47.434
2017/10/22,47.143
2017/10/23,48.319
2017/10/24,48.268
2017/10/25,47.374
2017/10/26,47.116
2017/10/27,42.771
2017/10/28,42.771
2017/10/29,42.771
2017/10/30,42.771
2017/10/31,42.771
2017/11/01,49.826
2017/11/02,50.159
2017/11/03,49.526
2017/11/04,48.499
