Date,fee_to_reward7rocUSD
2016/01/01,-39.793
2016/01/02,-40.097
2016/01/03,-77.579
2016/01/04,-42.469
2016/01/05,70.91
2016/01/06,-15.081
2016/01/07,155.789
2016/01/08,54.424
2016/01/09,100.715
2016/01/10,37.304
2016/01/11,22.252
2016/01/12,-53.264
2016/01/13,-5.808
2016/01/14,-58.195
2016/01/15,-6.307
2016/01/16,-39.489
2016/01/17,-33.345
2016/01/18,23.038
2016/01/19,37.215
2016/01/20,-67.935
2016/01/21,-21.625
2016/01/22,36.16
2016/01/23,-20.936
2016/01/24,35.96
2016/01/25,34.125
2016/01/26,3.218
2016/01/27,201.634
2016/01/28,99.681
2016/01/29,20.871
2016/01/30,96.592
2016/01/31,49.829
2016/02/01,-22.811
2016/02/02,-19.643
2016/02/03,-53.194
2016/02/04,-21.836
2016/02/05,-1.179
2016/02/06,252.294
2016/02/07,34.63
2016/02/08,11.722
2016/02/09,61.885
2016/02/10,116.462
2016/02/11,40.69
2016/02/12,-11.82
2016/02/13,-71.434
2016/02/14,-40.114
2016/02/15,-13.013
2016/02/16,-31.415
2016/02/17,-28.723
2016/02/18,-34.797
2016/02/19,10.245
2016/02/20,-24.797
2016/02/21,-0.781
2016/02/22,2.876
2016/02/23,181.611
2016/02/24,24.345
2016/02/25,5.275
2016/02/26,38.187
2016/02/27,7.516
2016/02/28,5.335
2016/02/29,7.998
2016/03/01,-64.095
2016/03/02,-26.171
2016/03/03,14.647
2016/03/04,-31.22
2016/03/05,18.059
2016/03/06,34.299
2016/03/07,-10.915
2016/03/08,-4.157
2016/03/09,-29.415
2016/03/10,-42.632
2016/03/11,-43.171
2016/03/12,-27.259
2016/03/13,-35.854
2016/03/14,-8.453
2016/03/15,-36.214
2016/03/16,-24.568
2016/03/17,27.199
2016/03/18,18.902
2016/03/19,48.038
2016/03/20,19.668
2016/03/21,-2.132
2016/03/22,6.769
2016/03/23,36.744
2016/03/24,31.12
2016/03/25,44.124
2016/03/26,-20.39
2016/03/27,-45.919
2016/03/28,-18.308
2016/03/29,-7.544
2016/03/30,6.876
2016/03/31,-37.712
2016/04/01,-39.801
2016/04/02,-46.499
2016/04/03,-7.116
2016/04/04,-7.94
2016/04/05,18.213
2016/04/06,-37.486
2016/04/07,-13.866
2016/04/08,3.709
2016/04/09,11.222
2016/04/10,8.18
2016/04/11,-22.051
2016/04/12,-18.665
2016/04/13,49.182
2016/04/14,44.76
2016/04/15,-6.738
2016/04/16,-15.441
2016/04/17,52.538
2016/04/18,4.375
2016/04/19,-16.638
2016/04/20,-27.66
2016/04/21,-3.633
2016/04/22,-11.014
2016/04/23,12.582
2016/04/24,-23.691
2016/04/25,17.01
2016/04/26,13.656
2016/04/27,-14.123
2016/04/28,-25.561
2016/04/29,13.406
2016/04/30,62.686
2016/05/01,65.692
2016/05/02,16.229
2016/05/03,21.455
2016/05/04,34.89
2016/05/05,36.215
2016/05/06,48.709
2016/05/07,-23.798
2016/05/08,-23.363
2016/05/09,-3.574
2016/05/10,3.52
2016/05/11,16.249
2016/05/12,24.45
2016/05/13,20.515
2016/05/14,44.977
2016/05/15,8.432
2016/05/16,5.593
2016/05/17,0.956
2016/05/18,7.319
2016/05/19,-13.868
2016/05/20,-10.798
2016/05/21,1.44
2016/05/22,-8.42
2016/05/23,5.906
2016/05/24,1.7
2016/05/25,-6.665
2016/05/26,6.498
2016/05/27,-0.734
2016/05/28,100.902
2016/05/29,35.306
2016/05/30,7.792
2016/05/31,10.82
2016/06/01,-3.408
2016/06/02,-27.17
2016/06/03,-33.123
2016/06/04,-66.236
2016/06/05,-37.335
2016/06/06,-19.451
2016/06/07,111.21
2016/06/08,-9.419
2016/06/09,11.533
2016/06/10,18.753
2016/06/11,11.082
2016/06/12,19.403
2016/06/13,43.058
2016/06/14,-42.803
2016/06/15,8.651
2016/06/16,42.273
2016/06/17,605.224
2016/06/18,801.197
2016/06/19,78.841
2016/06/20,41.366
2016/06/21,88.317
2016/06/22,63.273
2016/06/23,-21.547
2016/06/24,-81.38
2016/06/25,-88.235
2016/06/26,-47.499
2016/06/27,-46.55
2016/06/28,-55.541
2016/06/29,13.454
2016/06/30,171.463
2016/07/01,13.34
2016/07/02,-14.47
2016/07/03,12.831
2016/07/04,-3.555
2016/07/05,-4.495
2016/07/06,-48.227
2016/07/07,-69.285
2016/07/08,-11.468
2016/07/09,93.767
2016/07/10,-9.605
2016/07/11,6.866
2016/07/12,7.601
2016/07/13,-15.717
2016/07/14,21.599
2016/07/15,-25.557
2016/07/16,-49.857
2016/07/17,-28.326
2016/07/18,-11.612
2016/07/19,-10.948
2016/07/20,202.769
2016/07/21,2.277
2016/07/22,29.155
2016/07/23,36.874
2016/07/24,90.508
2016/07/25,56.01
2016/07/26,60.981
2016/07/27,-50.583
2016/07/28,85.823
2016/07/29,20.549
2016/07/30,-7.065
2016/07/31,-20.602
2016/08/01,-21.726
2016/08/02,-26.565
2016/08/03,-10.105
2016/08/04,-49.028
2016/08/05,-35.861
2016/08/06,-12.754
2016/08/07,-8.89
2016/08/08,73.179
2016/08/09,-11.277
2016/08/10,-0.398
