Date,sentbyaddress30roc
2016/10/10,19.916
2016/10/11,0.852
2016/10/12,-42.701
2016/10/13,-60.953
2016/10/14,-16.62
2016/10/15,-31.417
2016/10/16,-26.335
2016/10/17,-13.253
2016/10/18,38.372
2016/10/19,-11.69
2016/10/20,-17.769
2016/10/21,-2.597
2016/10/22,20.215
2016/10/23,8.661
2016/10/24,-2.787
2016/10/25,0.433
2016/10/26,2.506
2016/10/27,2.34
2016/10/28,5.571
2016/10/29,-13.647
2016/10/30,-20.874
2016/10/31,22.614
2016/11/01,10.625
2016/11/02,-6.537
2016/11/03,38.936
2016/11/04,-4.325
2016/11/05,3.036
2016/11/06,-23.783
2016/11/07,-7.728
2016/11/08,-19.411
2016/11/09,-15.695
2016/11/10,-20.259
2016/11/11,61.241
2016/11/12,125.882
2016/11/13,17.597
2016/11/14,18.519
2016/11/15,10.101
2016/11/16,-7.112
2016/11/17,-33.262
2016/11/18,16.688
2016/11/19,-33.958
2016/11/20,-35.311
2016/11/21,-20.55
2016/11/22,127.266
2016/11/23,235.375
2016/11/24,-41.762
2016/11/25,149.569
2016/11/26,-38.045
2016/11/27,-36.09
2016/11/28,-15.087
2016/11/29,-15.896
2016/11/30,-32.816
2016/12/01,-42.108
2016/12/02,-13.849
2016/12/03,-6.82
2016/12/04,36.745
2016/12/05,-6.827
2016/12/06,35.946
2016/12/07,-25.756
2016/12/08,-20.603
2016/12/09,-4.624
2016/12/10,-5.902
2016/12/11,-11.939
2016/12/12,-6.894
2016/12/13,-24.971
2016/12/14,16.542
2016/12/15,19.436
2016/12/16,-0.523
2016/12/17,-1.563
2016/12/18,-7.943
2016/12/19,8.22
2016/12/20,9.93
2016/12/21,10.764
2016/12/22,-59.813
2016/12/23,-74.41
2016/12/24,36.025
2016/12/25,-72.066
2016/12/26,12.054
2016/12/27,17.235
2016/12/28,3.162
2016/12/29,23.442
2016/12/30,10.228
2016/12/31,27.025
2017/01/01,-11.894
2017/01/02,-16.886
2017/01/03,-9.234
2017/01/04,41.71
2017/01/05,5.11
2017/01/06,56.723
2017/01/07,28.282
2017/01/08,-7.354
2017/01/09,42.637
2017/01/10,9.042
2017/01/11,17.944
2017/01/12,31.831
2017/01/13,-3.484
2017/01/14,-21.114
2017/01/15,-6.439
2017/01/16,20.455
2017/01/17,13.614
2017/01/18,-1.156
2017/01/19,3.445
2017/01/20,4.989
2017/01/21,-5.236
2017/01/22,2.08
2017/01/23,16.944
2017/01/24,33.328
2017/01/25,20.206
2017/01/26,15.763
2017/01/27,2.728
2017/01/28,-9.056
2017/01/29,-6.169
2017/01/30,-1.533
2017/01/31,26.862
2017/02/01,8.936
2017/02/02,3.771
2017/02/03,-25.025
2017/02/04,-12.28
2017/02/05,-11.749
2017/02/06,4.654
2017/02/07,11.388
2017/02/08,-9.754
2017/02/09,7.064
2017/02/10,10.128
2017/02/11,-10.662
2017/02/12,5.007
2017/02/13,41.562
2017/02/14,50.946
2017/02/15,17.187
2017/02/16,16.69
2017/02/17,23.733
2017/02/18,21.452
2017/02/19,-1.756
2017/02/20,23.763
2017/02/21,25.506
2017/02/22,15.97
2017/02/23,11.589
2017/02/24,36.436
2017/02/25,21.125
2017/02/26,28.853
2017/02/27,44.493
2017/02/28,84.253
2017/03/01,69.586
2017/03/02,160.847
2017/03/03,92.454
2017/03/04,59.278
2017/03/05,68.177
2017/03/06,53.494
2017/03/07,37.464
2017/03/08,40.636
2017/03/09,69.727
2017/03/10,77.519
2017/03/11,65.508
2017/03/12,68.626
2017/03/13,177.553
2017/03/14,115.558
2017/03/15,80.134
2017/03/16,167.43
2017/03/17,165.726
2017/03/18,142.24
2017/03/19,105.021
2017/03/20,90.422
2017/03/21,126.05
2017/03/22,84.457
2017/03/23,92.614
2017/03/24,142.826
2017/03/25,128.041
2017/03/26,75.556
2017/03/27,117.072
2017/03/28,100.51
2017/03/29,85.014
2017/03/30,85.051
2017/03/31,116.813
2017/04/01,-5.091
2017/04/02,44.354
2017/04/03,110.825
2017/04/04,64.071
2017/04/05,71.036
2017/04/06,113.953
2017/04/07,53.337
2017/04/08,18.171
2017/04/09,0.848
2017/04/10,30.786
2017/04/11,10.772
2017/04/12,-13.133
2017/04/13,11.518
2017/04/14,-1.536
2017/04/15,-37.471
2017/04/16,-46.965
2017/04/17,-30.029
2017/04/18,-1.378
2017/04/19,-0.504
2017/04/20,1.975
2017/04/21,-3.934
2017/04/22,-9.861
2017/04/23,-25.993
2017/04/24,-4.369
2017/04/25,6.409
2017/04/26,-5.124
2017/04/27,45.522
2017/04/28,26.502
2017/04/29,-9.721
2017/04/30,-19.071
2017/05/01,39.029
2017/05/02,20.48
2017/05/03,-19.247
2017/05/04,36.325
2017/05/05,28.574
2017/05/06,-5.36
2017/05/07,48.323
2017/05/08,107.677
2017/05/09,99.53
2017/05/10,50.97
2017/05/11,69.965
2017/05/12,44.145
2017/05/13,14.12
2017/05/14,31.733
2017/05/15,75.151
2017/05/16,109.727
2017/05/17,133.449
2017/05/18,90.283
2017/05/19,138.364
2017/05/20,69.918
2017/05/21,105.621
2017/05/22,168.513
2017/05/23,178.026
2017/05/24,143.945
2017/05/25,150.678
2017/05/26,128.623
2017/05/27,30.367
2017/05/28,41.477
2017/05/29,83.814
2017/05/30,102.472
2017/05/31,138.157
2017/06/01,124.115
2017/06/02,105.645
2017/06/03,59.534
2017/06/04,60.497
2017/06/05,120.721
2017/06/06,89.922
2017/06/07,48.756
2017/06/08,53.119
2017/06/09,105.439
2017/06/10,87.237
2017/06/11,136.781
2017/06/12,283.387
2017/06/13,227.956
2017/06/14,134.444
2017/06/15,143.455
2017/06/16,76.063
2017/06/17,84.394
2017/06/18,48.757
2017/06/19,119.345
2017/06/20,145.766
2017/06/21,96.067
2017/06/22,84.209
2017/06/23,63.289
2017/06/24,56.175
2017/06/25,45.791
2017/06/26,164.275
2017/06/27,121.027
2017/06/28,-100
2017/06/29,52.214
2017/06/30,11.835
2017/07/01,14.889
2017/07/02,42.616
2017/07/03,77.999
2017/07/04,77.431
2017/07/05,34.643
2017/07/06,30.943
2017/07/07,66.773
2017/07/08,28.546
2017/07/09,0.712
2017/07/10,38.427
2017/07/11,15.329
2017/07/12,-18.944
2017/07/13,-24.451
2017/07/14,-16.737
2017/07/15,-19.164
2017/07/16,-10.904
2017/07/17,-4.466
2017/07/18,-0.149
2017/07/19,-4.726
2017/07/20,-23.866
2017/07/21,-31.225
2017/07/22,-40.067
2017/07/23,4.535
2017/07/24,-13.346
2017/07/25,-8.201
2017/07/26,-42.509
2017/07/27,-23.59
2017/07/28,0
2017/07/29,-32.087
2017/07/30,-30.22
2017/07/31,10.363
2017/08/01,-14.354
2017/08/02,-25.528
2017/08/03,-25.307
2017/08/04,-4.976
2017/08/05,2.304
2017/08/06,-23.172
2017/08/07,24.811
2017/08/08,48.828
2017/08/09,0.205
2017/08/10,21.884
2017/08/11,26.595
2017/08/12,40.979
2017/08/13,32.208
2017/08/14,73.913
2017/08/15,81.185
2017/08/16,66.694
2017/08/17,56.428
2017/08/18,63.277
2017/08/19,35.338
2017/08/20,37.783
2017/08/21,99.834
2017/08/22,14.721
2017/08/23,56.952
2017/08/24,43.935
2017/08/25,68.967
2017/08/26,18.961
2017/08/27,24.534
2017/08/28,79.125
2017/08/29,106.809
2017/08/30,38.368
2017/08/31,94.974
2017/09/01,70.74
2017/09/02,39.699
2017/09/03,10.219
2017/09/04,76.899
2017/09/05,74.539
2017/09/06,60.677
2017/09/07,28.641
2017/09/08,38.091
2017/09/09,5.366
2017/09/10,-17.356
2017/09/11,12.941
2017/09/12,50.999
2017/09/13,-0.849
2017/09/14,11.759
2017/09/15,19.652
2017/09/16,-19.192
2017/09/17,-43.697
2017/09/18,4.935
2017/09/19,15.406
2017/09/20,-11.612
2017/09/21,-12.117
2017/09/22,-30.943
2017/09/23,-15.543
2017/09/24,-16.923
2017/09/25,21.156
2017/09/26,4.668
2017/09/27,-11.449
2017/09/28,-13.419
2017/09/29,-13.869
2017/09/30,-27.885
2017/10/01,-33.985
2017/10/02,-5.91
2017/10/03,11.886
2017/10/04,-38.218
2017/10/05,-28.579
2017/10/06,-35.323
2017/10/07,-30.888
2017/10/08,-29.214
2017/10/09,-16.588
2017/10/10,27.362
2017/10/11,2.08
2017/10/12,-19.683
2017/10/13,7.545
2017/10/14,-24.862
2017/10/15,-36.545
2017/10/16,-5.976
2017/10/17,87.151
2017/10/18,3.326
2017/10/19,-6.243
2017/10/20,16.927
2017/10/21,20.301
2017/10/22,83.398
2017/10/23,39.466
2017/10/24,30.336
2017/10/25,6.007
2017/10/26,14.881
2017/10/27,-100
2017/10/28,-100
2017/10/29,-100
2017/10/30,-100
2017/10/31,-100
2017/11/01,55.948
2017/11/02,66.346
2017/11/03,41.748
2017/11/04,6.768
2017/11/05,11.037
2017/11/06,33.768
2017/11/07,34.336
2017/11/08,41.227
2017/11/09,19.844
2017/11/10,7.818
2017/11/11,-0.027
2017/11/12,0.195
2017/11/13,18.949
2017/11/14,49.583
2017/11/15,67.523
2017/11/16,-2.002
2017/11/17,33.899
2017/11/18,23.848
2017/11/19,7.497
2017/11/20,22.665
2017/11/21,4.823
2017/11/22,32.725
2017/11/23,28.266
2017/11/24,40.893
2017/11/25,40.689
2017/11/26,0
2017/11/27,0
2017/11/28,0
2017/11/29,0
2017/11/30,0
2017/12/01,11.181
2017/12/02,5.369
2017/12/03,56.6
2017/12/04,90.905
2017/12/05,99.108
2017/12/06,111.913
2017/12/07,51.178
2017/12/08,64.248
2017/12/09,61.65
2017/12/10,73.949
2017/12/11,123.389
2017/12/12,129.48
2017/12/13,149.802
2017/12/14,126.101
2017/12/15,85.807
2017/12/16,97.825
2017/12/17,80.369
2017/12/18,137.197
2017/12/19,163.71
2017/12/20,136.97
2017/12/21,130.059
2017/12/22,160.014
2017/12/23,102.391
2017/12/24,53.884
2017/12/25,51.103
2017/12/26,79.428
2017/12/27,55.932
2017/12/28,52.48
2017/12/29,83.967
2017/12/30,117.779
2017/12/31,86.666
2018/01/01,77.118
2018/01/02,111.416
2018/01/03,109.699
2018/01/04,131.365
2018/01/05,71.783
2018/01/06,130.792
2018/01/07,89.836
2018/01/08,88.603
2018/01/09,125.081
2018/01/10,67.953
2018/01/11,49.506
2018/01/12,31.532
2018/01/13,39.432
2018/01/14,38.89
2018/01/15,76.472
2018/01/16,85.17
2018/01/17,65.343
2018/01/18,36.538
2018/01/19,7.962
2018/01/20,-17.45
2018/01/21,14.434
2018/01/22,9.871
2018/01/23,38.448
2018/01/24,33.452
2018/01/25,-9.448
2018/01/26,12.217
2018/01/27,-2.542
2018/01/28,-29.212
