Date,price14smaUSD
2016/01/01,0.893
2016/01/02,0.897
2016/01/03,0.901
2016/01/04,0.906
2016/01/05,0.911
2016/01/06,0.918
2016/01/07,0.927
2016/01/08,0.935
2016/01/09,0.949
2016/01/10,0.966
2016/01/11,0.98
2016/01/12,1.003
2016/01/13,1.02
2016/01/14,1.033
2016/01/15,1.053
2016/01/16,1.073
2016/01/17,1.091
2016/01/18,1.123
2016/01/19,1.151
2016/01/20,1.186
2016/01/21,1.224
2016/01/22,1.262
2016/01/23,1.311
2016/01/24,1.386
2016/01/25,1.475
2016/01/26,1.576
2016/01/27,1.666
2016/01/28,1.763
2016/01/29,1.853
2016/01/30,1.945
2016/01/31,2.027
2016/02/01,2.084
2016/02/02,2.146
2016/02/03,2.215
2016/02/04,2.287
2016/02/05,2.359
2016/02/06,2.413
2016/02/07,2.453
2016/02/08,2.51
2016/02/09,2.575
2016/02/10,2.716
2016/02/11,2.89
2016/02/12,3.133
2016/02/13,3.31
2016/02/14,3.489
2016/02/15,3.721
2016/02/16,3.908
2016/02/17,4.028
2016/02/18,4.135
2016/02/19,4.276
2016/02/20,4.414
2016/02/21,4.538
2016/02/22,4.683
2016/02/23,4.839
2016/02/24,4.943
2016/02/25,5.039
2016/02/26,5.044
2016/02/27,5.132
2016/02/28,5.243
2016/02/29,5.311
2016/03/01,5.445
2016/03/02,5.723
2016/03/03,6.095
2016/03/04,6.435
2016/03/05,6.914
2016/03/06,7.391
2016/03/07,7.761
2016/03/08,8.041
2016/03/09,8.381
2016/03/10,8.763
2016/03/11,9.129
2016/03/12,9.606
2016/03/13,10.169
2016/03/14,10.672
2016/03/15,11.097
2016/03/16,11.472
2016/03/17,11.641
2016/03/18,11.708
2016/03/19,11.668
2016/03/20,11.605
2016/03/21,11.651
2016/03/22,11.794
2016/03/23,11.886
2016/03/24,11.868
2016/03/25,11.846
2016/03/26,11.698
2016/03/27,11.438
2016/03/28,11.276
2016/03/29,11.194
2016/03/30,11.091
2016/03/31,11.102
2016/04/01,11.202
2016/04/02,11.266
2016/04/03,11.356
2016/04/04,11.377
2016/04/05,11.314
2016/04/06,11.224
2016/04/07,11.151
2016/04/08,11.087
2016/04/09,10.999
2016/04/10,10.852
2016/04/11,10.658
2016/04/12,10.395
2016/04/13,10.108
2016/04/14,9.867
2016/04/15,9.632
2016/04/16,9.405
2016/04/17,9.245
2016/04/18,9.087
2016/04/19,8.967
2016/04/20,8.824
2016/04/21,8.687
2016/04/22,8.552
2016/04/23,8.437
2016/04/24,8.406
2016/04/25,8.357
2016/04/26,8.317
2016/04/27,8.303
2016/04/28,8.235
2016/04/29,8.173
2016/04/30,8.172
