Date,fee_to_reward7rsiUSD
2016/10/16,51.196
2016/10/17,54.104
2016/10/18,63.815
2016/10/19,60.225
2016/10/20,41.441
2016/10/21,38.171
2016/10/22,33.287
2016/10/23,32.921
2016/10/24,47.231
2016/10/25,44.81
2016/10/26,40.446
2016/10/27,39.744
2016/10/28,42.438
2016/10/29,40.076
2016/10/30,37.844
2016/10/31,41.408
2016/11/01,52.317
2016/11/02,40.548
2016/11/03,40.99
2016/11/04,34.657
2016/11/05,38.225
2016/11/06,36.774
2016/11/07,43.778
2016/11/08,48.668
2016/11/09,55.537
2016/11/10,55.699
2016/11/11,64.749
2016/11/12,45.497
2016/11/13,49.371
2016/11/14,55.909
2016/11/15,54.749
2016/11/16,50.721
2016/11/17,44.207
2016/11/18,47.981
2016/11/19,38.525
2016/11/20,47.803
2016/11/21,53.794
2016/11/22,59.695
2016/11/23,84.642
2016/11/24,60.384
2016/11/25,59.446
2016/11/26,67.5
2016/11/27,79.323
2016/11/28,80.774
2016/11/29,67.297
2016/11/30,37.963
2016/12/01,35.601
2016/12/02,36.101
2016/12/03,35.21
2016/12/04,36.085
2016/12/05,40.246
2016/12/06,42.557
2016/12/07,43.142
2016/12/08,43.593
2016/12/09,40.006
2016/12/10,37.805
2016/12/11,48.475
2016/12/12,42.679
2016/12/13,41.925
2016/12/14,48.008
2016/12/15,48.118
2016/12/16,41.667
2016/12/17,45.709
2016/12/18,37.964
2016/12/19,54.382
2016/12/20,63.091
2016/12/21,72.305
2016/12/22,51.625
2016/12/23,42.294
2016/12/24,38.734
2016/12/25,36.818
2016/12/26,36.066
2016/12/27,54.852
2016/12/28,48.549
2016/12/29,57.978
2016/12/30,61.745
2016/12/31,44.06
2017/01/01,40.736
2017/01/02,44.649
2017/01/03,57.709
2017/01/04,55.946
2017/01/05,50.437
2017/01/06,46.536
2017/01/07,44.35
2017/01/08,49.381
2017/01/09,53.824
2017/01/10,58.778
2017/01/11,50.467
2017/01/12,54.642
2017/01/13,51.615
2017/01/14,39.6
2017/01/15,41.86
2017/01/16,48.19
2017/01/17,61.258
2017/01/18,49.591
2017/01/19,44.059
2017/01/20,50.713
2017/01/21,44.481
2017/01/22,54.32
2017/01/23,52.887
2017/01/24,63.444
2017/01/25,55.345
2017/01/26,51.544
2017/01/27,51.01
2017/01/28,44.959
2017/01/29,39.753
2017/01/30,44.096
2017/01/31,43.431
2017/02/01,60.769
2017/02/02,52.549
2017/02/03,48.782
2017/02/04,44.414
2017/02/05,51.287
2017/02/06,54.136
2017/02/07,73.914
2017/02/08,65.775
2017/02/09,57.794
2017/02/10,67.329
2017/02/11,49.024
2017/02/12,52.536
2017/02/13,74.982
2017/02/14,58.005
2017/02/15,69.162
2017/02/16,45.182
2017/02/17,45.081
2017/02/18,50.54
2017/02/19,43.46
2017/02/20,48.011
2017/02/21,59.707
2017/02/22,56.282
2017/02/23,48.179
2017/02/24,46.253
2017/02/25,49.641
2017/02/26,43.401
2017/02/27,51.524
2017/02/28,57.063
2017/03/01,59.592
2017/03/02,61.647
2017/03/03,49.149
2017/03/04,44.139
2017/03/05,44.755
2017/03/06,42.338
2017/03/07,47.917
2017/03/08,41.044
2017/03/09,59.108
2017/03/10,63.619
2017/03/11,52.22
2017/03/12,54.033
2017/03/13,77.094
2017/03/14,75.768
2017/03/15,59.441
2017/03/16,72.798
2017/03/17,70.776
2017/03/18,47.64
2017/03/19,45.919
2017/03/20,44.815
2017/03/21,53.042
2017/03/22,48.285
2017/03/23,49.915
2017/03/24,57.777
2017/03/25,46.08
2017/03/26,45.921
2017/03/27,64.816
2017/03/28,51.432
2017/03/29,54.594
2017/03/30,56.91
2017/03/31,61.717
2017/04/01,42.402
2017/04/02,51.577
2017/04/03,57.042
2017/04/04,48.138
2017/04/05,50.964
2017/04/06,56.594
2017/04/07,54.417
2017/04/08,36.894
2017/04/09,43.149
2017/04/10,49.948
2017/04/11,45.323
2017/04/12,63.328
2017/04/13,47.43
2017/04/14,47.326
2017/04/15,44.846
2017/04/16,41.845
2017/04/17,47.537
2017/04/18,59.752
2017/04/19,64.842
2017/04/20,55.009
2017/04/21,68.071
2017/04/22,53.634
2017/04/23,45.835
2017/04/24,52.749
2017/04/25,54.96
2017/04/26,54.879
2017/04/27,64.149
2017/04/28,54.721
2017/04/29,47.484
2017/04/30,55.098
2017/05/01,70.346
2017/05/02,72.912
2017/05/03,46.707
2017/05/04,55.079
2017/05/05,49.806
2017/05/06,49.832
2017/05/07,61.266
2017/05/08,55.345
2017/05/09,60.581
2017/05/10,59.563
2017/05/11,62.191
2017/05/12,60.844
2017/05/13,61.092
2017/05/14,63.964
2017/05/15,77.988
2017/05/16,79.483
2017/05/17,92.351
2017/05/18,60.365
2017/05/19,64.188
2017/05/20,56.349
2017/05/21,57.665
2017/05/22,63.946
2017/05/23,77.188
2017/05/24,79.365
2017/05/25,59.091
2017/05/26,55.028
2017/05/27,48.549
2017/05/28,51.466
2017/05/29,48.391
2017/05/30,72.829
2017/05/31,85.359
2017/06/01,51.127
2017/06/02,55.84
2017/06/03,48.324
2017/06/04,51.451
2017/06/05,46.973
2017/06/06,52.749
2017/06/07,53.893
2017/06/08,48.48
2017/06/09,50.235
2017/06/10,44.086
2017/06/11,58.891
2017/06/12,72.765
2017/06/13,50.049
2017/06/14,46.759
2017/06/15,49.353
2017/06/16,46.914
2017/06/17,44.68
2017/06/18,46.48
2017/06/19,51.125
2017/06/20,80.58
2017/06/21,85.431
2017/06/22,65.568
2017/06/23,51.891
2017/06/24,57.198
2017/06/25,47.382
2017/06/26,53.376
2017/06/27,43.287
2017/06/28,55.316
2017/06/29,49.633
2017/06/30,44.075
2017/07/01,42.519
2017/07/02,42.662
2017/07/03,50.141
2017/07/04,46.508
2017/07/05,49.567
2017/07/06,41.876
2017/07/07,46.116
2017/07/08,47.042
2017/07/09,38.348
2017/07/10,42.551
2017/07/11,46.287
2017/07/12,52.343
2017/07/13,52.338
2017/07/14,44.557
2017/07/15,45.501
2017/07/16,44.169
2017/07/17,45.683
2017/07/18,68.027
2017/07/19,49.945
2017/07/20,41.759
2017/07/21,44.789
2017/07/22,39.048
2017/07/23,48.913
