Date,mediantransactionvalue14wmaUSD
2016/01/01,0.732
2016/01/02,0.821
2016/01/03,0.906
2016/01/04,0.977
2016/01/05,0.876
2016/01/06,0.775
2016/01/07,0.675
2016/01/08,0.721
2016/01/09,0.768
2016/01/10,0.837
2016/01/11,0.886
2016/01/12,0.97
2016/01/13,0.847
2016/01/14,0.893
2016/01/15,1
2016/01/16,1.089
2016/01/17,1.176
2016/01/18,1.248
2016/01/19,1.212
2016/01/20,1.38
2016/01/21,1.498
2016/01/22,1.526
2016/01/23,1.664
2016/01/24,1.837
2016/01/25,1.932
2016/01/26,2.074
2016/01/27,1.945
2016/01/28,2.033
2016/01/29,2.128
2016/01/30,2.247
2016/01/31,2.349
2016/02/01,2.394
2016/02/02,2.421
2016/02/03,2.491
2016/02/04,2.55
2016/02/05,2.59
2016/02/06,2.255
2016/02/07,2.362
2016/02/08,2.541
2016/02/09,2.769
2016/02/10,3.218
2016/02/11,3.55
2016/02/12,4.133
2016/02/13,4.418
2016/02/14,4.686
2016/02/15,4.989
2016/02/16,5.165
2016/02/17,5.158
2016/02/18,5.173
2016/02/19,5.217
2016/02/20,5.249
2016/02/21,5.257
2016/02/22,5.32
2016/02/23,5.454
2016/02/24,5.565
2016/02/25,5.742
2016/02/26,5.823
2016/02/27,5.984
2016/02/28,6.213
2016/02/29,6.406
2016/03/01,6.659
2016/03/02,7.041
2016/03/03,7.569
2016/03/04,8.01
2016/03/05,8.893
2016/03/06,9.437
2016/03/07,9.851
2016/03/08,10.08
2016/03/09,10.39
2016/03/10,11.013
2016/03/11,11.239
2016/03/12,11.82
2016/03/13,12.425
2016/03/14,12.923
2016/03/15,13.172
2016/03/16,13.46
2016/03/17,13.436
2016/03/18,13.2
2016/03/19,12.896
2016/03/20,12.598
2016/03/21,12.432
2016/03/22,12.339
2016/03/23,12.273
2016/03/24,12.091
2016/03/25,11.83
2016/03/26,11.598
2016/03/27,11.45
2016/03/28,11.38
2016/03/29,11.403
2016/03/30,11.475
2016/03/31,11.568
2016/04/01,11.628
2016/04/02,11.676
2016/04/03,11.722
2016/04/04,11.706
2016/04/05,11.582
2016/04/06,11.491
2016/04/07,11.376
2016/04/08,11.188
2016/04/09,10.988
2016/04/10,10.667
2016/04/11,10.343
2016/04/12,9.949
2016/04/13,9.57
2016/04/14,9.322
2016/04/15,9.095
2016/04/16,8.914
2016/04/17,8.673
2016/04/18,8.666
2016/04/19,8.674
2016/04/20,8.637
2016/04/21,8.585
2016/04/22,8.514
2016/04/23,8.458
2016/04/24,8.434
2016/04/25,8.364
2016/04/26,8.245
2016/04/27,8.17
2016/04/28,8.068
2016/04/29,7.973
2016/04/30,7.985
2016/05/01,8.068
2016/05/02,8.264
2016/05/03,8.466
2016/05/04,8.64
2016/05/05,8.804
2016/05/06,8.967
2016/05/07,9.084
2016/05/08,9.174
2016/05/09,9.272
2016/05/10,9.345
2016/05/11,9.442
2016/05/12,9.583
2016/05/13,9.788
2016/05/14,9.899
2016/05/15,9.957
2016/05/16,10.059
2016/05/17,10.326
2016/05/18,10.74
2016/05/19,11.235
2016/05/20,11.754
2016/05/21,12.111
2016/05/22,12.492
2016/05/23,12.858
2016/05/24,13.032
2016/05/25,13.061
2016/05/26,12.281
2016/05/27,12.193
2016/05/28,10.715
2016/05/29,10.126
2016/05/30,10.281
2016/05/31,10.517
2016/06/01,10.834
2016/06/02,11.136
2016/06/03,11.418
2016/06/04,11.171
2016/06/05,11.508
2016/06/06,11.863
2016/06/07,11.337
