Date,activeaddresses14std
2016/11/10,5608
2016/11/11,5517
2016/11/12,5544
2016/11/13,5403
2016/11/14,4899
2016/11/15,4489
2016/11/16,3891
2016/11/17,3568
2016/11/18,2573
2016/11/19,2626
2016/11/20,2235
2016/11/21,2037
2016/11/22,7260
2016/11/23,13502
2016/11/24,13653
2016/11/25,14258
2016/11/26,14608
2016/11/27,14832
2016/11/28,14810
2016/11/29,15004
2016/11/30,15003
2016/12/01,15129
2016/12/02,15139
2016/12/03,15079
2016/12/04,15105
2016/12/05,15141
2016/12/06,13776
2016/12/07,6800
2016/12/08,6731
2016/12/09,3000
2016/12/10,2709
2016/12/11,2641
2016/12/12,2651
2016/12/13,2641
2016/12/14,2682
2016/12/15,2674
2016/12/16,2669
2016/12/17,2655
2016/12/18,2941
2016/12/19,3080
2016/12/20,2686
2016/12/21,2677
2016/12/22,4694
2016/12/23,4713
2016/12/24,4647
2016/12/25,4939
2016/12/26,5250
2016/12/27,5276
2016/12/28,5311
2016/12/29,5241
2016/12/30,5252
2016/12/31,5222
2017/01/01,5244
2017/01/02,5205
2017/01/03,5099
2017/01/04,5644
2017/01/05,4715
2017/01/06,4926
2017/01/07,4967
2017/01/08,4710
2017/01/09,4516
2017/01/10,4293
2017/01/11,4199
2017/01/12,4184
2017/01/13,4084
2017/01/14,4193
2017/01/15,3704
2017/01/16,3506
2017/01/17,3262
2017/01/18,2934
2017/01/19,2217
2017/01/20,2085
2017/01/21,2095
2017/01/22,2030
2017/01/23,1850
2017/01/24,1920
2017/01/25,1927
2017/01/26,1849
2017/01/27,1865
2017/01/28,1770
2017/01/29,1839
2017/01/30,1673
2017/01/31,1522
2017/02/01,1531
2017/02/02,1547
2017/02/03,1263
2017/02/04,1455
2017/02/05,1741
2017/02/06,1815
2017/02/07,1756
2017/02/08,1861
2017/02/09,1933
2017/02/10,2154
2017/02/11,2011
2017/02/12,1655
2017/02/13,2555
2017/02/14,3085
2017/02/15,3558
2017/02/16,3607
2017/02/17,3424
2017/02/18,3529
2017/02/19,3493
2017/02/20,3466
2017/02/21,3310
2017/02/22,3183
2017/02/23,3021
2017/02/24,3326
2017/02/25,2559
2017/02/26,1881
2017/02/27,2262
2017/02/28,4281
2017/03/01,5710
2017/03/02,9729
2017/03/03,10604
2017/03/04,10716
2017/03/05,10334
2017/03/06,10236
2017/03/07,9828
2017/03/08,9250
2017/03/09,8614
2017/03/10,8345
2017/03/11,7592
2017/03/12,6929
2017/03/13,10673
2017/03/14,11372
2017/03/15,12281
2017/03/16,19273
2017/03/17,23329
2017/03/18,23624
2017/03/19,22839
2017/03/20,22156
2017/03/21,20716
2017/03/22,19028
2017/03/23,17943
2017/03/24,16539
2017/03/25,14808
2017/03/26,13966
2017/03/27,13969
2017/03/28,13716
2017/03/29,13590
2017/03/30,11406
2017/03/31,11652
2017/04/01,11712
2017/04/02,11695
2017/04/03,13464
2017/04/04,13365
2017/04/05,12888
2017/04/06,13092
2017/04/07,13387
2017/04/08,14415
2017/04/09,15103
2017/04/10,15484
2017/04/11,15883
2017/04/12,15991
2017/04/13,15426
2017/04/14,12863
2017/04/15,12987
2017/04/16,13943
2017/04/17,11442
2017/04/18,11171
2017/04/19,10888
2017/04/20,8025
2017/04/21,7970
2017/04/22,7890
2017/04/23,7418
2017/04/24,7663
2017/04/25,7628
2017/04/26,9023
2017/04/27,14291
2017/04/28,15683
2017/04/29,15845
2017/04/30,15092
2017/05/01,16649
2017/05/02,17728
2017/05/03,17606
2017/05/04,20263
2017/05/05,20482
2017/05/06,18266
2017/05/07,16395
2017/05/08,17347
2017/05/09,15473
2017/05/10,14333
2017/05/11,15198
2017/05/12,14561
2017/05/13,13693
2017/05/14,12784
2017/05/15,13168
2017/05/16,13264
2017/05/17,11714
2017/05/18,14503
2017/05/19,23059
2017/05/20,21874
2017/05/21,22582
2017/05/22,28522
2017/05/23,35150
2017/05/24,39176
2017/05/25,42249
2017/05/26,41967
2017/05/27,38059
2017/05/28,34530
2017/05/29,32610
2017/05/30,30526
2017/05/31,26973
2017/06/01,30242
2017/06/02,30477
2017/06/03,25579
2017/06/04,22681
2017/06/05,23469
2017/06/06,26106
2017/06/07,27399
2017/06/08,27666
2017/06/09,30474
2017/06/10,30898
2017/06/11,33771
2017/06/12,51102
2017/06/13,58661
2017/06/14,60521
2017/06/15,63816
2017/06/16,61300
2017/06/17,57507
2017/06/18,53001
2017/06/19,51009
2017/06/20,49774
2017/06/21,45953
2017/06/22,41023
2017/06/23,37926
2017/06/24,33297
2017/06/25,35535
2017/06/26,43031
2017/06/27,42140
2017/06/28,42169
2017/06/29,42114
2017/06/30,41338
2017/07/01,40559
2017/07/02,40300
2017/07/03,41011
2017/07/04,41103
2017/07/05,38035
2017/07/06,36948
2017/07/07,37054
2017/07/08,39371
2017/07/09,40606
2017/07/10,29701
2017/07/11,30340
2017/07/12,30261
2017/07/13,31719
2017/07/14,32831
2017/07/15,34701
2017/07/16,35643
2017/07/17,33741
2017/07/18,32310
2017/07/19,32337
2017/07/20,32310
2017/07/21,28215
2017/07/22,32040
2017/07/23,30734
2017/07/24,26543
2017/07/25,23375
2017/07/26,22374
2017/07/27,22685
2017/07/28,22681
2017/07/29,26080
2017/07/30,27335
2017/07/31,29779
2017/08/01,29384
2017/08/02,27604
2017/08/03,26605
2017/08/04,27530
2017/08/05,25941
2017/08/06,23821
2017/08/07,26717
2017/08/08,37851
2017/08/09,38811
2017/08/10,47893
2017/08/11,55359
2017/08/12,53339
2017/08/13,50766
2017/08/14,66474
2017/08/15,71100
2017/08/16,73918
2017/08/17,74187
2017/08/18,77404
2017/08/19,71306
2017/08/20,65497
2017/08/21,60104
2017/08/22,59126
2017/08/23,52840
2017/08/24,52869
2017/08/25,52477
2017/08/26,57641
2017/08/27,59884
2017/08/28,57547
2017/08/29,56783
2017/08/30,56705
2017/08/31,56621
2017/09/01,50912
2017/09/02,51431
2017/09/03,51780
2017/09/04,61251
2017/09/05,66284
2017/09/06,74549
2017/09/07,74508
2017/09/08,75470
2017/09/09,67139
2017/09/10,64566
2017/09/11,63521
2017/09/12,64447
2017/09/13,64991
2017/09/14,64555
2017/09/15,69294
2017/09/16,67937
2017/09/17,70056
2017/09/18,66922
2017/09/19,66043
2017/09/20,60677
2017/09/21,62140
2017/09/22,67099
2017/09/23,74586
2017/09/24,78177
2017/09/25,79061
2017/09/26,74513
2017/09/27,74002
2017/09/28,68320
2017/09/29,43872
2017/09/30,42080
2017/10/01,43904
2017/10/02,34158
2017/10/03,30495
2017/10/04,28116
2017/10/05,27103
2017/10/06,25427
2017/10/07,22624
2017/10/08,21492
2017/10/09,21430
2017/10/10,27693
2017/10/11,30062
2017/10/12,32204
2017/10/13,42182
2017/10/14,41541
2017/10/15,38099
2017/10/16,37878
2017/10/17,46770
2017/10/18,46638
2017/10/19,45760
2017/10/20,46604
2017/10/21,42219
2017/10/22,39300
2017/10/23,36103
2017/10/24,37667
2017/10/25,37028
2017/10/26,36613
2017/10/27,35097
2017/10/28,126832
2017/10/29,170581
2017/10/30,200975
2017/10/31,201632
2017/11/01,206064
2017/11/02,215338
2017/11/03,216697
2017/11/04,215872
2017/11/05,213901
2017/11/06,213760
2017/11/07,213339
2017/11/08,216212
2017/11/09,219112
2017/11/10,221629
2017/11/11,190096
2017/11/12,145630
2017/11/13,56195
2017/11/14,57844
2017/11/15,67403
2017/11/16,62622
2017/11/17,67472
2017/11/18,60246
2017/11/19,48683
2017/11/20,49833
2017/11/21,50678
2017/11/22,54213
2017/11/23,56902
2017/11/24,57059
2017/11/25,46128
2017/11/26,43896
2017/11/27,53431
2017/11/28,69286
2017/11/29,93587
2017/11/30,101483
2017/12/01,102569
2017/12/02,96450
2017/12/03,93349
2017/12/04,95407
2017/12/05,94146
2017/12/06,140928
2017/12/07,135272
2017/12/08,129770
2017/12/09,117226
2017/12/10,101257
2017/12/11,107021
2017/12/12,125644
2017/12/13,153575
2017/12/14,183929
2017/12/15,185748
2017/12/16,181085
2017/12/17,178206
2017/12/18,190700
2017/12/19,216647
2017/12/20,236657
2017/12/21,245433
2017/12/22,255764
2017/12/23,229957
2017/12/24,207475
2017/12/25,208629
2017/12/26,209196
2017/12/27,208615
2017/12/28,208633
2017/12/29,220652
2017/12/30,241640
2017/12/31,235655
2018/01/01,237464
2018/01/02,247998
2018/01/03,284406
2018/01/04,348058
2018/01/05,377379
2018/01/06,387226
2018/01/07,359408
2018/01/08,326569
2018/01/09,301845
2018/01/10,276287
2018/01/11,250817
2018/01/12,247646
2018/01/13,247812
2018/01/14,216540
2018/01/15,156337
2018/01/16,154569
2018/01/17,156469
2018/01/18,125767
2018/01/19,148268
2018/01/20,200504
2018/01/21,211056
2018/01/22,226384
2018/01/23,236627
2018/01/24,252499
2018/01/25,293459
2018/01/26,296950
2018/01/27,308097
2018/01/28,316442
2018/01/29,298417
2018/01/30,256960
2018/01/31,196166
2018/02/01,134185
2018/02/02,128932
2018/02/03,138934
2018/02/04,132905
2018/02/05,125341
2018/02/06,123107
2018/02/07,126568
2018/02/08,146044
2018/02/09,146781
2018/02/10,147070
2018/02/11,156076
2018/02/12,150693
2018/02/13,156207
2018/02/14,157606
2018/02/15,131249
2018/02/16,107628
2018/02/17,113628
2018/02/18,117586
2018/02/19,106667
2018/02/20,94216
2018/02/21,90854
2018/02/22,83042
2018/02/23,88439
2018/02/24,98782
2018/02/25,110370
2018/02/26,99192
2018/02/27,100398
2018/02/28,99374
2018/03/01,98336
2018/03/02,98710
2018/03/03,107562
2018/03/04,121459
2018/03/05,115093
2018/03/06,88817
2018/03/07,92866
2018/03/08,89554
2018/03/09,90346
2018/03/10,93258
2018/03/11,104132
2018/03/12,100522
2018/03/13,99813
2018/03/14,96681
2018/03/15,96045
2018/03/16,95789
2018/03/17,100269
2018/03/18,96253
2018/03/19,95378
2018/03/20,93962
2018/03/21,56649
2018/03/22,54862
2018/03/23,63680
2018/03/24,62154
2018/03/25,70373
2018/03/26,70617
2018/03/27,73190
2018/03/28,73734
2018/03/29,72944
2018/03/30,72942
2018/03/31,75072
2018/04/01,82926
2018/04/02,77765
2018/04/03,77662
2018/04/04,73865
2018/04/05,79157
2018/04/06,64512
2018/04/07,61944
2018/04/08,55850
2018/04/09,57417
2018/04/10,57366
2018/04/11,55046
