Date,sentinusd90rocUSD
2016/10/18,-79.001
2016/10/19,-40.381
2016/10/20,-78.563
2016/10/21,-80.282
2016/10/22,-96.471
2016/10/23,-96.029
2016/10/24,-97.083
2016/10/25,-91.919
2016/10/26,-88.975
2016/10/27,-84.402
2016/10/28,-63.609
2016/10/29,-54.839
2016/10/30,-59.011
2016/10/31,-86.637
2016/11/01,-63.261
2016/11/02,18.877
2016/11/03,136.526
2016/11/04,-32.276
2016/11/05,-58.268
2016/11/06,-75.74
2016/11/07,-81.129
2016/11/08,-87.538
2016/11/09,-53.212
2016/11/10,-60.223
2016/11/11,67.912
2016/11/12,-31.892
2016/11/13,-20.31
2016/11/14,-48.568
2016/11/15,-46.341
2016/11/16,-14.852
2016/11/17,190.61
2016/11/18,-39.114
2016/11/19,-78.995
2016/11/20,-75.556
2016/11/21,-87.25
2016/11/22,131.167
2016/11/23,131.405
2016/11/24,-64.029
2016/11/25,31.781
2016/11/26,-28.361
2016/11/27,-50.561
2016/11/28,-26.547
2016/11/29,-12.686
2016/11/30,-58.652
2016/12/01,-58.494
2016/12/02,77.026
2016/12/03,119.324
2016/12/04,36.253
2016/12/05,135.233
2016/12/06,318.395
2016/12/07,8.926
2016/12/08,164.713
2016/12/09,170.055
2016/12/10,16.435
2016/12/11,45.317
2016/12/12,-22.821
2016/12/13,3.245
2016/12/14,18.899
2016/12/15,-39.09
2016/12/16,9.937
2016/12/17,18.366
2016/12/18,42.267
2016/12/19,-78.858
2016/12/20,-81.035
2016/12/21,-35.148
2016/12/22,-6.903
2016/12/23,162.63
2016/12/24,-47.282
2016/12/25,-59.297
2016/12/26,-59.451
2016/12/27,-69.326
2016/12/28,-24.856
2016/12/29,209.25
2016/12/30,149.829
2016/12/31,114.495
2017/01/01,85.199
2017/01/02,149.077
2017/01/03,224.997
2017/01/04,584.409
2017/01/05,613.206
2017/01/06,475.629
2017/01/07,36.4
2017/01/08,-18.207
2017/01/09,67.654
2017/01/10,53.637
2017/01/11,280.682
2017/01/12,37.621
2017/01/13,73.892
2017/01/14,-52.803
2017/01/15,-73.919
2017/01/16,-78.321
2017/01/17,19.536
2017/01/18,1.229
2017/01/19,37.198
2017/01/20,368.954
2017/01/21,95.288
2017/01/22,35.614
2017/01/23,-25.897
2017/01/24,-21.961
2017/01/25,-6.019
2017/01/26,-35.216
2017/01/27,-46.136
2017/01/28,-75.639
2017/01/29,-34.273
2017/01/30,-76.375
2017/01/31,-71.203
2017/02/01,-87.566
2017/02/02,-0.474
2017/02/03,84.085
2017/02/04,250.951
2017/02/05,19.413
2017/02/06,110.52
2017/02/07,-32.812
2017/02/08,25.334
2017/02/09,-62.092
2017/02/10,43.95
2017/02/11,-17.383
2017/02/12,155.824
2017/02/13,30.625
2017/02/14,289.793
2017/02/15,67.56
2017/02/16,190.185
2017/02/17,297.654
2017/02/18,395.09
2017/02/19,372.13
2017/02/20,21.929
2017/02/21,99.25
2017/02/22,327.811
2017/02/23,132.571
2017/02/24,916.085
2017/02/25,557.191
2017/02/26,654.131
2017/02/27,1138
2017/02/28,1679
2017/03/01,2033
2017/03/02,1088
2017/03/03,755.764
2017/03/04,1499
2017/03/05,555.312
2017/03/06,598.386
2017/03/07,947.952
2017/03/08,849.508
2017/03/09,1117
2017/03/10,1999
2017/03/11,1878
2017/03/12,5968
2017/03/13,5414
2017/03/14,2440
2017/03/15,1307
2017/03/16,11385
2017/03/17,3020
2017/03/18,5342
2017/03/19,1830
2017/03/20,2605
2017/03/21,3412
2017/03/22,1762
2017/03/23,955.849
2017/03/24,4222
2017/03/25,7931
2017/03/26,7993
2017/03/27,5385
2017/03/28,2535
2017/03/29,1766
2017/03/30,3276
2017/03/31,1350
2017/04/01,3138
2017/04/02,3135
2017/04/03,1639
2017/04/04,347.362
2017/04/05,560.526
2017/04/06,930.537
2017/04/07,413.684
2017/04/08,1104
2017/04/09,545.609
2017/04/10,681.959
2017/04/11,707.551
2017/04/12,712.618
2017/04/13,1093
2017/04/14,3711
2017/04/15,2900
2017/04/16,1031
2017/04/17,645.054
2017/04/18,4650
2017/04/19,4662
2017/04/20,1802
2017/04/21,3676
2017/04/22,3117
2017/04/23,3521
2017/04/24,5035
2017/04/25,3869
2017/04/26,5072
2017/04/27,8111
2017/04/28,15214
2017/04/29,10700
2017/04/30,15895
2017/05/01,14177
