Date,price90varUSD
2016/01/01,0.026
2016/01/02,0.026
2016/01/03,0.026
2016/01/04,0.025
2016/01/05,0.025
2016/01/06,0.025
2016/01/07,0.024
2016/01/08,0.024
2016/01/09,0.024
2016/01/10,0.024
2016/01/11,0.024
2016/01/12,0.024
2016/01/13,0.023
2016/01/14,0.022
2016/01/15,0.022
2016/01/16,0.022
2016/01/17,0.022
2016/01/18,0.022
2016/01/19,0.022
2016/01/20,0.022
2016/01/21,0.024
2016/01/22,0.026
2016/01/23,0.031
2016/01/24,0.045
2016/01/25,0.063
2016/01/26,0.09
2016/01/27,0.11
2016/01/28,0.133
2016/01/29,0.156
2016/01/30,0.179
2016/01/31,0.197
2016/02/01,0.21
2016/02/02,0.224
2016/02/03,0.241
2016/02/04,0.261
2016/02/05,0.281
2016/02/06,0.299
2016/02/07,0.323
2016/02/08,0.361
2016/02/09,0.414
2016/02/10,0.516
2016/02/11,0.657
2016/02/12,0.881
2016/02/13,1.018
2016/02/14,1.143
2016/02/15,1.312
2016/02/16,1.427
2016/02/17,1.491
2016/02/18,1.548
2016/02/19,1.629
2016/02/20,1.705
2016/02/21,1.776
2016/02/22,1.891
2016/02/23,2.042
2016/02/24,2.198
2016/02/25,2.391
2016/02/26,2.55
2016/02/27,2.724
2016/02/28,2.911
2016/02/29,3.088
2016/03/01,3.287
2016/03/02,3.614
2016/03/03,4.1
2016/03/04,4.572
2016/03/05,5.341
2016/03/06,6.076
2016/03/07,6.65
2016/03/08,7.088
2016/03/09,7.658
2016/03/10,8.392
2016/03/11,9.009
2016/03/12,9.944
2016/03/13,11.16
2016/03/14,12.138
2016/03/15,12.924
2016/03/16,13.778
2016/03/17,14.294
2016/03/18,14.574
2016/03/19,14.882
2016/03/20,15.121
2016/03/21,15.438
2016/03/22,15.82
2016/03/23,16.211
2016/03/24,16.504
2016/03/25,16.688
2016/03/26,16.852
2016/03/27,16.974
2016/03/28,17.134
2016/03/29,17.321
2016/03/30,17.518
2016/03/31,17.68
2016/04/01,17.795
2016/04/02,17.865
2016/04/03,17.912
2016/04/04,17.906
2016/04/05,17.816
2016/04/06,17.693
2016/04/07,17.529
2016/04/08,17.313
2016/04/09,17.062
2016/04/10,16.738
2016/04/11,16.411
2016/04/12,16.049
2016/04/13,15.675
2016/04/14,15.316
2016/04/15,14.943
2016/04/16,14.556
2016/04/17,14.212
2016/04/18,13.84
2016/04/19,13.464
2016/04/20,13.071
2016/04/21,12.662
2016/04/22,12.266
2016/04/23,11.913
2016/04/24,11.572
2016/04/25,11.257
2016/04/26,10.918
2016/04/27,10.58
2016/04/28,10.24
2016/04/29,9.895
2016/04/30,9.521
2016/05/01,9.118
2016/05/02,8.722
2016/05/03,8.339
2016/05/04,7.957
2016/05/05,7.561
2016/05/06,7.153
2016/05/07,6.752
2016/05/08,6.394
2016/05/09,6.076
2016/05/10,5.846
2016/05/11,5.67
2016/05/12,5.575
2016/05/13,5.412
2016/05/14,5.224
2016/05/15,5.078
2016/05/16,4.881
2016/05/17,4.639
2016/05/18,4.456
2016/05/19,4.39
2016/05/20,4.335
2016/05/21,4.189
2016/05/22,4.14
2016/05/23,4.127
2016/05/24,4.029
2016/05/25,3.925
2016/05/26,3.788
2016/05/27,3.622
2016/05/28,3.47
2016/05/29,3.332
2016/05/30,3.229
2016/05/31,3.247
2016/06/01,3.354
2016/06/02,3.451
2016/06/03,3.55
2016/06/04,3.646
2016/06/05,3.748
2016/06/06,3.842
2016/06/07,3.961
2016/06/08,4.103
2016/06/09,4.241
2016/06/10,4.308
2016/06/11,4.27
2016/06/12,4.357
2016/06/13,4.681
2016/06/14,5.202
2016/06/15,5.793
2016/06/16,6.562
2016/06/17,6.977
2016/06/18,6.996
2016/06/19,7.004
2016/06/20,7.005
2016/06/21,7.007
2016/06/22,7.101
2016/06/23,7.129
2016/06/24,7.197
2016/06/25,7.278
2016/06/26,7.348
2016/06/27,7.413
2016/06/28,7.441
2016/06/29,7.445
2016/06/30,7.455
2016/07/01,7.46
2016/07/02,7.463
2016/07/03,7.464
2016/07/04,7.457
2016/07/05,7.46
2016/07/06,7.455
2016/07/07,7.45
2016/07/08,7.422
2016/07/09,7.332
2016/07/10,7.233
2016/07/11,7.091
2016/07/12,6.942
2016/07/13,6.84
2016/07/14,6.72
2016/07/15,6.59
2016/07/16,6.521
2016/07/17,6.443
2016/07/18,6.361
2016/07/19,6.249
2016/07/20,6.122
2016/07/21,5.955
2016/07/22,5.808
2016/07/23,5.709
2016/07/24,5.523
2016/07/25,5.279
2016/07/26,5.048
2016/07/27,4.788
2016/07/28,4.527
2016/07/29,4.34
2016/07/30,4.187
2016/07/31,4.096
2016/08/01,4.015
2016/08/02,3.977
2016/08/03,3.974
2016/08/04,3.921
2016/08/05,3.836
2016/08/06,3.756
2016/08/07,3.677
2016/08/08,3.589
2016/08/09,3.505
2016/08/10,3.438
2016/08/11,3.398
2016/08/12,3.339
2016/08/13,3.279
2016/08/14,3.242
2016/08/15,3.257
2016/08/16,3.282
2016/08/17,3.295
2016/08/18,3.296
2016/08/19,3.32
2016/08/20,3.319
2016/08/21,3.314
2016/08/22,3.33
2016/08/23,3.351
2016/08/24,3.373
2016/08/25,3.377
2016/08/26,3.377
2016/08/27,3.392
2016/08/28,3.413
2016/08/29,3.428
2016/08/30,3.42
2016/08/31,3.407
2016/09/01,3.388
2016/09/02,3.37
2016/09/03,3.348
2016/09/04,3.325
2016/09/05,3.292
2016/09/06,3.24
2016/09/07,3.191
2016/09/08,3.156
2016/09/09,3.128
2016/09/10,3.056
2016/09/11,2.827
2016/09/12,2.404
2016/09/13,1.949
2016/09/14,1.303
2016/09/15,0.961
2016/09/16,0.95
2016/09/17,0.956
2016/09/18,0.968
2016/09/19,0.982
2016/09/20,0.957
2016/09/21,0.986
2016/09/22,0.959
2016/09/23,0.92
2016/09/24,0.886
2016/09/25,0.853
2016/09/26,0.848
2016/09/27,0.865
2016/09/28,0.886
2016/09/29,0.905
2016/09/30,0.927
2016/10/01,0.947
2016/10/02,0.967
2016/10/03,0.97
2016/10/04,0.977
2016/10/05,0.96
2016/10/06,0.946
2016/10/07,0.941
2016/10/08,0.929
2016/10/09,0.907
2016/10/10,0.883
2016/10/11,0.856
2016/10/12,0.846
2016/10/13,0.846
2016/10/14,0.846
2016/10/15,0.84
2016/10/16,0.834
2016/10/17,0.828
2016/10/18,0.83
2016/10/19,0.829
2016/10/20,0.806
2016/10/21,0.742
2016/10/22,0.721
2016/10/23,0.701
2016/10/24,0.692
2016/10/25,0.689
2016/10/26,0.685
2016/10/27,0.681
2016/10/28,0.681
2016/10/29,0.697
2016/10/30,0.713
2016/10/31,0.688
2016/11/01,0.645
2016/11/02,0.641
2016/11/03,0.642
2016/11/04,0.636
2016/11/05,0.633
2016/11/06,0.632
2016/11/07,0.643
2016/11/08,0.655
2016/11/09,0.673
2016/11/10,0.692
2016/11/11,0.716
2016/11/12,0.747
2016/11/13,0.777
2016/11/14,0.808
2016/11/15,0.834
2016/11/16,0.855
2016/11/17,0.879
2016/11/18,0.923
2016/11/19,0.969
2016/11/20,1.018
2016/11/21,1.065
2016/11/22,1.097
2016/11/23,1.134
2016/11/24,1.185
2016/11/25,1.241
2016/11/26,1.296
2016/11/27,1.363
2016/11/28,1.447
2016/11/29,1.571
2016/11/30,1.674
2016/12/01,1.773
2016/12/02,1.906
2016/12/03,2.043
2016/12/04,2.192
2016/12/05,2.376
2016/12/06,2.593
2016/12/07,2.725
2016/12/08,2.804
2016/12/09,2.886
2016/12/10,2.967
2016/12/11,3.054
2016/12/12,3.123
2016/12/13,3.187
2016/12/14,3.249
2016/12/15,3.325
2016/12/16,3.391
2016/12/17,3.457
2016/12/18,3.499
2016/12/19,3.494
2016/12/20,3.479
2016/12/21,3.492
2016/12/22,3.494
2016/12/23,3.523
2016/12/24,3.552
2016/12/25,3.582
2016/12/26,3.593
2016/12/27,3.584
2016/12/28,3.574
2016/12/29,3.505
2016/12/30,3.428
2016/12/31,3.35
2017/01/01,3.251
2017/01/02,3.138
2017/01/03,3.014
2017/01/04,2.908
2017/01/05,2.815
2017/01/06,2.74
2017/01/07,2.667
2017/01/08,2.614
2017/01/09,2.561
2017/01/10,2.512
2017/01/11,2.452
2017/01/12,2.388
2017/01/13,2.326
2017/01/14,2.259
2017/01/15,2.193
2017/01/16,2.092
2017/01/17,2.005
2017/01/18,1.931
2017/01/19,1.858
2017/01/20,1.791
2017/01/21,1.733
2017/01/22,1.68
2017/01/23,1.646
2017/01/24,1.611
2017/01/25,1.576
2017/01/26,1.55
2017/01/27,1.544
2017/01/28,1.539
2017/01/29,1.516
2017/01/30,1.509
2017/01/31,1.499
2017/02/01,1.49
2017/02/02,1.478
2017/02/03,1.467
2017/02/04,1.476
2017/02/05,1.488
2017/02/06,1.504
2017/02/07,1.533
2017/02/08,1.562
2017/02/09,1.584
2017/02/10,1.61
2017/02/11,1.648
2017/02/12,1.687
2017/02/13,1.722
2017/02/14,1.81
2017/02/15,1.937
2017/02/16,2.059
2017/02/17,2.179
2017/02/18,2.297
2017/02/19,2.414
2017/02/20,2.526
2017/02/21,2.626
2017/02/22,2.729
2017/02/23,2.836
2017/02/24,2.961
2017/02/25,3.101
2017/02/26,3.265
2017/02/27,3.496
2017/02/28,3.842
2017/03/01,4.204
2017/03/02,4.864
2017/03/03,5.811
2017/03/04,6.645
2017/03/05,7.308
2017/03/06,8.028
2017/03/07,8.71
2017/03/08,9.202
2017/03/09,9.571
2017/03/10,10.047
2017/03/11,10.77
2017/03/12,12.008
2017/03/13,14.624
2017/03/14,17.591
2017/03/15,21.122
2017/03/16,29.658
2017/03/17,41.692
2017/03/18,48.921
2017/03/19,56.128
2017/03/20,65.482
2017/03/21,74.235
2017/03/22,81.656
2017/03/23,88.991
2017/03/24,98.825
2017/03/25,111.453
2017/03/26,123.549
2017/03/27,135.205
2017/03/28,145.926
2017/03/29,158.165
2017/03/30,170.37
2017/03/31,180.166
2017/04/01,189.602
2017/04/02,198.296
2017/04/03,204.164
2017/04/04,208.987
2017/04/05,214.807
2017/04/06,219.309
2017/04/07,222.865
2017/04/08,226.918
2017/04/09,230.453
2017/04/10,233.517
2017/04/11,236.409
2017/04/12,239.037
2017/04/13,243.571
2017/04/14,247.442
2017/04/15,250.974
2017/04/16,254.388
2017/04/17,257.417
2017/04/18,260.759
2017/04/19,264.225
2017/04/20,266.679
2017/04/21,269.011
2017/04/22,270.778
2017/04/23,272.126
2017/04/24,273.691
2017/04/25,274.821
2017/04/26,276.443
2017/04/27,280.717
2017/04/28,290.477
2017/04/29,302.456
2017/04/30,315.494
2017/05/01,333.943
2017/05/02,349.165
2017/05/03,363.909
2017/05/04,385.382
2017/05/05,414.182
2017/05/06,439.573
2017/05/07,465.622
2017/05/08,485.367
2017/05/09,498.605
2017/05/10,513.642
2017/05/11,527.305
2017/05/12,540.793
2017/05/13,550.571
2017/05/14,561.076
2017/05/15,572.582
2017/05/16,581.61
2017/05/17,587.046
2017/05/18,596.965
2017/05/19,628.165
2017/05/20,676.951
2017/05/21,737.598
2017/05/22,858.144
2017/05/23,974.278
2017/05/24,1146
2017/05/25,1333
