Date,confirmationtime7sma
2016/01/01,0.288
2016/01/02,0.287
2016/01/03,0.286
2016/01/04,0.286
2016/01/05,0.285
2016/01/06,0.284
2016/01/07,0.285
2016/01/08,0.282
2016/01/09,0.282
2016/01/10,0.283
2016/01/11,0.283
2016/01/12,0.284
2016/01/13,0.285
2016/01/14,0.284
2016/01/15,0.285
2016/01/16,0.285
2016/01/17,0.286
2016/01/18,0.286
2016/01/19,0.286
2016/01/20,0.285
2016/01/21,0.286
2016/01/22,0.287
2016/01/23,0.288
2016/01/24,0.287
2016/01/25,0.288
2016/01/26,0.287
2016/01/27,0.287
2016/01/28,0.287
2016/01/29,0.287
2016/01/30,0.286
2016/01/31,0.289
2016/02/01,0.287
2016/02/02,0.289
2016/02/03,0.287
2016/02/04,0.287
2016/02/05,0.287
2016/02/06,0.287
2016/02/07,0.285
2016/02/08,0.285
2016/02/09,0.284
2016/02/10,0.286
2016/02/11,0.286
2016/02/12,0.286
2016/02/13,0.285
2016/02/14,0.286
2016/02/15,0.287
2016/02/16,0.287
2016/02/17,0.288
2016/02/18,0.288
2016/02/19,0.288
2016/02/20,0.289
2016/02/21,0.288
2016/02/22,0.287
2016/02/23,0.288
2016/02/24,0.286
2016/02/25,0.285
2016/02/26,0.285
2016/02/27,0.285
2016/02/28,0.286
2016/02/29,0.288
2016/03/01,0.287
2016/03/02,0.287
2016/03/03,0.288
2016/03/04,0.288
2016/03/05,0.287
2016/03/06,0.288
2016/03/07,0.286
2016/03/08,0.287
2016/03/09,0.287
2016/03/10,0.286
2016/03/11,0.285
2016/03/12,0.286
2016/03/13,0.284
2016/03/14,0.283
2016/03/15,0.277
2016/03/16,0.27
2016/03/17,0.264
2016/03/18,0.258
2016/03/19,0.251
2016/03/20,0.245
2016/03/21,0.239
2016/03/22,0.239
2016/03/23,0.239
2016/03/24,0.239
2016/03/25,0.238
2016/03/26,0.238
2016/03/27,0.238
2016/03/28,0.238
2016/03/29,0.238
2016/03/30,0.238
2016/03/31,0.238
2016/04/01,0.238
2016/04/02,0.239
2016/04/03,0.239
2016/04/04,0.239
2016/04/05,0.239
2016/04/06,0.239
2016/04/07,0.239
2016/04/08,0.239
2016/04/09,0.239
2016/04/10,0.239
2016/04/11,0.24
2016/04/12,0.24
2016/04/13,0.24
2016/04/14,0.24
2016/04/15,0.24
2016/04/16,0.239
2016/04/17,0.24
2016/04/18,0.239
2016/04/19,0.239
2016/04/20,0.239
2016/04/21,0.239
2016/04/22,0.239
2016/04/23,0.239
2016/04/24,0.239
2016/04/25,0.239
2016/04/26,0.239
2016/04/27,0.239
