Date,confirmationtime30roc
2016/01/01,-1.249
2016/01/02,2.159
2016/01/03,-2.454
2016/01/04,-1.766
2016/01/05,-4.155
2016/01/06,-2.338
2016/01/07,-1.405
2016/01/08,0.618
2016/01/09,0.883
2016/01/10,-0.609
2016/01/11,-0.607
2016/01/12,7.099
2016/01/13,-0.06
2016/01/14,-0.393
2016/01/15,-2.006
2016/01/16,0.277
2016/01/17,-0.318
2016/01/18,-0.67
2016/01/19,-0.503
2016/01/20,-1.231
2016/01/21,3.345
2016/01/22,2.097
2016/01/23,1.826
2016/01/24,-1.703
2016/01/25,2.52
2016/01/26,-2.601
2016/01/27,1.967
2016/01/28,-1.542
2016/01/29,0.944
2016/01/30,0.458
2016/01/31,0.267
2016/02/01,1.595
2016/02/02,3.613
2016/02/03,-1.981
2016/02/04,1.264
2016/02/05,0.872
2016/02/06,-0.12
2016/02/07,1.75
2016/02/08,0.552
2016/02/09,0.752
2016/02/10,2.943
2016/02/11,-1.773
2016/02/12,-0.616
2016/02/13,-0.059
2016/02/14,1.884
2016/02/15,1.427
2016/02/16,0.219
2016/02/17,4.427
2016/02/18,-0.54
2016/02/19,0.099
2016/02/20,-1.742
2016/02/21,-0.95
2016/02/22,-3.429
2016/02/23,4.005
2016/02/24,-2.943
2016/02/25,0.468
2016/02/26,-1.424
2016/02/27,1.342
2016/02/28,-0.954
2016/02/29,4.087
2016/03/01,-3.563
2016/03/02,-1.396
2016/03/03,-1.177
2016/03/04,4.105
2016/03/05,-1.479
2016/03/06,2.833
2016/03/07,-0.776
2016/03/08,1.395
2016/03/09,1.644
2016/03/10,-2.714
2016/03/11,-2.053
2016/03/12,-0.08
2016/03/13,-2.95
2016/03/14,-0.294
2016/03/15,-16.541
2016/03/16,-17.427
2016/03/17,-17.379
2016/03/18,-18.534
2016/03/19,-17.807
2016/03/20,-16.492
2016/03/21,-15.732
2016/03/22,-16.735
2016/03/23,-14.58
2016/03/24,-18.554
2016/03/25,-17.095
2016/03/26,-15.865
2016/03/27,-16.391
2016/03/28,-16.786
2016/03/29,-16.323
2016/03/30,-20.291
2016/03/31,-16.094
2016/04/01,-16.362
2016/04/02,-15.532
2016/04/03,-17.249
2016/04/04,-15.577
2016/04/05,-18.664
2016/04/06,-16.289
2016/04/07,-15.723
2016/04/08,-18.24
2016/04/09,-12.422
2016/04/10,-16.488
2016/04/11,-15.395
2016/04/12,-13.782
2016/04/13,-15.079
2016/04/14,-0.698
2016/04/15,-0.561
2016/04/16,1.047
2016/04/17,-0.881
2016/04/18,0.446
2016/04/19,0.972
2016/04/20,-0.926
2016/04/21,1.352
2016/04/22,-0.945
2016/04/23,0.826
2016/04/24,1.421
2016/04/25,-0.147
2016/04/26,1.579
2016/04/27,-1.039
2016/04/28,-0.332
2016/04/29,0.282
2016/04/30,-0.611
2016/05/01,2.339
2016/05/02,-2.368
2016/05/03,-0.314
2016/05/04,1.773
2016/05/05,-0.066
2016/05/06,-0.299
2016/05/07,-0.585
2016/05/08,0.843
2016/05/09,-1.837
2016/05/10,0.882
2016/05/11,0.389
2016/05/12,-1.377
2016/05/13,-0.808
2016/05/14,1.057
2016/05/15,0.732
2016/05/16,0.973
2016/05/17,-0.922
2016/05/18,-0.132
2016/05/19,-0.699
2016/05/20,0.215
2016/05/21,0.15
2016/05/22,-0.871
2016/05/23,0.632
2016/05/24,-0.483
2016/05/25,1.244
2016/05/26,-1.113
2016/05/27,0.281
2016/05/28,0.183
2016/05/29,0.483
2016/05/30,0.849
2016/05/31,0.101
2016/06/01,0.679
2016/06/02,-0.296
2016/06/03,-0.813
2016/06/04,0.349
2016/06/05,0.989
2016/06/06,-1.965
2016/06/07,1.018
2016/06/08,-0.772
2016/06/09,-1.313
2016/06/10,0.203
2016/06/11,-0.245
2016/06/12,-0.016
2016/06/13,-2.071
2016/06/14,-0.331
2016/06/15,-0.766
2016/06/16,0.931
2016/06/17,3.659
2016/06/18,2.072
2016/06/19,-2.973
2016/06/20,0.538
2016/06/21,1.417
2016/06/22,-2.052
2016/06/23,0.117
2016/06/24,-0.215
2016/06/25,0.35
2016/06/26,-0.116
2016/06/27,-0.545
2016/06/28,-1.088
2016/06/29,0.267
2016/06/30,-0.819
2016/07/01,-1.436
2016/07/02,1.149
2016/07/03,-0.265
2016/07/04,-0.841
2016/07/05,0.235
2016/07/06,0.329
2016/07/07,-0.762
2016/07/08,1.584
2016/07/09,-0.555
2016/07/10,-2.382
2016/07/11,1.41
2016/07/12,0.982
2016/07/13,-0.033
2016/07/14,0.567
2016/07/15,0.317
2016/07/16,-1.085
2016/07/17,-2.986
2016/07/18,-3.601
2016/07/19,4.221
2016/07/20,0.05
2016/07/21,-2.519
2016/07/22,3.055
2016/07/23,-1.477
2016/07/24,1.769
2016/07/25,-0.531
2016/07/26,4.183
2016/07/27,-1.992
2016/07/28,-0.23
2016/07/29,0.201
2016/07/30,0.067
2016/07/31,1.625
2016/08/01,0.705
2016/08/02,2.562
2016/08/03,1.387
2016/08/04,-3.924
2016/08/05,0.379
2016/08/06,0.97
2016/08/07,-1.333
2016/08/08,1.106
2016/08/09,-1.37
2016/08/10,-0.413
2016/08/11,-1.022
2016/08/12,1.197
2016/08/13,-0.514
2016/08/14,-0.762
2016/08/15,-0.148
2016/08/16,-0.413
2016/08/17,1.664
2016/08/18,-2.131
2016/08/19,-1.131
2016/08/20,1.635
2016/08/21,-2.087
2016/08/22,0.247
2016/08/23,-1.297
2016/08/24,-0.38
2016/08/25,-4.677
2016/08/26,2.814
2016/08/27,0.082
2016/08/28,-0.928
2016/08/29,-0.549
2016/08/30,0.05
2016/08/31,-1.844
2016/09/01,-1.586
2016/09/02,-1.708
2016/09/03,4.085
2016/09/04,0.697
2016/09/05,-1.613
2016/09/06,1.402
2016/09/07,-0.964
2016/09/08,1.895
2016/09/09,-0.329
2016/09/10,1.15
2016/09/11,-1.297
2016/09/12,-0.511
2016/09/13,0.516
2016/09/14,-0.016
2016/09/15,0.381
2016/09/16,-0.923
2016/09/17,0.927
2016/09/18,7.431
2016/09/19,-5.523
2016/09/20,-1.346
2016/09/21,0.264
2016/09/22,4.682
2016/09/23,-2.779
2016/09/24,3.692
2016/09/25,-4.165
2016/09/26,3.988
