Date,activeaddresses14mom
2016/01/01,17
2016/01/02,221
2016/01/03,302
2016/01/04,275
2016/01/05,257
2016/01/06,535
2016/01/07,777
2016/01/08,692
2016/01/09,429
2016/01/10,766
2016/01/11,729
2016/01/12,908
2016/01/13,768
2016/01/14,266
2016/01/15,961
2016/01/16,384
2016/01/17,177
2016/01/18,667
2016/01/19,431
2016/01/20,882
2016/01/21,106
2016/01/22,463
2016/01/23,1002
2016/01/24,1242
2016/01/25,1385
2016/01/26,1688
2016/01/27,1509
2016/01/28,2130
2016/01/29,1513
2016/01/30,2046
2016/01/31,2334
2016/02/01,1476
2016/02/02,1664
2016/02/03,1195
2016/02/04,1460
2016/02/05,2033
2016/02/06,617
2016/02/07,397
2016/02/08,531
2016/02/09,501
2016/02/10,2432
2016/02/11,4048
2016/02/12,2682
2016/02/13,2258
2016/02/14,1277
2016/02/15,1839
2016/02/16,1898
2016/02/17,1934
2016/02/18,1967
2016/02/19,1309
2016/02/20,1795
2016/02/21,2573
2016/02/22,2021
2016/02/23,1705
2016/02/24,173
2016/02/25,-1252
2016/02/26,-477
2016/02/27,20
2016/02/28,1401
2016/02/29,1672
2016/03/01,2517
2016/03/02,3319
2016/03/03,4262
2016/03/04,4005
2016/03/05,6277
2016/03/06,4767
2016/03/07,2512
2016/03/08,4208
2016/03/09,3887
2016/03/10,4295
2016/03/11,4188
2016/03/12,5429
2016/03/13,4668
2016/03/14,4740
2016/03/15,3696
2016/03/16,2455
2016/03/17,2088
2016/03/18,3550
2016/03/19,217
2016/03/20,924
2016/03/21,3122
2016/03/22,1321
2016/03/23,2573
2016/03/24,744
2016/03/25,1912
2016/03/26,102
2016/03/27,1408
2016/03/28,957
2016/03/29,2860
2016/03/30,4027
2016/03/31,1658
2016/04/01,-68
2016/04/02,1171
2016/04/03,1422
2016/04/04,2311
2016/04/05,2968
2016/04/06,1087
2016/04/07,2990
2016/04/08,1018
2016/04/09,2748
2016/04/10,2189
2016/04/11,1220
2016/04/12,115
2016/04/13,-139
2016/04/14,1334
