Date,transactionvalue14momUSD
2016/10/06,-144.554
2016/10/07,-501.317
2016/10/08,-59.537
2016/10/09,-116.425
2016/10/10,249.414
2016/10/11,352.8
2016/10/12,262.756
2016/10/13,-308.727
2016/10/14,412.844
2016/10/15,204.913
2016/10/16,81.686
2016/10/17,402.751
2016/10/18,521.219
2016/10/19,8.318
2016/10/20,-123.726
2016/10/21,-142.341
2016/10/22,-182.045
2016/10/23,-571.372
2016/10/24,-531.648
2016/10/25,-401.061
2016/10/26,-798.058
2016/10/27,-139.193
2016/10/28,-330.955
2016/10/29,88.643
2016/10/30,109.319
2016/10/31,-265.002
2016/11/01,-57.645
2016/11/02,739.594
2016/11/03,2360
2016/11/04,273.667
2016/11/05,93.281
2016/11/06,17.676
2016/11/07,18.206
2016/11/08,-91.433
2016/11/09,295.125
2016/11/10,30.33
2016/11/11,535.068
2016/11/12,-189.862
2016/11/13,-362.955
2016/11/14,-185.438
2016/11/15,-399.818
2016/11/16,-813.921
2016/11/17,-1776
2016/11/18,-164.079
2016/11/19,-42.895
2016/11/20,-19.161
2016/11/21,-18.317
2016/11/22,301.06
2016/11/23,-160.468
2016/11/24,-52.486
2016/11/25,-706.964
2016/11/26,-146.435
2016/11/27,-146.532
2016/11/28,22.824
2016/11/29,0.593
2016/11/30,-8.862
2016/12/01,-549.515
2016/12/02,393.897
2016/12/03,707.609
2016/12/04,181.687
2016/12/05,484.568
2016/12/06,409.495
2016/12/07,81.018
2016/12/08,320.306
2016/12/09,263.635
2016/12/10,127.403
2016/12/11,260.878
2016/12/12,83.994
2016/12/13,-22.27
2016/12/14,-68.194
2016/12/15,129.414
2016/12/16,-380.541
2016/12/17,-317.582
2016/12/18,134.443
2016/12/19,-398.725
2016/12/20,-647.288
2016/12/21,-136.816
2016/12/22,-76.898
2016/12/23,522.902
2016/12/24,162.79
2016/12/25,-198.018
2016/12/26,-55.348
2016/12/27,31.659
2016/12/28,294.014
2016/12/29,432.423
2016/12/30,353.555
2016/12/31,633.044
2017/01/01,-74.723
2017/01/02,355.733
2017/01/03,733.824
2017/01/04,1304
2017/01/05,1249
2017/01/06,662.87
2017/01/07,535.527
2017/01/08,376.544
2017/01/09,822.773
2017/01/10,751.202
2017/01/11,544.011
2017/01/12,56.489
2017/01/13,-135.463
2017/01/14,-1019
2017/01/15,-250.265
2017/01/16,-419.27
2017/01/17,-640.201
2017/01/18,-1423
2017/01/19,-1473
2017/01/20,-1075
2017/01/21,-752.62
2017/01/22,-362.267
2017/01/23,-791.385
2017/01/24,-824.685
2017/01/25,-809.651
2017/01/26,-615.462
2017/01/27,-240.894
2017/01/28,-75.068
2017/01/29,77.638
2017/01/30,-9.681
2017/01/31,-23.616
2017/02/01,105.405
2017/02/02,63.827
2017/02/03,-208.659
2017/02/04,202.931
2017/02/05,-43.552
2017/02/06,120.811
2017/02/07,113.566
2017/02/08,49.932
2017/02/09,70.156
2017/02/10,116.775
2017/02/11,87.005
2017/02/12,87.961
2017/02/13,81.974
2017/02/14,424.539
2017/02/15,667.272
2017/02/16,312.337
2017/02/17,254.711
2017/02/18,176.203
2017/02/19,440.228
2017/02/20,295.907
