Date,mediantransactionvalue7rsiUSD
2016/10/16,54.124
2016/10/17,53.765
2016/10/18,42.979
2016/10/19,54.14
2016/10/20,54.085
2016/10/21,36.011
2016/10/22,53.944
2016/10/23,53.776
2016/10/24,40.197
2016/10/25,47.937
2016/10/26,53.899
2016/10/27,53.695
2016/10/28,53.335
2016/10/29,51.704
2016/10/30,51.629
2016/10/31,53.281
2016/11/01,37.253
2016/11/02,42.014
2016/11/03,54.445
2016/11/04,54.771
2016/11/05,54.884
2016/11/06,54.676
2016/11/07,54.004
2016/11/08,53.804
2016/11/09,52.321
2016/11/10,51.71
2016/11/11,50.259
2016/11/12,47.661
2016/11/13,47.189
2016/11/14,46.451
2016/11/15,46.599
2016/11/16,48.952
2016/11/17,45.802
2016/11/18,40.895
2016/11/19,39.878
2016/11/20,38.922
2016/11/21,38.851
2016/11/22,6.618
2016/11/23,5.59
2016/11/24,55.571
2016/11/25,33.56
2016/11/26,51.171
2016/11/27,43.558
2016/11/28,44.448
2016/11/29,45.605
2016/11/30,49.216
2016/12/01,57.064
2016/12/02,55.465
2016/12/03,55.181
2016/12/04,50.24
2016/12/05,52.655
2016/12/06,50.805
2016/12/07,55.017
2016/12/08,58.392
2016/12/09,57.57
2016/12/10,56.98
2016/12/11,56.057
2016/12/12,57.24
2016/12/13,31.958
2016/12/14,27.88
2016/12/15,36.682
2016/12/16,38.081
2016/12/17,58.367
2016/12/18,59.369
2016/12/19,38.291
2016/12/20,45.726
2016/12/21,38.315
2016/12/22,32.139
2016/12/23,56.914
2016/12/24,57.201
2016/12/25,56.98
2016/12/26,57.078
2016/12/27,44.737
2016/12/28,43.824
2016/12/29,60.505
2016/12/30,44.076
2016/12/31,57.27
2017/01/01,58.071
2017/01/02,57.782
2017/01/03,46.142
2017/01/04,63
2017/01/05,63.099
2017/01/06,60.55
2017/01/07,59.143
2017/01/08,60.073
2017/01/09,62.277
2017/01/10,38.682
2017/01/11,56.232
2017/01/12,38.385
2017/01/13,34.6
2017/01/14,54.335
2017/01/15,43.32
2017/01/16,55.268
2017/01/17,47.291
2017/01/18,55.979
2017/01/19,56.124
2017/01/20,56.748
2017/01/21,57.379
2017/01/22,40.494
2017/01/23,46.624
2017/01/24,37.778
2017/01/25,43.554
2017/01/26,43.741
2017/01/27,45.422
2017/01/28,43.685
2017/01/29,59.376
2017/01/30,45.842
2017/01/31,60.501
2017/02/01,47.706
2017/02/02,58.176
2017/02/03,58.403
2017/02/04,59.662
2017/02/05,52.751
2017/02/06,54.123
2017/02/07,38.38
2017/02/08,40.117
2017/02/09,52.591
2017/02/10,46.38
2017/02/11,46.639
2017/02/12,59.68
2017/02/13,43.299
2017/02/14,49.289
2017/02/15,57.713
2017/02/16,63.185
2017/02/17,57.422
2017/02/18,61.504
2017/02/19,56.287
2017/02/20,46.368
2017/02/21,34.099
2017/02/22,43.58
2017/02/23,59.714
2017/02/24,55.903
2017/02/25,45.591
2017/02/26,59.189
2017/02/27,61.25
2017/02/28,63.3
2017/03/01,63.751
2017/03/02,68.526
2017/03/03,71.864
2017/03/04,70.017
2017/03/05,66.751
2017/03/06,68.72
2017/03/07,34.184
2017/03/08,55.934
2017/03/09,39.934
2017/03/10,55.274
2017/03/11,57.547
2017/03/12,61.177
2017/03/13,67.501
2017/03/14,68.897
2017/03/15,71.169
2017/03/16,80.458
2017/03/17,83.925
2017/03/18,67.07
2017/03/19,67.347
2017/03/20,71.681
2017/03/21,63.48
2017/03/22,65.103
2017/03/23,38.194
2017/03/24,62.192
2017/03/25,65.416
2017/03/26,43.821
2017/03/27,34.318
2017/03/28,45.705
2017/03/29,42.902
2017/03/30,51.398
2017/03/31,55.931
2017/04/01,44.941
2017/04/02,61.325
2017/04/03,57.922
2017/04/04,55.701
2017/04/05,55.186
2017/04/06,56.638
2017/04/07,31.962
2017/04/08,43.092
2017/04/09,39.143
2017/04/10,47.771
2017/04/11,43.932
2017/04/12,44.345
2017/04/13,47.128
2017/04/14,43.637
2017/04/15,42.05
2017/04/16,37.509
2017/04/17,50.627
2017/04/18,51.017
2017/04/19,51.655
2017/04/20,39.943
2017/04/21,38.391
2017/04/22,52.747
2017/04/23,48.341
2017/04/24,64.41
2017/04/25,40.565
2017/04/26,49.112
2017/04/27,46.061
2017/04/28,55.944
2017/04/29,60.962
2017/04/30,64.146
2017/05/01,64.31
2017/05/02,62.78
2017/05/03,62.864
2017/05/04,71.721
2017/05/05,87.818
2017/05/06,61.986
2017/05/07,66.996
2017/05/08,71.222
2017/05/09,67.065
2017/05/10,48.176
2017/05/11,38.538
2017/05/12,46.138
2017/05/13,39.579
2017/05/14,43.636
2017/05/15,37.017
2017/05/16,52.928
2017/05/17,65.111
2017/05/18,43.873
2017/05/19,57.291
2017/05/20,44.843
2017/05/21,46.777
2017/05/22,59.752
2017/05/23,52.321
2017/05/24,59.424
2017/05/25,60.378
2017/05/26,55.916
2017/05/27,52.063
2017/05/28,39.709
2017/05/29,47.843
2017/05/30,57.778
2017/05/31,77.718
2017/06/01,51.194
2017/06/02,43.96
2017/06/03,49.056
2017/06/04,46.277
2017/06/05,52.948
2017/06/06,51.396
2017/06/07,44.574
2017/06/08,45.131
2017/06/09,45.442
2017/06/10,58.428
2017/06/11,60.69
2017/06/12,75.192
2017/06/13,54.084
2017/06/14,51.037
2017/06/15,54.593
2017/06/16,44.375
2017/06/17,44.513
2017/06/18,42.824
2017/06/19,43.299
2017/06/20,78.986
2017/06/21,74.082
2017/06/22,46.17
2017/06/23,44.173
2017/06/24,44.33
2017/06/25,40.28
2017/06/26,50.275
2017/06/27,41.431
2017/06/28,40.621
2017/06/29,41.948
2017/06/30,42.675
2017/07/01,41.845
2017/07/02,38.451
2017/07/03,38.128
2017/07/04,38.933
2017/07/05,38.197
2017/07/06,39.537
2017/07/07,30.604
2017/07/08,42.89
2017/07/09,42.175
2017/07/10,41.777
2017/07/11,48.979
2017/07/12,43.435
2017/07/13,41.188
2017/07/14,43.72
2017/07/15,50.933
2017/07/16,44.584
2017/07/17,46.484
2017/07/18,49.006
2017/07/19,46.678
2017/07/20,45.38
2017/07/21,44.397
2017/07/22,42.764
2017/07/23,41.699
2017/07/24,42.13
2017/07/25,56.376
2017/07/26,48.936
2017/07/27,54.697
2017/07/28,43.701
2017/07/29,56.53
2017/07/30,42.899
2017/07/31,51.059
2017/08/01,63.504
2017/08/02,63.029
2017/08/03,47.713
2017/08/04,42.615
2017/08/05,50.45
2017/08/06,45.843
2017/08/07,55.586
2017/08/08,50.334
2017/08/09,68.574
2017/08/10,48.808
2017/08/11,47.082
2017/08/12,47.199
2017/08/13,47.821
2017/08/14,37.629
2017/08/15,60.022
2017/08/16,57.169
2017/08/17,50.631
2017/08/18,65.337
2017/08/19,40.65
2017/08/20,47.311
2017/08/21,51.524
2017/08/22,47.149
2017/08/23,50.319
2017/08/24,49.501
2017/08/25,50.496
2017/08/26,39.785
2017/08/27,37.854
2017/08/28,52.878
2017/08/29,54.707
2017/08/30,55.515
