Date,transactions90ema
2016/01/01,9053
2016/01/02,9055
2016/01/03,9060
2016/01/04,9069
2016/01/05,9231
2016/01/06,9403
2016/01/07,9682
2016/01/08,9709
2016/01/09,9755
2016/01/10,9767
2016/01/11,9792
2016/01/12,9815
2016/01/13,9988
2016/01/14,10002
2016/01/15,10000
2016/01/16,10014
2016/01/17,10008
2016/01/18,10072
2016/01/19,10146
2016/01/20,10156
2016/01/21,10169
2016/01/22,10250
2016/01/23,10267
2016/01/24,10322
2016/01/25,10472
2016/01/26,10604
2016/01/27,10783
2016/01/28,10915
2016/01/29,11035
2016/01/30,11115
2016/01/31,11182
2016/02/01,11248
2016/02/02,11315
2016/02/03,11380
2016/02/04,11446
2016/02/05,11530
2016/02/06,11967
2016/02/07,12017
2016/02/08,12076
2016/02/09,12152
2016/02/10,12262
2016/02/11,12463
2016/02/12,12588
2016/02/13,12736
2016/02/14,12821
2016/02/15,12916
2016/02/16,13018
2016/02/17,13172
2016/02/18,13255
2016/02/19,13368
2016/02/20,13442
2016/02/21,13523
2016/02/22,13625
2016/02/23,13732
2016/02/24,13860
2016/02/25,13984
2016/02/26,14139
2016/02/27,14246
2016/02/28,14352
2016/02/29,14484
2016/03/01,14644
2016/03/02,14840
2016/03/03,15060
2016/03/04,15262
2016/03/05,15523
2016/03/06,15790
2016/03/07,15954
2016/03/08,16133
2016/03/09,16318
2016/03/10,16505
2016/03/11,16651
2016/03/12,16898
2016/03/13,17144
2016/03/14,17395
2016/03/15,17656
2016/03/16,17874
2016/03/17,18218
2016/03/18,18517
2016/03/19,18875
2016/03/20,19173
2016/03/21,19466
2016/03/22,19761
2016/03/23,20025
2016/03/24,20397
2016/03/25,20757
2016/03/26,21106
2016/03/27,21301
2016/03/28,21572
2016/03/29,21843
2016/03/30,22171
2016/03/31,22393
2016/04/01,22633
2016/04/02,22781
2016/04/03,22930
2016/04/04,23193
2016/04/05,23545
2016/04/06,23732
2016/04/07,23912
2016/04/08,24133
2016/04/09,24305
2016/04/10,24479
2016/04/11,24608
2016/04/12,24829
2016/04/13,25075
2016/04/14,25289
2016/04/15,25501
2016/04/16,25611
2016/04/17,25931
2016/04/18,26098
2016/04/19,26241
2016/04/20,26389
2016/04/21,26626
2016/04/22,26737
2016/04/23,26849
2016/04/24,27007
2016/04/25,27193
2016/04/26,27311
2016/04/27,27455
2016/04/28,27606
