Date,fee_to_reward7emaUSD
2016/01/01,0.137
2016/01/02,0.12
2016/01/03,0.107
2016/01/04,0.099
2016/01/05,0.126
2016/01/06,0.152
2016/01/07,0.172
2016/01/08,0.151
2016/01/09,0.148
2016/01/10,0.134
2016/01/11,0.124
2016/01/12,0.117
2016/01/13,0.142
2016/01/14,0.131
2016/01/15,0.119
2016/01/16,0.11
2016/01/17,0.098
2016/01/18,0.102
2016/01/19,0.109
2016/01/20,0.1
2016/01/21,0.094
2016/01/22,0.099
2016/01/23,0.091
2016/01/24,0.089
2016/01/25,0.105
2016/01/26,0.113
2016/01/27,0.137
2016/01/28,0.141
2016/01/29,0.14
2016/01/30,0.137
2016/01/31,0.135
2016/02/01,0.13
2016/02/02,0.125
2016/02/03,0.118
2016/02/04,0.118
2016/02/05,0.123
2016/02/06,0.206
2016/02/07,0.197
2016/02/08,0.181
2016/02/09,0.18
2016/02/10,0.188
2016/02/11,0.183
2016/02/12,0.167
2016/02/13,0.158
2016/02/14,0.144
2016/02/15,0.136
2016/02/16,0.133
2016/02/17,0.138
2016/02/18,0.13
2016/02/19,0.131
2016/02/20,0.123
2016/02/21,0.117
2016/02/22,0.117
2016/02/23,0.174
2016/02/24,0.177
2016/02/25,0.162
2016/02/26,0.167
2016/02/27,0.152
2016/02/28,0.14
2016/02/29,0.137
2016/03/01,0.134
2016/03/02,0.135
2016/03/03,0.134
2016/03/04,0.132
2016/03/05,0.13
2016/03/06,0.133
2016/03/07,0.128
2016/03/08,0.126
2016/03/09,0.119
2016/03/10,0.108
2016/03/11,0.099
2016/03/12,0.097
2016/03/13,0.096
2016/03/14,0.097
2016/03/15,0.092
2016/03/16,0.087
2016/03/17,0.089
2016/03/18,0.088
2016/03/19,0.1
2016/03/20,0.102
2016/03/21,0.102
2016/03/22,0.097
2016/03/23,0.098
2016/03/24,0.105
2016/03/25,0.109
2016/03/26,0.109
2016/03/27,0.096
2016/03/28,0.093
2016/03/29,0.088
2016/03/30,0.093
2016/03/31,0.089
2016/04/01,0.086
2016/04/02,0.078
2016/04/03,0.073
2016/04/04,0.073
2016/04/05,0.077
2016/04/06,0.075
2016/04/07,0.073
2016/04/08,0.074
2016/04/09,0.071
2016/04/10,0.068
2016/04/11,0.066
2016/04/12,0.067
2016/04/13,0.076
2016/04/14,0.081
2016/04/15,0.079
2016/04/16,0.073
2016/04/17,0.077
2016/04/18,0.073
2016/04/19,0.07
2016/04/20,0.071
2016/04/21,0.076
2016/04/22,0.073
2016/04/23,0.07
2016/04/24,0.07
2016/04/25,0.07
2016/04/26,0.07
2016/04/27,0.068
2016/04/28,0.068
2016/04/29,0.069
2016/04/30,0.077
2016/05/01,0.086
2016/05/02,0.086
2016/05/03,0.085
2016/05/04,0.085
2016/05/05,0.087
2016/05/06,0.092
2016/05/07,0.088
2016/05/08,0.088
2016/05/09,0.086
2016/05/10,0.086
2016/05/11,0.089
2016/05/12,0.096
2016/05/13,0.105
2016/05/14,0.106
2016/05/15,0.103
2016/05/16,0.099
2016/05/17,0.096
2016/05/18,0.098
2016/05/19,0.099
2016/05/20,0.103
2016/05/21,0.105
2016/05/22,0.101
2016/05/23,0.098
2016/05/24,0.095
2016/05/25,0.096
2016/05/26,0.099
2016/05/27,0.103
2016/05/28,0.133
2016/05/29,0.129
2016/05/30,0.121
2016/05/31,0.115
2016/06/01,0.11
2016/06/02,0.102
2016/06/03,0.096
2016/06/04,0.091
2016/06/05,0.087
2016/06/06,0.085
2016/06/07,0.115
2016/06/08,0.108
2016/06/09,0.103
2016/06/10,0.1
2016/06/11,0.096
2016/06/12,0.094
2016/06/13,0.098
2016/06/14,0.103
2016/06/15,0.101
2016/06/16,0.107
2016/06/17,0.241
2016/06/18,0.367
2016/06/19,0.315
2016/06/20,0.276
2016/06/21,0.262
2016/06/22,0.235
2016/06/23,0.201
2016/06/24,0.181
2016/06/25,0.157
2016/06/26,0.139
2016/06/27,0.125
2016/06/28,0.119
2016/06/29,0.132
2016/06/30,0.166
2016/07/01,0.158
2016/07/02,0.138
2016/07/03,0.127
2016/07/04,0.116
2016/07/05,0.11
