Date,difficulty30var
2016/01/01,1.6997536523316E+23
2016/01/02,1.5269783581598E+23
2016/01/03,1.4387787717627E+23
2016/01/04,1.4262162183106E+23
2016/01/05,1.3382080676952E+23
2016/01/06,1.154962267437E+23
2016/01/07,9.1867612606776E+22
2016/01/08,5.2828845037355E+22
2016/01/09,3.6752853417608E+22
2016/01/10,3.1496653721277E+22
2016/01/11,2.8116630273754E+22
2016/01/12,3.2563715382393E+22
2016/01/13,3.2545530836864E+22
2016/01/14,3.2042440532995E+22
2016/01/15,3.9210238153324E+22
2016/01/16,5.2377420399307E+22
2016/01/17,5.9391086453753E+22
2016/01/18,8.4400838435321E+22
2016/01/19,1.1331498729082E+23
2016/01/20,1.3294063272762E+23
2016/01/21,1.6174228096637E+23
2016/01/22,2.0828410870675E+23
2016/01/23,2.6419562029985E+23
2016/01/24,3.2109547655992E+23
2016/01/25,3.877338278859E+23
2016/01/26,4.7874800330143E+23
2016/01/27,5.8241892058216E+23
2016/01/28,6.3917078192628E+23
2016/01/29,7.264566093658E+23
2016/01/30,8.0335260999485E+23
2016/01/31,8.5089594262007E+23
2016/02/01,8.8058137317318E+23
2016/02/02,8.8625208472893E+23
2016/02/03,8.9583951454585E+23
2016/02/04,9.1124541384119E+23
2016/02/05,9.2578283164904E+23
2016/02/06,8.7762169384231E+23
2016/02/07,8.3657210376964E+23
2016/02/08,8.3414608999908E+23
2016/02/09,7.7456274014724E+23
2016/02/10,7.8396058406841E+23
2016/02/11,8.1478691618567E+23
2016/02/12,7.3755789363267E+23
2016/02/13,7.1814729483042E+23
2016/02/14,7.4829507939829E+23
2016/02/15,8.2215214052307E+23
2016/02/16,8.2785135821039E+23
2016/02/17,8.5278162086947E+23
2016/02/18,8.154814642376E+23
2016/02/19,7.8583152698415E+23
2016/02/20,7.7055352895934E+23
2016/02/21,7.7989214079528E+23
2016/02/22,8.3735288923343E+23
2016/02/23,9.2298943575135E+23
2016/02/24,9.7887491261849E+23
2016/02/25,1.0313692260725E+24
2016/02/26,1.1400928436164E+24
2016/02/27,1.2648610267372E+24
2016/02/28,1.4254979751336E+24
2016/02/29,1.5850507849941E+24
2016/03/01,1.6169868383196E+24
2016/03/02,1.7190675594877E+24
2016/03/03,1.8532751060468E+24
2016/03/04,2.0650791900117E+24
2016/03/05,2.3217037918471E+24
2016/03/06,2.7294687974291E+24
2016/03/07,2.9564038701418E+24
2016/03/08,3.207119472334E+24
2016/03/09,3.5459020499556E+24
2016/03/10,3.7746637525516E+24
2016/03/11,4.1598312614833E+24
2016/03/12,4.7888765059046E+24
2016/03/13,5.3548861159267E+24
2016/03/14,5.8551247970783E+24
2016/03/15,5.7459839116112E+24
2016/03/16,5.6815345155152E+24
2016/03/17,5.5651702717459E+24
2016/03/18,5.429398228642E+24
2016/03/19,5.1446826331793E+24
2016/03/20,5.0271651572974E+24
2016/03/21,4.8219910011188E+24
2016/03/22,4.6137828109655E+24
2016/03/23,4.3164079816106E+24
2016/03/24,4.1833029772239E+24
2016/03/25,4.1360951141075E+24
2016/03/26,4.0824130614172E+24
2016/03/27,4.1636418014492E+24
2016/03/28,4.1899539397614E+24
2016/03/29,4.3268966879544E+24
2016/03/30,4.4620801053509E+24
2016/03/31,4.6258459366313E+24
2016/04/01,4.7164849488702E+24
2016/04/02,4.7517856959779E+24
2016/04/03,5.0008269426082E+24
2016/04/04,5.4787032513765E+24
2016/04/05,6.1455904585372E+24
2016/04/06,6.6028240084494E+24
2016/04/07,6.6963067227233E+24
2016/04/08,7.1796523574195E+24
2016/04/09,7.7762899692765E+24
2016/04/10,8.4391708644662E+24
2016/04/11,9.1118588076695E+24
2016/04/12,9.4839364194939E+24
2016/04/13,1.0082930388004E+25
2016/04/14,9.9967485315634E+24
2016/04/15,1.0005217036221E+25
2016/04/16,1.0058394511913E+25
2016/04/17,9.7465884511463E+24
2016/04/18,9.7530275922754E+24
2016/04/19,9.9577939785005E+24
2016/04/20,9.8976742524284E+24
2016/04/21,9.938950094208E+24
2016/04/22,9.0002071158801E+24
2016/04/23,8.580723905512E+24
2016/04/24,8.2482042103945E+24
2016/04/25,8.172802563578E+24
2016/04/26,8.0630962003372E+24
2016/04/27,7.5685383489625E+24
2016/04/28,7.3993470537169E+24
2016/04/29,7.3229337369672E+24
2016/04/30,7.7244582894675E+24
2016/05/01,8.1455526192268E+24
2016/05/02,7.5888584974045E+24
2016/05/03,7.6315135379214E+24
2016/05/04,7.7677890947704E+24
2016/05/05,7.7827141989628E+24
2016/05/06,7.6906181654556E+24
2016/05/07,7.0780429574428E+24
2016/05/08,6.8948279731189E+24
2016/05/09,6.872584730319E+24
2016/05/10,6.9939704939466E+24
2016/05/11,6.7172453436505E+24
2016/05/12,5.9359401170344E+24
2016/05/13,5.9352277936148E+24
2016/05/14,5.8428977382736E+24
2016/05/15,5.880671052701E+24
2016/05/16,5.9905414706611E+24
2016/05/17,5.5117175113863E+24
2016/05/18,5.6355159023776E+24
2016/05/19,6.258535902231E+24
2016/05/20,6.9116576526188E+24
2016/05/21,7.7749917667259E+24
2016/05/22,7.8611468811425E+24
2016/05/23,8.174437748203E+24
2016/05/24,8.4667140610774E+24
2016/05/25,8.7830538726051E+24
2016/05/26,9.214796605748E+24
2016/05/27,9.1851325100841E+24
2016/05/28,9.5793954807699E+24
2016/05/29,1.0287273061297E+25
2016/05/30,1.0956072326199E+25
2016/05/31,1.1688737734904E+25
2016/06/01,1.1040213312613E+25
2016/06/02,1.10886623887E+25
2016/06/03,1.1668821843066E+25
2016/06/04,1.1887458729805E+25
2016/06/05,1.1868818213674E+25
2016/06/06,1.1725923088267E+25
2016/06/07,1.178851800112E+25
2016/06/08,1.1592995730129E+25
2016/06/09,1.2345283986095E+25
2016/06/10,1.1879291141232E+25
2016/06/11,1.0964983732573E+25
2016/06/12,1.0877509542315E+25
2016/06/13,1.1205251813201E+25
2016/06/14,1.1512019358542E+25
2016/06/15,1.1619354433884E+25
2016/06/16,1.0934288684769E+25
2016/06/17,1.0160369445239E+25
2016/06/18,9.3699483596449E+24
2016/06/19,9.3453586842352E+24
2016/06/20,9.9048368767189E+24
2016/06/21,9.6220584279826E+24
2016/06/22,9.5288884398922E+24
2016/06/23,1.0432932701427E+25
2016/06/24,1.0683311145734E+25
2016/06/25,1.1239047759943E+25
2016/06/26,1.1603943554995E+25
2016/06/27,1.2633634691716E+25
2016/06/28,1.3881898365343E+25
2016/06/29,1.4325488089725E+25
2016/06/30,1.4569541706804E+25
2016/07/01,1.3900473289147E+25
2016/07/02,1.3832326049856E+25
2016/07/03,1.4765427187976E+25
2016/07/04,1.5199598731662E+25
2016/07/05,1.5674092426054E+25
2016/07/06,1.5374432852649E+25
2016/07/07,1.5388769418447E+25
2016/07/08,1.5011926971039E+25
2016/07/09,1.479909910562E+25
2016/07/10,1.45418375552E+25
2016/07/11,1.4245456691286E+25
2016/07/12,1.4032824318584E+25
2016/07/13,1.4249775158172E+25
2016/07/14,1.4382112785611E+25
2016/07/15,1.3999400061745E+25
2016/07/16,1.3392301187869E+25
2016/07/17,1.22660934201E+25
2016/07/18,9.2705724634871E+24
2016/07/19,8.2339115432117E+24
2016/07/20,7.4075424311966E+24
2016/07/21,6.0672439891395E+24
2016/07/22,4.9527172390402E+24
2016/07/23,4.7645541670845E+24
2016/07/24,4.2682159374087E+24
2016/07/25,3.5827719024366E+24
2016/07/26,3.0011716564546E+24
2016/07/27,4.2462394315236E+24
2016/07/28,4.2684647217085E+24
2016/07/29,4.2269161814489E+24
2016/07/30,4.2952086437743E+24
2016/07/31,4.4568583594916E+24
2016/08/01,4.8110365294073E+24
2016/08/02,6.4568666550305E+24
2016/08/03,9.1136381631066E+24
2016/08/04,1.035355363169E+25
2016/08/05,1.0835509149906E+25
2016/08/06,1.1340955885417E+25
2016/08/07,1.1654339442522E+25
2016/08/08,1.1772400700273E+25
2016/08/09,1.1664731590118E+25
2016/08/10,1.1599633888045E+25
2016/08/11,1.168384706801E+25
2016/08/12,1.1723554025704E+25
2016/08/13,1.1690197011265E+25
2016/08/14,1.1899889084207E+25
2016/08/15,1.2045128030781E+25
2016/08/16,1.2547215936406E+25
2016/08/17,1.2977254586462E+25
2016/08/18,1.31642870274E+25
2016/08/19,1.4054642094524E+25
2016/08/20,1.5178172895631E+25
2016/08/21,1.6159872954629E+25
2016/08/22,1.7461735307355E+25
2016/08/23,1.9375423919809E+25
2016/08/24,2.1437163702703E+25
2016/08/25,2.4397254266684E+25
2016/08/26,2.7294772957915E+25
2016/08/27,3.0352794075603E+25
2016/08/28,3.2727327326256E+25
2016/08/29,3.4162783159405E+25
2016/08/30,3.5154461095128E+25
2016/08/31,3.6138397313243E+25
2016/09/01,3.5322626331575E+25
2016/09/02,3.1566117607528E+25
2016/09/03,2.8254761843791E+25
2016/09/04,2.5269965197054E+25
2016/09/05,2.2072921706257E+25
2016/09/06,1.8938949276611E+25
2016/09/07,1.6311094001384E+25
2016/09/08,1.4457719563415E+25
2016/09/09,1.3341902217963E+25
2016/09/10,1.2870789484766E+25
2016/09/11,1.2572666334308E+25
2016/09/12,1.1853381792927E+25
2016/09/13,1.1073140166323E+25
2016/09/14,1.0069175590733E+25
2016/09/15,9.8740117367832E+24
2016/09/16,9.1881857685174E+24
2016/09/17,9.0608042592786E+24
2016/09/18,8.1112446452732E+24
2016/09/19,8.321873744373E+24
2016/09/20,8.1597254612043E+24
2016/09/21,9.6244813195162E+24
2016/09/22,9.1292816780493E+24
2016/09/23,8.6476757601933E+24
2016/09/24,8.8550034734383E+24
2016/09/25,9.6606613878897E+24
2016/09/26,1.0305933359758E+25
2016/09/27,1.0175668937635E+25
2016/09/28,1.3368833950664E+25
2016/09/29,1.7854720333089E+25
2016/09/30,2.1728429462398E+25
2016/10/01,2.2108814886325E+25
2016/10/02,2.2274901893549E+25
2016/10/03,2.4081435348366E+25
2016/10/04,2.7758406585259E+25
2016/10/05,2.7887298894629E+25
2016/10/06,2.937639185736E+25
2016/10/07,2.8890813601114E+25
2016/10/08,2.7527328774482E+25
2016/10/09,2.8868198344291E+25
2016/10/10,3.1225892073278E+25
2016/10/11,3.6019639198368E+25
2016/10/12,3.655424251077E+25
2016/10/13,3.617738805518E+25
2016/10/14,4.1760464749647E+25
2016/10/15,5.0140489269886E+25
2016/10/16,5.6898384999929E+25
2016/10/17,6.1058960576743E+25
2016/10/18,6.3673006371549E+25
2016/10/19,5.6031580413401E+25
2016/10/20,5.7812566782904E+25
2016/10/21,6.915883596572E+25
2016/10/22,7.694348431832E+25
2016/10/23,8.1902864572999E+25
2016/10/24,8.5568043752645E+25
2016/10/25,9.1745462479094E+25
2016/10/26,9.6132001233146E+25
2016/10/27,9.4316548007401E+25
2016/10/28,9.669588139905E+25
2016/10/29,9.6184204781047E+25
2016/10/30,1.0092401301238E+26
2016/10/31,9.6971805262186E+25
2016/11/01,9.9699075648952E+25
2016/11/02,1.1836523532765E+26
2016/11/03,1.4345303010523E+26
2016/11/04,1.7383449312217E+26
2016/11/05,2.1273703784026E+26
2016/11/06,2.4408988339983E+26
2016/11/07,2.6584433516836E+26
2016/11/08,2.7673614767076E+26
2016/11/09,2.8544557114787E+26
2016/11/10,2.997311485829E+26
2016/11/11,3.1668205428708E+26
2016/11/12,3.3271822545726E+26
2016/11/13,3.3866127576325E+26
2016/11/14,3.3663473336187E+26
2016/11/15,3.3220433747487E+26
2016/11/16,3.3044291999993E+26
2016/11/17,3.2759947323309E+26
2016/11/18,3.2387638520306E+26
2016/11/19,3.1563301133663E+26
2016/11/20,2.9256385954769E+26
2016/11/21,2.6790357781671E+26
2016/11/22,2.4325752205401E+26
2016/11/23,2.169688977528E+26
2016/11/24,1.8308884075371E+26
2016/11/25,1.4648426079349E+26
2016/11/26,1.0645657138769E+26
2016/11/27,7.0643416347127E+25
2016/11/28,6.0858531805247E+25
2016/11/29,5.8306579939362E+25
2016/11/30,5.1444345927993E+25
2016/12/01,5.0445423183711E+25
