Date,size14ema
2016/01/01,1211
2016/01/02,1177
2016/01/03,1147
2016/01/04,1125
2016/01/05,1161
2016/01/06,1213
2016/01/07,1258
2016/01/08,1234
2016/01/09,1231
2016/01/10,1206
2016/01/11,1186
2016/01/12,1174
2016/01/13,1207
2016/01/14,1188
2016/01/15,1164
2016/01/16,1137
2016/01/17,1104
2016/01/18,1098
2016/01/19,1099
2016/01/20,1080
2016/01/21,1062
2016/01/22,1057
2016/01/23,1037
2016/01/24,1031
2016/01/25,1072
2016/01/26,1093
2016/01/27,1156
2016/01/28,1192
2016/01/29,1207
2016/01/30,1203
2016/01/31,1194
2016/02/01,1179
2016/02/02,1166
2016/02/03,1151
2016/02/04,1143
2016/02/05,1139
2016/02/06,1211
2016/02/07,1186
2016/02/08,1166
2016/02/09,1148
2016/02/10,1143
2016/02/11,1161
2016/02/12,1162
2016/02/13,1170
2016/02/14,1166
2016/02/15,1161
2016/02/16,1156
2016/02/17,1171
2016/02/18,1163
2016/02/19,1162
2016/02/20,1147
2016/02/21,1134
2016/02/22,1128
2016/02/23,1127
2016/02/24,1124
2016/02/25,1123
2016/02/26,1145
2016/02/27,1139
2016/02/28,1133
2016/02/29,1138
2016/03/01,1141
2016/03/02,1149
2016/03/03,1162
2016/03/04,1174
2016/03/05,1192
2016/03/06,1215
2016/03/07,1216
2016/03/08,1219
2016/03/09,1227
2016/03/10,1227
2016/03/11,1224
2016/03/12,1246
2016/03/13,1265
2016/03/14,1297
2016/03/15,1300
2016/03/16,1302
2016/03/17,1318
2016/03/18,1329
2016/03/19,1351
2016/03/20,1364
2016/03/21,1382
2016/03/22,1399
2016/03/23,1417
2016/03/24,1476
2016/03/25,1495
2016/03/26,1501
2016/03/27,1469
2016/03/28,1482
2016/03/29,1470
2016/03/30,1483
2016/03/31,1473
2016/04/01,1476
2016/04/02,1444
2016/04/03,1417
2016/04/04,1428
2016/04/05,1442
2016/04/06,1428
2016/04/07,1425
2016/04/08,1440
2016/04/09,1424
2016/04/10,1405
2016/04/11,1386
2016/04/12,1394
2016/04/13,1405
2016/04/14,1406
2016/04/15,1406
2016/04/16,1381
2016/04/17,1452
2016/04/18,1439
2016/04/19,1423
2016/04/20,1414
2016/04/21,1426
2016/04/22,1408
2016/04/23,1390
2016/04/24,1396
2016/04/25,1396
2016/04/26,1389
2016/04/27,1379
2016/04/28,1383
2016/04/29,1388
2016/04/30,1415
2016/05/01,1450
2016/05/02,1454
2016/05/03,1453
2016/05/04,1459
2016/05/05,1463
2016/05/06,1484
2016/05/07,1470
2016/05/08,1478
2016/05/09,1475
2016/05/10,1476
2016/05/11,1487
2016/05/12,1513
2016/05/13,1534
2016/05/14,1554
2016/05/15,1552
2016/05/16,1544
2016/05/17,1540
2016/05/18,1560
2016/05/19,1562
2016/05/20,1578
2016/05/21,1590
2016/05/22,1577
2016/05/23,1576
2016/05/24,1570
2016/05/25,1583
2016/05/26,1603
2016/05/27,1620
2016/05/28,1728
2016/05/29,1721
2016/05/30,1698
2016/05/31,1684
2016/06/01,1668
2016/06/02,1639
2016/06/03,1611
2016/06/04,1584
2016/06/05,1559
2016/06/06,1541
2016/06/07,1561
2016/06/08,1545
2016/06/09,1536
2016/06/10,1523
2016/06/11,1504
2016/06/12,1498
2016/06/13,1512
2016/06/14,1539
2016/06/15,1537
2016/06/16,1546
2016/06/17,1624
2016/06/18,1680
2016/06/19,1673
2016/06/20,1678
2016/06/21,1671
2016/06/22,1664
2016/06/23,1644
2016/06/24,1643
2016/06/25,1612
2016/06/26,1591
2016/06/27,1567
2016/06/28,1556
2016/06/29,1587
2016/06/30,1691
2016/07/01,1650
2016/07/02,1614
2016/07/03,1586
