Date,difficulty3trx
2016/01/01,-0.022
2016/01/02,-0.583
2016/01/03,-0.627
2016/01/04,-0.475
2016/01/05,-0.356
2016/01/06,-0.082
2016/01/07,-0.233
2016/01/08,-0.195
2016/01/09,0.068
2016/01/10,0.075
2016/01/11,0.774
2016/01/12,1.196
2016/01/13,0.616
2016/01/14,0.499
2016/01/15,0.814
2016/01/16,1.214
2016/01/17,1.07
2016/01/18,1.341
2016/01/19,1.466
2016/01/20,1.146
2016/01/21,1.04
2016/01/22,1.28
2016/01/23,1.486
2016/01/24,1.485
2016/01/25,1.519
2016/01/26,1.697
2016/01/27,1.837
2016/01/28,1.204
2016/01/29,1.174
2016/01/30,1.071
2016/01/31,0.661
2016/02/01,0.598
2016/02/02,0.249
2016/02/03,0.222
2016/02/04,0.519
2016/02/05,0.712
2016/02/06,0.348
2016/02/07,0.266
2016/02/08,0.784
2016/02/09,0.68
2016/02/10,0.931
2016/02/11,1.35
2016/02/12,0.914
2016/02/13,1.074
2016/02/14,1.515
2016/02/15,1.965
2016/02/16,1.736
2016/02/17,1.344
2016/02/18,0.416
2016/02/19,0.312
2016/02/20,0.485
2016/02/21,0.687
2016/02/22,1.171
2016/02/23,1.634
2016/02/24,1.486
2016/02/25,1.102
2016/02/26,1.19
2016/02/27,1.614
2016/02/28,1.805
2016/02/29,1.809
2016/03/01,1.126
2016/03/02,1.035
2016/03/03,1.452
2016/03/04,1.986
2016/03/05,2.269
2016/03/06,2.78
2016/03/07,2.529
2016/03/08,2.237
2016/03/09,2.079
2016/03/10,1.846
2016/03/11,1.974
2016/03/12,2.51
2016/03/13,2.817
2016/03/14,2.497
2016/03/15,0.293
2016/03/16,-0.915
2016/03/17,-1.127
2016/03/18,-0.795
2016/03/19,-0.221
2016/03/20,0.651
2016/03/21,0.93
2016/03/22,1.075
2016/03/23,0.46
2016/03/24,0.688
2016/03/25,1.515
2016/03/26,2.139
2016/03/27,2.483
2016/03/28,2.151
2016/03/29,2.079
2016/03/30,1.981
2016/03/31,2.285
2016/04/01,2.092
2016/04/02,1.538
2016/04/03,1.451
2016/04/04,1.785
2016/04/05,2.004
2016/04/06,1.809
2016/04/07,0.907
2016/04/08,1.022
2016/04/09,1.42
2016/04/10,1.58
2016/04/11,1.387
2016/04/12,0.634
2016/04/13,0.66
2016/04/14,0.826
2016/04/15,1.175
2016/04/16,1.48
2016/04/17,1.129
2016/04/18,1.321
2016/04/19,1.533
2016/04/20,1.492
2016/04/21,1.557
2016/04/22,0.916
2016/04/23,0.877
2016/04/24,0.706
2016/04/25,0.898
2016/04/26,0.908
2016/04/27,0.607
2016/04/28,0.725
2016/04/29,0.997
2016/04/30,1.437
2016/05/01,1.788
2016/05/02,0.861
2016/05/03,0.865
2016/05/04,0.87
2016/05/05,0.65
2016/05/06,0.509
2016/05/07,0.387
2016/05/08,0.419
2016/05/09,0.555
2016/05/10,0.865
2016/05/11,0.614
2016/05/12,0.261
2016/05/13,0.834
2016/05/14,1.133
2016/05/15,1.195
2016/05/16,1.132
2016/05/17,0.626
2016/05/18,0.736
2016/05/19,1.321
2016/05/20,1.669
2016/05/21,1.79
2016/05/22,1.392
2016/05/23,1.045
2016/05/24,0.991
2016/05/25,0.845
2016/05/26,0.944
2016/05/27,0.837
2016/05/28,0.946
2016/05/29,1.18
2016/05/30,1.089
2016/05/31,0.923
2016/06/01,0.249
2016/06/02,0.085
2016/06/03,0.666
2016/06/04,0.962
2016/06/05,0.914
2016/06/06,0.845
2016/06/07,0.963
2016/06/08,0.819
2016/06/09,1.253
2016/06/10,1.015
2016/06/11,0.676
2016/06/12,0.559
2016/06/13,0.934
2016/06/14,1.189
2016/06/15,1.169
2016/06/16,0.962
2016/06/17,0.379
2016/06/18,-0.692
2016/06/19,-0.243
2016/06/20,0.653
2016/06/21,0.767
2016/06/22,0.885
2016/06/23,1.449
2016/06/24,1.422
2016/06/25,1.313
2016/06/26,1.189
2016/06/27,1.31
2016/06/28,1.353
2016/06/29,0.98
2016/06/30,0.636
2016/07/01,0.447
2016/07/02,0.626
2016/07/03,0.938
2016/07/04,0.915
2016/07/05,0.967
2016/07/06,0.574
2016/07/07,0.396
2016/07/08,0.32
2016/07/09,-0.066
2016/07/10,0.162
2016/07/11,0.505
2016/07/12,0.728
2016/07/13,0.754
2016/07/14,0.643
2016/07/15,0.252
2016/07/16,-0.034
2016/07/17,0.056
2016/07/18,0.175
2016/07/19,0.347
2016/07/20,0.087
2016/07/21,0.068
2016/07/22,0.045
2016/07/23,0.279
2016/07/24,0.417
2016/07/25,-0.178
2016/07/26,-0.661
2016/07/27,-2.093
2016/07/28,-1.796
2016/07/29,-1.316
2016/07/30,-0.989
2016/07/31,-0.767
2016/08/01,-0.582
2016/08/02,-1.249
2016/08/03,-2.048
2016/08/04,-1.667
2016/08/05,-0.585
2016/08/06,0.058
2016/08/07,0.452
2016/08/08,0.852
2016/08/09,1.4
2016/08/10,1.993
2016/08/11,2.305
2016/08/12,2.094
2016/08/13,1.576
2016/08/14,1.134
2016/08/15,0.698
2016/08/16,0.83
2016/08/17,0.835
2016/08/18,0.642
2016/08/19,0.72
2016/08/20,0.903
2016/08/21,0.819
2016/08/22,0.912
2016/08/23,1.124
2016/08/24,1.044
2016/08/25,1.197
2016/08/26,1.666
2016/08/27,1.518
2016/08/28,1.134
2016/08/29,0.652
2016/08/30,0.333
2016/08/31,0.306
2016/09/01,0.572
2016/09/02,0.582
2016/09/03,0.188
2016/09/04,-0.558
2016/09/05,-0.585
2016/09/06,-0.345
2016/09/07,-0.065
2016/09/08,0.066
2016/09/09,0.065
2016/09/10,0.307
2016/09/11,0.684
2016/09/12,0.807
2016/09/13,0.811
2016/09/14,0.853
2016/09/15,0.87
2016/09/16,0.682
2016/09/17,0.96
2016/09/18,0.478
2016/09/19,-1.514
2016/09/20,-0.48
2016/09/21,1.051
2016/09/22,0.582
2016/09/23,0.265
2016/09/24,0.357
2016/09/25,0.624
2016/09/26,0.694
2016/09/27,-0.048
2016/09/28,1.156
2016/09/29,2.225
2016/09/30,2.357
2016/10/01,0.874
2016/10/02,-0.197
2016/10/03,0.222
2016/10/04,1.372
2016/10/05,0.95
2016/10/06,0.9
2016/10/07,-1.33
2016/10/08,-1.602
2016/10/09,0.082
2016/10/10,1.405
2016/10/11,2.325
2016/10/12,1.56
2016/10/13,0.5
2016/10/14,1.339
2016/10/15,2.311
2016/10/16,2.439
2016/10/17,1.652
2016/10/18,1.06
2016/10/19,0.578
2016/10/20,0.343
2016/10/21,1.477
2016/10/22,2.22
2016/10/23,2.041
2016/10/24,1.495
2016/10/25,1.37
2016/10/26,1.194
2016/10/27,0.932
2016/10/28,0.318
2016/10/29,-2.096
2016/10/30,-4.411
2016/10/31,-4.513
2016/11/01,-4.887
2016/11/02,-5.849
2016/11/03,-6.37
2016/11/04,-6.664
2016/11/05,-6.852
2016/11/06,-6.516
2016/11/07,-4.194
2016/11/08,-0.333
2016/11/09,2.138
2016/11/10,1.628
2016/11/11,0.426
2016/11/12,-0.327
2016/11/13,0.229
2016/11/14,1.335
2016/11/15,2.063
2016/11/16,1.769
2016/11/17,1.007
2016/11/18,0.433
2016/11/19,1.151
2016/11/20,2.695
2016/11/21,4.262
2016/11/22,3.793
2016/11/23,1.914
2016/11/24,-0.615
2016/11/25,-2.244
2016/11/26,-2.216
2016/11/27,-2.322
2016/11/28,-1.751
2016/11/29,-0.909
2016/11/30,-0.283
2016/12/01,0.226
2016/12/02,0.609
2016/12/03,1.243
2016/12/04,1.674
2016/12/05,1.275
2016/12/06,0.404
2016/12/07,0.285
2016/12/08,0.75
2016/12/09,1.452
2016/12/10,1.917
2016/12/11,2.181
2016/12/12,1.66
2016/12/13,1.315
2016/12/14,0.911
2016/12/15,0.723
2016/12/16,0.811
2016/12/17,0.844
2016/12/18,1.235
2016/12/19,1.48
2016/12/20,1.624
2016/12/21,1.412
2016/12/22,0.859
2016/12/23,-0.469
2016/12/24,-1.923
2016/12/25,-2.206
2016/12/26,-1.38
2016/12/27,-0.875
2016/12/28,-0.778
2016/12/29,-0.837
2016/12/30,-0.708
2016/12/31,-0.208
2017/01/01,-0.068
2017/01/02,0.075
2017/01/03,0.129
2017/01/04,1.185
2017/01/05,2.099
2017/01/06,2.501
2017/01/07,2.533
2017/01/08,2.321
