Date,median_transaction_fee3trxUSD
2016/01/01,-6.657
2016/01/02,-9.048
2016/01/03,-9.05
2016/01/04,-7.882
2016/01/05,14.235
2016/01/06,21.858
2016/01/07,18.886
2016/01/08,1.873
2016/01/09,-5.305
2016/01/10,-9.067
2016/01/11,-10.282
2016/01/12,-8.727
2016/01/13,11.212
2016/01/14,3.993
2016/01/15,-1.769
2016/01/16,-4.396
2016/01/17,-5.021
2016/01/18,-0.504
2016/01/19,2.122
2016/01/20,1.294
2016/01/21,0.827
2016/01/22,2.999
2016/01/23,3.271
2016/01/24,5.863
2016/01/25,9.418
2016/01/26,11.572
2016/01/27,10.436
2016/01/28,8.391
2016/01/29,4.236
2016/01/30,1.324
2016/01/31,-0.773
2016/02/01,-2.444
2016/02/02,-2.918
2016/02/03,-1.705
2016/02/04,-0.082
2016/02/05,0.745
2016/02/06,24.635
2016/02/07,10.896
2016/02/08,2.964
2016/02/09,0.725
2016/02/10,3.24
2016/02/11,6.524
2016/02/12,10.227
2016/02/13,7.369
2016/02/14,4.203
2016/02/15,3.659
2016/02/16,1.632
2016/02/17,-0.832
2016/02/18,-3.016
2016/02/19,-2.596
2016/02/20,-1.869
2016/02/21,-1.254
2016/02/22,1.168
2016/02/23,5.049
2016/02/24,5.49
2016/02/25,5.66
2016/02/26,4.21
2016/02/27,3.32
2016/02/28,2.993
2016/02/29,2.441
2016/03/01,2.502
2016/03/02,4.737
2016/03/03,7.733
2016/03/04,7.911
2016/03/05,9.592
2016/03/06,8.825
2016/03/07,5.825
2016/03/08,2.505
2016/03/09,1.805
2016/03/10,-5.875
2016/03/11,-10.741
2016/03/12,-11.465
2016/03/13,-9.264
2016/03/14,-7.127
2016/03/15,-5.785
2016/03/16,-4.115
2016/03/17,-4.136
2016/03/18,-5.234
2016/03/19,-5.071
2016/03/20,-4.636
2016/03/21,-3.052
2016/03/22,-0.989
2016/03/23,0.526
2016/03/24,0.629
2016/03/25,-0.251
2016/03/26,-0.122
2016/03/27,-0.687
2016/03/28,-0.41
2016/03/29,0.298
2016/03/30,0.939
2016/03/31,1.074
2016/04/01,0.78
2016/04/02,0.319
2016/04/03,0.068
2016/04/04,-0.275
2016/04/05,-0.451
2016/04/06,-1.187
2016/04/07,-1.721
2016/04/08,-2.337
2016/04/09,-2.709
2016/04/10,-3.73
2016/04/11,-4.136
2016/04/12,-4.598
2016/04/13,-4.438
2016/04/14,-2.992
2016/04/15,-1.765
2016/04/16,-1.012
2016/04/17,0.874
2016/04/18,1.562
2016/04/19,1.504
2016/04/20,0.546
2016/04/21,-0.279
2016/04/22,-1.314
2016/04/23,-1.701
2016/04/24,-1.357
2016/04/25,-1.495
2016/04/26,-2.177
2016/04/27,-1.911
2016/04/28,-1.703
2016/04/29,-1.339
2016/04/30,0.335
2016/05/01,2.031
2016/05/02,3.95
2016/05/03,4.386
2016/05/04,3.673
2016/05/05,2.729
2016/05/06,2.067
2016/05/07,1.023
2016/05/08,0.291
2016/05/09,0.12
2016/05/10,-0.049
2016/05/11,0.348
2016/05/12,1.162
2016/05/13,2.035
2016/05/14,1.709
2016/05/15,1.114
2016/05/16,1.096
2016/05/17,2.533
2016/05/18,4.56
2016/05/19,5.988
2016/05/20,6.116
2016/05/21,4.402
2016/05/22,3.244
2016/05/23,2.327
2016/05/24,0.626
2016/05/25,-0.936
2016/05/26,-1.572
2016/05/27,-2.663
2016/05/28,-1.102
2016/05/29,-0.981
2016/05/30,-0.609
2016/05/31,0.507
2016/06/01,1.706
2016/06/02,2.007
2016/06/03,1.604
2016/06/04,1.11
2016/06/05,0.805
2016/06/06,0.681
2016/06/07,1.211
2016/06/08,1.315
2016/06/09,1.058
2016/06/10,0.468
2016/06/11,-0.144
2016/06/12,0.338
2016/06/13,2.359
2016/06/14,4.545
2016/06/15,5.039
2016/06/16,5.252
2016/06/17,4.995
2016/06/18,0.642
2016/06/19,-4.103
2016/06/20,-6.607
2016/06/21,-6.076
2016/06/22,-3.705
2016/06/23,-2.741
2016/06/24,-1.365
2016/06/25,-0.147
2016/06/26,0.234
2016/06/27,0.234
2016/06/28,-0.541
2016/06/29,-1.249
2016/06/30,2.605
2016/07/01,0.131
2016/07/02,-1.983
2016/07/03,-2.932
2016/07/04,-3.253
2016/07/05,-4.023
2016/07/06,-3.952
2016/07/07,-3.913
2016/07/08,-3.039
2016/07/09,-1.518
2016/07/10,-0.563
2016/07/11,-0.436
2016/07/12,-0.473
2016/07/13,-0.549
2016/07/14,0.207
2016/07/15,1.644
2016/07/16,2.047
2016/07/17,1.297
2016/07/18,0.696
2016/07/19,0.263
2016/07/20,2.011
2016/07/21,2.132
2016/07/22,2.857
2016/07/23,3.859
2016/07/24,2.822
2016/07/25,1.63
2016/07/26,0.363
2016/07/27,-0.131
2016/07/28,0.276
2016/07/29,-0.316
2016/07/30,-0.733
2016/07/31,-1.303
2016/08/01,-2.02
2016/08/02,-3.544
2016/08/03,-4.192
2016/08/04,-3.304
2016/08/05,-1.974
2016/08/06,-1.252
2016/08/07,-0.578
2016/08/08,-0.114
2016/08/09,0.926
2016/08/10,1.969
2016/08/11,1.839
2016/08/12,1.401
2016/08/13,0.773
2016/08/14,0.113
2016/08/15,-0.539
2016/08/16,-0.788
2016/08/17,-0.988
2016/08/18,-0.597
2016/08/19,-0.875
2016/08/20,-0.612
2016/08/21,-0.292
2016/08/22,0.04
2016/08/23,1.47
2016/08/24,0.647
2016/08/25,0.031
2016/08/26,-0.113
2016/08/27,-0.21
2016/08/28,-0.421
2016/08/29,-0.308
2016/08/30,-0.272
2016/08/31,0.019
2016/09/01,1.164
2016/09/02,2.717
2016/09/03,1.79
2016/09/04,2.508
2016/09/05,0.845
2016/09/06,-0.476
2016/09/07,0.049
2016/09/08,0.387
2016/09/09,0.29
2016/09/10,-0.486
2016/09/11,-0.693
2016/09/12,-0.573
2016/09/13,-0.349
2016/09/14,0.595
2016/09/15,1.232
2016/09/16,1.491
2016/09/17,0.955
2016/09/18,0.636
2016/09/19,0.581
2016/09/20,1.246
2016/09/21,1.609
2016/09/22,2.389
2016/09/23,11.861
2016/09/24,12.977
2016/09/25,15.008
2016/09/26,14.13
2016/09/27,9.094
2016/09/28,2.242
2016/09/29,-2.204
2016/09/30,-3.994
2016/10/01,-1.571
2016/10/02,-0.157
2016/10/03,-0.664
2016/10/04,2.31
2016/10/05,-2.359
2016/10/06,-5.723
2016/10/07,-7.533
2016/10/08,-7.928
2016/10/09,-6.298
2016/10/10,-5.155
2016/10/11,-3.866
2016/10/12,-2.401
2016/10/13,45.404
2016/10/14,26.025
2016/10/15,19.807
2016/10/16,9.566
2016/10/17,3.027
2016/10/18,-0.944
2016/10/19,-7.204
2016/10/20,-11.763
2016/10/21,-13.555
2016/10/22,-13.229
2016/10/23,-11.944
2016/10/24,-9.548
2016/10/25,-7.346
2016/10/26,-5.383
2016/10/27,-3.852
2016/10/28,-2.824
2016/10/29,-2.654
2016/10/30,-3.306
2016/10/31,-1.896
2016/11/01,-1.174
2016/11/02,-1.658
2016/11/03,-1.753
2016/11/04,-2.051
2016/11/05,-1.067
2016/11/06,-0.902
2016/11/07,-0.707
2016/11/08,-0.429
2016/11/09,-1.052
2016/11/10,-0.417
2016/11/11,-0.545
2016/11/12,-0.473
2016/11/13,-0.118
2016/11/14,0.337
2016/11/15,0.022
2016/11/16,-0.042
2016/11/17,-0.436
2016/11/18,-1.002
2016/11/19,-1.021
2016/11/20,-1.383
2016/11/21,-0.528
2016/11/22,-1.27
2016/11/23,-0.862
2016/11/24,1.836
2016/11/25,-1.206
2016/11/26,-0.821
2016/11/27,0.051
2016/11/28,0.779
2016/11/29,-0.431
2016/11/30,-2.696
2016/12/01,-3.807
2016/12/02,-3.676
2016/12/03,-3.989
2016/12/04,-4.053
2016/12/05,-4.122
2016/12/06,-4.419
2016/12/07,-1.474
2016/12/08,0.623
