Date,price3rsiUSD
2016/01/01,92.69
2016/01/02,93.582
2016/01/03,95.478
2016/01/04,76.132
2016/01/05,78.462
2016/01/06,75.047
2016/01/07,89.762
2016/01/08,76.684
2016/01/09,95.311
2016/01/10,96.539
2016/01/11,62.684
2016/01/12,88.313
2016/01/13,63.412
2016/01/14,66.567
2016/01/15,85.235
2016/01/16,85.273
2016/01/17,79.572
2016/01/18,95.168
2016/01/19,73.213
2016/01/20,83.844
2016/01/21,88.391
2016/01/22,84.206
2016/01/23,95.077
2016/01/24,98.276
2016/01/25,98.753
2016/01/26,99.287
2016/01/27,70.372
2016/01/28,75.53
2016/01/29,76.818
2016/01/30,78.067
2016/01/31,43.209
2016/02/01,23.704
2016/02/02,28.069
2016/02/03,65.898
2016/02/04,76.369
2016/02/05,73.225
2016/02/06,66.536
2016/02/07,86.969
2016/02/08,95.684
2016/02/09,97.784
2016/02/10,99.16
2016/02/11,99.48
2016/02/12,99.735
2016/02/13,58.786
2016/02/14,55.323
2016/02/15,71.016
2016/02/16,45.645
2016/02/17,27.133
2016/02/18,25.833
2016/02/19,51.361
2016/02/20,48.264
2016/02/21,47.515
2016/02/22,80.198
2016/02/23,88.398
2016/02/24,89.916
2016/02/25,94.05
2016/02/26,68.064
2016/02/27,76.14
2016/02/28,82.466
2016/02/29,78.946
2016/03/01,88.556
2016/03/02,96.8
2016/03/03,98.481
2016/03/04,98.493
2016/03/05,99.451
2016/03/06,97.956
2016/03/07,61.854
2016/03/08,40.735
2016/03/09,64.685
2016/03/10,78.82
2016/03/11,60.558
2016/03/12,81.862
2016/03/13,88.912
2016/03/14,65.526
2016/03/15,48.879
2016/03/16,59.657
2016/03/17,30.124
2016/03/18,18.42
2016/03/19,29.099
2016/03/20,24.571
2016/03/21,50.218
2016/03/22,65.142
2016/03/23,70.334
2016/03/24,49.656
2016/03/25,31.192
2016/03/26,34.431
2016/03/27,28.697
2016/03/28,60.977
2016/03/29,73.832
2016/03/30,80.276
2016/03/31,75.181
2016/04/01,57.279
2016/04/02,41.739
2016/04/03,46.76
2016/04/04,26.04
2016/04/05,9.599
2016/04/06,7.891
2016/04/07,5.52
2016/04/08,2.618
2016/04/09,1.846
2016/04/10,0.703
2016/04/11,0.62
2016/04/12,0.353
2016/04/13,0.324
2016/04/14,46.407
2016/04/15,43.593
2016/04/16,40.737
2016/04/17,81.813
2016/04/18,68.274
2016/04/19,65.976
2016/04/20,35.111
2016/04/21,29.446
2016/04/22,15.349
2016/04/23,16.636
2016/04/24,40.3
2016/04/25,20.832
2016/04/26,10.954
2016/04/27,37.474
2016/04/28,29.234
2016/04/29,33.853
2016/04/30,78.359
2016/05/01,86.212
2016/05/02,93.245
2016/05/03,93.551
2016/05/04,84.223
2016/05/05,84.501
2016/05/06,88.281
2016/05/07,43.527
2016/05/08,40.514
2016/05/09,58.29
2016/05/10,44.177
2016/05/11,75.299
2016/05/12,87.902
2016/05/13,93.114
2016/05/14,60.036
2016/05/15,55.461
2016/05/16,73.873
2016/05/17,91.652
2016/05/18,95.916
2016/05/19,97.41
2016/05/20,97.911
2016/05/21,65.132
2016/05/22,73.213
2016/05/23,73.395
2016/05/24,32.345
2016/05/25,21.889
2016/05/26,23.914
2016/05/27,10.276
2016/05/28,12.322
2016/05/29,51.305
2016/05/30,64.13
2016/05/31,80.514
2016/06/01,87.157
2016/06/02,82.785
2016/06/03,68.213
2016/06/04,67.276
2016/06/05,72.925
2016/06/06,79.294
2016/06/07,86.909
2016/06/08,94.243
2016/06/09,79.654
2016/06/10,44.746
2016/06/11,29.591
2016/06/12,74.63
2016/06/13,91.82
2016/06/14,95.538
2016/06/15,95.828
2016/06/16,97.541
2016/06/17,45.318
2016/06/18,16.957
2016/06/19,14.798
2016/06/20,13.131
2016/06/21,20.304
2016/06/22,62.489
2016/06/23,43.933
2016/06/24,57.502
2016/06/25,62.555
2016/06/26,54.833
2016/06/27,52.516
2016/06/28,28.808
2016/06/29,15.788
2016/06/30,30.123
2016/07/01,23.651
2016/07/02,20.637
2016/07/03,17.461
2016/07/04,11.153
2016/07/05,3.958
2016/07/06,12.779
2016/07/07,7.77
2016/07/08,35.513
2016/07/09,59.8
2016/07/10,54.362
2016/07/11,37.505
2016/07/12,35.297
2016/07/13,29.955
2016/07/14,74.322
2016/07/15,88.704
2016/07/16,77.866
2016/07/17,47.478
2016/07/18,50.909
2016/07/19,46.226
2016/07/20,81.401
2016/07/21,86.416
2016/07/22,94.374
2016/07/23,96.831
2016/07/24,56.213
2016/07/25,54.432
2016/07/26,38.249
2016/07/27,32.392
2016/07/28,38.711
2016/07/29,36.305
2016/07/30,33.648
2016/07/31,13.334
2016/08/01,6.442
2016/08/02,2.261
2016/08/03,1.585
2016/08/04,46.159
2016/08/05,52.728
2016/08/06,44.294
2016/08/07,53.899
2016/08/08,56.627
2016/08/09,80.805
2016/08/10,87.977
2016/08/11,64.503
2016/08/12,61.495
2016/08/13,49.609
2016/08/14,34.229
2016/08/15,21.172
2016/08/16,19.976
2016/08/17,13.715
2016/08/18,10.441
2016/08/19,7.349
2016/08/20,58.254
2016/08/21,57.529
2016/08/22,69.696
2016/08/23,46.366
