Date,transactions90sma
2016/11/15,44177
2016/11/16,44110
2016/11/17,44085
2016/11/18,44112
2016/11/19,44076
2016/11/20,44053
2016/11/21,43989
2016/11/22,44065
2016/11/23,44225
2016/11/24,44109
2016/11/25,44221
2016/11/26,44201
2016/11/27,44190
2016/11/28,44205
2016/11/29,44219
2016/11/30,44126
2016/12/01,43923
2016/12/02,43888
2016/12/03,43813
2016/12/04,43779
2016/12/05,43696
2016/12/06,43690
2016/12/07,43532
2016/12/08,43373
2016/12/09,43357
2016/12/10,43326
2016/12/11,43260
2016/12/12,43217
2016/12/13,43115
2016/12/14,43056
2016/12/15,42929
2016/12/16,42896
2016/12/17,42914
2016/12/18,42871
2016/12/19,42777
2016/12/20,42773
2016/12/21,42752
2016/12/22,42974
2016/12/23,42985
2016/12/24,42974
2016/12/25,42898
2016/12/26,42761
2016/12/27,42757
2016/12/28,42790
2016/12/29,42909
2016/12/30,42814
2016/12/31,42704
2017/01/01,42605
2017/01/02,42416
2017/01/03,42462
2017/01/04,42616
2017/01/05,42681
2017/01/06,42749
2017/01/07,42746
2017/01/08,42721
2017/01/09,42778
2017/01/10,42980
2017/01/11,43124
2017/01/12,43220
2017/01/13,43411
2017/01/14,43489
2017/01/15,43529
2017/01/16,43457
2017/01/17,43547
2017/01/18,43565
2017/01/19,43408
2017/01/20,43496
2017/01/21,43585
2017/01/22,43528
2017/01/23,43511
2017/01/24,43569
2017/01/25,43590
2017/01/26,43650
2017/01/27,43724
2017/01/28,43788
2017/01/29,43760
2017/01/30,43719
2017/01/31,43720
2017/02/01,43745
2017/02/02,43869
2017/02/03,43925
2017/02/04,44048
2017/02/05,44099
2017/02/06,44162
2017/02/07,44288
2017/02/08,44410
2017/02/09,44485
2017/02/10,44611
2017/02/11,44644
2017/02/12,44660
2017/02/13,44778
2017/02/14,44963
2017/02/15,45125
2017/02/16,45190
2017/02/17,45302
2017/02/18,45383
2017/02/19,45444
2017/02/20,45406
2017/02/21,45341
2017/02/22,45491
2017/02/23,45375
2017/02/24,45522
2017/02/25,45620
2017/02/26,45657
2017/02/27,45719
2017/02/28,45954
2017/03/01,46206
2017/03/02,46529
2017/03/03,46784
2017/03/04,46996
2017/03/05,47168
2017/03/06,47266
2017/03/07,47497
2017/03/08,47673
2017/03/09,47926
2017/03/10,48199
2017/03/11,48484
2017/03/12,48794
2017/03/13,49206
2017/03/14,49538
2017/03/15,49928
2017/03/16,50661
2017/03/17,51408
2017/03/18,52000
2017/03/19,52433
2017/03/20,52833
2017/03/21,53206
2017/03/22,53468
2017/03/23,53891
2017/03/24,54447
2017/03/25,54978
2017/03/26,55477
2017/03/27,56057
2017/03/28,56512
2017/03/29,57029
2017/03/30,57603
2017/03/31,58291
2017/04/01,58756
2017/04/02,59303
2017/04/03,59907
2017/04/04,60303
2017/04/05,60723
2017/04/06,61294
2017/04/07,61841
2017/04/08,62167
2017/04/09,62483
2017/04/10,62786
2017/04/11,63127
2017/04/12,63457
2017/04/13,63827
2017/04/14,64262
2017/04/15,64629
2017/04/16,64910
2017/04/17,65198
2017/04/18,65623
2017/04/19,66091
2017/04/20,66532
2017/04/21,66954
2017/04/22,67244
2017/04/23,67588
2017/04/24,67923
2017/04/25,68443
2017/04/26,68918
2017/04/27,69560
2017/04/28,70238
2017/04/29,70781
2017/04/30,71335
2017/05/01,72096
2017/05/02,72827
2017/05/03,73423
2017/05/04,74224
2017/05/05,74926
2017/05/06,75464
2017/05/07,76123
2017/05/08,76853
2017/05/09,77540
2017/05/10,78227
2017/05/11,78948
2017/05/12,79623
2017/05/13,80245
2017/05/14,80749
2017/05/15,81466
2017/05/16,82144
2017/05/17,83149
2017/05/18,84126
2017/05/19,85373
2017/05/20,86292
2017/05/21,87398
2017/05/22,88707
2017/05/23,90226
2017/05/24,91778
2017/05/25,93211
2017/05/26,94506
2017/05/27,95592
2017/05/28,96732
2017/05/29,97824
2017/05/30,99311
2017/05/31,100904
2017/06/01,102403
2017/06/02,103915
2017/06/03,105233
2017/06/04,106601
2017/06/05,108020
2017/06/06,109633
2017/06/07,111221
2017/06/08,112583
2017/06/09,114261
2017/06/10,115891
2017/06/11,117655
2017/06/12,120053
2017/06/13,122262
2017/06/14,123822
2017/06/15,125544
2017/06/16,127301
2017/06/17,129050
2017/06/18,130891
2017/06/19,133134
2017/06/20,135685
2017/06/21,137228
2017/06/22,139411
2017/06/23,141540
2017/06/24,143440
2017/06/25,144958
2017/06/26,147541
2017/06/27,149318
2017/06/28,151296
2017/06/29,153081
2017/06/30,154993
2017/07/01,156677
2017/07/02,158326
2017/07/03,160723
2017/07/04,162879
2017/07/05,164839
2017/07/06,166683
2017/07/07,169164
2017/07/08,171093
2017/07/09,172756
2017/07/10,175275
2017/07/11,177623
2017/07/12,179842
2017/07/13,181838
2017/07/14,183777
2017/07/15,185570
2017/07/16,187532
2017/07/17,189367
2017/07/18,191426
2017/07/19,193478
2017/07/20,195354
2017/07/21,197120
2017/07/22,198548
2017/07/23,200548
2017/07/24,202437
2017/07/25,204141
2017/07/26,205457
2017/07/27,206782
2017/07/28,208506
2017/07/29,209656
2017/07/30,210705
2017/07/31,212258
2017/08/01,213605
2017/08/02,214896
2017/08/03,216317
2017/08/04,218118
2017/08/05,219838
2017/08/06,221478
