Date,sentinusd3momUSD
2016/01/01,86208
2016/01/02,56946
2016/01/03,-8197
2016/01/04,-180786
2016/01/05,760199
2016/01/06,-108494
2016/01/07,198537
2016/01/08,-816139
2016/01/09,-31201
2016/01/10,-195706
2016/01/11,337539
2016/01/12,940768
2016/01/13,325407
2016/01/14,-152991
2016/01/15,8474
2016/01/16,230952
2016/01/17,79283
2016/01/18,2047546
2016/01/19,994102
2016/01/20,421150
2016/01/21,-2465266
2016/01/22,-307169
2016/01/23,1112995
2016/01/24,3359606
2016/01/25,3523885
2016/01/26,1740194
2016/01/27,-1193516
2016/01/28,-2625101
2016/01/29,-1567280
2016/01/30,-425595
2016/01/31,319422
2016/02/01,-832045
2016/02/02,-1110564
2016/02/03,-1107953
2016/02/04,-496923
2016/02/05,70296
2016/02/06,-919075
2016/02/07,1577177
2016/02/08,3119471
2016/02/09,4884829
2016/02/10,6036025
2016/02/11,4295186
2016/02/12,6950012
2016/02/13,-2001781
2016/02/14,-4367653
2016/02/15,-8415970
2016/02/16,-123646
2016/02/17,-1413053
2016/02/18,540051
2016/02/19,-4101840
2016/02/20,2203284
2016/02/21,-2432712
2016/02/22,1914738
2016/02/23,3515187
2016/02/24,10061715
2016/02/25,1652824
2016/02/26,15212566
2016/02/27,1343584
2016/02/28,-766963
2016/02/29,-19452724
2016/03/01,-4721348
2016/03/02,23702847
2016/03/03,14834881
2016/03/04,5193555
2016/03/05,3176542
2016/03/06,-1481409
2016/03/07,1287628
2016/03/08,-11291504
2016/03/09,-6035158
2016/03/10,-5305274
2016/03/11,-10173121
2016/03/12,7825320
2016/03/13,18431947
2016/03/14,11533372
2016/03/15,-3244269
2016/03/16,-13652876
2016/03/17,-1735460
2016/03/18,7580152
2016/03/19,-6380506
2016/03/20,-14550672
2016/03/21,-14261641
2016/03/22,-417228
2016/03/23,1107037
2016/03/24,1085448
2016/03/25,-1977855
2016/03/26,-3178167
2016/03/27,1664336
2016/03/28,2900937
2016/03/29,11328728
2016/03/30,3581157
2016/03/31,1679397
2016/04/01,-10500453
2016/04/02,-11807814
2016/04/03,-8047140
2016/04/04,510730
2016/04/05,3075729
2016/04/06,3725180
2016/04/07,2564586
2016/04/08,-1953295
2016/04/09,6323435
2016/04/10,2661834
2016/04/11,-143175
2016/04/12,-3975048
2016/04/13,-1315355
2016/04/14,2617631
2016/04/15,-3658541
2016/04/16,-5275178
2016/04/17,-279711
2016/04/18,861509
2016/04/19,103384
2016/04/20,-1833757
2016/04/21,-1781307
2016/04/22,2336504
2016/04/23,2323570
2016/04/24,-936146
2016/04/25,-473240
2016/04/26,395197
2016/04/27,2872558
2016/04/28,221312
2016/04/29,-3975486
2016/04/30,16423736
2016/05/01,9600710
2016/05/02,13836551
2016/05/03,-8785532
2016/05/04,-4883734
2016/05/05,-7820016
2016/05/06,6240561
2016/05/07,3683814
2016/05/08,2668526
2016/05/09,-683815
2016/05/10,5111022
2016/05/11,16347273
2016/05/12,13944328
2016/05/13,66617453
2016/05/14,30719551
2016/05/15,-17918973
2016/05/16,-70248946
2016/05/17,-44776959
2016/05/18,8460436
2016/05/19,21401170
2016/05/20,16927755
2016/05/21,-10033892
2016/05/22,-27613250
2016/05/23,-14835597
2016/05/24,9333231
2016/05/25,11845125
2016/05/26,-1658535
2016/05/27,6651897
2016/05/28,3802621
2016/05/29,-3822052
2016/05/30,-16974012
2016/05/31,-11548195
2016/06/01,-1183651
2016/06/02,-5696411
2016/06/03,-5001135
2016/06/04,-4598905
2016/06/05,-657678
2016/06/06,-1897219
2016/06/07,7707622
2016/06/08,24891196
2016/06/09,-2649
2016/06/10,-1468588
2016/06/11,-23862427
2016/06/12,9499661
2016/06/13,7015146
2016/06/14,18415168
2016/06/15,676799
2016/06/16,9254209
2016/06/17,47187885
2016/06/18,49368404
2016/06/19,-6754725
2016/06/20,-42242229
2016/06/21,-44813689
2016/06/22,7177804
2016/06/23,-7532111
2016/06/24,-5815182
2016/06/25,-11457653
2016/06/26,-14436949
2016/06/27,-6514774
2016/06/28,2592224
2016/06/29,6736580
2016/06/30,1756570
2016/07/01,-9977819
2016/07/02,-9852797
2016/07/03,-4705585
2016/07/04,3073810
2016/07/05,32096235
2016/07/06,5127248
2016/07/07,-3600422
2016/07/08,-30449764
2016/07/09,-4741333
2016/07/10,-2690978
2016/07/11,1314253
2016/07/12,2621477
2016/07/13,2619139
2016/07/14,1768701
2016/07/15,37342999
2016/07/16,-640898
2016/07/17,-1667372
2016/07/18,-14050451
2016/07/19,100672452
2016/07/20,161143309
2016/07/21,-10595051
2016/07/22,-68924076
2016/07/23,-131837630
2016/07/24,149586836
2016/07/25,89723423
2016/07/26,228904690
2016/07/27,-13820645
2016/07/28,-33445731
2016/07/29,-199101447
2016/07/30,-109956123
2016/07/31,-53167284
2016/08/01,-4714867
2016/08/02,55964895
2016/08/03,39917962
2016/08/04,-23570716
2016/08/05,-57709929
2016/08/06,-64579913
2016/08/07,-16547781
2016/08/08,-22563286
2016/08/09,17580417
2016/08/10,35821034
2016/08/11,22806970
2016/08/12,-9856099
2016/08/13,-35414810
2016/08/14,-27662835
2016/08/15,-11111186
2016/08/16,-12893005
2016/08/17,933066
2016/08/18,-3109094
2016/08/19,620525
2016/08/20,-2193543
2016/08/21,26488465
2016/08/22,14004946
2016/08/23,32421728
2016/08/24,-28319389
2016/08/25,-14691404
2016/08/26,-27473509
2016/08/27,-244875
2016/08/28,-1171596
2016/08/29,-9062538
2016/08/30,-1278560
2016/08/31,3226907
2016/09/01,11036327
2016/09/02,11633394
2016/09/03,2497377
2016/09/04,-6795129
2016/09/05,-11657020
2016/09/06,-3696990
2016/09/07,-7099491
2016/09/08,7854869
2016/09/09,-3170093
2016/09/10,-2401782
2016/09/11,-7323131
2016/09/12,2929041
