Date,sentbyaddress7roc
2016/01/01,7.113
2016/01/02,8.005
2016/01/03,11.972
2016/01/04,0.68
2016/01/05,4.753
2016/01/06,14.159
2016/01/07,0.935
2016/01/08,7.161
2016/01/09,4.015
2016/01/10,13.844
2016/01/11,14.979
2016/01/12,22.502
2016/01/13,5.665
2016/01/14,-0.058
2016/01/15,19.563
2016/01/16,-8.254
2016/01/17,-22.204
2016/01/18,-11.105
2016/01/19,-22.573
2016/01/20,14.898
2016/01/21,-10.539
2016/01/22,-18.75
2016/01/23,21.553
2016/01/24,47.383
2016/01/25,33.694
2016/01/26,51.907
2016/01/27,2.161
2016/01/28,35.275
2016/01/29,26.391
2016/01/30,6.07
2016/01/31,-0.568
2016/02/01,-7.323
2016/02/02,-14.426
2016/02/03,-2.548
2016/02/04,-4.737
2016/02/05,1.237
2016/02/06,-2.159
2016/02/07,2
2016/02/08,12.361
2016/02/09,23.272
2016/02/10,61.075
2016/02/11,70.266
2016/02/12,61.486
2016/02/13,57.568
2016/02/14,23.856
2016/02/15,19.284
2016/02/16,10.891
2016/02/17,-17.366
2016/02/18,-19.587
2016/02/19,-19.703
2016/02/20,-17.747
2016/02/21,30.645
2016/02/22,9.729
2016/02/23,8.658
2016/02/24,6.968
2016/02/25,20.433
2016/02/26,12.816
2016/02/27,21.457
2016/02/28,-1.702
2016/02/29,32.334
2016/03/01,44.694
2016/03/02,55.717
2016/03/03,46.756
2016/03/04,61.911
2016/03/05,87.679
2016/03/06,57.353
2016/03/07,11.831
2016/03/08,24.294
2016/03/09,9.858
2016/03/10,13.304
2016/03/11,6.975
2016/03/12,-11.184
2016/03/13,-6.118
2016/03/14,12.339
2016/03/15,-9.456
2016/03/16,-7.839
2016/03/17,-8.152
2016/03/18,3.376
2016/03/19,-13.18
2016/03/20,-9.179
2016/03/21,0.912
2016/03/22,-7.525
2016/03/23,0.901
2016/03/24,-11.348
2016/03/25,-20.228
2016/03/26,-7.793
2016/03/27,2.341
2016/03/28,-6.248
2016/03/29,33.948
2016/03/30,33.283
2016/03/31,9.246
2016/04/01,7.766
2016/04/02,6.351
2016/04/03,-7.76
2016/04/04,3.395
2016/04/05,-17.394
2016/04/06,-19.284
2016/04/07,-0.988
2016/04/08,0.933
2016/04/09,13.551
2016/04/10,25.052
2016/04/11,-3.141
2016/04/12,1.326
2016/04/13,9.577
2016/04/14,4.534
2016/04/15,-1.011
2016/04/16,-8.697
2016/04/17,-5.634
