Date,activeaddresses3roc
2016/01/01,-0.693
2016/01/02,5.898
2016/01/03,-3.514
2016/01/04,6.663
2016/01/05,4.484
2016/01/06,7.425
2016/01/07,10.775
2016/01/08,6.014
2016/01/09,-0.313
2016/01/10,-0.64
2016/01/11,10.237
2016/01/12,14.312
2016/01/13,0.967
2016/01/14,-7.251
2016/01/15,0.664
2016/01/16,-4.639
2016/01/17,-5.523
2016/01/18,-1.478
2016/01/19,5.251
2016/01/20,25.894
2016/01/21,-3.831
2016/01/22,6.163
2016/01/23,2.29
2016/01/24,26.638
2016/01/25,30.385
2016/01/26,25.56
2016/01/27,5.799
2016/01/28,7.686
2016/01/29,-2.41
2016/01/30,6.233
2016/01/31,-0.246
2016/02/01,-1.726
2016/02/02,-3.001
2016/02/03,-2.78
2016/02/04,-3.133
2016/02/05,10.794
2016/02/06,-7.951
2016/02/07,0.835
2016/02/08,-2.871
2016/02/09,20.529
2016/02/10,41.258
2016/02/11,63.835
2016/02/12,31.031
2016/02/13,2.171
2016/02/14,-27.467
2016/02/15,-10.997
2016/02/16,-6.57
2016/02/17,6.633
2016/02/18,-0.706
2016/02/19,0.418
2016/02/20,-7.763
2016/02/21,8.599
2016/02/22,6.885
2016/02/23,14.193
2016/02/24,-0.715
2016/02/25,8.268
2016/02/26,-1.779
2016/02/27,0.256
2016/02/28,-1.496
2016/02/29,14.835
2016/03/01,23.864
2016/03/02,27.472
2016/03/03,27.21
2016/03/04,14.949
2016/03/05,21.041
2016/03/06,9.767
2016/03/07,-8.248
2016/03/08,-7.711
2016/03/09,-7.215
2016/03/10,22.958
2016/03/11,-1.339
2016/03/12,12.944
2016/03/13,1.82
2016/03/14,14.272
2016/03/15,1.657
2016/03/16,1.438
2016/03/17,-0.825
2016/03/18,9.911
2016/03/19,0.815
2016/03/20,-0.043
2016/03/21,-9.135
2016/03/22,0.452
2016/03/23,5.094
2016/03/24,0.607
2016/03/25,3.074
2016/03/26,-6.199
2016/03/27,6.49
2016/03/28,5.634
2016/03/29,21.718
2016/03/30,18.956
2016/03/31,3.896
2016/04/01,-9.292
2016/04/02,-15.556
2016/04/03,-1.551
2016/04/04,6.506
2016/04/05,12.476
2016/04/06,2.441
2016/04/07,4.722
2016/04/08,-9.105
2016/04/09,4.786
2016/04/10,0.609
2016/04/11,6.584
2016/04/12,2.129
2016/04/13,2.843
2016/04/14,4.305
2016/04/15,-2.951
2016/04/16,-6.597
2016/04/17,1.34
2016/04/18,5.275
2016/04/19,4.483
2016/04/20,1.795
2016/04/21,0.622
2016/04/22,-0.018
2016/04/23,-2.965
2016/04/24,1.681
2016/04/25,2.506
2016/04/26,4.448
2016/04/27,0.795
2016/04/28,-1.336
2016/04/29,12.261
2016/04/30,46.257
2016/05/01,18.714
2016/05/02,19.62
2016/05/03,-20.49
2016/05/04,-2.219
2016/05/05,-14.248
2016/05/06,-1.818
2016/05/07,-1.815
2016/05/08,6.273
2016/05/09,10.164
2016/05/10,8.807
2016/05/11,9.714
2016/05/12,7.479
2016/05/13,22.47
2016/05/14,0.177
2016/05/15,-5.249
2016/05/16,-19.053
2016/05/17,-1.999
2016/05/18,15.682
2016/05/19,18.471
2016/05/20,2.408
2016/05/21,-12.59
2016/05/22,-16.06
2016/05/23,6.292
2016/05/24,4.626
2016/05/25,16.33
2016/05/26,22.814
2016/05/27,17.489
2016/05/28,56.915
2016/05/29,-18.258
2016/05/30,-15.612
2016/05/31,-35.405
2016/06/01,-7.489
2016/06/02,-2.492
2016/06/03,-7.842
2016/06/04,-6.133
2016/06/05,-4.048
2016/06/06,2.052
2016/06/07,5.481
2016/06/08,7.048
2016/06/09,-1.285
2016/06/10,1.609
2016/06/11,-16.599
2016/06/12,6.812
2016/06/13,19.618
2016/06/14,43.722
2016/06/15,3.895
2016/06/16,-14.323
2016/06/17,22.168
2016/06/18,27.305
2016/06/19,19.044
2016/06/20,-21.778
2016/06/21,-16.015
2016/06/22,3.439
2016/06/23,-6.45
2016/06/24,-6.303
2016/06/25,-21.931
2016/06/26,5.675
2016/06/27,-4.933
2016/06/28,14.641
2016/06/29,-5.382
2016/06/30,2.942
2016/07/01,-8.228
2016/07/02,-2.213
2016/07/03,-2.091
2016/07/04,4.84
2016/07/05,2.518
2016/07/06,1.583
2016/07/07,-2.531
2016/07/08,0.511
2016/07/09,-0.556
2016/07/10,-0.943
2016/07/11,-4.182
2016/07/12,2.428
2016/07/13,-9.745
2016/07/14,4.859
2016/07/15,-0.706
2016/07/16,8.452
2016/07/17,-18.82
2016/07/18,-7.497
2016/07/19,24.792
2016/07/20,47.603
2016/07/21,22.122
2016/07/22,2.883
2016/07/23,-7.695
2016/07/24,26.304
2016/07/25,5.46
2016/07/26,43.898
2016/07/27,4.296
2016/07/28,1.209
2016/07/29,-27.214
2016/07/30,-27.285
2016/07/31,-12.856
2016/08/01,-2.293
2016/08/02,3.634
2016/08/03,1.972
2016/08/04,0.399
2016/08/05,-3.478
2016/08/06,-11.817
2016/08/07,-9.229
2016/08/08,-0.442
2016/08/09,15.119
2016/08/10,4.556
2016/08/11,12.322
2016/08/12,-11.418
2016/08/13,-7.544
2016/08/14,-14.376
2016/08/15,1.498
2016/08/16,15.761
2016/08/17,3.077
2016/08/18,-1.399
2016/08/19,-9.199
2016/08/20,-0.096
2016/08/21,1.875
2016/08/22,-2.115
2016/08/23,7.876
2016/08/24,-0.742
2016/08/25,10.079
2016/08/26,-5.708
2016/08/27,2.806
2016/08/28,-6.134
2016/08/29,4.576
2016/08/30,-0.497
2016/08/31,8.396
2016/09/01,5.075
2016/09/02,7.175
2016/09/03,-7.137
2016/09/04,-9.024
2016/09/05,-7.141
2016/09/06,1.827
2016/09/07,-3.445
2016/09/08,11.467
2016/09/09,-1.674
2016/09/10,2.38
2016/09/11,-8.552
2016/09/12,3.112
2016/09/13,2.781
2016/09/14,-0.382
2016/09/15,0.105
2016/09/16,5.319
2016/09/17,3.308
2016/09/18,-7.598
2016/09/19,-6.517
2016/09/20,23.304
2016/09/21,9.648
2016/09/22,-12.552
2016/09/23,-29.083
2016/09/24,-11.712
2016/09/25,4.075
2016/09/26,-1.91
2016/09/27,-3.488
2016/09/28,3.116
2016/09/29,4.057
2016/09/30,2.263
2016/10/01,2.645
2016/10/02,8.5
2016/10/03,2.185
2016/10/04,-21.862
2016/10/05,-22.193
2016/10/06,-15.901
2016/10/07,28.205
2016/10/08,15.032
2016/10/09,28.443
2016/10/10,8.627
2016/10/11,-1.971
2016/10/12,-44.623
2016/10/13,-59.029
2016/10/14,-10.047
2016/10/15,9.661
2016/10/16,72.521
2016/10/17,5.959
2016/10/18,70.499
2016/10/19,-5.399
2016/10/20,22.173
2016/10/21,20.072
2016/10/22,31.207
2016/10/23,-15.63
2016/10/24,-25.223
2016/10/25,1.302
2016/10/26,7.125
2016/10/27,-1.036
2016/10/28,0.41
2016/10/29,-8.197
2016/10/30,-16.88
2016/10/31,10.472
2016/11/01,13.797
2016/11/02,28.375
2016/11/03,-9.602
2016/11/04,-33.182
2016/11/05,-15.961
2016/11/06,-21.233
2016/11/07,36.663
2016/11/08,1.62
2016/11/09,18.888
2016/11/10,-12.603
2016/11/11,3.579
2016/11/12,-5.672
2016/11/13,14.658
2016/11/14,-10.688
2016/11/15,3.335
2016/11/16,-11.973
2016/11/17,0.389
2016/11/18,-3.099
2016/11/19,0.235
2016/11/20,4.126
2016/11/21,-2.031
2016/11/22,66.414
2016/11/23,102.597
2016/11/24,-10.541
2016/11/25,-8.389
2016/11/26,-58.521
2016/11/27,2.79
2016/11/28,-33.93
2016/11/29,6.951
2016/11/30,6.176
2016/12/01,-8.609
2016/12/02,10.706
2016/12/03,6.282
2016/12/04,9.964
2016/12/05,-3.853
2016/12/06,9.477
2016/12/07,-7.327
2016/12/08,-3.933
2016/12/09,-12.136
2016/12/10,0.794
2016/12/11,2.421
2016/12/12,-0.117
2016/12/13,-1.142
2016/12/14,6.413
2016/12/15,6.991
2016/12/16,9.714
2016/12/17,-7.389
2016/12/18,-18.254
2016/12/19,5.135
2016/12/20,13.903
2016/12/21,19.287
2016/12/22,26.087
2016/12/23,-1.59
2016/12/24,-8.391
2016/12/25,-35.156
2016/12/26,-18.699
2016/12/27,-5.111
2016/12/28,9.69
2016/12/29,15.204
2016/12/30,6.003
2016/12/31,6.32
2017/01/01,-12.415
2017/01/02,-0.915
2017/01/03,-4.993
2017/01/04,37.94
2017/01/05,27.629
2017/01/06,17.402
2017/01/07,-11.929
2017/01/08,-18.372
2017/01/09,-1.07
2017/01/10,-1.57
2017/01/11,8.49
2017/01/12,-2.532
2017/01/13,-2.903
2017/01/14,-10.943
2017/01/15,-10.148
2017/01/16,8.306
2017/01/17,12.983
2017/01/18,3.904
2017/01/19,-4.607
2017/01/20,0.966
2017/01/21,0.944
2017/01/22,-2.317
2017/01/23,-6.355
2017/01/24,5.869
2017/01/25,-1.933
2017/01/26,-1.77
2017/01/27,-7.697
2017/01/28,-1.858
2017/01/29,-4.501
2017/01/30,2.527
2017/01/31,2.543
2017/02/01,7.755
2017/02/02,2.306
2017/02/03,1.316
2017/02/04,4.2
2017/02/05,5.266
2017/02/06,5.299
2017/02/07,-1.116
2017/02/08,-0.907
2017/02/09,1.979
2017/02/10,6.748
2017/02/11,-6.859
2017/02/12,-2.383
2017/02/13,8.809
2017/02/14,22.995
2017/02/15,18.821
2017/02/16,-3.087
2017/02/17,-5.552
2017/02/18,-2.649
2017/02/19,-4.973
2017/02/20,3.656
2017/02/21,-2.183
2017/02/22,4.008
2017/02/23,-5.053
2017/02/24,8.872
2017/02/25,3.701
2017/02/26,5.996
2017/02/27,1.298
2017/02/28,25.447
2017/03/01,27.789
2017/03/02,47.964
2017/03/03,12.336
2017/03/04,-0.535
2017/03/05,-23.76
2017/03/06,-8.563
2017/03/07,-7.21
2017/03/08,-1.205
2017/03/09,5.037
2017/03/10,12.476
2017/03/11,13.944
2017/03/12,10.067
2017/03/13,47.014
2017/03/14,23.012
2017/03/15,18.696
2017/03/16,27.662
2017/03/17,45.113
2017/03/18,14.219
2017/03/19,-29.242
2017/03/20,-26.144
2017/03/21,-9.838
2017/03/22,-3.456
2017/03/23,-6.3
2017/03/24,10.089
2017/03/25,9.178
2017/03/26,-1.789
2017/03/27,-7.766
2017/03/28,-3.981
2017/03/29,10.899
2017/03/30,19.693
2017/03/31,38.346
2017/04/01,-6.552
2017/04/02,-10.195
2017/04/03,-3.892
2017/04/04,13.305
2017/04/05,-1.505
2017/04/06,-3.123
2017/04/07,-7.865
2017/04/08,-18.64
2017/04/09,-33.408
2017/04/10,-5.858
2017/04/11,3.905
2017/04/12,16.072
2017/04/13,10.347
2017/04/14,8.689
2017/04/15,-5.766
2017/04/16,-22.068
2017/04/17,-12.534
2017/04/18,10.834
2017/04/19,27.97
2017/04/20,26.783
2017/04/21,-10.055
2017/04/22,-13.226
2017/04/23,-15.863
2017/04/24,11.966
2017/04/25,12.686
2017/04/26,24.866
2017/04/27,36.914
2017/04/28,25.352
2017/04/29,1.586
2017/04/30,-12.514
2017/05/01,14.542
2017/05/02,17.627
2017/05/03,0.134
2017/05/04,7.857
2017/05/05,10.058
2017/05/06,3.524
2017/05/07,-6.527
2017/05/08,10.501
2017/05/09,21.828
2017/05/10,2.212
2017/05/11,-4.429
2017/05/12,-9.092
2017/05/13,-15.861
2017/05/14,-15.595
2017/05/15,10.558
2017/05/16,24.666
2017/05/17,6.882
2017/05/18,16.073
2017/05/19,41.092
2017/05/20,11.27
2017/05/21,0.795
2017/05/22,3.628
2017/05/23,52.801
2017/05/24,33.066
2017/05/25,6.737
2017/05/26,-7.627
2017/05/27,-20.846
2017/05/28,-22.686
2017/05/29,-10.72
2017/05/30,16.026
2017/05/31,31.103
2017/06/01,37.85
2017/06/02,4.999
2017/06/03,-5.022
2017/06/04,-15.315
2017/06/05,8.197
2017/06/06,18.861
2017/06/07,13.354
2017/06/08,-0.723
2017/06/09,3.873
2017/06/10,12.377
2017/06/11,34.126
2017/06/12,47.649
2017/06/13,34.795
2017/06/14,8.162
2017/06/15,-10.806
2017/06/16,-16.565
2017/06/17,-9.564
2017/06/18,-9.811
2017/06/19,14.052
2017/06/20,16.278
2017/06/21,-7.692
2017/06/22,7.889
2017/06/23,6.043
2017/06/24,14.874
2017/06/25,-24.595
2017/06/26,17.183
2017/06/27,1.062
2017/06/28,20.906
2017/06/29,-22.998
2017/06/30,-2.678
2017/07/01,-9.437
2017/07/02,-5.433
2017/07/03,13.313
2017/07/04,13.298
2017/07/05,4.035
2017/07/06,-12.146
2017/07/07,5.213
2017/07/08,-11.114
2017/07/09,-14.969
2017/07/10,-1.527
2017/07/11,20.977
2017/07/12,24.343
2017/07/13,-18.342
2017/07/14,-15.123
2017/07/15,-16.238
2017/07/16,-0.84
2017/07/17,0.443
2017/07/18,13.792
2017/07/19,11.231
2017/07/20,5.765
2017/07/21,-7.736
2017/07/22,-22.228
2017/07/23,5.142
2017/07/24,2.734
2017/07/25,15.784
2017/07/26,-17.789
2017/07/27,-6.457
2017/07/28,1.481
2017/07/29,-7.776
2017/07/30,-6.39
2017/07/31,12.564
2017/08/01,8.848
2017/08/02,8.367
2017/08/03,-15.636
2017/08/04,14.879
2017/08/05,8.314
2017/08/06,9.337
2017/08/07,6.916
2017/08/08,23.893
2017/08/09,12.06
2017/08/10,21.812
2017/08/11,7.032
2017/08/12,11.842
2017/08/13,-6.844
2017/08/14,18.505
2017/08/15,24.354
2017/08/16,26.981
2017/08/17,1.044
2017/08/18,8.199
2017/08/19,-11.961
2017/08/20,-27.297
2017/08/21,-12.758
2017/08/22,-4.316
2017/08/23,24.432
2017/08/24,-10.212
2017/08/25,4.974
2017/08/26,-23.632
2017/08/27,-12.152
2017/08/28,-2.369
2017/08/29,36.927
2017/08/30,34.563
2017/08/31,18.982
2017/09/01,-0.509
2017/09/02,-16.872
2017/09/03,-27.816
2017/09/04,15.644
2017/09/05,30.879
2017/09/06,55.792
2017/09/07,-9.339
2017/09/08,-3.803
2017/09/09,-21.03
2017/09/10,-22.918
2017/09/11,-13.633
2017/09/12,14.763
2017/09/13,15.682
2017/09/14,10.593
2017/09/15,9.565
2017/09/16,-4.561
2017/09/17,-28.518
2017/09/18,-18.15
2017/09/19,-1.396
2017/09/20,14.216
2017/09/21,-17.047
2017/09/22,-22.429
2017/09/23,-21.6
2017/09/24,-13.077
2017/09/25,13.199
2017/09/26,12.033
2017/09/27,9.528
2017/09/28,6.475
2017/09/29,13.483
2017/09/30,-4.326
2017/10/01,-17.393
2017/10/02,-7.663
2017/10/03,9.695
2017/10/04,8.687
2017/10/05,-1.822
2017/10/06,-6.295
2017/10/07,-3.935
2017/10/08,-4.078
2017/10/09,1.773
2017/10/10,25.777
2017/10/11,17.521
2017/10/12,13.792
2017/10/13,10.733
2017/10/14,-4.063
2017/10/15,-9.998
2017/10/16,-19.251
2017/10/17,22.963
2017/10/18,15.967
2017/10/19,9.903
2017/10/20,-4.753
2017/10/21,1.245
2017/10/22,11.94
2017/10/23,-0.199
2017/10/24,6.859
2017/10/25,-9.291
2017/10/26,-3.665
2017/10/27,-7.214
2017/10/28,-100
2017/10/29,-100
2017/10/30,-100
2017/10/31,0
2017/11/01,0
2017/11/02,0
2017/11/03,-0.175
2017/11/04,-25.221
2017/11/05,-35.061
2017/11/06,-7.789
2017/11/07,17.653
2017/11/08,31.259
2017/11/09,12.683
2017/11/10,10.023
2017/11/11,-13.52
2017/11/12,-1.472
2017/11/13,-4.68
2017/11/14,22.491
2017/11/15,20.894
2017/11/16,11.764
2017/11/17,8.441
2017/11/18,-18.222
2017/11/19,-5.306
2017/11/20,1.12
2017/11/21,18.641
2017/11/22,18.27
2017/11/23,3.506
2017/11/24,-1.423
2017/11/25,-4.409
2017/11/26,-3.146
2017/11/27,21.095
2017/11/28,29.631
2017/11/29,40.284
2017/11/30,9.312
2017/12/01,-5.724
2017/12/02,-11.964
2017/12/03,1.501
2017/12/04,12.787
2017/12/05,7.692
2017/12/06,39.424
2017/12/07,-5.786
2017/12/08,11.013
2017/12/09,-26.158
2017/12/10,3.354
2017/12/11,10.966
2017/12/12,31.391
2017/12/13,48.691
2017/12/14,29.498
2017/12/15,6.058
2017/12/16,-4.959
2017/12/17,-11.679
2017/12/18,14.587
2017/12/19,33.932
2017/12/20,27.591
2017/12/21,18.018
2017/12/22,5.081
2017/12/23,-13.59
2017/12/24,-38.442
2017/12/25,-38.64
2017/12/26,-12.617
2017/12/27,25.653
2017/12/28,31.209
2017/12/29,42.808
2017/12/30,39.904
2017/12/31,-1.807
2018/01/01,-20.768
2018/01/02,-3.271
2018/01/03,47.744
2018/01/04,72.841
2018/01/05,19.576
2018/01/06,-1.335
2018/01/07,-22.059
2018/01/08,-9.259
2018/01/09,3.693
2018/01/10,7.403
2018/01/11,0.395
2018/01/12,-14.338
2018/01/13,-5.322
2018/01/14,-14.961
2018/01/15,10.423
2018/01/16,13.732
2018/01/17,25.037
2018/01/18,-0.521
2018/01/19,-26.059
2018/01/20,-35.499
2018/01/21,-18.556
2018/01/22,-4.177
2018/01/23,3.36
2018/01/24,-15.882
2018/01/25,-29.842
2018/01/26,1.715
2018/01/27,-10.093
2018/01/28,21.718
2018/01/29,-1.852
2018/01/30,9.442
2018/01/31,2.859
2018/02/01,9.116
2018/02/02,12.254
2018/02/03,-11.48
2018/02/04,-25.6
2018/02/05,-14.288
2018/02/06,13.149
2018/02/07,3.274
2018/02/08,-28.332
2018/02/09,-15.889
2018/02/10,2.466
2018/02/11,13.983
2018/02/12,8.428
2018/02/13,-14.966
2018/02/14,0.908
2018/02/15,-10.016
2018/02/16,-8.206
2018/02/17,-9.264
2018/02/18,-10.17
2018/02/19,17.374
2018/02/20,27.344
2018/02/21,13.86
2018/02/22,-7.415
2018/02/23,-22.743
2018/02/24,-26.226
2018/02/25,-18.387
2018/02/26,7.544
2018/02/27,14.958
2018/02/28,18.028
2018/03/01,-9.773
2018/03/02,-1.197
2018/03/03,-17.836
2018/03/04,-18.899
2018/03/05,-0.041
2018/03/06,15.371
2018/03/07,53.173
2018/03/08,-4.31
2018/03/09,-8.254
2018/03/10,-31.413
2018/03/11,-20.351
2018/03/12,-3.201
2018/03/13,8.293
2018/03/14,30.618
2018/03/15,4.337
2018/03/16,-4.352
2018/03/17,-20.846
2018/03/18,-4.808
2018/03/19,12.109
2018/03/20,10.848
2018/03/21,5.445
2018/03/22,-10.977
2018/03/23,18.282
2018/03/24,-2.527
2018/03/25,-18.951
2018/03/26,-15.591
2018/03/27,-11.106
2018/03/28,8.089
2018/03/29,-5.22
2018/03/30,7.321
2018/03/31,-0.471
2018/04/01,-14.782
2018/04/02,-8.744
2018/04/03,14.822
2018/04/04,16.711
2018/04/05,20.734
2018/04/06,2.347
2018/04/07,-6.418
2018/04/08,-11.958
2018/04/09,1.005
2018/04/10,5.747
2018/04/11,-0.714
2018/04/12,6.497
2018/04/13,20.256
2018/04/14,-1.27
2018/04/15,-11.143
2018/04/16,-9.381
2018/04/17,14.253
2018/04/18,6.583
2018/04/19,11.577
2018/04/20,10.472
2018/04/21,17.14
2018/04/22,10.444
2018/04/23,11.989
2018/04/24,11.319
2018/04/25,-3.321
2018/04/26,-11.31
2018/04/27,-17.057
2018/04/28,-7.279
2018/04/29,-10.154
2018/04/30,5.851
2018/05/01,-4.131
2018/05/02,13.718
2018/05/03,11.209
2018/05/04,80.45
2018/05/05,5.819
2018/05/06,-8.232
2018/05/07,-32.897
2018/05/08,5.421
2018/05/09,14.884
2018/05/10,6.579
2018/05/11,-0.555
2018/05/12,0.189
2018/05/13,-4.43
2018/05/14,2.688
2018/05/15,-3.397
2018/05/16,6.43
2018/05/17,7.326
2018/05/18,8.535
2018/05/19,11.272
2018/05/20,-7.011
2018/05/21,-7.827
2018/05/22,-8.761
2018/05/23,5.968
2018/05/24,5.498
2018/05/25,-5.544
2018/05/26,-7.992
2018/05/27,-1.084
2018/05/28,13.994
2018/05/29,6.117
2018/05/30,0.53
2018/05/31,-9.51
2018/06/01,-11.971
2018/06/02,-5.84
2018/06/03,1.533
2018/06/04,6.665
2018/06/05,-2.916
2018/06/06,-10.032
2018/06/07,-2.206
2018/06/08,-8.423
2018/06/09,-76.74
2018/06/10,-100
2018/06/11,8.694
2018/06/12,288.287
2018/06/13,0
2018/06/14,-6.598
2018/06/15,9.56
2018/06/16,-17.557
2018/06/17,-8.16
2018/06/18,-10.716
2018/06/19,20.634
2018/06/20,14.669
2018/06/21,9.698
2018/06/22,4.689
2018/06/23,-9.12
2018/06/24,-7.206
2018/06/25,16.451
2018/06/26,1.108
2018/06/27,5.718
2018/06/28,-15.001
2018/06/29,4.934
2018/06/30,-33.3
2018/07/01,-50.513
2018/07/02,-39.846
2018/07/03,-8.618
2018/07/04,16.271
2018/07/05,11.294
2018/07/06,-4.151
2018/07/07,-4.238
2018/07/08,6.092
2018/07/09,33.859
2018/07/10,38.254
2018/07/11,3.291
2018/07/12,-13.187
2018/07/13,-21.738
2018/07/14,-21.568
2018/07/15,-13.425
2018/07/16,49.492
2018/07/17,63.096
2018/07/18,89.524
2018/07/19,9.668
2018/07/20,-4.528
2018/07/21,-28.57
2018/07/22,-7.955
2018/07/23,15.725
2018/07/24,39.058
2018/07/25,20.084
2018/07/26,-2.4
2018/07/27,0.651
2018/07/28,-10.798
2018/07/29,0.329
2018/07/30,-3.674
2018/07/31,3.936
2018/08/01,2.048
2018/08/02,-7.389
2018/08/03,3.655
2018/08/04,-9.411
2018/08/05,-7.522
2018/08/06,-11.385
2018/08/07,-8.573
2018/08/08,-17.219
2018/08/09,-19.6
2018/08/10,-100
2018/08/11,-100
2018/08/12,-100
2018/08/13,0
2018/08/14,0
2018/08/15,0
2018/08/16,0.979
2018/08/17,-10.746
2018/08/18,-6.959
2018/08/19,-18.164
2018/08/20,11.381
2018/08/21,-3.75
2018/08/22,1.855
2018/08/23,-12.907
2018/08/24,2.935
