Date,sentbyaddress3sma
2016/01/01,1572
2016/01/02,1622
2016/01/03,1591
2016/01/04,1622
2016/01/05,1626
2016/01/06,1646
2016/01/07,1679
2016/01/08,1684
2016/01/09,1686
2016/01/10,1724
2016/01/11,1800
2016/01/12,1904
2016/01/13,1881
2016/01/14,1832
2016/01/15,1822
2016/01/16,1747
2016/01/17,1649
2016/01/18,1548
2016/01/19,1548
2016/01/20,1749
2016/01/21,1709
2016/01/22,1727
2016/01/23,1674
2016/01/24,1863
2016/01/25,2072
2016/01/26,2229
2016/01/27,2219
2016/01/28,2173
2016/01/29,2064
2016/01/30,2034
2016/01/31,2038
2016/02/01,2052
2016/02/02,2058
2016/02/03,2034
2016/02/04,2010
2016/02/05,2021
2016/02/06,1995
2016/02/07,2046
2016/02/08,2136
2016/02/09,2313
2016/02/10,2687
2016/02/11,3045
2016/02/12,3320
2016/02/13,3255
2016/02/14,3009
2016/02/15,2830
2016/02/16,2722
2016/02/17,2737
2016/02/18,2724
2016/02/19,2692
2016/02/20,2635
2016/02/21,2882
2016/02/22,3009
2016/02/23,3162
2016/02/24,2969
2016/02/25,3052
2016/02/26,3054
2016/02/27,3115
2016/02/28,3156
2016/02/29,3497
2016/03/01,3915
2016/03/02,4277
2016/03/03,4545
2016/03/04,4719
2016/03/05,5141
2016/03/06,5322
2016/03/07,5203
2016/03/08,5074
2016/03/09,4933
2016/03/10,5256
2016/03/11,5193
2016/03/12,5252
2016/03/13,5110
2016/03/14,5064
2016/03/15,4980
2016/03/16,4819
2016/03/17,4809
2016/03/18,4974
2016/03/19,4938
2016/03/20,4790
2016/03/21,4700
2016/03/22,4720
2016/03/23,4726
2016/03/24,4511
2016/03/25,4437
2016/03/26,4271
2016/03/27,4349
2016/03/28,4515
2016/03/29,5158
2016/03/30,5639
2016/03/31,5667
2016/04/01,5194
2016/04/02,4606
2016/04/03,4425
2016/04/04,4534
2016/04/05,4742
2016/04/06,4950
2016/04/07,4908
2016/04/08,4799
2016/04/09,4801
2016/04/10,4997
2016/04/11,5040
2016/04/12,5073
2016/04/13,5078
2016/04/14,5160
2016/04/15,5014
2016/04/16,4714
2016/04/17,4736
2016/04/18,4881
2016/04/19,5011
2016/04/20,4989
2016/04/21,4968
2016/04/22,5028
2016/04/23,4988
2016/04/24,5015
2016/04/25,5085
2016/04/26,5250
2016/04/27,5351
2016/04/28,5295
2016/04/29,6018
2016/04/30,6936
2016/05/01,7561
2016/05/02,7717
2016/05/03,7460
2016/05/04,7416
2016/05/05,7054
2016/05/06,6930
2016/05/07,6856
2016/05/08,6908
2016/05/09,7063
2016/05/10,7364
2016/05/11,7899
2016/05/12,8382
2016/05/13,9345
2016/05/14,9506
2016/05/15,9184
2016/05/16,8262
2016/05/17,7964
2016/05/18,8299
2016/05/19,8800
2016/05/20,8899
2016/05/21,8509
2016/05/22,7758
2016/05/23,7906
2016/05/24,8196
2016/05/25,8683
2016/05/26,10842
2016/05/27,11364
2016/05/28,13881
2016/05/29,11616
2016/05/30,11075
2016/05/31,8770
2016/06/01,8616
2016/06/02,8346
2016/06/03,7936
2016/06/04,7559
2016/06/05,7357
2016/06/06,7309
2016/06/07,7578
2016/06/08,7837
2016/06/09,7794
2016/06/10,7721
2016/06/11,7367
2016/06/12,7539
2016/06/13,8246
2016/06/14,9301
2016/06/15,9527
2016/06/16,9405
2016/06/17,10742
2016/06/18,12031
2016/06/19,12133
2016/06/20,10458
2016/06/21,9455
2016/06/22,9667
2016/06/23,9486
2016/06/24,8993
2016/06/25,7995
2016/06/26,7607
2016/06/27,7419
2016/06/28,7813
2016/06/29,8165
2016/06/30,8181
2016/07/01,7867
2016/07/02,7692
2016/07/03,7776
2016/07/04,7993
2016/07/05,8217
2016/07/06,8343
2016/07/07,8288
2016/07/08,8168
2016/07/09,8059
