Date,sentbyaddress7std
2016/01/01,171.167
2016/01/02,172.138
2016/01/03,143.306
2016/01/04,144.74
2016/01/05,143.944
2016/01/06,101.462
2016/01/07,109.032
2016/01/08,74.125
2016/01/09,72.679
2016/01/10,139.148
2016/01/11,176.73
2016/01/12,239.62
2016/01/13,225.481
2016/01/14,225.644
2016/01/15,219.263
2016/01/16,286.283
2016/01/17,390.649
2016/01/18,383.144
2016/01/19,328.85
2016/01/20,417.704
2016/01/21,430.939
2016/01/22,360.112
2016/01/23,392.199
2016/01/24,440.775
2016/01/25,530.89
2016/01/26,566.145
2016/01/27,570.178
2016/01/28,453.729
2016/01/29,276.799
2016/01/30,230.214
2016/01/31,230.737
2016/02/01,216.823
2016/02/02,78.878
2016/02/03,76.426
2016/02/04,73.296
2016/02/05,73.767
2016/02/06,91.406
2016/02/07,112.858
2016/02/08,231.11
2016/02/09,359.987
2016/02/10,852.088
2016/02/11,1082
2016/02/12,1129
2016/02/13,968.256
2016/02/14,806.448
2016/02/15,661.641
2016/02/16,562.074
2016/02/17,565.604
2016/02/18,446.981
2016/02/19,267.006
2016/02/20,150.401
2016/02/21,565.638
2016/02/22,587.686
2016/02/23,591.147
2016/02/24,574.292
2016/02/25,610.743
2016/02/26,551.318
2016/02/27,372.48
2016/02/28,340.487
2016/02/29,721.126
2016/03/01,1008
2016/03/02,1137
2016/03/03,1340
2016/03/04,1269
2016/03/05,1365
2016/03/06,1114
2016/03/07,961.839
2016/03/08,898.724
2016/03/09,798.495
2016/03/10,802.873
2016/03/11,757.353
2016/03/12,618.838
2016/03/13,591.132
2016/03/14,351.548
2016/03/15,358.903
2016/03/16,519.762
2016/03/17,389.523
2016/03/18,457.337
2016/03/19,584.317
2016/03/20,613.227
2016/03/21,622.972
2016/03/22,666.442
2016/03/23,658.616
2016/03/24,670.637
2016/03/25,474.89
2016/03/26,575.364
2016/03/27,586.699
2016/03/28,433.822
2016/03/29,1168
2016/03/30,1524
2016/03/31,1478
2016/04/01,1404
2016/04/02,1315
2016/04/03,1397
2016/04/04,1386
2016/04/05,1126
2016/04/06,528.378
2016/04/07,521.917
2016/04/08,518.164
2016/04/09,445.277
2016/04/10,421.034
2016/04/11,437.973
2016/04/12,444.615
2016/04/13,555.288
2016/04/14,531.646
2016/04/15,551.768
2016/04/16,660.895
2016/04/17,577.234
2016/04/18,568.336
2016/04/19,565.156
2016/04/20,429.428
2016/04/21,421.324
2016/04/22,373.294
2016/04/23,143.179
2016/04/24,131.738
2016/04/25,248.59
2016/04/26,329.673
2016/04/27,362.859
2016/04/28,334.719
2016/04/29,1699
2016/04/30,2371
2016/05/01,2325
2016/05/02,2460
2016/05/03,2259
2016/05/04,1869
2016/05/05,949.509
2016/05/06,985.722
2016/05/07,841.616
2016/05/08,836.662
2016/05/09,499.89
2016/05/10,587.411
2016/05/11,1256
2016/05/12,1595
2016/05/13,2426
2016/05/14,2194
2016/05/15,1968
2016/05/16,1892
2016/05/17,1713
2016/05/18,1718
2016/05/19,1742
2016/05/20,1116
2016/05/21,1091
2016/05/22,1465
2016/05/23,1503
2016/05/24,1509
2016/05/25,1456
2016/05/26,5274
2016/05/27,5277
2016/05/28,6662
2016/05/29,6186
2016/05/30,6279
2016/05/31,6203
2016/06/01,6230
2016/06/02,5217
2016/06/03,5378
2016/06/04,1214
2016/06/05,1308
2016/06/06,1218
2016/06/07,761.801
2016/06/08,632.861
2016/06/09,626.277
2016/06/10,616.232
2016/06/11,746.859
2016/06/12,737.954
2016/06/13,1694
2016/06/14,2217
2016/06/15,2213
2016/06/16,2198
2016/06/17,4187
2016/06/18,3980
2016/06/19,3553
2016/06/20,3704
2016/06/21,3752
2016/06/22,3479
2016/06/23,3744
2016/06/24,2770
2016/06/25,1933
2016/06/26,2105
2016/06/27,2201
2016/06/28,2004
2016/06/29,1004
2016/06/30,944.399
2016/07/01,927.282
2016/07/02,881.966
2016/07/03,769.619
2016/07/04,739.816
2016/07/05,694.135
2016/07/06,655.711
2016/07/07,562.997
2016/07/08,457.605
2016/07/09,444.679
2016/07/10,628.295
2016/07/11,618.996
2016/07/12,482.417
2016/07/13,464.167
2016/07/14,480.57
2016/07/15,463.328
2016/07/16,783.204
2016/07/17,1219
2016/07/18,1204
2016/07/19,7189
2016/07/20,7209
2016/07/21,7151
2016/07/22,7080
2016/07/23,6670
2016/07/24,6362
2016/07/25,5411
2016/07/26,5392
2016/07/27,5377
2016/07/28,4879
2016/07/29,4953
2016/07/30,5276
2016/07/31,5380
2016/08/01,5513
2016/08/02,3306
2016/08/03,2564
2016/08/04,2167
2016/08/05,2440
2016/08/06,2531
2016/08/07,2749
2016/08/08,2745
2016/08/09,1603
2016/08/10,1340
2016/08/11,1643
2016/08/12,1684
2016/08/13,1892
2016/08/14,1906
2016/08/15,1943
2016/08/16,1752
2016/08/17,1762
2016/08/18,936.694
2016/08/19,935.825
2016/08/20,720.766
2016/08/21,696.466
2016/08/22,859.737
2016/08/23,1018
2016/08/24,1016
2016/08/25,1273
2016/08/26,1234
2016/08/27,1255
2016/08/28,1206
2016/08/29,834.107
2016/08/30,756.289
2016/08/31,769.004
2016/09/01,1263
2016/09/02,1250
