Date,sentinusd14trxUSD
2016/01/01,-1.614
2016/01/02,-1.495
2016/01/03,-1.296
2016/01/04,-1.219
2016/01/05,-0.526
2016/01/06,-0.068
2016/01/07,0.284
2016/01/08,0.42
2016/01/09,0.432
2016/01/10,0.304
2016/01/11,0.4
2016/01/12,1.142
2016/01/13,1.696
2016/01/14,2.009
2016/01/15,2.754
2016/01/16,3.34
2016/01/17,3.584
2016/01/18,5.522
2016/01/19,7.139
2016/01/20,7.803
2016/01/21,7.77
2016/01/22,7.684
2016/01/23,7.821
2016/01/24,8.96
2016/01/25,10.67
2016/01/26,11.79
2016/01/27,12.04
2016/01/28,11.549
2016/01/29,10.669
2016/01/30,9.733
2016/01/31,8.841
2016/02/01,7.747
2016/02/02,6.641
2016/02/03,5.622
2016/02/04,4.595
2016/02/05,3.725
2016/02/06,2.852
2016/02/07,2.3
2016/02/08,2.278
2016/02/09,2.695
2016/02/10,3.748
2016/02/11,5.111
2016/02/12,6.925
2016/02/13,7.96
2016/02/14,8.178
2016/02/15,7.854
2016/02/16,7.477
2016/02/17,6.775
2016/02/18,6.07
2016/02/19,5.214
2016/02/20,4.56
2016/02/21,3.818
2016/02/22,3.207
2016/02/23,3.012
2016/02/24,3.276
2016/02/25,3.367
2016/02/26,4.448
2016/02/27,5.344
2016/02/28,5.538
2016/02/29,5.282
2016/03/01,4.996
2016/03/02,5.639
2016/03/03,6.256
2016/03/04,6.518
2016/03/05,7.235
2016/03/06,7.523
2016/03/07,7.415
2016/03/08,7.244
2016/03/09,6.752
2016/03/10,6.057
2016/03/11,5.308
2016/03/12,4.803
2016/03/13,4.655
2016/03/14,4.541
2016/03/15,4.313
2016/03/16,3.987
2016/03/17,3.726
2016/03/18,3.579
2016/03/19,3.2
2016/03/20,2.655
2016/03/21,2.114
2016/03/22,1.569
2016/03/23,1.028
2016/03/24,0.581
2016/03/25,0.131
2016/03/26,-0.343
2016/03/27,-0.663
2016/03/28,-0.93
2016/03/29,-1.048
2016/03/30,-1.037
2016/03/31,-1.036
2016/04/01,-1.147
2016/04/02,-1.329
2016/04/03,-1.585
2016/04/04,-1.836
2016/04/05,-2.027
2016/04/06,-2.191
2016/04/07,-2.303
2016/04/08,-2.412
2016/04/09,-2.369
2016/04/10,-2.262
2016/04/11,-2.217
2016/04/12,-2.14
2016/04/13,-2.035
2016/04/14,-1.931
2016/04/15,-1.898
2016/04/16,-1.945
2016/04/17,-1.946
2016/04/18,-1.957
2016/04/19,-2.025
2016/04/20,-2.073
2016/04/21,-2.149
2016/04/22,-2.186
2016/04/23,-2.134
2016/04/24,-2.158
2016/04/25,-2.16
2016/04/26,-2.058
2016/04/27,-1.958
2016/04/28,-1.866
2016/04/29,-1.818
2016/04/30,-1.233
2016/05/01,-0.523
2016/05/02,0.331
2016/05/03,1.07
2016/05/04,1.581
2016/05/05,1.909
2016/05/06,2.381
2016/05/07,2.724
2016/05/08,2.925
2016/05/09,3.184
2016/05/10,3.446
2016/05/11,3.946
2016/05/12,4.608
2016/05/13,6.563
2016/05/14,8.326
2016/05/15,8.7
2016/05/16,8.29
2016/05/17,7.498
2016/05/18,6.7
2016/05/19,6.152
2016/05/20,5.679
2016/05/21,4.994
2016/05/22,4.179
2016/05/23,3.444
2016/05/24,2.857
2016/05/25,2.363
2016/05/26,1.883
2016/05/27,1.591
2016/05/28,1.373
2016/05/29,1.064
2016/05/30,0.717
2016/05/31,0.372
2016/06/01,0.015
2016/06/02,-0.378
2016/06/03,-0.761
2016/06/04,-1.146
2016/06/05,-1.52
2016/06/06,-1.869
2016/06/07,-2.101
2016/06/08,-2.04
2016/06/09,-2.068
2016/06/10,-2.081
2016/06/11,-2.146
2016/06/12,-2.13
2016/06/13,-2.006
2016/06/14,-1.727
2016/06/15,-1.466
2016/06/16,-1.06
2016/06/17,0.049
2016/06/18,1.468
2016/06/19,2.355
2016/06/20,2.944
2016/06/21,3.171
2016/06/22,3.256
2016/06/23,3.163
2016/06/24,2.871
2016/06/25,2.503
2016/06/26,2.001
2016/06/27,1.448
2016/06/28,1.015
2016/06/29,0.62
2016/06/30,0.217
2016/07/01,-0.178
2016/07/02,-0.605
2016/07/03,-1.029
2016/07/04,-1.355
2016/07/05,-1.334
2016/07/06,-1.372
2016/07/07,-1.46
2016/07/08,-1.609
2016/07/09,-1.801
2016/07/10,-2.005
2016/07/11,-2.194
2016/07/12,-2.355
2016/07/13,-2.481
2016/07/14,-2.569
2016/07/15,-2.136
2016/07/16,-1.855
2016/07/17,-1.697
2016/07/18,-1.289
2016/07/19,0.396
2016/07/20,3.686
2016/07/21,5.514
2016/07/22,6.482
2016/07/23,6.791
2016/07/24,8.225
2016/07/25,9.513
2016/07/26,11.769
2016/07/27,12.953
2016/07/28,12.821
2016/07/29,11.82
2016/07/30,10.377
2016/07/31,8.838
2016/08/01,7.474
2016/08/02,6.479
2016/08/03,5.636
2016/08/04,4.729
2016/08/05,3.867
2016/08/06,2.973
2016/08/07,2.123
2016/08/08,1.339
2016/08/09,0.68
2016/08/10,0.203
2016/08/11,-0.185
2016/08/12,-0.568
2016/08/13,-0.946
2016/08/14,-1.325
2016/08/15,-1.698
2016/08/16,-2.077
2016/08/17,-2.413
2016/08/18,-2.733
2016/08/19,-3.039
2016/08/20,-3.301
2016/08/21,-3.426
2016/08/22,-3.508
2016/08/23,-3.438
2016/08/24,-3.438
2016/08/25,-3.491
2016/08/26,-3.516
2016/08/27,-3.578
2016/08/28,-3.672
2016/08/29,-3.762
2016/08/30,-3.865
2016/08/31,-3.955
2016/09/01,-3.954
2016/09/02,-3.899
2016/09/03,-3.844
2016/09/04,-3.77
2016/09/05,-3.738
2016/09/06,-3.721
2016/09/07,-3.721
2016/09/08,-3.668
2016/09/09,-3.656
2016/09/10,-3.673
2016/09/11,-3.687
2016/09/12,-3.685
2016/09/13,-3.662
2016/09/14,-3.647
2016/09/15,-3.652
2016/09/16,-3.435
2016/09/17,-3.261
2016/09/18,-2.998
2016/09/19,-2.777
2016/09/20,-2.086
2016/09/21,-1.007
2016/09/22,-0.132
2016/09/23,0.581
2016/09/24,1.008
2016/09/25,1.419
2016/09/26,1.61
2016/09/27,1.596
2016/09/28,1.684
2016/09/29,1.757
2016/09/30,1.617
2016/10/01,1.338
2016/10/02,1.138
2016/10/03,0.812
2016/10/04,0.436
2016/10/05,0.096
2016/10/06,-0.226
2016/10/07,-0.524
2016/10/08,-0.782
2016/10/09,-0.783
2016/10/10,-0.621
2016/10/11,-0.393
2016/10/12,-0.088
2016/10/13,0.026
2016/10/14,0.239
2016/10/15,0.293
2016/10/16,0.304
2016/10/17,0.32
