Date,fee_to_reward90emaUSD
2016/01/01,0.088
2016/01/02,0.088
2016/01/03,0.088
2016/01/04,0.087
2016/01/05,0.09
2016/01/06,0.093
2016/01/07,0.096
2016/01/08,0.096
2016/01/09,0.097
2016/01/10,0.097
2016/01/11,0.097
2016/01/12,0.097
2016/01/13,0.099
2016/01/14,0.099
2016/01/15,0.099
2016/01/16,0.099
2016/01/17,0.098
2016/01/18,0.098
2016/01/19,0.099
2016/01/20,0.098
2016/01/21,0.098
2016/01/22,0.098
2016/01/23,0.097
2016/01/24,0.097
2016/01/25,0.098
2016/01/26,0.099
2016/01/27,0.102
2016/01/28,0.103
2016/01/29,0.103
2016/01/30,0.104
2016/01/31,0.105
2016/02/01,0.105
2016/02/02,0.105
2016/02/03,0.105
2016/02/04,0.105
2016/02/05,0.106
2016/02/06,0.113
2016/02/07,0.115
2016/02/08,0.115
2016/02/09,0.116
2016/02/10,0.119
2016/02/11,0.12
2016/02/12,0.12
2016/02/13,0.12
2016/02/14,0.119
2016/02/15,0.119
2016/02/16,0.119
2016/02/17,0.12
2016/02/18,0.12
2016/02/19,0.12
2016/02/20,0.12
2016/02/21,0.119
2016/02/22,0.119
2016/02/23,0.124
2016/02/24,0.126
2016/02/25,0.125
2016/02/26,0.127
2016/02/27,0.126
2016/02/28,0.126
2016/02/29,0.126
2016/03/01,0.126
2016/03/02,0.126
2016/03/03,0.126
2016/03/04,0.126
2016/03/05,0.126
2016/03/06,0.126
2016/03/07,0.126
2016/03/08,0.126
2016/03/09,0.125
2016/03/10,0.124
2016/03/11,0.123
2016/03/12,0.122
2016/03/13,0.122
2016/03/14,0.121
2016/03/15,0.12
2016/03/16,0.119
2016/03/17,0.119
2016/03/18,0.118
2016/03/19,0.118
2016/03/20,0.118
2016/03/21,0.118
2016/03/22,0.117
2016/03/23,0.117
2016/03/24,0.117
2016/03/25,0.117
2016/03/26,0.117
2016/03/27,0.115
2016/03/28,0.115
2016/03/29,0.114
2016/03/30,0.114
2016/03/31,0.113
2016/04/01,0.112
2016/04/02,0.111
2016/04/03,0.11
2016/04/04,0.109
2016/04/05,0.108
2016/04/06,0.108
2016/04/07,0.107
2016/04/08,0.106
2016/04/09,0.105
2016/04/10,0.104
2016/04/11,0.103
2016/04/12,0.102
2016/04/13,0.102
2016/04/14,0.102
2016/04/15,0.102
2016/04/16,0.101
2016/04/17,0.1
2016/04/18,0.099
2016/04/19,0.099
2016/04/20,0.098
2016/04/21,0.098
2016/04/22,0.097
2016/04/23,0.096
2016/04/24,0.096
2016/04/25,0.095
2016/04/26,0.095
2016/04/27,0.094
2016/04/28,0.093
2016/04/29,0.093
2016/04/30,0.093
2016/05/01,0.094
2016/05/02,0.093
2016/05/03,0.093
2016/05/04,0.093
2016/05/05,0.093
2016/05/06,0.093
2016/05/07,0.093
2016/05/08,0.093
2016/05/09,0.093
2016/05/10,0.092
2016/05/11,0.093
2016/05/12,0.093
2016/05/13,0.094
2016/05/14,0.094
2016/05/15,0.094
2016/05/16,0.094
2016/05/17,0.094
2016/05/18,0.094
2016/05/19,0.094
2016/05/20,0.095
2016/05/21,0.095
2016/05/22,0.095
2016/05/23,0.095
2016/05/24,0.095
2016/05/25,0.095
2016/05/26,0.095
2016/05/27,0.095
2016/05/28,0.098
2016/05/29,0.099
2016/05/30,0.099
2016/05/31,0.099
2016/06/01,0.099
2016/06/02,0.098
2016/06/03,0.098
2016/06/04,0.097
2016/06/05,0.097
2016/06/06,0.096
2016/06/07,0.099
2016/06/08,0.098
2016/06/09,0.098
2016/06/10,0.098
2016/06/11,0.098
2016/06/12,0.097
2016/06/13,0.098
2016/06/14,0.098
2016/06/15,0.098
2016/06/16,0.099
2016/06/17,0.111
2016/06/18,0.125
2016/06/19,0.125
2016/06/20,0.126
2016/06/21,0.128
2016/06/22,0.129
2016/06/23,0.128
2016/06/24,0.128
2016/06/25,0.127
2016/06/26,0.126
2016/06/27,0.125
2016/06/28,0.125
2016/06/29,0.126
2016/06/30,0.129
2016/07/01,0.129
2016/07/02,0.128
2016/07/03,0.127
2016/07/04,0.126
2016/07/05,0.125
2016/07/06,0.125
2016/07/07,0.124
2016/07/08,0.124
2016/07/09,0.124
2016/07/10,0.123
2016/07/11,0.122
2016/07/12,0.122
2016/07/13,0.121
2016/07/14,0.12
2016/07/15,0.12
2016/07/16,0.119
2016/07/17,0.117
2016/07/18,0.117
2016/07/19,0.116
2016/07/20,0.118
2016/07/21,0.118
2016/07/22,0.118
2016/07/23,0.118
2016/07/24,0.118
2016/07/25,0.118
2016/07/26,0.118
2016/07/27,0.118
2016/07/28,0.12
2016/07/29,0.12
2016/07/30,0.12
2016/07/31,0.119
2016/08/01,0.118
2016/08/02,0.118
2016/08/03,0.118
2016/08/04,0.117
2016/08/05,0.117
2016/08/06,0.116
2016/08/07,0.115
2016/08/08,0.116
2016/08/09,0.116
2016/08/10,0.115
2016/08/11,0.115
2016/08/12,0.115
2016/08/13,0.114
2016/08/14,0.113
2016/08/15,0.112
2016/08/16,0.112
2016/08/17,0.111
2016/08/18,0.111
2016/08/19,0.111
2016/08/20,0.11
2016/08/21,0.11
2016/08/22,0.109
2016/08/23,0.112
2016/08/24,0.111
2016/08/25,0.111
2016/08/26,0.111
2016/08/27,0.11
2016/08/28,0.109
2016/08/29,0.109
2016/08/30,0.109
2016/08/31,0.108
2016/09/01,0.108
2016/09/02,0.109
2016/09/03,0.108
2016/09/04,0.109
2016/09/05,0.109
2016/09/06,0.108
2016/09/07,0.108
2016/09/08,0.109
2016/09/09,0.109
2016/09/10,0.109
2016/09/11,0.108
2016/09/12,0.108
2016/09/13,0.108
2016/09/14,0.108
2016/09/15,0.108
2016/09/16,0.109
2016/09/17,0.108
2016/09/18,0.108
2016/09/19,0.108
2016/09/20,0.107
2016/09/21,0.107
2016/09/22,0.109
2016/09/23,0.109
2016/09/24,0.111
2016/09/25,0.113
2016/09/26,0.118
2016/09/27,0.121
2016/09/28,0.123
2016/09/29,0.123
2016/09/30,0.123
2016/10/01,0.126
2016/10/02,0.128
2016/10/03,0.129
2016/10/04,0.132
2016/10/05,0.133
2016/10/06,0.133
2016/10/07,0.133
2016/10/08,0.134
2016/10/09,0.134
2016/10/10,0.135
2016/10/11,0.135
2016/10/12,0.134
2016/10/13,0.138
2016/10/14,0.14
2016/10/15,0.141
2016/10/16,0.142
2016/10/17,0.144
2016/10/18,0.147
2016/10/19,0.149
2016/10/20,0.149
2016/10/21,0.149
2016/10/22,0.148
2016/10/23,0.146
2016/10/24,0.146
2016/10/25,0.146
2016/10/26,0.145
2016/10/27,0.144
2016/10/28,0.143
2016/10/29,0.142
2016/10/30,0.141
2016/10/31,0.14
2016/11/01,0.14
2016/11/02,0.139
2016/11/03,0.138
2016/11/04,0.137
2016/11/05,0.135
2016/11/06,0.134
2016/11/07,0.133
2016/11/08,0.132
2016/11/09,0.132
2016/11/10,0.131
2016/11/11,0.131
2016/11/12,0.13
2016/11/13,0.13
2016/11/14,0.129
2016/11/15,0.129
2016/11/16,0.129
2016/11/17,0.128
2016/11/18,0.127
2016/11/19,0.126
2016/11/20,0.126
2016/11/21,0.125
2016/11/22,0.125
2016/11/23,0.128
2016/11/24,0.129
2016/11/25,0.13
2016/11/26,0.131
2016/11/27,0.136
2016/11/28,0.14
2016/11/29,0.143
2016/11/30,0.143
2016/12/01,0.141
2016/12/02,0.14
2016/12/03,0.139
2016/12/04,0.138
2016/12/05,0.137
2016/12/06,0.136
2016/12/07,0.135
2016/12/08,0.135
2016/12/09,0.134
2016/12/10,0.133
2016/12/11,0.133
2016/12/12,0.132
2016/12/13,0.131
2016/12/14,0.13
2016/12/15,0.13
2016/12/16,0.129
2016/12/17,0.128
2016/12/18,0.128
2016/12/19,0.127
2016/12/20,0.127
2016/12/21,0.128
2016/12/22,0.128
2016/12/23,0.127
2016/12/24,0.126
2016/12/25,0.125
2016/12/26,0.124
2016/12/27,0.124
2016/12/28,0.123
2016/12/29,0.123
2016/12/30,0.123
2016/12/31,0.123
2017/01/01,0.122
2017/01/02,0.121
2017/01/03,0.121
2017/01/04,0.121
2017/01/05,0.121
2017/01/06,0.12
2017/01/07,0.12
2017/01/08,0.119
2017/01/09,0.119
2017/01/10,0.119
2017/01/11,0.119
2017/01/12,0.119
2017/01/13,0.119
2017/01/14,0.118
2017/01/15,0.117
2017/01/16,0.117
2017/01/17,0.117
2017/01/18,0.117
2017/01/19,0.116
2017/01/20,0.116
2017/01/21,0.116
2017/01/22,0.116
2017/01/23,0.115
2017/01/24,0.116
2017/01/25,0.116
2017/01/26,0.116
2017/01/27,0.116
2017/01/28,0.115
2017/01/29,0.115
2017/01/30,0.115
2017/01/31,0.114
2017/02/01,0.114
2017/02/02,0.114
2017/02/03,0.114
2017/02/04,0.114
2017/02/05,0.114
2017/02/06,0.114
2017/02/07,0.114
2017/02/08,0.115
2017/02/09,0.115
2017/02/10,0.115
2017/02/11,0.116
2017/02/12,0.116
2017/02/13,0.117
2017/02/14,0.118
2017/02/15,0.12
2017/02/16,0.12
2017/02/17,0.12
2017/02/18,0.12
2017/02/19,0.12
2017/02/20,0.12
2017/02/21,0.122
2017/02/22,0.122
2017/02/23,0.123
2017/02/24,0.123
2017/02/25,0.123
2017/02/26,0.123
2017/02/27,0.124
2017/02/28,0.124
2017/03/01,0.125
2017/03/02,0.126
2017/03/03,0.126
2017/03/04,0.127
2017/03/05,0.127
2017/03/06,0.127
2017/03/07,0.127
2017/03/08,0.127
2017/03/09,0.128
2017/03/10,0.129
2017/03/11,0.129
2017/03/12,0.13
2017/03/13,0.132
2017/03/14,0.134
2017/03/15,0.136
2017/03/16,0.138
2017/03/17,0.141
2017/03/18,0.142
2017/03/19,0.143
2017/03/20,0.144
