Date,mediantransactionvalue30emaUSD
2016/01/01,0.979
2016/01/02,1.002
2016/01/03,1.023
2016/01/04,1.037
2016/01/05,0.97
2016/01/06,0.907
2016/01/07,0.849
2016/01/08,0.864
2016/01/09,0.879
2016/01/10,0.905
2016/01/11,0.926
2016/01/12,0.963
2016/01/13,0.901
2016/01/14,0.924
2016/01/15,0.976
2016/01/16,1.016
2016/01/17,1.054
2016/01/18,1.084
2016/01/19,1.061
2016/01/20,1.141
2016/01/21,1.203
2016/01/22,1.226
2016/01/23,1.304
2016/01/24,1.399
2016/01/25,1.458
2016/01/26,1.541
2016/01/27,1.492
2016/01/28,1.556
2016/01/29,1.625
2016/01/30,1.705
2016/01/31,1.777
2016/02/01,1.822
2016/02/02,1.861
2016/02/03,1.925
2016/02/04,1.983
2016/02/05,2.031
2016/02/06,1.9
2016/02/07,1.98
2016/02/08,2.091
2016/02/09,2.225
2016/02/10,2.464
2016/02/11,2.655
2016/02/12,2.969
2016/02/13,3.14
2016/02/14,3.305
2016/02/15,3.49
2016/02/16,3.618
2016/02/17,3.663
2016/02/18,3.723
2016/02/19,3.802
2016/02/20,3.879
2016/02/21,3.964
2016/02/22,4.078
2016/02/23,4.229
2016/02/24,4.369
2016/02/25,4.535
2016/02/26,4.651
2016/02/27,4.792
2016/02/28,4.962
2016/02/29,5.112
2016/03/01,5.287
2016/03/02,5.524
2016/03/03,5.837
2016/03/04,6.115
2016/03/05,6.612
2016/03/06,6.954
2016/03/07,7.242
2016/03/08,7.449
2016/03/09,7.699
2016/03/10,8.108
2016/03/11,8.331
2016/03/12,8.735
2016/03/13,9.161
2016/03/14,9.544
2016/03/15,9.817
2016/03/16,10.12
2016/03/17,10.277
2016/03/18,10.332
2016/03/19,10.355
2016/03/20,10.365
2016/03/21,10.432
2016/03/22,10.529
2016/03/23,10.64
2016/03/24,10.692
2016/03/25,10.691
2016/03/26,10.7
2016/03/27,10.731
2016/03/28,10.779
2016/03/29,10.852
2016/03/30,10.936
2016/03/31,11.013
2016/04/01,11.068
2016/04/02,11.116
2016/04/03,11.166
2016/04/04,11.189
2016/04/05,11.158
2016/04/06,11.141
2016/04/07,11.106
2016/04/08,11.034
2016/04/09,10.958
2016/04/10,10.823
2016/04/11,10.686
2016/04/12,10.51
2016/04/13,10.335
2016/04/14,10.215
2016/04/15,10.095
2016/04/16,9.99
2016/04/17,9.847
2016/04/18,9.807
2016/04/19,9.766
2016/04/20,9.699
2016/04/21,9.62
2016/04/22,9.526
2016/04/23,9.438
2016/04/24,9.363
2016/04/25,9.267
2016/04/26,9.15
2016/04/27,9.06
2016/04/28,8.962
2016/04/29,8.87
2016/04/30,8.832
2016/05/01,8.83
2016/05/02,8.887
2016/05/03,8.945
2016/05/04,8.989
2016/05/05,9.03
2016/05/06,9.073
2016/05/07,9.098
2016/05/08,9.114
2016/05/09,9.138
2016/05/10,9.156
2016/05/11,9.193
2016/05/12,9.258
2016/05/13,9.362
2016/05/14,9.429
2016/05/15,9.477
2016/05/16,9.549
2016/05/17,9.699
2016/05/18,9.921
2016/05/19,10.185
2016/05/20,10.462
2016/05/21,10.666
2016/05/22,10.888
2016/05/23,11.109
2016/05/24,11.246
2016/05/25,11.321
2016/05/26,11.013
2016/05/27,11.042
2016/05/28,10.4
2016/05/29,10.186
2016/05/30,10.331
2016/05/31,10.516
2016/06/01,10.733
2016/06/02,10.933
2016/06/03,11.109
2016/06/04,11.014
2016/06/05,11.189
2016/06/06,11.361
2016/06/07,11.092
2016/06/08,11.31
2016/06/09,11.508
2016/06/10,11.622
2016/06/11,11.765
2016/06/12,11.736
2016/06/13,12.049
2016/06/14,12.363
2016/06/15,12.747
2016/06/16,13.185
2016/06/17,12.67
2016/06/18,12.364
2016/06/19,12.192
2016/06/20,11.941
2016/06/21,11.942
2016/06/22,12.087
2016/06/23,12.147
2016/06/24,11.822
2016/06/25,11.973
2016/06/26,11.713
2016/06/27,11.852
2016/06/28,11.932
2016/06/29,11.416
2016/06/30,10.76
2016/07/01,10.848
2016/07/02,10.922
2016/07/03,10.982
2016/07/04,11.018
2016/07/05,10.982
2016/07/06,10.956
2016/07/07,10.897
2016/07/08,10.722
2016/07/09,10.729
2016/07/10,10.737
2016/07/11,10.725
2016/07/12,10.678
2016/07/13,10.663
2016/07/14,10.406
2016/07/15,10.502
2016/07/16,10.28
2016/07/17,10.345
2016/07/18,10.409
2016/07/19,10.488
2016/07/20,9.986
2016/07/21,9.971
2016/07/22,10.196
2016/07/23,10.413
2016/07/24,10.615
2016/07/25,10.794
2016/07/26,10.939
2016/07/27,11.043
2016/07/28,11.152
2016/07/29,11.139
2016/07/30,11.161
2016/07/31,11.224
2016/08/01,11.247
2016/08/02,11.19
2016/08/03,10.722
2016/08/04,10.722
2016/08/05,10.736
2016/08/06,10.733
2016/08/07,10.744
2016/08/08,10.757
2016/08/09,10.816
2016/08/10,10.823
2016/08/11,10.737
2016/08/12,10.498
2016/08/13,10.305
2016/08/14,10.379
2016/08/15,10.327
2016/08/16,9.958
2016/08/17,9.672
2016/08/18,9.388
2016/08/19,9.223
2016/08/20,9.15
2016/08/21,9.071
2016/08/22,8.931
2016/08/23,8.712
2016/08/24,8.458
2016/08/25,8.166
2016/08/26,7.923
2016/08/27,7.712
2016/08/28,7.854
2016/08/29,7.59
2016/08/30,7.402
2016/08/31,7.432
2016/09/01,7.735
2016/09/02,7.4
2016/09/03,7.471
2016/09/04,7.342
2016/09/05,7.554
2016/09/06,7.34
2016/09/07,7.013
2016/09/08,6.73
2016/09/09,6.46
2016/09/10,6.583
2016/09/11,6.924
2016/09/12,6.954
2016/09/13,7.278
2016/09/14,6.989
2016/09/15,6.702
2016/09/16,6.453
2016/09/17,6.458
2016/09/18,6.69
2016/09/19,7.092
2016/09/20,7.517
2016/09/21,7.923
2016/09/22,7.545
2016/09/23,7.921
2016/09/24,8.25
2016/09/25,8.565
2016/09/26,8.845
2016/09/27,9.116
2016/09/28,9.384
2016/09/29,9.636
2016/09/30,9.873
2016/10/01,9.577
2016/10/02,9.809
2016/10/03,10.031
2016/10/04,9.384
2016/10/05,9.424
2016/10/06,9.237
2016/10/07,9.46
2016/10/08,9.641
2016/10/09,9.813
2016/10/10,9.944
2016/10/11,10.073
2016/10/12,10.052
2016/10/13,9.478
2016/10/14,9.635
2016/10/15,9.804
2016/10/16,9.951
2016/10/17,10.078
2016/10/18,9.907
2016/10/19,10.049
2016/10/20,10.181
2016/10/21,9.734
2016/10/22,9.885
2016/10/23,10.021
2016/10/24,9.642
2016/10/25,9.543
2016/10/26,9.67
2016/10/27,9.782
2016/10/28,9.877
2016/10/29,9.927
2016/10/30,9.973
2016/10/31,10.049
2016/11/01,9.767
2016/11/02,9.586
2016/11/03,9.67
2016/11/04,9.757
2016/11/05,9.84
2016/11/06,9.915
2016/11/07,9.977
2016/11/08,10.033
2016/11/09,10.072
2016/11/10,10.103
2016/11/11,10.121
2016/11/12,10.12
2016/11/13,10.117
2016/11/14,10.11
2016/11/15,10.103
2016/11/16,10.106
2016/11/17,10.097
2016/11/18,10.07
2016/11/19,10.041
2016/11/20,10.01
2016/11/21,9.981
2016/11/22,9.467
2016/11/23,8.894
2016/11/24,8.932
2016/11/25,8.358
2016/11/26,8.296
2016/11/27,7.97
2016/11/28,7.69
2016/11/29,7.456
2016/11/30,7.322
2016/12/01,7.394
2016/12/02,7.43
2016/12/03,7.458
2016/12/04,7.403
2016/12/05,7.391
2016/12/06,7.355
2016/12/07,7.379
2016/12/08,7.45
2016/12/09,7.509
2016/12/10,7.558
2016/12/11,7.598
2016/12/12,7.645
2016/12/13,7.44
2016/12/14,7.176
2016/12/15,6.996
2016/12/16,6.838
2016/12/17,6.889
2016/12/18,6.949
2016/12/19,6.754
2016/12/20,6.655
2016/12/21,6.448
2016/12/22,6.138
2016/12/23,6.203
2016/12/24,6.27
2016/12/25,6.33
2016/12/26,6.387
2016/12/27,6.294
2016/12/28,6.194
2016/12/29,6.316
2016/12/30,6.199
2016/12/31,6.315
2017/01/01,6.439
2017/01/02,6.552
2017/01/03,6.502
2017/01/04,6.756
2017/01/05,6.996
2017/01/06,7.191
2017/01/07,7.359
2017/01/08,7.528
2017/01/09,7.715
2017/01/10,7.62
2017/01/11,7.776
2017/01/12,7.581
2017/01/13,7.298
2017/01/14,7.411
2017/01/15,7.244
2017/01/16,7.396
2017/01/17,7.327
2017/01/18,7.51
2017/01/19,7.686
2017/01/20,7.867
2017/01/21,8.05
2017/01/22,7.871
2017/01/23,7.821
2017/01/24,7.546
2017/01/25,7.394
2017/01/26,7.256
2017/01/27,7.152
2017/01/28,7.025
2017/01/29,7.161
2017/01/30,7.057
2017/01/31,7.283
2017/02/01,7.22
2017/02/02,7.439
2017/02/03,7.65
2017/02/04,7.88
2017/02/05,7.976
2017/02/06,8.093
2017/02/07,7.883
2017/02/08,7.714
2017/02/09,7.774
2017/02/10,7.71
2017/02/11,7.654
2017/02/12,7.844
2017/02/13,7.701
2017/02/14,7.685
2017/02/15,7.862
2017/02/16,8.175
2017/02/17,8.37
2017/02/18,8.65
2017/02/19,8.831
2017/02/20,8.826
2017/02/21,8.515
2017/02/22,8.391
2017/02/23,8.672
2017/02/24,8.853
2017/02/25,8.777
2017/02/26,9.087
2017/02/27,9.446
2017/02/28,9.849
2017/03/01,10.239
2017/03/02,10.744
2017/03/03,11.325
2017/03/04,11.846
2017/03/05,12.296
2017/03/06,12.76
2017/03/07,12.555
2017/03/08,12.901
2017/03/09,12.665
2017/03/10,13.02
2017/03/11,13.455
2017/03/12,14.025
2017/03/13,14.876
2017/03/14,15.748
2017/03/15,16.681
2017/03/16,18.212
2017/03/17,20.023
2017/03/18,21.258
2017/03/19,22.429
2017/03/20,23.785
2017/03/21,24.836
2017/03/22,25.896
2017/03/23,25.863
2017/03/24,27.18
2017/03/25,28.689
2017/03/26,28.727
2017/03/27,27.776
2017/03/28,27.705
2017/03/29,27.374
2017/03/30,27.71
2017/03/31,28.407
2017/04/01,28.199
2017/04/02,29.593
2017/04/03,30.629
2017/04/04,31.432
2017/04/05,32.149
2017/04/06,32.927
2017/04/07,31.464
2017/04/08,30.938
2017/04/09,30.001
2017/04/10,29.813
2017/04/11,29.273
2017/04/12,28.796
2017/04/13,28.527
2017/04/14,28.033
2017/04/15,27.466
2017/04/16,26.634
2017/04/17,26.491
2017/04/18,26.378
2017/04/19,26.301
2017/04/20,25.659
2017/04/21,24.971
2017/04/22,24.912
2017/04/23,24.661
2017/04/24,25.334
2017/04/25,24.493
2017/04/26,24.278
2017/04/27,23.851
2017/04/28,24.151
2017/04/29,24.852
2017/04/30,25.788
2017/05/01,26.677
2017/05/02,27.447
2017/05/03,28.173
2017/05/04,29.452
2017/05/05,33.5
2017/05/06,35.498
2017/05/07,38.158
2017/05/08,41.403
2017/05/09,44.124
2017/05/10,44.864
2017/05/11,44.182
2017/05/12,44.374
2017/05/13,43.6
2017/05/14,43.29
2017/05/15,42.054
2017/05/16,42.704
2017/05/17,45.452
2017/05/18,44.592
2017/05/19,46.62
2017/05/20,45.698
2017/05/21,45.24
2017/05/22,47.996
2017/05/23,48.984
2017/05/24,51.826
2017/05/25,54.751
2017/05/26,56.714
2017/05/27,57.887
2017/05/28,56.416
2017/05/29,56.486
2017/05/30,58.715
2017/05/31,69.511
2017/06/01,71.42
2017/06/02,69.82
2017/06/03,70.377
2017/06/04,69.735
2017/06/05,71.629
2017/06/06,72.882
2017/06/07,71.726
2017/06/08,70.797
2017/06/09,70.003
2017/06/10,72.763
2017/06/11,76.071
2017/06/12,85.851
2017/06/13,88.938
2017/06/14,90.721
2017/06/15,93.705
2017/06/16,92.919
2017/06/17,92.224
2017/06/18,91.018
2017/06/19,89.996
2017/06/20,107.454
2017/06/21,122.125
2017/06/22,121.995
2017/06/23,120.448
2017/06/24,119.081
2017/06/25,115.361
2017/06/26,116.483
2017/06/27,112.502
2017/06/28,108.289
2017/06/29,104.838
2017/06/30,101.847
2017/07/01,98.726
2017/07/02,94.548
2017/07/03,90.526
2017/07/04,86.916
2017/07/05,83.346
2017/07/06,80.2
2017/07/07,75.026
2017/07/08,72.006
2017/07/09,69.032
2017/07/10,66.176
2017/07/11,64.443
2017/07/12,61.992
2017/07/13,59.356
2017/07/14,57.146
2017/07/15,55.826
2017/07/16,53.879
2017/07/17,52.232
2017/07/18,50.906
2017/07/19,49.47
2017/07/20,48.026
2017/07/21,46.607
2017/07/22,45.176
2017/07/23,43.775
2017/07/24,42.48
2017/07/25,41.869
2017/07/26,40.979
2017/07/27,40.409
2017/07/28,39.375
2017/07/29,39.038
2017/07/30,37.969
2017/07/31,37.416
2017/08/01,37.812
2017/08/02,38.16
2017/08/03,37.631
2017/08/04,36.776
2017/08/05,36.433
2017/08/06,35.824
2017/08/07,35.848
2017/08/08,35.575
2017/08/09,36.875
2017/08/10,36.621
2017/08/11,36.223
2017/08/12,35.86
2017/08/13,35.56
2017/08/14,34.496
2017/08/15,35.265
2017/08/16,35.775
2017/08/17,35.762
2017/08/18,37.306
2017/08/19,36.031
2017/08/20,35.618
2017/08/21,35.749
2017/08/22,35.357
2017/08/23,35.322
2017/08/24,35.211
2017/08/25,35.19
2017/08/26,34.198
2017/08/27,33.069
2017/08/28,33.142
2017/08/29,33.372
2017/08/30,33.652
2017/08/31,35.802
2017/09/01,36.027
2017/09/02,36.04
2017/09/03,35.898
2017/09/04,35.714
2017/09/05,35.373
2017/09/06,34.169
2017/09/07,32.957
2017/09/08,31.499
2017/09/09,29.852
2017/09/10,28.898
2017/09/11,28.946
2017/09/12,29.041
2017/09/13,28.801
2017/09/14,28.591
2017/09/15,29.115
2017/09/16,28.888
2017/09/17,27.85
2017/09/18,27.086
2017/09/19,27.196
2017/09/20,27.313
2017/09/21,26.607
2017/09/22,26.079
2017/09/23,25.62
2017/09/24,24.871
2017/09/25,24.266
2017/09/26,23.613
2017/09/27,23.061
2017/09/28,22.547
2017/09/29,21.753
2017/09/30,20.993
2017/10/01,20.607
2017/10/02,20.449
2017/10/03,20.17
2017/10/04,19.941
2017/10/05,19.601
2017/10/06,19.286
2017/10/07,19.06
2017/10/08,18.849
2017/10/09,18.023
2017/10/10,17.839
2017/10/11,17.333
2017/10/12,16.696
2017/10/13,17.686
2017/10/14,17.765
2017/10/15,17.67
2017/10/16,16.53
2017/10/17,15.467
2017/10/18,14.471
2017/10/19,13.538
2017/10/20,12.664
2017/10/21,11.847
2017/10/22,11.096
2017/10/23,10.397
2017/10/24,9.729
2017/10/25,9.101
2017/10/26,8.514
2017/10/27,7.965
2017/10/28,7.451
2017/10/29,6.97
2017/10/30,6.52
2017/10/31,6.1
2017/11/01,5.706
2017/11/02,5.427
2017/11/03,5.077
2017/11/04,4.75
2017/11/05,4.443
2017/11/06,4.157
2017/11/07,3.888
2017/11/08,3.709
2017/11/09,3.624
2017/11/10,3.791
2017/11/11,3.625
2017/11/12,4.977
2017/11/13,5.207
2017/11/14,5.525
2017/11/15,6.263
2017/11/16,6.061
2017/11/17,6.562
2017/11/18,6.354
2017/11/19,6.414
2017/11/20,6.042
2017/11/21,6.834
2017/11/22,7.578
2017/11/23,8.364
2017/11/24,9.228
2017/11/25,8.813
2017/11/26,8.481
2017/11/27,9.473
2017/11/28,10.403
