Date,size7wma
2016/01/01,1182
2016/01/02,1113
2016/01/03,1050
2016/01/04,1014
2016/01/05,1092
2016/01/06,1202
2016/01/07,1312
2016/01/08,1286
2016/01/09,1286
2016/01/10,1235
2016/01/11,1185
2016/01/12,1141
2016/01/13,1190
2016/01/14,1154
2016/01/15,1121
2016/01/16,1080
2016/01/17,1029
2016/01/18,1025
2016/01/19,1034
2016/01/20,1006
2016/01/21,989.982
2016/01/22,999.465
2016/01/23,977.79
2016/01/24,980.094
2016/01/25,1064
2016/01/26,1112
2016/01/27,1239
2016/01/28,1309
2016/01/29,1333
2016/01/30,1315
2016/01/31,1277
2016/02/01,1219
2016/02/02,1170
2016/02/03,1122
2016/02/04,1098
2016/02/05,1094
2016/02/06,1237
2016/02/07,1200
2016/02/08,1168
2016/02/09,1138
2016/02/10,1127
2016/02/11,1159
2016/02/12,1156
2016/02/13,1164
2016/02/14,1168
2016/02/15,1164
2016/02/16,1158
2016/02/17,1182
2016/02/18,1162
2016/02/19,1160
2016/02/20,1130
2016/02/21,1108
2016/02/22,1099
2016/02/23,1098
2016/02/24,1096
2016/02/25,1100
2016/02/26,1148
2016/02/27,1144
2016/02/28,1136
2016/02/29,1147
2016/03/01,1151
2016/03/02,1163
2016/03/03,1185
2016/03/04,1202
2016/03/05,1237
2016/03/06,1278
2016/03/07,1271
2016/03/08,1269
2016/03/09,1273
2016/03/10,1260
2016/03/11,1245
2016/03/12,1275
2016/03/13,1305
2016/03/14,1361
2016/03/15,1360
2016/03/16,1357
2016/03/17,1378
2016/03/18,1388
2016/03/19,1414
2016/03/20,1424
2016/03/21,1445
2016/03/22,1470
2016/03/23,1492
2016/03/24,1589
2016/03/25,1611
2016/03/26,1604
2016/03/27,1526
2016/03/28,1531
2016/03/29,1489
2016/03/30,1498
2016/03/31,1463
2016/04/01,1467
2016/04/02,1410
2016/04/03,1367
2016/04/04,1389
2016/04/05,1419
2016/04/06,1397
2016/04/07,1400
2016/04/08,1437
2016/04/09,1417
2016/04/10,1384
2016/04/11,1346
2016/04/12,1363
2016/04/13,1390
2016/04/14,1394
2016/04/15,1399
2016/04/16,1360
2016/04/17,1500
2016/04/18,1475
2016/04/19,1439
2016/04/20,1418
2016/04/21,1438
2016/04/22,1401
2016/04/23,1363
2016/04/24,1364
2016/04/25,1373
2016/04/26,1367
2016/04/27,1353
2016/04/28,1364
2016/04/29,1382
2016/04/30,1436
2016/05/01,1502
2016/05/02,1510
2016/05/03,1506
2016/05/04,1511
2016/05/05,1507
2016/05/06,1534
2016/05/07,1492
2016/05/08,1496
2016/05/09,1488
2016/05/10,1486
2016/05/11,1503
2016/05/12,1547
2016/05/13,1583
2016/05/14,1620
2016/05/15,1609
2016/05/16,1587
2016/05/17,1569
2016/05/18,1593
2016/05/19,1585
2016/05/20,1605
2016/05/21,1624
2016/05/22,1599
2016/05/23,1594
2016/05/24,1576
2016/05/25,1594
2016/05/26,1628
2016/05/27,1654
2016/05/28,1856
2016/05/29,1841
2016/05/30,1786
2016/05/31,1745
2016/06/01,1693
2016/06/02,1618
2016/06/03,1547
2016/06/04,1482
2016/06/05,1450
2016/06/06,1435
2016/06/07,1492
2016/06/08,1481
2016/06/09,1484
2016/06/10,1477
2016/06/11,1455
2016/06/12,1455
2016/06/13,1487
2016/06/14,1540
2016/06/15,1546
2016/06/16,1568
2016/06/17,1720
2016/06/18,1823
2016/06/19,1798
2016/06/20,1787
2016/06/21,1753
2016/06/22,1719
2016/06/23,1656
2016/06/24,1627
2016/06/25,1560
2016/06/26,1525
2016/06/27,1486
2016/06/28,1475
2016/06/29,1547
2016/06/30,1757
2016/07/01,1689
2016/07/02,1631
2016/07/03,1580
2016/07/04,1533
2016/07/05,1500
2016/07/06,1452
2016/07/07,1418
2016/07/08,1461
2016/07/09,1455
2016/07/10,1446
2016/07/11,1440
2016/07/12,1470
2016/07/13,1445
2016/07/14,1466
2016/07/15,1463
2016/07/16,1437
