Date,transactionvalue90momUSD
2016/01/01,26.229
2016/01/02,-0.96
2016/01/03,22.037
2016/01/04,-32.963
2016/01/05,33.956
2016/01/06,-12.292
2016/01/07,-5.957
2016/01/08,5.232
2016/01/09,3.054
2016/01/10,-11.221
2016/01/11,11.955
2016/01/12,24.587
2016/01/13,-39.243
2016/01/14,6.538
2016/01/15,98.806
2016/01/16,51.511
2016/01/17,8.007
2016/01/18,207.715
2016/01/19,76.888
2016/01/20,35.725
2016/01/21,9.036
2016/01/22,92.221
2016/01/23,152.793
2016/01/24,244.483
2016/01/25,59.949
2016/01/26,108.855
2016/01/27,85.1
2016/01/28,-36.18
2016/01/29,96.864
2016/01/30,150.204
2016/01/31,127.752
2016/02/01,13.883
2016/02/02,-9.878
2016/02/03,62.71
2016/02/04,-48.663
2016/02/05,60.202
2016/02/06,-50.262
2016/02/07,41.992
2016/02/08,203.21
2016/02/09,327.638
2016/02/10,467.858
2016/02/11,361.692
2016/02/12,650.889
2016/02/13,311.527
2016/02/14,217.36
2016/02/15,79.684
2016/02/16,333.953
2016/02/17,124.337
2016/02/18,239.545
2016/02/19,102.076
2016/02/20,281.611
2016/02/21,44.169
2016/02/22,175.95
2016/02/23,453.259
2016/02/24,507.566
2016/02/25,206.959
2016/02/26,1124
2016/02/27,687.573
2016/02/28,240.66
2016/02/29,195.781
2016/03/01,365.628
2016/03/02,1193
2016/03/03,761.267
2016/03/04,558.117
2016/03/05,1154
2016/03/06,596.609
2016/03/07,635.465
2016/03/08,827.256
2016/03/09,460.265
2016/03/10,368.271
2016/03/11,394.177
2016/03/12,664.554
2016/03/13,990.238
2016/03/14,744.463
2016/03/15,420.632
2016/03/16,490.402
2016/03/17,578.985
2016/03/18,733.398
2016/03/19,221.549
2016/03/20,157.62
2016/03/21,290.788
2016/03/22,236.309
2016/03/23,205.579
2016/03/24,287.941
2016/03/25,150.88
2016/03/26,95.531
2016/03/27,387.62
2016/03/28,242.593
2016/03/29,431.699
2016/03/30,402.252
2016/03/31,287.099
2016/04/01,105.989
2016/04/02,107.495
2016/04/03,69.011
2016/04/04,80.375
2016/04/05,173.571
2016/04/06,178.59
2016/04/07,217.895
2016/04/08,140.71
2016/04/09,378.606
2016/04/10,266.922
2016/04/11,67.145
2016/04/12,220.491
2016/04/13,210.291
2016/04/14,108.5
2016/04/15,74.388
2016/04/16,70.707
2016/04/17,-59.669
2016/04/18,45.752
2016/04/19,30.288
2016/04/20,105.444
2016/04/21,6.913
2016/04/22,9.586
2016/04/23,-66.682
2016/04/24,-197.216
2016/04/25,-69.273
2016/04/26,105.381
2016/04/27,38.663
2016/04/28,36.13
2016/04/29,-48.75
2016/04/30,304.117
2016/05/01,294.63
2016/05/02,343.132
2016/05/03,253.531
2016/05/04,221.749
2016/05/05,177.156
2016/05/06,461.559
2016/05/07,226.104
2016/05/08,19.164
2016/05/09,143.634
2016/05/10,-18.843
2016/05/11,310.781
2016/05/12,49.14
2016/05/13,1466
2016/05/14,1047
2016/05/15,118.539
2016/05/16,57.995
2016/05/17,230.233
2016/05/18,245.255
2016/05/19,711.637
2016/05/20,401.351
2016/05/21,188.059
2016/05/22,15.394
2016/05/23,-74.744
2016/05/24,-88.918
2016/05/25,161.539
2016/05/26,-828.417
2016/05/27,-108.753
2016/05/28,94.218
2016/05/29,39.775
2016/05/30,-110.444
2016/05/31,-914.006
2016/06/01,-522.13
2016/06/02,-402.033
2016/06/03,-962.083
2016/06/04,-480.513
2016/06/05,-491.742
2016/06/06,-684.443
2016/06/07,-179.587
2016/06/08,368.16
2016/06/09,-284.685
2016/06/10,-393.508
2016/06/11,-812.763
2016/06/12,-391.043
