Date,activeaddresses7rsi
2016/01/01,52.242
2016/01/02,54.698
2016/01/03,57.414
2016/01/04,61.277
2016/01/05,60.747
2016/01/06,67.88
2016/01/07,74.778
2016/01/08,62.213
2016/01/09,58.692
2016/01/10,66.984
2016/01/11,73.877
2016/01/12,76.152
2016/01/13,57.74
2016/01/14,52.29
2016/01/15,66.809
2016/01/16,47.028
2016/01/17,43.003
2016/01/18,59.908
2016/01/19,52.375
2016/01/20,65.414
2016/01/21,51.117
2016/01/22,54.772
2016/01/23,63.589
2016/01/24,69.99
2016/01/25,74.425
2016/01/26,78.303
2016/01/27,64.649
2016/01/28,71.018
2016/01/29,66.03
2016/01/30,66.33
2016/01/31,68.729
2016/02/01,59.702
2016/02/02,57.87
2016/02/03,61.736
2016/02/04,51.773
2016/02/05,67.746
2016/02/06,45.694
2016/02/07,50.398
2016/02/08,59.483
2016/02/09,64.82
2016/02/10,78.15
2016/02/11,86.722
2016/02/12,65.039
2016/02/13,60.443
2016/02/14,51.671
2016/02/15,54.373
2016/02/16,54.404
2016/02/17,56.604
2016/02/18,52.761
2016/02/19,54.051
2016/02/20,46.593
2016/02/21,60.848
2016/02/22,60.199
2016/02/23,60.908
2016/02/24,59.102
2016/02/25,69.115
2016/02/26,52.563
2016/02/27,54.102
2016/02/28,62.484
2016/02/29,69.201
2016/03/01,76.582
2016/03/02,82.371
2016/03/03,85.314
2016/03/04,81.463
2016/03/05,88.209
2016/03/06,79.034
2016/03/07,50.763
2016/03/08,62.653
2016/03/09,58.892
2016/03/10,65.643
2016/03/11,56.977
2016/03/12,65.105
2016/03/13,62.902
2016/03/14,66.82
2016/03/15,64.368
2016/03/16,61.099
2016/03/17,63.934
2016/03/18,73.055
2016/03/19,54.362
2016/03/20,56.167
2016/03/21,55.044
2016/03/22,54.3
2016/03/23,63.436
2016/03/24,53.057
2016/03/25,56.374
2016/03/26,49.572
2016/03/27,61.899
2016/03/28,63.633
2016/03/29,75.683
2016/03/30,79.883
2016/03/31,55.216
2016/04/01,51.309
2016/04/02,48.801
2016/04/03,53.342
2016/04/04,60.448
2016/04/05,65.135
2016/04/06,52.74
2016/04/07,62.393
2016/04/08,46.596
2016/04/09,56.215
2016/04/10,59.818
2016/04/11,52.424
2016/04/12,57.156
2016/04/13,62.043
2016/04/14,55.706
2016/04/15,49.563
2016/04/16,49.672
2016/04/17,58.217
2016/04/18,58.631
2016/04/19,56.727
2016/04/20,61.464
2016/04/21,58.373
