Date,transactions90mom
2016/11/11,-18
2016/11/12,305
2016/11/13,1371
2016/11/14,-5073
2016/11/15,463
2016/11/16,-6115
2016/11/17,-2210
2016/11/18,2467
2016/11/19,-3254
2016/11/20,-2125
2016/11/21,-5695
2016/11/22,6764
2016/11/23,14421
2016/11/24,-10431
2016/11/25,10137
2016/11/26,-1803
2016/11/27,-1061
2016/11/28,1409
2016/11/29,1190
2016/11/30,-8313
2016/12/01,-18292
2016/12/02,-3150
2016/12/03,-6771
2016/12/04,-3024
2016/12/05,-7489
2016/12/06,-501
2016/12/07,-14213
2016/12/08,-14331
2016/12/09,-1431
2016/12/10,-2781
2016/12/11,-5959
2016/12/12,-3850
2016/12/13,-9195
2016/12/14,-5328
2016/12/15,-11430
2016/12/16,-2929
2016/12/17,1549
2016/12/18,-3865
2016/12/19,-8468
2016/12/20,-308
2016/12/21,-1864
2016/12/22,19954
2016/12/23,973
2016/12/24,-956
2016/12/25,-6913
2016/12/26,-12252
2016/12/27,-427
2016/12/28,2970
2016/12/29,10710
2016/12/30,-8515
2016/12/31,-9885
2017/01/01,-8942
2017/01/02,-17010
2017/01/03,4164
2017/01/04,13847
2017/01/05,5888
2017/01/06,6114
2017/01/07,-318
2017/01/08,-2213
2017/01/09,5135
2017/01/10,18177
2017/01/11,12977
2017/01/12,8583
2017/01/13,17171
2017/01/14,7054
2017/01/15,3612
2017/01/16,-6523
2017/01/17,8174
2017/01/18,1556
2017/01/19,-14152
2017/01/20,8003
2017/01/21,7938
2017/01/22,-5115
2017/01/23,-1534
2017/01/24,5256
2017/01/25,1903
2017/01/26,5334
2017/01/27,6669
2017/01/28,5754
2017/01/29,-2522
2017/01/30,-3656
2017/01/31,130
2017/02/01,2195
2017/02/02,11137
2017/02/03,5088
2017/02/04,11019
2017/02/05,4601
2017/02/06,5737
2017/02/07,11349
2017/02/08,10925
2017/02/09,6803
2017/02/10,11340
2017/02/11,2887
2017/02/12,1443
2017/02/13,10660
2017/02/14,16614
2017/02/15,14582
2017/02/16,5889
2017/02/17,10117
2017/02/18,7273
2017/02/19,5492
2017/02/20,-3433
2017/02/21,-5855
2017/02/22,13511
2017/02/23,-10474
2017/02/24,13277
2017/02/25,8796
2017/02/26,3328
2017/02/27,5606
2017/02/28,21099
2017/03/01,22653
2017/03/02,29137
2017/03/03,22937
2017/03/04,19113
2017/03/05,15418
2017/03/06,8820
2017/03/07,20832
2017/03/08,15799
2017/03/09,22822
2017/03/10,24562
2017/03/11,25639
2017/03/12,27905
2017/03/13,37054
2017/03/14,29861
2017/03/15,35103
2017/03/16,65997
2017/03/17,67193
2017/03/18,53280
2017/03/19,39000
2017/03/20,36023
2017/03/21,33505
2017/03/22,23648
2017/03/23,38043
2017/03/24,50018
2017/03/25,47793
2017/03/26,44969
2017/03/27,52179
2017/03/28,40962
2017/03/29,46518
2017/03/30,51648
2017/03/31,61882
2017/04/01,41842
2017/04/02,49296
2017/04/03,54338
2017/04/04,35606
2017/04/05,37815
2017/04/06,51373
2017/04/07,49224
2017/04/08,29417
2017/04/09,28369
2017/04/10,27308
2017/04/11,30670
2017/04/12,29758
2017/04/13,33291
2017/04/14,39111
2017/04/15,33072
2017/04/16,25259
2017/04/17,25875
2017/04/18,38309
2017/04/19,42106
2017/04/20,39675
2017/04/21,37976
2017/04/22,26107
2017/04/23,30997
2017/04/24,30117
2017/04/25,46777
2017/04/26,42786
2017/04/27,57814
2017/04/28,61004
2017/04/29,48826
2017/04/30,49833
2017/05/01,68553
2017/05/02,65813
2017/05/03,53625
2017/05/04,72099
2017/05/05,63104
2017/05/06,48472
2017/05/07,59325
2017/05/08,65643
2017/05/09,61844
2017/05/10,61800
2017/05/11,64967
2017/05/12,60681
2017/05/13,56013
2017/05/14,45358
2017/05/15,64494
2017/05/16,61021
2017/05/17,90461
2017/05/18,88003
2017/05/19,112170
2017/05/20,82685
2017/05/21,99547
2017/05/22,117821
2017/05/23,136749
2017/05/24,139692
2017/05/25,128929
2017/05/26,116573
2017/05/27,97734
2017/05/28,102629
2017/05/29,98270
2017/05/30,133844
2017/05/31,143347
2017/06/01,134866
2017/06/02,136155
2017/06/03,118613
2017/06/04,123116
2017/06/05,127716
2017/06/06,145137
2017/06/07,142914
2017/06/08,122574
2017/06/09,151028
2017/06/10,146710
2017/06/11,158772
2017/06/12,215786
2017/06/13,198849
2017/06/14,140387
2017/06/15,154982
2017/06/16,158083
2017/06/17,157423
2017/06/18,165693
2017/06/19,201911
2017/06/20,229596
2017/06/21,138855
2017/06/22,196450
2017/06/23,191618
2017/06/24,171036
2017/06/25,136586
2017/06/26,232440
2017/06/27,159931
2017/06/28,178032
2017/06/29,160689
2017/06/30,172080
2017/07/01,151517
2017/07/02,148396
2017/07/03,215753
2017/07/04,194054
2017/07/05,176429
2017/07/06,165945
2017/07/07,223245
2017/07/08,173585
2017/07/09,149702
2017/07/10,226742
2017/07/11,211330
2017/07/12,199704
2017/07/13,179590
2017/07/14,174561
2017/07/15,161327
2017/07/16,176592
2017/07/17,165170
2017/07/18,185321
2017/07/19,184672
2017/07/20,168787
2017/07/21,159021
2017/07/22,128501
2017/07/23,179959
2017/07/24,170062
2017/07/25,153280
2017/07/26,118454
2017/07/27,119242
2017/07/28,155159
2017/07/29,103571
2017/07/30,94422
2017/07/31,139734
2017/08/01,121248
2017/08/02,116191
2017/08/03,127821
2017/08/04,162146
2017/08/05,154769
2017/08/06,147618
2017/08/07,168239
2017/08/08,209193
2017/08/09,163119
2017/08/10,231000
2017/08/11,255350
2017/08/12,237306
2017/08/13,210213
2017/08/14,293720
2017/08/15,273111
2017/08/16,276215
2017/08/17,266439
2017/08/18,312444
2017/08/19,227719
2017/08/20,133671
2017/08/21,205759
2017/08/22,177434
2017/08/23,191701
2017/08/24,182647
2017/08/25,203171
2017/08/26,150997
2017/08/27,165626
2017/08/28,170056
2017/08/29,180523
2017/08/30,201060
2017/08/31,189510
2017/09/01,215353
2017/09/02,151661
2017/09/03,112220
2017/09/04,242069
2017/09/05,237392
2017/09/06,308676
2017/09/07,232516
2017/09/08,250314
2017/09/09,143164
2017/09/10,32187
2017/09/11,85330
2017/09/12,154561
2017/09/13,104062
2017/09/14,132248
2017/09/15,199745
2017/09/16,127807
2017/09/17,3308
2017/09/18,54347
2017/09/19,116463
2017/09/20,40759
2017/09/21,41062
2017/09/22,20900
2017/09/23,28972
2017/09/24,-35859
2017/09/25,53619
2017/09/26,31834
2017/09/27,45256
2017/09/28,76556
2017/09/29,86037
2017/09/30,47181
2017/10/01,-18161
2017/10/02,24630
2017/10/03,56300
2017/10/04,48518
2017/10/05,19419
2017/10/06,71740
2017/10/07,65902
2017/10/08,-5804
2017/10/09,36495
2017/10/10,65777
2017/10/11,83560
2017/10/12,114030
2017/10/13,147175
2017/10/14,83031
2017/10/15,80448
2017/10/16,137242
2017/10/17,235489
2017/10/18,220384
2017/10/19,261624
2017/10/20,341263
2017/10/21,202412
2017/10/22,172398
2017/10/23,225246
2017/10/24,269340
2017/10/25,234984
2017/10/26,219912
2017/10/27,-198773
2017/10/28,-206624
2017/10/29,-250088
2017/10/30,-218582
2017/10/31,-231068
2017/11/01,286070
2017/11/02,276389
2017/11/03,227239
2017/11/04,133631
2017/11/05,135930
2017/11/06,192797
2017/11/07,190110
2017/11/08,142172
2017/11/09,110490
2017/11/10,118773
2017/11/11,61373
2017/11/12,24319
2017/11/13,29930
2017/11/14,62360
2017/11/15,112523
2017/11/16,48126
2017/11/17,131172
2017/11/18,149753
2017/11/19,71683
2017/11/20,165414
2017/11/21,149333
2017/11/22,194024
2017/11/23,184447
2017/11/24,219178
2017/11/25,236966
2017/11/26,178810
2017/11/27,214046
2017/11/28,238769
2017/11/29,279158
2017/11/30,264460
2017/12/01,290923
2017/12/02,325260
2017/12/03,251216
2017/12/04,257262
2017/12/05,196714
2017/12/06,343399
2017/12/07,195398
2017/12/08,382757
2017/12/09,382095
2017/12/10,351191
2017/12/11,424001
2017/12/12,506661
2017/12/13,529380
2017/12/14,500792
2017/12/15,530582
2017/12/16,610340
2017/12/17,513810
2017/12/18,646269
2017/12/19,767250
2017/12/20,669030
2017/12/21,801195
2017/12/22,843416
2017/12/23,637952
2017/12/24,451620
2017/12/25,446286
2017/12/26,504463
2017/12/27,583544
2017/12/28,623001
2017/12/29,794393
2017/12/30,852788
2017/12/31,640832
2018/01/01,581039
2018/01/02,846627
2018/01/03,923222
2018/01/04,1030008
2018/01/05,980486
2018/01/06,929588
2018/01/07,824550
2018/01/08,865868
2018/01/09,911935
2018/01/10,814274
2018/01/11,794829
2018/01/12,786588
2018/01/13,850400
2018/01/14,673296
2018/01/15,700809
2018/01/16,807487
2018/01/17,782899
2018/01/18,658347
2018/01/19,580355
2018/01/20,548996
2018/01/21,538362
2018/01/22,480623
2018/01/23,468075
2018/01/24,447262
2018/01/25,788515
2018/01/26,953429
2018/01/27,831889
2018/01/28,889104
2018/01/29,936845
2018/01/30,384173
2018/01/31,343735
2018/02/01,520120
2018/02/02,582160
2018/02/03,397384
2018/02/04,289202
2018/02/05,405343
2018/02/06,407806
2018/02/07,351453
2018/02/08,223917
2018/02/09,395429
2018/02/10,414010
2018/02/11,330320
2018/02/12,353036
2018/02/13,205231
2018/02/14,254902
2018/02/15,268728
2018/02/16,245079
2018/02/17,307516
2018/02/18,225951
2018/02/19,287340
2018/02/20,340408
2018/02/21,313436
2018/02/22,236447
2018/02/23,171945
2018/02/24,190377
2018/02/25,81887
2018/02/26,98464
2018/02/27,31004
2018/02/28,64911
2018/03/01,61684
2018/03/02,116881
2018/03/03,-20343
2018/03/04,-58593
2018/03/05,59666
2018/03/06,-79155
2018/03/07,124689
2018/03/08,-76272
2018/03/09,-57165
2018/03/10,-125198
2018/03/11,-220000
2018/03/12,-194432
2018/03/13,-210538
2018/03/14,-271361
2018/03/15,-249815
2018/03/16,-245273
2018/03/17,-283371
2018/03/18,-300057
2018/03/19,-388343
2018/03/20,-324313
2018/03/21,-374793
2018/03/22,-484070
2018/03/23,-241778
2018/03/24,-145031
2018/03/25,-225989
2018/03/26,-186895
2018/03/27,-328697
2018/03/28,-369645
2018/03/29,-506518
2018/03/30,-503043
2018/03/31,-362531
2018/04/01,-363804
2018/04/02,-555431
2018/04/03,-592106
2018/04/04,-721449
2018/04/05,-575706
2018/04/06,-578436
2018/04/07,-616857
2018/04/08,-619740
2018/04/09,-646441
2018/04/10,-606297
2018/04/11,-564863
2018/04/12,-426151
2018/04/13,-448977
2018/04/14,-470405
2018/04/15,-586435
2018/04/16,-613534
2018/04/17,-534260
2018/04/18,-501891
2018/04/19,-228939
2018/04/20,-152269
2018/04/21,-260426
2018/04/22,-224053
2018/04/23,-125624
2018/04/24,-97382
2018/04/25,10499
2018/04/26,-159556
2018/04/27,-67410
2018/04/28,-113783
2018/04/29,-180194
2018/04/30,-128445
2018/05/01,-163445
