Date,median_transaction_fee7rsiUSD
2016/10/16,53.872
2016/10/17,52.565
2016/10/18,50.859
2016/10/19,42.049
2016/10/20,39.958
2016/10/21,39.94
2016/10/22,39.938
2016/10/23,39.288
2016/10/24,40.215
2016/10/25,39.598
2016/10/26,39.575
2016/10/27,39.384
2016/10/28,39.028
2016/10/29,37.557
2016/10/30,35.314
2016/10/31,41.689
2016/11/01,40.097
2016/11/02,37.3
2016/11/03,37.95
2016/11/04,36.104
2016/11/05,41.988
2016/11/06,39.112
2016/11/07,39.918
2016/11/08,40.661
2016/11/09,35.857
2016/11/10,44.477
2016/11/11,40.071
2016/11/12,41.767
2016/11/13,44.317
2016/11/14,46.942
2016/11/15,41.746
2016/11/16,44.447
2016/11/17,39.971
2016/11/18,35.969
2016/11/19,39.143
2016/11/20,33.095
2016/11/21,48.5
2016/11/22,34.483
2016/11/23,45.43
2016/11/24,63.911
2016/11/25,35.688
2016/11/26,50.08
2016/11/27,50.792
2016/11/28,52.146
2016/11/29,43.504
2016/11/30,36.403
2016/12/01,36.017
2016/12/02,37.405
2016/12/03,32.537
2016/12/04,31.281
2016/12/05,28.88
2016/12/06,25.826
2016/12/07,48.58
2016/12/08,48.064
2016/12/09,46.64
2016/12/10,43.525
2016/12/11,44.25
2016/12/12,51.278
2016/12/13,48.333
2016/12/14,47.598
2016/12/15,40.44
2016/12/16,38.311
2016/12/17,32.613
2016/12/18,28.828
2016/12/19,50.373
2016/12/20,45.948
2016/12/21,62.511
2016/12/22,43.638
2016/12/23,40.313
2016/12/24,39.264
2016/12/25,38.655
2016/12/26,35.347
2016/12/27,40.807
2016/12/28,41.397
2016/12/29,62.736
2016/12/30,61.287
2016/12/31,55.598
2017/01/01,59.722
2017/01/02,59.298
2017/01/03,80.587
2017/01/04,82.598
2017/01/05,83.672
2017/01/06,62.015
2017/01/07,63.399
2017/01/08,73.684
2017/01/09,74.439
2017/01/10,78.295
2017/01/11,52.208
2017/01/12,49.492
2017/01/13,47.236
2017/01/14,43.424
2017/01/15,49.072
2017/01/16,46.565
2017/01/17,56.742
2017/01/18,56.931
2017/01/19,57.674
2017/01/20,63.477
2017/01/21,66.524
2017/01/22,67.957
2017/01/23,64.83
2017/01/24,71.053
2017/01/25,55.412
2017/01/26,72.152
2017/01/27,54.896
2017/01/28,47.8
2017/01/29,57.927
2017/01/30,47.027
2017/01/31,59.77
2017/02/01,55.141
2017/02/02,47.596
2017/02/03,49.399
2017/02/04,57.188
2017/02/05,56.98
2017/02/06,57.061
2017/02/07,77.325
2017/02/08,62.051
2017/02/09,53.274
2017/02/10,52.107
2017/02/11,58.003
2017/02/12,47.235
2017/02/13,64.766
2017/02/14,72.753
2017/02/15,66.361
2017/02/16,54.781
2017/02/17,59.65
2017/02/18,52.972
2017/02/19,53.243
2017/02/20,52.86
2017/02/21,69.739
2017/02/22,62.53
2017/02/23,47.845
2017/02/24,52.776
2017/02/25,66.229
2017/02/26,54.292
2017/02/27,61.309
2017/02/28,67.733
2017/03/01,68.982
2017/03/02,76.455
2017/03/03,79.317
2017/03/04,83.241
2017/03/05,70.113
2017/03/06,74.48
2017/03/07,72.608
2017/03/08,47.145
2017/03/09,52.765
2017/03/10,51.541
2017/03/11,59.496
2017/03/12,71.051
2017/03/13,84.328
2017/03/14,86.141
2017/03/15,86.708
2017/03/16,93.693
2017/03/17,95.192
2017/03/18,68.057
2017/03/19,70.167
2017/03/20,73.31
2017/03/21,71.731
2017/03/22,65.872
2017/03/23,69.9
2017/03/24,73.741
2017/03/25,79.21
2017/03/26,81.505
2017/03/27,83.793
2017/03/28,73.991
2017/03/29,78.91
2017/03/30,66.929
2017/03/31,55.417
2017/04/01,59.025
2017/04/02,59.535
2017/04/03,41.582
2017/04/04,40.235
2017/04/05,52.117
2017/04/06,40.821
2017/04/07,56.096
2017/04/08,43.77
2017/04/09,50.121
2017/04/10,45.793
2017/04/11,46.927
2017/04/12,52.721
2017/04/13,58.721
2017/04/14,61.601
2017/04/15,55.144
2017/04/16,61.504
2017/04/17,59.952
2017/04/18,63.731
2017/04/19,67.588
2017/04/20,57.955
2017/04/21,65.327
2017/04/22,54.36
2017/04/23,53.247
2017/04/24,57.948
2017/04/25,58.595
2017/04/26,45.469
2017/04/27,69.408
2017/04/28,82.09
2017/04/29,82.92
2017/04/30,84.887
2017/05/01,89.853
2017/05/02,81.311
2017/05/03,73.636
2017/05/04,80.151
2017/05/05,84.414
2017/05/06,73.503
2017/05/07,77.242
2017/05/08,60.161
2017/05/09,58.342
2017/05/10,62.746
2017/05/11,62.884
2017/05/12,68.036
2017/05/13,65.303
2017/05/14,66.546
2017/05/15,72.012
2017/05/16,63.966
2017/05/17,73.076
2017/05/18,69.244
2017/05/19,82.971
2017/05/20,89.551
2017/05/21,91.521
2017/05/22,94.948
2017/05/23,95.28
2017/05/24,96.777
2017/05/25,97.099
2017/05/26,68.64
2017/05/27,51.526
2017/05/28,61.625
2017/05/29,62.77
2017/05/30,74.315
2017/05/31,81.38
2017/06/01,76.612
2017/06/02,68.549
2017/06/03,63.022
2017/06/04,74.249
2017/06/05,66.499
2017/06/06,69.421
2017/06/07,72.958
2017/06/08,69.404
2017/06/09,64.932
2017/06/10,72.791
2017/06/11,82.581
2017/06/12,88.266
2017/06/13,82.991
2017/06/14,68.575
2017/06/15,57.432
2017/06/16,58.014
2017/06/17,60.576
2017/06/18,61.972
2017/06/19,59.46
2017/06/20,79.246
2017/06/21,94.475
2017/06/22,71.924
2017/06/23,72.326
2017/06/24,70.081
2017/06/25,50.238
2017/06/26,42.801
2017/06/27,40.643
2017/06/28,57.204
2017/06/29,47.656
2017/06/30,36.276
2017/07/01,35.104
2017/07/02,34.533
2017/07/03,40.739
2017/07/04,37.164
2017/07/05,36.243
2017/07/06,36.571
2017/07/07,36.517
2017/07/08,35.197
2017/07/09,36.952
2017/07/10,31.495
2017/07/11,29.517
2017/07/12,31.806
2017/07/13,32.728
2017/07/14,29.241
2017/07/15,31.549
2017/07/16,25.561
2017/07/17,31.746
2017/07/18,46.85
2017/07/19,48.621
2017/07/20,45.757
2017/07/21,52.795
2017/07/22,49.648
2017/07/23,52.43
2017/07/24,51.934
2017/07/25,49.536
2017/07/26,43.885
2017/07/27,41.741
2017/07/28,35.877
2017/07/29,30.051
2017/07/30,42.571
2017/07/31,42.359
2017/08/01,68.003
2017/08/02,56.081
2017/08/03,53.69
2017/08/04,46.96
2017/08/05,57.838
2017/08/06,65.324
2017/08/07,66.883
2017/08/08,71.181
2017/08/09,78.554
2017/08/10,70.331
2017/08/11,75.605
2017/08/12,77.675
2017/08/13,63.694
2017/08/14,57.819
