Date,median_transaction_fee14rsiUSD
2016/01/01,47.697
2016/01/02,47.727
2016/01/03,47.803
2016/01/04,47.76
2016/01/05,57.24
2016/01/06,56.457
2016/01/07,56.713
2016/01/08,46.845
2016/01/09,48.344
2016/01/10,47.375
2016/01/11,47.22
2016/01/12,47.985
2016/01/13,58.564
2016/01/14,47.886
2016/01/15,48.392
2016/01/16,48.394
2016/01/17,48.363
2016/01/18,51.114
2016/01/19,50.76
2016/01/20,49.579
2016/01/21,49.998
2016/01/22,52.088
2016/01/23,51.456
2016/01/24,54.405
2016/01/25,57.263
2016/01/26,59.365
2016/01/27,59.475
2016/01/28,59.987
2016/01/29,55.89
2016/01/30,55.344
2016/01/31,53.855
2016/02/01,52.003
2016/02/02,52.162
2016/02/03,54.267
2016/02/04,55.453
2016/02/05,55.309
2016/02/06,80.476
2016/02/07,50.803
2016/02/08,52.546
2016/02/09,54.196
2016/02/10,57.749
2016/02/11,59.955
2016/02/12,63.436
2016/02/13,58.281
2016/02/14,57.767
2016/02/15,60.089
2016/02/16,56.556
2016/02/17,54.038
2016/02/18,51.867
2016/02/19,54.237
2016/02/20,53.882
2016/02/21,53.816
2016/02/22,57.774
2016/02/23,62.429
2016/02/24,60.283
2016/02/25,62.52
2016/02/26,60.251
2016/02/27,61.48
2016/02/28,62.663
2016/02/29,62.432
2016/03/01,64.295
2016/03/02,70.27
2016/03/03,74.903
2016/03/04,74.944
2016/03/05,80.249
2016/03/06,79.957
2016/03/07,72.6
2016/03/08,66.427
2016/03/09,70.058
2016/03/10,40.93
2016/03/11,40.277
2016/03/12,43.554
2016/03/13,46.055
2016/03/14,44.748
2016/03/15,43.597
2016/03/16,44.671
2016/03/17,42.001
2016/03/18,39.809
2016/03/19,40.766
2016/03/20,40.117
2016/03/21,42.075
2016/03/22,43.738
2016/03/23,44.407
2016/03/24,43.372
2016/03/25,41.958
2016/03/26,43.881
2016/03/27,42.128
2016/03/28,43.888
2016/03/29,45.187
2016/03/30,46.075
2016/03/31,45.928
2016/04/01,45.416
2016/04/02,44.854
2016/04/03,45.024
2016/04/04,44.123
2016/04/05,44.021
2016/04/06,41.111
2016/04/07,40.224
2016/04/08,38.049
2016/04/09,36.909
2016/04/10,32.995
2016/04/11,32.463
2016/04/12,30.207
2016/04/13,30.012
2016/04/14,34.789
2016/04/15,34.54
2016/04/16,34.336
2016/04/17,42.708
2016/04/18,41.618
2016/04/19,41.458
2016/04/20,38.672
2016/04/21,37.92
2016/04/22,35.128
2016/04/23,35.238
2016/04/24,37.238
2016/04/25,34.705
2016/04/26,31.806
2016/04/27,35.278
2016/04/28,34.098
2016/04/29,34.597
2016/04/30,44.155
2016/05/01,48.71
2016/05/02,56.089
2016/05/03,56.507
2016/05/04,55.579
2016/05/05,55.673
2016/05/06,56.873
2016/05/07,52.565
2016/05/08,52.149
2016/05/09,53.767
2016/05/10,52.407
2016/05/11,56.516
2016/05/12,61.029
2016/05/13,64.908
2016/05/14,59.473
2016/05/15,58.654
2016/05/16,62.117
2016/05/17,71.078
2016/05/18,77.056
2016/05/19,80.349
2016/05/20,81.592
2016/05/21,72.968
2016/05/22,74.698
2016/05/23,74.732
2016/05/24,63.243
2016/05/25,57.795
2016/05/26,58.009
2016/05/27,48.902
2016/05/28,60.458
2016/05/29,52.584
2016/05/30,54.633
2016/05/31,58.721
2016/06/01,61.54
2016/06/02,61.076
2016/06/03,59.7
2016/06/04,59.624
2016/06/05,60.179
2016/06/06,60.867
2016/06/07,64.903
2016/06/08,64.068
2016/06/09,63.068
2016/06/10,59.698
2016/06/11,57.136
2016/06/12,63.096
2016/06/13,72.209
2016/06/14,77.183
2016/06/15,77.624
2016/06/16,80.514
2016/06/17,81.812
2016/06/18,51.197
2016/06/19,41.091
2016/06/20,39.909
