Date,transactionvalue3rsiUSD
2016/10/16,48.309
2016/10/17,50.689
2016/10/18,61.926
2016/10/19,30.319
2016/10/20,23.372
2016/10/21,19.738
2016/10/22,26.95
2016/10/23,25.451
2016/10/24,26.1
2016/10/25,64.838
2016/10/26,54.105
2016/10/27,54.414
2016/10/28,85.76
2016/10/29,90.247
2016/10/30,94.955
2016/10/31,36.586
2016/11/01,65.796
2016/11/02,82.564
2016/11/03,94.927
2016/11/04,37.277
2016/11/05,35.063
2016/11/06,33.298
2016/11/07,33.408
2016/11/08,34.216
2016/11/09,60.628
2016/11/10,41.928
2016/11/11,73.586
2016/11/12,41.544
2016/11/13,40.906
2016/11/14,32.614
2016/11/15,43.48
2016/11/16,47.485
2016/11/17,80.108
2016/11/18,40.558
2016/11/19,39.054
2016/11/20,34.633
2016/11/21,35.103
2016/11/22,71.463
2016/11/23,56.343
2016/11/24,38.298
2016/11/25,43.418
2016/11/26,31.973
2016/11/27,29.813
2016/11/28,29.686
2016/11/29,61.649
2016/11/30,67.918
2016/12/01,57.653
2016/12/02,93.015
2016/12/03,96.327
2016/12/04,38.932
2016/12/05,58.232
2016/12/06,70.035
2016/12/07,40.634
2016/12/08,47.041
2016/12/09,44.671
2016/12/10,27.727
2016/12/11,44.582
2016/12/12,29.208
2016/12/13,27.524
2016/12/14,25.286
2016/12/15,63.027
2016/12/16,42.607
2016/12/17,76.927
2016/12/18,56.623
2016/12/19,34.379
2016/12/20,35.288
2016/12/21,50.019
2016/12/22,69.444
2016/12/23,90.825
2016/12/24,43.985
2016/12/25,33.237
2016/12/26,31.575
2016/12/27,40.082
2016/12/28,64.346
2016/12/29,80.222
2016/12/30,57.128
2016/12/31,82.189
2017/01/01,37.647
2017/01/02,47.813
2017/01/03,64.307
2017/01/04,80.171
2017/01/05,81.814
2017/01/06,80.316
2017/01/07,32.413
2017/01/08,21.5
2017/01/09,48.255
2017/01/10,47.923
2017/01/11,50.979
2017/01/12,35.343
2017/01/13,17.279
2017/01/14,11.438
2017/01/15,9.909
2017/01/16,17.146
2017/01/17,47.459
2017/01/18,32.568
2017/01/19,40.373
2017/01/20,78.492
2017/01/21,40.011
2017/01/22,39.156
2017/01/23,37.303
2017/01/24,32.284
2017/01/25,45.952
2017/01/26,53.207
2017/01/27,49.227
2017/01/28,24.469
2017/01/29,53.508
2017/01/30,37.907
2017/01/31,72.007
2017/02/01,69.527
2017/02/02,67.416
2017/02/03,85.885
2017/02/04,88.201
2017/02/05,25.542
2017/02/06,53.629
2017/02/07,45.526
2017/02/08,42.415
2017/02/09,56.049
2017/02/10,65.871
2017/02/11,31.37
2017/02/12,54.109
2017/02/13,38.942
2017/02/14,86.37
2017/02/15,91.266
2017/02/16,50.196
2017/02/17,54.824
2017/02/18,48.317
2017/02/19,49.361
2017/02/20,49.931
2017/02/21,79.399
2017/02/22,48.598
2017/02/23,52.569
2017/02/24,88.449
2017/02/25,46.056
2017/02/26,60.598
2017/02/27,89.498
2017/02/28,91.851
2017/03/01,92.988
2017/03/02,97.078
2017/03/03,97.953
2017/03/04,46.896
2017/03/05,37.287
2017/03/06,73.31
2017/03/07,40.592
2017/03/08,48.477
2017/03/09,55.193
2017/03/10,49.071
2017/03/11,71.67
2017/03/12,90.444
2017/03/13,57.988
2017/03/14,28.991
2017/03/15,29.373
2017/03/16,81.818
2017/03/17,51.185
2017/03/18,65.086
2017/03/19,32.389
2017/03/20,39.071
2017/03/21,56.725
2017/03/22,51.667
2017/03/23,50.511
2017/03/24,70.926
2017/03/25,55.492
2017/03/26,41.623
2017/03/27,38.916
2017/03/28,52.438
2017/03/29,68.33
2017/03/30,84.718
2017/03/31,44.759
2017/04/01,33.292
2017/04/02,63.816
2017/04/03,52.799
2017/04/04,24.033
2017/04/05,49.426
2017/04/06,63.43
2017/04/07,26.048
2017/04/08,42.213
2017/04/09,40.815
2017/04/10,52.838
2017/04/11,52.585
2017/04/12,41.648
2017/04/13,26.818
2017/04/14,49.727
2017/04/15,23.775
2017/04/16,16.738
2017/04/17,27.74
2017/04/18,75.229
2017/04/19,79.004
2017/04/20,82.821
2017/04/21,48.377
2017/04/22,46.744
2017/04/23,42.353
2017/04/24,65.868
2017/04/25,37.723
2017/04/26,73.022
2017/04/27,84.47
2017/04/28,87.206
2017/04/29,92.392
2017/04/30,95.051
2017/05/01,98.192
2017/05/02,61.654
2017/05/03,77.393
2017/05/04,66.906
2017/05/05,79.173
2017/05/06,39.999
2017/05/07,56.075
2017/05/08,39.317
2017/05/09,37.92
2017/05/10,42.58
2017/05/11,67.222
2017/05/12,41.619
2017/05/13,21.113
2017/05/14,19.264
2017/05/15,43.649
2017/05/16,74.71
2017/05/17,29.123
2017/05/18,22.725
2017/05/19,50.39
2017/05/20,43.521
2017/05/21,59.246
2017/05/22,88.003
2017/05/23,47.908
2017/05/24,52.526
2017/05/25,52.123
2017/05/26,61.239
2017/05/27,32.865
2017/05/28,27.943
2017/05/29,37.904
2017/05/30,50.9
2017/05/31,87.756
2017/06/01,56.429
2017/06/02,56.185
2017/06/03,60.693
2017/06/04,49.803
2017/06/05,73.381
2017/06/06,84.579
2017/06/07,54.011
2017/06/08,44.795
2017/06/09,35.489
2017/06/10,18.373
2017/06/11,35.219
2017/06/12,84.971
2017/06/13,67.888
2017/06/14,36.81
2017/06/15,55.823
2017/06/16,55.064
2017/06/17,25.427
2017/06/18,23.299
2017/06/19,23.015
2017/06/20,48.065
2017/06/21,20.792
2017/06/22,27.698
2017/06/23,46.29
2017/06/24,61.039
2017/06/25,23.642
2017/06/26,43.29
2017/06/27,55.859
2017/06/28,54.746
2017/06/29,66.397
2017/06/30,50.859
2017/07/01,37.717
2017/07/02,22.586
2017/07/03,83.462
2017/07/04,67.707
2017/07/05,30.433
2017/07/06,37.318
2017/07/07,35.178
2017/07/08,32.908
2017/07/09,20.432
2017/07/10,52.686
2017/07/11,56.654
2017/07/12,61.095
2017/07/13,87.657
2017/07/14,90.483
2017/07/15,86.973
2017/07/16,50.628
2017/07/17,48.554
2017/07/18,74.331
2017/07/19,67.321
2017/07/20,50.417
2017/07/21,70.597
2017/07/22,14
2017/07/23,20.813
2017/07/24,65.554
2017/07/25,70.174
2017/07/26,54.65
2017/07/27,62.253
2017/07/28,65.358
2017/07/29,72.39
2017/07/30,27.669
2017/07/31,14.815
2017/08/01,32.765
2017/08/02,29.59
2017/08/03,23.856
2017/08/04,22.268
2017/08/05,45.497
2017/08/06,48.858
2017/08/07,60.754
2017/08/08,66.813
2017/08/09,85.748
2017/08/10,96.769
2017/08/11,99.065
2017/08/12,55.622
2017/08/13,58.354
2017/08/14,35.846
2017/08/15,28.336
2017/08/16,23.838
2017/08/17,23.446
2017/08/18,22.87
2017/08/19,17.582
2017/08/20,25.339
2017/08/21,36.729
2017/08/22,31.741
2017/08/23,60.314
2017/08/24,53.446
2017/08/25,32.225
2017/08/26,10.19
2017/08/27,81.191
2017/08/28,87.519
2017/08/29,54.906
2017/08/30,78.703
2017/08/31,40.698
2017/09/01,39.023
2017/09/02,37.467
2017/09/03,30.51
2017/09/04,28.618
2017/09/05,25.282
2017/09/06,26.765
2017/09/07,15.86
2017/09/08,27.946
2017/09/09,77.012
2017/09/10,75
2017/09/11,42.793
2017/09/12,36.701
2017/09/13,18.131
2017/09/14,45.525
2017/09/15,41.967
2017/09/16,24.781
2017/09/17,58.488
2017/09/18,77.118
2017/09/19,57.994
2017/09/20,33.46
2017/09/21,31.638
2017/09/22,32.264
2017/09/23,30.029
2017/09/24,19.193
2017/09/25,47.361
2017/09/26,52.946
2017/09/27,63.814
2017/09/28,68.239
2017/09/29,29.07
2017/09/30,19.955
2017/10/01,9.938
2017/10/02,52.877
2017/10/03,91.329
2017/10/04,59.155
2017/10/05,39.617
2017/10/06,40.018
2017/10/07,35.79
2017/10/08,45.354
2017/10/09,51.643
2017/10/10,51.433
2017/10/11,36.834
2017/10/12,50.224
2017/10/13,81.056
2017/10/14,52.385
2017/10/15,39.612
2017/10/16,18.534
2017/10/17,34.542
2017/10/18,61.831
2017/10/19,42.389
2017/10/20,30.719
2017/10/21,37.205
2017/10/22,31.725
2017/10/23,61.889
2017/10/24,60.069
2017/10/25,34.019
2017/10/26,28.685
2017/10/27,5.473
2017/10/28,5.473
2017/10/29,5.473
2017/10/30,5.473
2017/10/31,5.473
2017/11/01,89.388
2017/11/02,90.08
2017/11/03,76.216
2017/11/04,55.432
2017/11/05,45.451
2017/11/06,44.615
2017/11/07,32.945
2017/11/08,71.482
2017/11/09,91.276
2017/11/10,55.595
2017/11/11,59.589
2017/11/12,74.592
2017/11/13,38.114
2017/11/14,35.36
2017/11/15,61.348
2017/11/16,60.194
2017/11/17,57.316
2017/11/18,42.265
2017/11/19,51.586
2017/11/20,76.988
2017/11/21,76.218
2017/11/22,65.678
2017/11/23,79.659
2017/11/24,52.25
2017/11/25,81.795
2017/11/26,74.528
2017/11/27,88.883
2017/11/28,94.252
2017/11/29,96.22
2017/11/30,55.567
2017/12/01,37.243
2017/12/02,53.66
2017/12/03,32.744
2017/12/04,27.703
2017/12/05,8.341
2017/12/06,23.678
2017/12/07,20.424
2017/12/08,14.412
2017/12/09,11.83
2017/12/10,10.3
2017/12/11,9.19
2017/12/12,74.463
2017/12/13,65.742
2017/12/14,75.852
2017/12/15,49.229
2017/12/16,36.724
2017/12/17,40.906
2017/12/18,38.627
2017/12/19,74.529
2017/12/20,86.507
2017/12/21,72.807
2017/12/22,49.081
2017/12/23,30.911
2017/12/24,21.415
2017/12/25,17.476
2017/12/26,61.371
2017/12/27,64.439
2017/12/28,77.104
2017/12/29,81.889
2017/12/30,83.529
2017/12/31,23.261
2018/01/01,22.654
2018/01/02,71.498
2018/01/03,66.347
2018/01/04,87.059
2018/01/05,87.118
2018/01/06,55.426
2018/01/07,42.393
2018/01/08,71.394
2018/01/09,78.505
2018/01/10,90.036
2018/01/11,55.341
2018/01/12,36.686
2018/01/13,23.839
2018/01/14,83.868
2018/01/15,40.558
2018/01/16,42.105
2018/01/17,38.3
2018/01/18,38.246
2018/01/19,28.266
2018/01/20,27.188
2018/01/21,23.085
2018/01/22,43.663
2018/01/23,40.065
2018/01/24,48.895
2018/01/25,16.219
2018/01/26,64.346
2018/01/27,45.389
2018/01/28,56.065
2018/01/29,58.898
2018/01/30,64.577
2018/01/31,56.662
2018/02/01,36.019
2018/02/02,61.477
2018/02/03,26.102
2018/02/04,18.406
2018/02/05,30.752
2018/02/06,39.922
2018/02/07,41.232
2018/02/08,15.174
2018/02/09,39.583
2018/02/10,49.889
2018/02/11,27.055
2018/02/12,40.545
2018/02/13,73.633
2018/02/14,48.859
2018/02/15,59.59
2018/02/16,44.953
2018/02/17,36.376
2018/02/18,35.502
2018/02/19,22.015
2018/02/20,35.912
2018/02/21,28.905
2018/02/22,75.48
2018/02/23,30.924
2018/02/24,28.068
2018/02/25,18.665
2018/02/26,36.453
2018/02/27,24.166
2018/02/28,23.314
2018/03/01,36.511
2018/03/02,27.117
2018/03/03,17.787
2018/03/04,25.754
2018/03/05,52.369
2018/03/06,71.57
2018/03/07,51.726
2018/03/08,41.037
2018/03/09,50.894
2018/03/10,24.676
2018/03/11,20.348
2018/03/12,50.019
2018/03/13,83.131
2018/03/14,48.576
