Date,difficulty30wma
2016/01/01,8487841740173
2016/01/02,8476577265319
2016/01/03,8474751530032
2016/01/04,8473298423513
2016/01/05,8469653139719
2016/01/06,8472569488696
2016/01/07,8460105258327
2016/01/08,8452171455579
2016/01/09,8450602786048
2016/01/10,8441417254453
2016/01/11,8463343285582
2016/01/12,8487569646843
2016/01/13,8484686638134
2016/01/14,8498236789789
2016/01/15,8528687332768
2016/01/16,8571508200707
2016/01/17,8604655506324
2016/01/18,8662080885843
2016/01/19,8723388680722
2016/01/20,8774502129251
2016/01/21,8835586324064
2016/01/22,8914083918209
2016/01/23,9000064590568
2016/01/24,9087664540842
2016/01/25,9184550675826
2016/01/26,9295510493698
2016/01/27,9415629335969
2016/01/28,9506867584811
2016/01/29,9622168533617
2016/01/30,9731840111881
2016/01/31,9824871999842
2016/02/01,9927577295032
2016/02/02,10008625735222
2016/02/03,10096404036038
2016/02/04,10195310977822
2016/02/05,10292201503824
2016/02/06,10363214847335
2016/02/07,10440357735960
2016/02/08,10543170804779
2016/02/09,10620298099399
2016/02/10,10717881943637
2016/02/11,10830954216995
2016/02/12,10908916370659
2016/02/13,11015399068078
2016/02/14,11140423660966
2016/02/15,11282299847568
2016/02/16,11404760264420
2016/02/17,11521075146806
2016/02/18,11595535701370
2016/02/19,11694589875903
2016/02/20,11797180874503
2016/02/21,11902196240417
2016/02/22,12031115471936
2016/02/23,12175495859770
2016/02/24,12301696109310
2016/02/25,12417609647514
2016/02/26,12557834712098
2016/02/27,12724375210979
2016/02/28,12893180078691
2016/02/29,13066556033931
2016/03/01,13200031470723
2016/03/02,13360036346743
2016/03/03,13550562758102
2016/03/04,13765481573949
2016/03/05,13990464578240
2016/03/06,14259999868201
2016/03/07,14504788700408
2016/03/08,14757172721184
2016/03/09,15019888790356
2016/03/10,15277998832176
2016/03/11,15565165475965
2016/03/12,15899996753799
2016/03/13,16250265867983
2016/03/14,16576624192224
2016/03/15,16724994957156
2016/03/16,16875708528332
2016/03/17,17032714864100
2016/03/18,17195110055213
2016/03/19,17368174493209
2016/03/20,17577113797593
2016/03/21,17761495283774
2016/03/22,17951298344065
2016/03/23,18075167128610
2016/03/24,18254344637230
2016/03/25,18489645643414
2016/03/26,18744365979073
2016/03/27,19018534790834
2016/03/28,19262172451370
2016/03/29,19538430740642
2016/03/30,19817883814080
2016/03/31,20149210087891
2016/04/01,20451199907178
2016/04/02,20719542332932
2016/04/03,21020921653515
2016/04/04,21366062548166
2016/04/05,21722011747616
2016/04/06,22057480213468
2016/04/07,22308415903722
2016/04/08,22640725356986
2016/04/09,23000634448275
2016/04/10,23357047011575
2016/04/11,23690773021409
2016/04/12,23949527265873
2016/04/13,24269543586541
2016/04/14,24593612838513
2016/04/15,24945349174599
2016/04/16,25311501280898
2016/04/17,25611788044733
2016/04/18,25974765944727
2016/04/19,26346985772635
2016/04/20,26704559032107
2016/04/21,27084895048387
2016/04/22,27367925239340
2016/04/23,27700182599959
2016/04/24,27991533077100
2016/04/25,28321311284183
2016/04/26,28627368032100
2016/04/27,28886494358848
2016/04/28,29186286924362
2016/04/29,29506719532400
2016/04/30,29873611823687
2016/05/01,30269413178057
2016/05/02,30499964617988
2016/05/03,30833011392406
2016/05/04,31145143149773
2016/05/05,31419132335487
2016/05/06,31688985825809
2016/05/07,31941055160411
2016/05/08,32197204057701
2016/05/09,32462498308237
2016/05/10,32763433333999
2016/05/11,32990136768215
2016/05/12,33185089767592
2016/05/13,33504066547847
2016/05/14,33804486553365
2016/05/15,34102248736968
2016/05/16,34397953605339
2016/05/17,34616453735337
2016/05/18,34909992398974
2016/05/19,35289802285636
2016/05/20,35683423847884
2016/05/21,36094919943502
2016/05/22,36446955604763
2016/05/23,36794431152269
2016/05/24,37171388687549
2016/05/25,37520033798370
2016/05/26,37908553173987
2016/05/27,38261161972693
