Date,sentinusd7rocUSD
2016/01/01,451.295
2016/01/02,99.592
2016/01/03,439.296
2016/01/04,-60.401
2016/01/05,313.47
2016/01/06,31.871
2016/01/07,-6.307
2016/01/08,-41.177
2016/01/09,-10.575
2016/01/10,-58.014
2016/01/11,255.044
2016/01/12,15.247
2016/01/13,87.377
2016/01/14,8.798
2016/01/15,503.218
2016/01/16,216.613
2016/01/17,200.184
2016/01/18,505.37
2016/01/19,46.228
2016/01/20,83.956
2016/01/21,99.313
2016/01/22,18.99
2016/01/23,181.01
2016/01/24,797.861
2016/01/25,52.756
2016/01/26,119.163
2016/01/27,232.196
2016/01/28,203.753
2016/01/29,55.116
2016/01/30,25.27
2016/01/31,-36.473
2016/02/01,-72.899
2016/02/02,-62.884
2016/02/03,-48.445
2016/02/04,-63.551
2016/02/05,-32.774
2016/02/06,-76.476
2016/02/07,-7.673
2016/02/08,243.138
2016/02/09,294.975
2016/02/10,460.98
2016/02/11,960.527
2016/02/12,753.337
2016/02/13,998.16
2016/02/14,86.556
2016/02/15,-12.44
2016/02/16,15.574
2016/02/17,-63.434
2016/02/18,-48.75
2016/02/19,-82.11
2016/02/20,-17.911
2016/02/21,-53.065
2016/02/22,3.272
2016/02/23,39.277
2016/02/24,294.06
2016/02/25,27.361
2016/02/26,980.871
2016/02/27,155.41
2016/02/28,137.676
2016/02/29,10.415
2016/03/01,-0.123
2016/03/02,135.939
2016/03/03,235.115
2016/03/04,-41.755
2016/03/05,135.987
2016/03/06,256.791
2016/03/07,234.471
2016/03/08,134.286
2016/03/09,-58.622
2016/03/10,-48.599
2016/03/11,-25.396
2016/03/12,-38.213
2016/03/13,58.498
2016/03/14,43.804
2016/03/15,-20.104
2016/03/16,24.112
2016/03/17,102.9
2016/03/18,130.39
2016/03/19,-57.529
2016/03/20,-79.986
2016/03/21,-55.46
2016/03/22,-51.695
2016/03/23,-53.96
2016/03/24,-46.277
2016/03/25,-75.146
2016/03/26,-56.833
2016/03/27,120.505
2016/03/28,-9.281
2016/03/29,87.849
2016/03/30,137.291
2016/03/31,-2.891
2016/04/01,-25.676
2016/04/02,19.236
2016/04/03,-79.978
2016/04/04,-44.21
2016/04/05,-50.579
2016/04/06,-61.313
2016/04/07,-28.792
2016/04/08,22.271
2016/04/09,191.451
2016/04/10,305.565
2016/04/11,6.772
2016/04/12,16.233
2016/04/13,42.162
2016/04/14,5.167
2016/04/15,-9.325
2016/04/16,-71.424
2016/04/17,-25.081
2016/04/18,9.421
2016/04/19,-56.986
2016/04/20,-34.652
2016/04/21,-49.34
2016/04/22,22.41
2016/04/23,126.152
2016/04/24,-59.757
2016/04/25,-3.993
2016/04/26,130.523
2016/04/27,2.575
2016/04/28,44.232
2016/04/29,-24.764
2016/04/30,175.572
2016/05/01,401.059
2016/05/02,230.711
2016/05/03,59.552
2016/05/04,76.615
2016/05/05,82.669
2016/05/06,336.988
2016/05/07,-36.609
2016/05/08,-14.025
2016/05/09,4.16
2016/05/10,42.039
2016/05/11,181.77
2016/05/12,213.497
2016/05/13,333.424
2016/05/14,325.235
2016/05/15,14.682
2016/05/16,-18.183
2016/05/17,-19.586
2016/05/18,-20.109
2016/05/19,12.023
2016/05/20,-62.24
2016/05/21,-77.461
2016/05/22,-37.706
2016/05/23,12.427
2016/05/24,47.78
2016/05/25,-9.873
2016/05/26,-56.975
2016/05/27,-8.832
2016/05/28,84.662
2016/05/29,28.346
2016/05/30,-28.423
2016/05/31,-40.91
2016/06/01,-48.621
2016/06/02,-56.705
2016/06/03,-71.112
2016/06/04,-74.735
2016/06/05,-48.479
2016/06/06,-47.251
2016/06/07,3.712
2016/06/08,184.651
2016/06/09,-3.761
2016/06/10,47.233
2016/06/11,14.742
2016/06/12,158.48
2016/06/13,194.816
2016/06/14,82.878
2016/06/15,-45.98
2016/06/16,334.232
2016/06/17,479.373
2016/06/18,809.907
2016/06/19,36.859
2016/06/20,56.351
2016/06/21,-16.796
2016/06/22,74.026
2016/06/23,-19.915
2016/06/24,-78.65
2016/06/25,-73.087
2016/06/26,-60.776
2016/06/27,-70.476
2016/06/28,-4.533
2016/06/29,-47.38
2016/06/30,-53.247
2016/07/01,-32.981
2016/07/02,-68.845
2016/07/03,-29.66
2016/07/04,49.277
2016/07/05,84.488
2016/07/06,-27.136
2016/07/07,-8.333
2016/07/08,-30.99
2016/07/09,16.791
2016/07/10,18.285
2016/07/11,-36.967
2016/07/12,-75.819
2016/07/13,-12.417
2016/07/14,3.817
2016/07/15,545.425
2016/07/16,41.763
2016/07/17,19.438
2016/07/18,280.657
2016/07/19,1107
2016/07/20,1627
2016/07/21,112.085
2016/07/22,-11.862
2016/07/23,312.663
2016/07/24,1890
2016/07/25,303.327
2016/07/26,142.873
2016/07/27,-7.18
2016/07/28,345.927
2016/07/29,65.427
2016/07/30,25.564
2016/07/31,-74.3
2016/08/01,-51.779
2016/08/02,-61.182
2016/08/03,-46.711
2016/08/04,-59.435
2016/08/05,-32.272
2016/08/06,-59.284
2016/08/07,-48.039
2016/08/08,-63.016
2016/08/09,-64.31
2016/08/10,-30.08
2016/08/11,16.924
2016/08/12,-40.893
2016/08/13,20.161
2016/08/14,-19.403
2016/08/15,-31.344
2016/08/16,-71.864
2016/08/17,-66.99
2016/08/18,-72.046
2016/08/19,-59.346
2016/08/20,-26.22
2016/08/21,113.471
2016/08/22,56.428
2016/08/23,376.971
2016/08/24,-42.938
2016/08/25,-19.82
2016/08/26,100.835
2016/08/27,-37.079
2016/08/28,-76.73
2016/08/29,-47.768
2016/08/30,-80.779
2016/08/31,12.041
2016/09/01,133.274
2016/09/02,-4.363
2016/09/03,37.673
2016/09/04,88.942
2016/09/05,-27.237
2016/09/06,17.361
2016/09/07,-17.567
2016/09/08,-27.965
2016/09/09,-62.112
2016/09/10,-47.529
2016/09/11,-41.99
2016/09/12,15.118
2016/09/13,2.603
2016/09/14,-12.014
2016/09/15,-57.343
2016/09/16,245.498
2016/09/17,29.148
2016/09/18,99.258
2016/09/19,8.516
2016/09/20,339.292
2016/09/21,521.14
2016/09/22,234.306
2016/09/23,-1.745
2016/09/24,72.889
2016/09/25,61.436
2016/09/26,57.606
2016/09/27,-70.697
2016/09/28,-40.76
2016/09/29,11.967
2016/09/30,-55.856
2016/10/01,-38.04
2016/10/02,-26.62
2016/10/03,-56.823
2016/10/04,-36.496
2016/10/05,-58.453
2016/10/06,-56.737
2016/10/07,-1.18
2016/10/08,19.338
2016/10/09,33.097
2016/10/10,277.826
2016/10/11,192.393
2016/10/12,126.114
2016/10/13,1.426
2016/10/14,164.63
2016/10/15,6.629
2016/10/16,-39.5
2016/10/17,-28.549
2016/10/18,29.891
