Date,sentbyaddress7ema
2016/01/01,1555
2016/01/02,1571
2016/01/03,1583
2016/01/04,1594
2016/01/05,1604
2016/01/06,1622
2016/01/07,1648
2016/01/08,1648
2016/01/09,1657
2016/01/10,1703
2016/01/11,1746
2016/01/12,1809
2016/01/13,1800
2016/01/14,1781
2016/01/15,1828
2016/01/16,1757
2016/01/17,1676
2016/01/18,1673
2016/01/19,1642
2016/01/20,1740
2016/01/21,1692
2016/01/22,1668
2016/01/23,1721
2016/01/24,1819
2016/01/25,1920
2016/01/26,2028
2016/01/27,2041
2016/01/28,2053
2016/01/29,2045
2016/01/30,2032
2016/01/31,2049
2016/02/01,2052
2016/02/02,2042
2016/02/03,2038
2016/02/04,2026
2016/02/05,2031
2016/02/06,2011
2016/02/07,2044
2016/02/08,2112
2016/02/09,2204
2016/02/10,2469
2016/02/11,2699
2016/02/12,2851
2016/02/13,2906
2016/02/14,2842
2016/02/15,2823
2016/02/16,2805
2016/02/17,2778
2016/02/18,2765
2016/02/19,2737
2016/02/20,2684
2016/02/21,2880
2016/02/22,2918
2016/02/23,2935
2016/02/24,2923
2016/02/25,3013
2016/02/26,3008
2016/02/27,3023
2016/02/28,3119
2016/02/29,3343
2016/03/01,3588
2016/03/02,3814
2016/03/03,4065
2016/03/04,4260
2016/03/05,4635
2016/03/06,4816
2016/03/07,4735
2016/03/08,4894
2016/03/09,4905
2016/03/10,5043
2016/03/11,5079
2016/03/12,5087
2016/03/13,5074
2016/03/14,5066
2016/03/15,5016
2016/03/16,4899
2016/03/17,4928
2016/03/18,5036
2016/03/19,4887
2016/03/20,4808
2016/03/21,4878
2016/03/22,4783
2016/03/23,4735
2016/03/24,4663
2016/03/25,4566
2016/03/26,4448
2016/03/27,4505
2016/03/28,4572
2016/03/29,4935
2016/03/30,5231
2016/03/31,5137
2016/04/01,5005
2016/04/02,4842
2016/04/03,4710
2016/04/04,4766
2016/04/05,4819
2016/04/06,4849
2016/04/07,4839
2016/04/08,4792
2016/04/09,4830
2016/04/10,4971
2016/04/11,4923
2016/04/12,4953
2016/04/13,5068
2016/04/14,5057
2016/04/15,4944
2016/04/16,4836
2016/04/17,4900
2016/04/18,4934
2016/04/19,4927
2016/04/20,4951
2016/04/21,4957
2016/04/22,4989
2016/04/23,4968
2016/04/24,4990
2016/04/25,5066
2016/04/26,5150
2016/04/27,5201
2016/04/28,5183
2016/04/29,5780
2016/04/30,6362
2016/05/01,6522
2016/05/02,6902
2016/05/03,7010
2016/05/04,6976
2016/05/05,6970
2016/05/06,6969
2016/05/07,6889
2016/05/08,6944
2016/05/09,7066
2016/05/10,7188
2016/05/11,7569
2016/05/12,7896
2016/05/13,8533
2016/05/14,8699
2016/05/15,8502
2016/05/16,8296
2016/05/17,8298
2016/05/18,8453
2016/05/19,8634
2016/05/20,8626
2016/05/21,8406
2016/05/22,8035
2016/05/23,8289
2016/05/24,8370
2016/05/25,8374
2016/05/26,10162
2016/05/27,10167
2016/05/28,11609
2016/05/29,10889
2016/05/30,10307
2016/05/31,9985
2016/06/01,9556
2016/06/02,9104
2016/06/03,8775
2016/06/04,8367
2016/06/05,8060
2016/06/06,7957
2016/06/07,7954
2016/06/08,7945
2016/06/09,7838
2016/06/10,7810
2016/06/11,7573
2016/06/12,7687
2016/06/13,8227
2016/06/14,8677
2016/06/15,8685
2016/06/16,8884
2016/06/17,10172
2016/06/18,10773
2016/06/19,10526
2016/06/20,10148
2016/06/21,10002
2016/06/22,10108
2016/06/23,9698
2016/06/24,9295
2016/06/25,8829
2016/06/26,8448
2016/06/27,8216
2016/06/28,8316
2016/06/29,8327
2016/06/30,8137
2016/07/01,8021
2016/07/02,7975
2016/07/03,7936
2016/07/04,8033
2016/07/05,8152
2016/07/06,8163
2016/07/07,8162
2016/07/08,8158
2016/07/09,8086
2016/07/10,7930
2016/07/11,7908
2016/07/12,7895
2016/07/13,7832
2016/07/14,7924
2016/07/15,7967
2016/07/16,7712
2016/07/17,7382
2016/07/18,7378
2016/07/19,9927
2016/07/20,10130
2016/07/21,10032
2016/07/22,10198
2016/07/23,10068
2016/07/24,11182
2016/07/25,11336
